date,open,high,low,close,volume
2022-11-28,78.75,78.75,78.75,78.75,13087
2022-11-29,82.65,82.65,74.85,74.9,121617
2022-11-30,72.0,76.3,72.0,72.55,15767
2022-12-01,75.0,75.0,72.1,73.25,11763
2022-12-02,74.0,74.0,71.6,71.75,8000
2022-12-05,75.25,75.25,71.5,71.95,3834
2022-12-06,73.95,73.95,68.4,68.4,23256
2022-12-07,69.55,69.55,61.6,63.05,22416
2022-12-08,63.0,69.35,62.85,68.9,47870
2022-12-09,70.0,70.0,62.9,63.35,31854
2022-12-12,68.85,68.85,60.0,60.9,20504
2022-12-13,61.95,63.75,58.9,59.35,26306
2022-12-14,61.35,61.5,58.0,59.8,11362
2022-12-15,58.5,60.0,57.35,58.3,12104
2022-12-16,57.95,59.9,57.2,58.8,8080
2022-12-19,62.0,62.0,57.6,59.25,8803
2022-12-20,59.4,60.0,58.65,58.95,8103
2022-12-21,61.35,61.35,53.1,54.8,20524
2022-12-22,55.0,57.15,52.1,53.5,27365
2022-12-23,56.8,56.85,50.3,51.85,19043
2022-12-26,52.8,54.95,49.65,54.8,5533
2022-12-27,56.0,56.95,53.0,56.35,6210
2022-12-28,55.95,57.45,55.15,56.4,4426
2022-12-29,56.45,59.4,56.0,57.05,6577
2022-12-30,61.75,61.75,56.5,59.85,16284
2023-01-02,58.0,65.0,58.0,63.75,15981
2023-01-03,65.0,66.65,62.5,63.85,43717
2023-01-04,64.15,64.85,63.5,64.6,8088
2023-01-05,65.9,65.9,62.5,63.35,8440
2023-01-06,64.65,64.65,61.15,63.3,14308
2023-01-09,66.5,66.5,62.5,63.0,6187
2023-01-10,63.95,64.5,62.0,63.5,11215
2023-01-11,65.35,66.2,61.55,63.1,5237
2023-01-12,65.9,65.9,62.05,62.75,3212
2023-01-13,63.55,65.45,63.0,64.95,32523
2023-01-16,66.9,68.55,63.35,64.9,13079
2023-01-17,67.9,67.9,64.0,64.15,10248
2023-01-18,65.0,65.0,63.25,63.95,10782
2023-01-19,65.0,67.85,63.05,64.95,20277
2023-01-20,65.1,66.5,63.3,63.95,16895
2023-01-23,65.3,66.3,63.5,63.6,10674
2023-01-24,63.15,66.5,63.15,64.5,17584
2023-01-25,66.35,66.35,63.45,65.25,16427
2023-01-27,67.2,67.2,60.1,60.8,18569
2023-01-30,61.85,63.8,59.0,63.1,30758
2023-01-31,65.25,65.25,61.1,62.3,22109
2023-02-01,64.5,64.5,61.0,62.4,13505
2023-02-02,64.15,64.15,61.1,62.05,13469
2023-02-03,62.25,65.15,61.5,63.1,12956
2023-02-06,61.4,63.35,61.0,61.45,25904
2023-02-07,61.95,63.4,61.05,62.15,11737
2023-02-08,62.65,63.9,61.6,62.75,21248
2023-02-09,63.9,73.05,62.0,64.15,147424
2023-02-10,64.45,65.0,62.95,64.25,12825
2023-02-13,68.0,68.0,62.5,63.0,8157
2023-02-14,62.15,64.05,62.0,62.1,8329
2023-02-15,62.15,64.75,60.0,60.35,9385
2023-02-16,59.35,61.9,59.35,60.75,9378
2023-02-17,60.95,61.9,58.6,60.85,15517
2023-02-20,61.15,63.75,58.0,58.55,5919
2023-02-21,59.0,59.55,58.0,58.0,6141
2023-02-22,58.0,58.65,56.25,57.3,13766
2023-02-23,58.15,58.15,56.0,56.35,3765
2023-02-24,58.9,58.9,56.3,56.95,651
2023-02-27,57.05,57.5,55.1,55.35,17647
2023-02-28,55.4,57.0,55.25,55.4,13348
2023-03-01,56.95,59.4,55.5,56.4,22353
2023-03-02,57.55,58.45,55.25,56.1,6153
2023-03-03,56.6,57.5,54.0,54.85,9376
2023-03-06,55.8,57.2,55.25,56.35,4751
2023-03-08,56.3,56.9,54.6,55.5,13117
2023-03-09,55.3,56.65,54.5,54.65,5671
2023-03-10,56.25,56.9,53.1,53.5,15426
2023-03-13,54.95,55.0,53.1,53.15,1470
2023-03-14,54.9,54.9,52.25,52.45,4728
2023-03-15,52.45,54.45,51.25,52.55,6868
2023-03-16,54.4,54.4,48.3,49.5,8826
2023-03-17,49.3,52.75,49.3,52.0,21006
2023-03-20,52.3,52.95,50.1,50.65,16918
2023-03-21,51.65,51.9,49.2,50.15,25771
2023-03-22,51.15,56.9,49.65,50.05,108681
2023-03-23,51.05,51.7,47.3,48.75,10733
2023-03-24,49.9,50.35,46.15,46.65,5655
2023-03-27,48.8,48.8,43.4,44.95,28174
2023-03-28,45.95,46.9,42.0,43.0,58627
2023-03-29,44.75,45.0,41.85,43.35,140437
2023-03-31,47.3,47.3,42.5,43.4,22815
2023-04-03,44.85,49.9,43.1,47.05,27119
2023-04-05,48.0,48.75,47.05,47.8,47025
2023-04-06,48.1,50.85,47.85,48.55,35746
2023-04-10,49.7,58.25,49.7,58.25,187328
2023-04-11,65.0,66.15,59.25,60.9,188586
2023-04-12,60.9,61.25,57.0,57.6,25210
2023-04-13,57.65,57.85,53.15,54.15,23126
2023-04-17,54.05,56.7,54.0,56.5,13129
2023-04-18,57.8,58.45,55.45,56.9,9315
2023-04-19,57.9,57.9,54.4,55.4,5523
2023-04-20,56.9,56.9,52.0,53.4,10553
2023-04-21,53.45,54.3,50.55,51.45,6925
2023-04-24,53.9,53.9,51.0,51.4,7488
2023-04-25,52.85,53.9,51.45,53.05,7407
2023-04-26,55.05,55.05,51.05,53.45,38616
2023-04-27,54.5,56.9,52.65,56.15,38734
2023-04-28,56.8,59.9,56.75,58.25,29160
2023-05-02,58.25,60.4,57.3,59.75,16469
2023-05-03,59.75,59.75,56.4,57.0,11269
2023-05-04,58.0,58.0,53.75,54.55,13487
2023-05-05,55.65,56.35,52.3,53.8,33861
2023-05-08,54.15,58.9,54.15,57.05,21148
2023-05-09,60.0,60.9,57.25,59.7,38472
2023-05-10,59.0,61.0,57.5,57.85,16239
2023-05-11,57.7,59.9,56.1,57.55,8087
2023-05-12,57.55,59.7,56.6,57.05,13078
2023-05-15,57.0,60.9,56.2,60.25,12958
2023-05-16,61.5,71.9,61.2,63.55,117343
2023-05-17,66.0,66.0,61.0,62.65,27760
2023-05-18,62.5,63.75,60.5,61.3,9477
2023-05-19,63.4,66.65,60.0,60.3,10724
2023-05-22,63.0,63.0,57.05,57.65,14405
2023-05-23,60.0,60.0,55.35,56.55,15965
2023-05-24,58.0,59.45,57.0,58.15,4801
2023-05-25,60.0,60.0,57.9,59.15,4867
2023-05-26,59.1,59.15,56.25,57.3,11025
2023-05-29,58.5,58.6,56.05,56.85,8270
2023-05-30,58.95,59.9,55.15,55.95,70286
2023-05-31,56.05,57.6,55.35,57.45,8625
2023-06-01,58.9,58.9,57.0,57.65,4107
2023-06-02,58.55,58.9,56.25,57.25,3206
2023-06-05,58.9,58.9,54.95,56.05,9898
2023-06-06,56.9,58.2,56.3,57.4,5386
2023-06-07,58.15,58.2,56.55,57.0,2657
2023-06-08,56.35,58.4,56.3,56.4,6725
2023-06-09,58.2,58.8,54.65,55.4,14566
2023-06-12,56.95,57.3,54.6,54.95,18728
2023-06-13,56.05,56.05,54.3,54.55,16130
2023-06-14,54.95,55.35,54.3,54.7,5127
2023-06-15,54.75,55.75,54.2,54.95,6245
2023-06-16,55.7,55.7,53.25,53.9,10088
2023-06-19,54.3,55.6,52.5,53.4,10887
2023-06-20,53.9,54.75,52.8,53.2,12242
2023-06-21,53.7,54.05,52.0,52.45,15464
2023-06-22,52.5,53.65,50.7,51.2,9231
2023-06-23,53.05,61.4,52.1,58.55,361416
2023-06-26,58.3,58.9,54.55,55.55,49303
2023-06-27,55.9,56.55,54.6,55.35,23266
2023-06-28,57.45,57.45,52.65,53.75,20925
2023-06-30,55.0,56.0,52.2,55.0,146530
2023-07-03,53.6,55.5,53.6,54.9,16292
2023-07-04,54.7,57.0,53.25,55.7,16190
2023-07-05,55.5,57.5,53.75,55.25,34151
2023-07-06,54.7,56.55,53.2,54.2,35866
2023-07-07,54.25,55.6,53.5,54.1,9904
2023-07-10,55.5,55.95,53.0,54.1,13462
2023-07-11,53.55,54.95,53.05,53.35,9491
2023-07-12,53.55,54.9,51.85,53.75,11940
2023-07-13,53.25,54.2,52.05,53.15,8813
2023-07-14,52.25,54.8,52.25,53.95,10672
2023-07-17,53.25,54.75,51.55,51.8,38540
2023-07-18,51.65,53.8,51.3,52.7,42746
2023-07-19,53.5,53.5,51.75,52.05,15083
2023-07-20,53.7,62.0,51.7,56.65,365822
2023-07-21,55.0,57.3,53.0,54.1,64139
2023-07-24,54.85,55.5,53.5,53.55,36356
2023-07-25,54.0,54.45,51.9,52.25,27035
2023-07-26,52.4,54.9,52.4,53.5,14863
2023-07-27,53.0,54.55,52.15,53.65,11476
2023-07-28,53.65,53.9,53.0,53.4,4135
2023-07-31,53.85,54.8,53.15,54.1,11830
2023-08-01,53.6,54.3,53.0,53.45,7006
2023-08-02,54.9,54.9,52.6,53.8,11841
2023-08-03,54.45,55.0,52.75,54.2,13086
2023-08-04,55.2,55.45,53.7,55.2,7980
2023-08-07,55.15,56.0,54.05,55.2,29068
2023-08-08,55.45,55.45,54.4,54.65,6602
2023-08-09,53.8,55.35,52.8,54.9,17025
2023-08-10,55.0,55.05,53.1,53.4,12801
2023-08-11,53.9,58.6,52.65,53.9,127978
2023-08-14,53.9,54.5,52.95,53.3,20807
2023-08-16,53.05,53.5,52.45,52.65,17543
2023-08-17,53.3,53.9,51.7,53.1,26608
2023-08-18,53.85,54.3,52.8,53.05,7095
2023-08-21,54.3,54.4,52.6,52.85,7017
2023-08-22,53.9,53.9,52.1,52.3,16434
2023-08-23,52.65,58.0,52.35,52.9,61905
2023-08-24,54.0,55.9,52.8,55.25,71934
2023-08-25,55.0,56.5,55.0,55.4,40986
2023-08-28,55.9,56.1,53.6,53.95,26867
2023-08-29,54.05,54.75,53.55,54.4,23174
2023-08-30,54.85,62.0,54.05,60.9,294645
2023-08-31,68.95,72.0,63.0,64.45,1482709
2023-09-01,64.5,67.5,64.5,65.6,102126
2023-09-04,65.6,68.4,65.25,65.55,111530
2023-09-05,67.5,67.5,64.35,64.65,37912
2023-09-06,64.65,66.0,64.55,64.75,30759
2023-09-07,66.95,66.95,60.2,61.2,148777
2023-09-08,61.5,64.0,61.5,61.95,48095
