date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-07-10,100.33,120.0,100.33,100.08,120.0,111.78,120.0,100.33,95,10218.35
2024-07-11,104.7,104.7,100.0,111.78,100.43,100.42,120.0,100.0,26339,2644512.41
2024-07-12,101.0,101.0,100.23,100.42,100.23,100.46,120.0,100.0,4073,409320.63
2024-07-15,100.44,100.44,100.0,100.46,100.43,100.13,120.0,100.0,1030,103207.95
2024-07-16,100.58,100.58,100.05,100.13,100.2,100.26,120.0,100.0,2940,294253.62
2024-07-18,100.56,100.57,100.28,100.26,100.53,100.53,120.0,100.0,95,9545.92
2024-07-19,100.53,100.53,100.28,100.53,100.28,100.45,120.0,100.0,212,21292.36
2024-07-22,100.76,100.76,100.3,100.45,100.3,100.3,120.0,100.0,1866,187222.32
2024-07-23,100.3,101.25,99.66,100.3,101.0,100.99,120.0,99.66,333,33602.02
2024-07-24,100.9,100.9,100.36,100.99,100.45,100.67,120.0,99.66,20211,2036210.71
2024-07-25,100.46,100.84,100.46,100.67,100.55,100.55,120.0,99.66,149,14978.44
2024-07-26,100.66,101.16,100.65,100.55,100.79,100.8,120.0,99.66,345,34774.83
2024-07-29,100.8,101.25,100.7,100.8,101.25,101.05,120.0,99.66,21214,2145405.88
2024-07-30,101.05,101.17,100.84,101.05,101.15,101.15,120.0,99.66,11331,1146336.73
2024-07-31,101.18,101.18,100.77,101.15,101.08,101.08,120.0,99.66,389,39266.26
2024-08-01,101.34,101.34,100.9,101.08,101.29,101.29,120.0,99.66,256,25917.05
2024-08-02,101.29,101.4,100.85,101.29,100.9,100.9,120.0,99.66,2826,285629.48
2024-08-05,101.34,101.88,100.9,100.9,101.13,101.19,120.0,99.66,449,45474.53
2024-08-06,101.19,101.5,101.12,101.19,101.15,101.15,120.0,99.66,1227,124079.69
2024-08-07,101.15,101.15,101.15,101.15,101.15,101.15,120.0,99.66,29,2933.35
2024-08-08,101.23,101.6,101.2,101.15,101.2,101.2,120.0,99.66,134,13565.04
2024-08-09,101.64,101.64,101.21,101.2,101.6,101.56,120.0,99.66,405,41136.96
2024-08-12,101.54,101.6,101.25,101.56,101.6,101.26,120.0,99.66,67815,6888606.43
2024-08-13,101.25,101.64,101.21,101.26,101.21,101.21,120.0,99.66,403,40805.87
2024-08-14,101.85,101.85,101.4,101.21,101.85,101.85,120.0,99.66,122,12422.1
2024-08-16,101.85,101.85,101.38,101.85,101.85,101.85,120.0,99.66,38,3862.31
2024-08-19,101.85,101.85,101.51,101.85,101.55,101.55,120.0,99.66,265,26928.67
2024-08-20,101.56,101.99,101.56,101.55,101.62,101.62,120.0,99.66,708,71906.29
2024-08-21,101.65,102.1,101.65,101.62,102.1,102.1,120.0,99.66,1468,149302.59
2024-08-22,102.0,102.07,101.72,102.1,102.07,102.07,120.0,99.66,10725,1094273.91
2024-08-23,102.24,102.25,101.71,102.07,102.24,102.24,120.0,99.66,127,12976.92
2024-08-26,102.15,102.2,101.8,102.24,101.8,101.8,120.0,99.66,374,38158.6
2024-08-27,101.8,102.15,101.8,101.8,101.8,101.8,120.0,99.66,59,6024.75
2024-08-28,101.8,102.17,101.78,101.8,102.16,102.16,120.0,99.66,555,56682.17
2024-08-29,102.14,102.14,102.14,102.16,102.14,102.14,120.0,99.66,5,510.7
2024-08-30,102.14,102.14,102.14,102.14,102.14,102.14,120.0,99.66,1,102.14
2024-09-02,102.09,102.1,101.76,102.14,101.76,101.8,120.0,99.66,360,36685.42
2024-09-03,102.19,102.19,101.74,101.8,102.15,101.74,120.0,99.66,3224,328262.28
2024-09-04,101.83,102.34,101.82,101.74,101.92,102.2,120.0,99.66,213,21750.98
2024-09-05,102.21,102.41,101.98,102.2,101.98,101.98,120.0,99.66,115,11769.78
2024-09-06,102.0,102.59,102.0,101.98,102.43,102.43,120.0,99.66,162,16547.62
2024-09-09,102.42,102.42,101.96,102.43,102.42,102.42,120.0,99.66,523,53501.85
2024-09-10,102.4,102.42,102.05,102.42,102.06,102.06,120.0,99.66,233,23817.4
2024-09-11,102.4,102.4,102.21,102.06,102.21,102.21,120.0,99.66,2,204.61
2024-09-12,102.27,102.68,102.27,102.21,102.67,102.67,120.0,99.66,1508,154657.89
2024-09-13,102.67,103.09,102.55,102.67,103.09,103.09,120.0,99.66,431,44234.6
2024-09-16,102.95,103.0,102.6,103.09,102.99,102.97,120.0,99.66,3011,309979.04
2024-09-17,102.74,102.98,102.74,102.97,102.98,102.98,120.0,99.66,72,7398.36
2024-09-18,102.64,102.93,101.51,102.98,102.9,102.9,120.0,99.66,18,1841.2
2024-09-19,102.93,103.35,102.66,102.9,103.29,103.29,120.0,99.66,25362,2618037.79
2024-09-20,103.11,103.11,102.82,103.29,102.82,102.82,120.0,99.66,161,16595.66
2024-09-23,103.24,103.24,102.77,102.82,103.24,103.23,120.0,99.66,937,96517.12
2024-09-24,102.86,103.44,102.86,103.23,103.44,103.11,120.0,99.66,3091,319294.79
2024-09-25,103.11,103.39,103.01,103.11,103.39,103.39,120.0,99.66,308,31786.0
2024-09-26,103.39,103.72,103.0,103.39,103.72,103.6,120.0,99.66,4045,418274.12
2024-09-27,103.59,103.59,103.26,103.6,103.52,103.52,120.0,99.66,705,72876.07
2024-09-30,103.52,103.52,103.01,103.52,103.48,103.48,120.0,99.66,55,5691.35
2024-10-01,103.11,103.47,103.11,103.48,103.47,103.47,120.0,99.66,593,61156.05
2024-10-03,103.47,103.89,103.27,103.47,103.79,103.79,120.0,99.66,404,41902.78
2024-10-04,103.64,103.64,103.01,103.79,103.44,103.44,120.0,99.66,96,9928.88
2024-10-07,103.0,103.39,102.65,103.44,102.65,102.66,120.0,99.66,370,38028.45
2024-10-09,102.87,103.49,102.87,102.66,103.15,103.15,120.0,99.66,1070,110370.28
2024-10-10,103.16,103.7,103.15,103.15,103.15,103.15,120.0,99.66,108,11143.46
2024-10-11,103.08,103.69,103.08,103.15,103.64,103.64,120.0,99.66,125,12887.02
2024-10-14,103.59,103.6,103.59,103.64,103.6,103.6,120.0,99.66,13,1346.79
2024-10-15,103.6,103.6,103.16,103.6,103.6,103.51,120.0,99.66,6,621.15
2024-10-16,103.51,103.8,103.31,103.51,103.79,103.55,120.0,99.66,311,32177.25
2024-10-17,103.55,103.55,103.21,103.55,103.54,103.54,120.0,99.66,97,10040.09
2024-10-18,103.59,103.95,103.59,103.54,103.95,103.86,120.0,99.66,6,622.62
2024-10-21,103.7,103.7,103.16,103.86,103.49,103.49,120.0,99.66,176,18208.06
2024-10-22,103.44,103.44,102.95,103.49,103.39,103.04,120.0,99.66,333,34338.82
2024-10-23,103.06,103.45,103.06,103.04,103.44,103.44,120.0,99.66,74,7648.25
2024-10-24,103.11,103.42,103.11,103.44,103.42,103.42,120.0,99.66,295,30445.35
2024-10-25,103.06,103.53,103.06,103.42,103.53,103.52,120.0,99.66,168,17342.98
2024-10-28,103.44,103.49,102.85,103.52,102.85,102.85,120.0,99.66,242,24969.05
2024-10-29,103.44,103.44,102.9,102.85,103.36,102.97,120.0,99.66,224,23066.67
2024-10-30,103.48,103.48,103.05,102.97,103.06,103.06,120.0,99.66,95,9801.93
2024-10-31,103.1,103.7,103.1,103.06,103.16,103.16,120.0,99.66,310,32019.7
2024-11-04,103.16,103.7,103.11,103.16,103.39,103.39,120.0,99.66,376,38874.97
2024-11-05,103.39,103.39,103.39,103.39,103.39,103.39,120.0,99.66,1,103.39
2024-11-06,103.39,103.75,103.25,103.39,103.25,103.25,120.0,99.66,123,12747.85
2024-11-07,103.7,103.7,103.21,103.25,103.61,103.6,120.0,99.66,82,8490.82
2024-11-08,103.6,103.6,103.6,103.6,103.6,103.6,120.0,99.66,10,1036.0
2024-11-11,103.6,103.6,103.21,103.6,103.6,103.6,120.0,99.66,64,6618.39
2024-11-12,103.21,103.74,103.21,103.6,103.7,103.7,120.0,99.66,88,9121.95
2024-11-13,103.65,103.65,103.15,103.7,103.65,103.65,120.0,99.66,143,14761.95
2024-11-14,103.85,103.85,103.26,103.65,103.8,103.79,120.0,99.66,672,69765.3
2024-11-18,103.6,103.65,103.11,103.79,103.65,103.65,120.0,99.66,4205,435593.05
2024-11-19,103.74,103.79,103.16,103.65,103.79,103.79,120.0,99.66,426,44145.3
2024-11-21,103.76,103.77,103.2,103.79,103.2,103.2,120.0,99.66,8086,836755.4
2024-11-22,103.21,103.7,103.07,103.2,103.07,103.14,120.0,99.66,649,67145.9
2024-11-25,103.15,103.7,103.11,103.14,103.11,103.11,120.0,99.66,59,6098.6
2024-11-26,103.36,103.74,103.36,103.11,103.74,103.74,120.0,99.66,23,2385.64
2024-11-27,103.74,103.74,103.26,103.74,103.74,103.74,120.0,99.66,586,60640.85
2024-11-28,103.74,103.83,103.46,103.74,103.47,103.47,120.0,99.66,1261,130522.51
2024-11-29,103.39,103.84,103.39,103.47,103.83,103.83,120.0,99.66,256,26488.12
2024-12-02,103.79,104.42,103.68,103.83,103.81,103.84,120.0,99.66,6195,643192.69
2024-12-03,104.07,104.73,104.03,103.84,104.73,104.72,120.0,99.66,1169,121981.94
2024-12-04,104.01,104.61,104.01,104.72,104.57,104.57,120.0,99.66,1145,119247.52
2024-12-05,104.21,104.66,104.2,104.57,104.2,104.2,120.0,99.66,93,9714.31
2024-12-06,105.49,105.95,103.51,104.2,104.43,104.43,120.0,99.66,591,61277.68
2024-12-09,104.43,104.43,104.01,104.43,104.01,104.01,120.0,99.66,203,21128.66
2024-12-10,104.01,104.63,104.01,104.01,104.56,104.56,120.0,99.66,224,23418.0
2024-12-11,104.65,104.65,104.19,104.56,104.54,104.54,120.0,99.66,570,59450.57
2024-12-12,104.54,104.57,104.13,104.54,104.53,104.53,120.0,99.66,323,33768.32
2024-12-13,104.51,104.51,104.5,104.53,104.5,104.5,120.0,99.66,40,4180.34
2024-12-16,104.47,104.48,104.19,104.5,104.19,104.19,120.0,99.66,51,5328.1
2024-12-17,104.2,104.2,104.19,104.19,104.19,104.19,120.0,99.66,119,12399.61
2024-12-18,104.19,104.74,104.14,104.19,104.15,104.15,120.0,99.66,6,626.7
2024-12-19,104.15,104.88,102.76,104.15,103.8,103.8,120.0,99.66,211,21998.23
2024-12-20,103.96,104.51,103.96,103.8,104.47,104.47,120.0,99.66,1050,109682.58
2024-12-23,104.42,104.5,103.9,104.47,104.46,104.46,120.0,99.66,641,66665.71
2024-12-24,104.05,104.39,103.98,104.46,103.99,103.99,120.0,99.66,1961,203972.38
2024-12-26,103.99,104.44,103.91,103.99,103.91,103.91,120.0,99.66,321,33460.24
2024-12-27,103.9,104.49,103.76,103.91,104.44,104.44,120.0,99.66,649,67636.37
2024-12-30,103.86,104.35,103.86,104.44,103.94,103.94,120.0,99.66,86,8958.73
2024-12-31,104.48,104.49,104.12,103.94,104.12,104.3,120.0,99.66,4,417.21
2025-01-01,104.31,104.65,104.06,104.3,104.06,104.07,120.0,99.66,4215,441003.02
2025-01-02,104.27,104.52,104.14,104.07,104.14,104.14,120.0,99.66,534,55683.0
2025-01-03,104.15,104.71,104.15,104.14,104.71,104.71,120.0,99.66,18,1882.57
2025-01-06,104.69,104.69,104.66,104.71,104.66,104.66,120.0,99.66,5,523.42
2025-01-07,104.41,105.02,104.41,104.66,105.02,105.02,120.0,99.66,415,43338.08
2025-01-08,104.44,105.0,104.4,105.02,104.4,104.41,120.0,99.66,162,16935.82
2025-01-09,104.41,104.41,104.25,104.41,104.25,104.25,120.0,99.66,1165,121471.4
2025-01-10,104.72,104.72,104.41,104.25,104.66,104.66,120.0,99.66,81,8471.49
2025-01-13,104.66,104.83,103.96,104.66,104.83,104.83,120.0,99.66,1270,133114.4
2025-01-14,104.38,104.4,103.71,104.83,104.4,104.4,120.0,99.66,2438,254429.76
2025-01-15,104.48,104.65,103.97,104.4,104.65,104.6,120.0,99.66,912,95147.45
2025-01-16,104.03,104.89,104.03,104.6,104.89,104.89,120.0,99.66,58,6054.15
2025-01-17,104.45,104.48,104.45,104.89,104.48,104.48,120.0,99.66,11,1149.25
2025-01-20,104.48,104.95,104.3,104.48,104.95,104.95,120.0,99.66,5311,557170.5
2025-01-21,104.95,104.95,104.95,104.95,104.95,104.95,120.0,99.66,10,1049.5
2025-01-22,105.0,105.4,104.29,104.95,105.4,105.34,120.0,99.66,5700,595157.5
2025-01-23,104.72,105.45,104.72,105.34,105.45,105.45,120.0,99.66,117,12255.94
2025-01-24,105.4,105.4,104.8,105.45,105.4,105.4,120.0,99.66,3662,383802.21
2025-01-27,105.4,106.0,105.01,105.4,105.77,105.9,120.0,99.66,5876,621366.32
2025-01-28,105.1,106.0,105.0,105.9,105.0,105.0,120.0,99.66,1382,145945.74
2025-01-29,105.05,105.99,105.0,105.0,105.0,105.0,120.0,99.66,168,17652.36
2025-01-30,105.01,105.75,104.98,105.0,104.98,104.98,120.0,99.66,542,57140.76
2025-01-31,105.02,105.83,105.0,104.98,105.0,105.0,120.0,99.66,512,53898.29
2025-02-03,104.27,106.42,104.26,105.0,104.33,105.99,120.0,99.66,1069,112736.41
2025-02-04,105.77,105.77,105.1,105.99,105.11,105.29,120.0,99.66,25,2630.94
2025-02-05,105.69,105.81,105.16,105.29,105.81,105.8,120.0,99.66,1994,210885.34
2025-02-06,105.8,105.8,105.28,105.8,105.28,105.51,120.0,99.66,140,14759.66
2025-02-07,105.51,105.6,105.0,105.51,105.6,105.6,120.0,99.66,23,2426.6
2025-02-10,105.06,105.56,105.05,105.6,105.05,105.05,120.0,99.66,98,10296.38
