date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2021-09-27,85.55,94.1,85.55,85.55,94.1,94.1,94.1,85.55,2911,273168.9
2021-09-28,103.0,103.5,103.0,94.1,103.5,103.5,103.5,85.55,2107,217759.5
2021-09-29,113.85,113.85,113.85,103.5,113.85,113.85,113.85,85.55,2604,296465.4
2021-09-30,119.5,119.5,119.5,113.85,119.5,119.5,119.5,85.55,2708,323606.0
2021-10-01,125.45,125.45,125.45,119.5,125.45,125.45,125.45,85.55,3825,479846.25
2021-10-04,131.7,131.7,131.7,125.45,131.7,131.7,131.7,85.55,1063,139997.1
2021-10-05,138.25,138.25,138.25,131.7,138.25,138.25,138.25,85.55,1947,269172.75
2021-10-06,145.15,145.15,145.15,138.25,145.15,145.15,145.15,85.55,971,140940.65
2021-10-07,152.4,152.4,152.4,145.15,152.4,152.4,152.4,85.55,2025,308610.0
2021-10-08,160.0,160.0,144.8,152.4,144.8,144.8,160.0,85.55,13332,2021729.2
2021-10-11,137.6,137.6,137.6,144.8,137.6,137.6,160.0,85.55,2107,289923.2
2021-10-12,130.75,130.75,130.75,137.6,130.75,130.75,160.0,85.55,2036,266207.0
2021-10-13,124.3,124.3,124.25,130.75,124.25,124.25,160.0,85.55,1006,124996.0
2021-10-14,118.05,130.45,118.05,124.25,130.45,130.45,160.0,85.55,12476,1551655.1
2021-10-18,136.95,136.95,124.0,130.45,134.5,131.2,160.0,85.55,11926,1569691.6
2021-10-19,136.8,137.0,124.65,131.2,124.65,124.85,160.0,85.55,17408,2224490.9
2021-10-20,124.85,129.7,119.6,124.85,120.1,121.4,160.0,85.55,2701,330852.25
2021-10-21,126.5,126.5,115.75,121.4,124.5,119.35,160.0,85.55,2851,345433.8
2021-10-22,124.0,124.0,115.6,119.35,119.95,116.8,160.0,85.55,1550,184052.85
2021-10-25,116.8,119.8,111.15,116.8,111.2,111.85,160.0,85.55,3122,359007.35
2021-10-26,111.25,115.3,106.3,111.85,109.0,109.0,160.0,85.55,2876,308555.5
2021-10-27,109.0,113.7,105.65,109.0,113.7,112.7,160.0,85.55,2590,286036.85
2021-10-28,111.0,115.8,107.8,112.7,111.9,109.55,160.0,85.55,2066,225907.05
2021-10-29,104.5,113.1,104.5,109.55,104.55,106.85,160.0,85.55,1293,140664.45
2021-11-01,109.0,111.7,106.45,106.85,111.7,111.35,160.0,85.55,2803,306758.35
2021-11-02,111.35,116.0,106.5,111.35,109.5,108.4,160.0,85.55,1121,122969.45
2021-11-03,108.0,109.95,105.05,108.4,107.0,107.85,160.0,85.55,1123,121974.45
2021-11-04,111.9,111.9,107.0,107.85,109.0,108.2,160.0,85.55,792,85517.95
2021-11-08,108.2,110.2,105.4,108.2,107.5,107.3,160.0,85.55,1347,144798.0
2021-11-09,107.3,111.85,105.05,107.3,106.1,106.75,160.0,85.55,1978,212229.05
2021-11-10,104.75,111.8,101.75,106.75,107.8,109.85,160.0,85.55,7015,757896.1
2021-11-11,109.9,113.7,104.75,109.85,110.35,109.2,160.0,85.55,3732,401077.0
2021-11-12,106.05,109.95,106.0,109.2,108.5,108.3,160.0,85.55,3103,332300.65
