date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-05-23,11.36,11.36,10.5,10.65,11.1,10.92,11.36,10.5,501765,5408760.94
2024-05-24,11.19,11.3,10.7,10.92,11.09,11.01,11.36,10.5,499290,5448714.5
2024-05-27,11.26,11.34,10.78,11.01,10.97,10.9,11.36,10.5,2273893,24834807.95
2024-05-28,10.92,11.0,10.62,10.9,10.8,10.74,11.36,10.5,1066544,11479236.55
2024-05-29,10.9,10.9,10.6,10.74,10.72,10.7,11.36,10.5,222123,2376348.97
2024-05-30,10.84,10.84,10.47,10.7,10.55,10.51,11.36,10.47,646751,6831239.33
2024-05-31,10.52,10.84,10.26,10.51,10.72,10.65,11.36,10.26,706646,7378627.6
2024-06-03,11.0,11.45,10.9,10.65,11.45,11.36,11.45,10.26,1692506,19000396.5
2024-06-04,11.6,11.6,9.9,11.36,10.0,9.97,11.6,9.9,2663264,27707343.34
2024-06-05,10.38,10.5,9.26,9.97,10.0,9.89,11.6,9.26,1528793,14872534.48
2024-06-06,9.91,10.45,9.91,9.89,10.18,10.15,11.6,9.26,1112091,11436351.44
2024-06-07,10.35,10.41,10.13,10.15,10.33,10.31,11.6,9.26,662560,6778926.74
2024-06-10,10.32,10.84,10.3,10.31,10.4,10.38,11.6,9.26,409038,4253641.09
2024-06-11,10.49,10.55,10.4,10.38,10.53,10.49,11.6,9.26,427688,4481352.53
2024-06-12,10.69,10.7,10.5,10.49,10.64,10.64,11.6,9.26,528041,5608245.89
2024-06-13,10.8,10.8,10.4,10.64,10.68,10.69,11.6,9.26,541890,5768909.47
2024-06-14,10.82,10.9,10.6,10.69,10.85,10.83,11.6,9.26,522018,5626622.95
2024-06-18,11.0,11.0,10.66,10.83,10.92,10.87,11.6,9.26,752520,8184103.22
2024-06-19,10.87,11.04,10.7,10.87,10.8,10.8,11.6,9.26,703513,7592705.02
2024-06-20,10.9,10.9,10.58,10.8,10.73,10.66,11.6,9.26,6005122,64470199.13
2024-06-21,10.84,10.84,10.49,10.66,10.7,10.62,11.6,9.26,776375,8284039.05
2024-06-24,10.6,10.77,10.5,10.62,10.65,10.61,11.6,9.26,914328,9681306.86
2024-06-25,10.61,10.8,10.55,10.61,10.61,10.58,11.6,9.26,318539,3383265.09
2024-06-26,10.73,10.73,10.5,10.58,10.6,10.57,11.6,9.26,157073,1658720.17
2024-06-27,10.6,10.61,10.5,10.57,10.61,10.58,11.6,9.26,291931,3080152.93
2024-06-28,10.58,10.75,10.51,10.58,10.71,10.68,11.6,9.26,696533,7456752.14
2024-07-01,10.68,10.75,10.52,10.68,10.69,10.67,11.6,9.26,229761,2454499.32
2024-07-02,10.64,10.78,10.52,10.67,10.73,10.72,11.6,9.26,819637,8773250.18
2024-07-03,10.8,10.85,10.58,10.72,10.83,10.77,11.6,9.26,511546,5516879.44
2024-07-04,10.87,10.97,10.84,10.77,10.94,10.91,11.6,9.26,641683,7006842.4
2024-07-05,10.91,11.1,10.88,10.91,11.05,11.07,11.6,9.26,772880,8524678.72
2024-07-08,11.22,11.23,11.07,11.07,11.19,11.19,11.6,9.26,652193,7268811.13
2024-07-09,11.3,11.31,11.0,11.19,11.23,11.23,11.6,9.26,437061,4909960.0
