date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-07-25,332.5,370.5,308.4,190.0,325.7,330.15,370.5,308.4,11231528,3828255205.9
2007-07-26,327.0,339.0,320.1,330.15,325.0,323.75,370.5,308.4,3479317,1144180308.95
2007-07-27,319.0,319.0,292.0,323.75,301.0,302.0,370.5,292.0,1701642,518964438.25
2007-07-30,302.05,311.0,288.3,302.0,298.4,297.85,370.5,288.3,1643286,494997909.15
2007-07-31,300.3,331.8,300.3,297.85,319.0,320.75,370.5,288.3,3319140,1057589846.95
2007-08-01,314.8,314.8,287.0,320.75,287.3,291.4,370.5,287.0,996886,302367854.15
2007-08-02,292.0,303.3,286.0,291.4,289.0,288.95,370.5,286.0,847867,251771918.0
2007-08-03,292.65,300.0,288.55,288.95,293.0,293.3,370.5,286.0,348192,102384235.2
2007-08-06,285.65,314.0,276.0,293.3,310.0,307.05,370.5,276.0,564658,167047675.65
2007-08-07,311.0,332.5,310.25,307.05,313.9,318.45,370.5,276.0,1490805,481899497.3
2007-08-08,325.0,331.9,317.0,318.45,319.0,319.7,370.5,276.0,934149,304474380.95
2007-08-09,325.0,329.4,303.0,319.7,303.2,304.75,370.5,276.0,554743,176667915.15
2007-08-10,300.0,301.7,281.1,304.75,300.0,298.4,370.5,276.0,283159,83277634.15
2007-08-13,305.0,314.0,301.05,298.4,308.55,307.1,370.5,276.0,361004,111287600.35
2007-08-14,309.0,322.0,305.2,307.1,316.05,315.6,370.5,276.0,514856,162609479.65
2007-08-16,306.0,306.0,285.1,315.6,296.0,295.0,370.5,276.0,149835,44836717.6
2007-08-17,294.6,303.0,282.0,295.0,287.0,288.7,370.5,276.0,134509,39155847.45
2007-08-20,301.0,311.0,298.0,288.7,299.0,299.9,370.5,276.0,200557,60969962.05
2007-08-21,305.0,310.0,274.0,299.9,281.9,279.05,370.5,274.0,140494,41038938.35
2007-08-22,285.25,290.0,272.1,279.05,278.5,278.4,370.5,272.1,102906,28787201.8
2007-08-23,288.5,290.95,278.55,278.4,284.8,281.0,370.5,272.1,89486,25520117.4
2007-08-24,285.0,286.9,277.75,281.0,280.0,280.15,370.5,272.1,49189,13805566.85
2007-08-27,289.75,295.0,284.0,280.15,295.0,292.05,370.5,272.1,60869,17590820.15
2007-08-28,292.5,299.3,290.0,292.05,293.0,292.35,370.5,272.1,45838,13471608.5
2007-08-29,281.0,301.0,281.0,292.35,296.5,295.9,370.5,272.1,105075,30932231.45
2007-08-30,300.0,306.6,297.0,295.9,297.0,299.4,370.5,272.1,68057,20546461.0
2007-08-31,303.9,305.0,295.0,299.4,295.0,295.8,370.5,272.1,58515,17502467.75
2007-09-03,300.0,312.5,296.2,295.8,307.0,306.75,370.5,272.1,109461,33526658.7
2007-09-04,310.7,323.4,307.0,306.75,322.0,320.1,370.5,272.1,148087,46528834.45
2007-09-05,323.0,373.2,323.0,320.1,350.0,351.8,373.2,272.1,2146235,769056389.95
2007-09-06,351.95,358.0,333.1,351.8,347.0,339.8,373.2,272.1,685237,237125744.9
2007-09-07,339.8,350.9,337.1,339.8,338.0,340.05,373.2,272.1,245453,84538698.3
2007-09-10,333.0,339.85,331.9,340.05,333.55,333.9,373.2,272.1,109695,36813185.35
2007-09-11,337.65,345.0,330.15,333.9,332.1,332.4,373.2,272.1,160075,53793901.85
2007-09-12,338.0,358.5,335.35,332.4,352.25,350.7,373.2,272.1,466994,163605732.5
2007-09-13,353.0,375.0,352.55,350.7,363.2,361.7,375.0,272.1,545031,198752538.6
2007-09-14,366.0,380.0,351.2,361.7,363.0,359.25,380.0,272.1,775676,286810001.5
2007-09-17,360.05,370.0,327.0,359.25,368.0,364.35,380.0,272.1,295376,105867270.8
2007-09-18,362.7,372.0,356.1,364.35,357.5,357.75,380.0,272.1,146313,53073383.25
2007-09-19,364.5,368.5,355.0,357.75,357.35,356.75,380.0,272.1,153669,55452418.0
2007-09-20,358.3,359.4,350.0,356.75,356.1,356.0,380.0,272.1,75396,26774964.9
2007-09-21,350.1,364.9,348.0,356.0,356.75,358.4,380.0,272.1,101265,36115154.5
2007-09-24,360.0,364.8,348.1,358.4,348.3,350.3,380.0,272.1,41029,14501366.1
2007-09-25,352.4,366.5,343.5,350.3,362.65,363.75,380.0,272.1,111894,40026524.0
2007-09-26,363.0,365.0,354.5,363.75,362.5,360.6,380.0,272.1,63222,22777169.2
2007-09-27,367.0,370.0,358.05,360.6,363.5,363.05,380.0,272.1,56070,20299865.5
2007-09-28,365.0,383.9,360.4,363.05,377.1,377.65,383.9,272.1,256058,96103969.3
2007-10-01,380.45,420.0,376.0,377.65,401.05,400.35,420.0,272.1,452761,180638821.6
2007-10-03,405.0,415.0,385.4,400.35,404.5,403.35,420.0,272.1,168859,68377266.95
2007-10-04,391.0,400.65,380.9,403.35,397.0,395.9,420.0,272.1,43117,16836802.5
2007-10-05,406.0,406.95,380.5,395.9,382.0,384.4,420.0,272.1,26320,10315043.2
2007-10-08,388.5,388.85,361.3,384.4,385.0,382.9,420.0,272.1,56345,21052719.75
2007-10-09,372.0,397.0,372.0,382.9,388.75,388.95,420.0,272.1,29986,11490753.25
2007-10-10,393.1,402.0,390.0,388.95,394.0,394.1,420.0,272.1,42089,16622837.6
2007-10-11,399.8,401.0,372.0,394.1,400.0,398.8,420.0,272.1,19860,7796202.2
2007-10-12,400.0,418.8,390.05,398.8,412.0,409.25,420.0,272.1,35654,14351811.7
2007-10-15,414.9,451.0,414.8,409.25,435.0,431.45,451.0,272.1,86722,37905047.75
2007-10-16,403.4,450.0,403.4,431.45,420.0,419.55,451.0,272.1,71531,30493011.15
2007-10-17,360.0,418.0,350.05,419.55,415.2,410.0,451.0,272.1,34680,13932260.35
2007-10-18,422.6,430.0,375.0,410.0,393.0,389.9,451.0,272.1,12442,5069830.9
2007-10-19,363.1,396.0,363.1,389.9,390.0,390.1,451.0,272.1,22046,8493471.4
2007-10-22,355.0,417.0,355.0,390.1,392.0,392.7,451.0,272.1,7070,2800227.6
2007-10-23,404.0,416.0,396.0,392.7,414.0,409.7,451.0,272.1,61410,25056680.75
2007-10-24,413.0,427.0,400.1,409.7,418.0,422.95,451.0,272.1,68952,28712462.9
2007-10-25,420.0,430.0,415.0,422.95,430.0,428.1,451.0,272.1,28448,12060648.0
2007-10-26,431.15,444.0,426.25,428.1,437.0,435.1,451.0,272.1,44734,19284174.1
2007-10-29,438.0,440.0,415.15,435.1,418.25,421.2,451.0,272.1,6807,2919626.4
2007-10-30,426.8,430.0,395.5,421.2,425.0,425.75,451.0,272.1,10064,4234524.05
2007-10-31,429.8,439.8,412.5,425.75,436.0,435.65,451.0,272.1,13954,6026921.6
2007-11-01,430.35,435.0,410.5,435.65,417.45,416.45,451.0,272.1,9827,4150784.2
2007-11-02,393.0,427.65,393.0,416.45,415.0,416.45,451.0,272.1,5656,2350014.2
2007-11-05,410.3,430.0,401.05,416.45,425.0,422.95,451.0,272.1,14743,6205383.55
2007-11-06,420.0,449.0,420.0,422.95,442.1,441.25,451.0,272.1,18143,7971591.4
2007-11-07,440.0,450.0,432.0,441.25,438.0,438.1,451.0,272.1,16333,7193109.15
2007-11-08,445.0,445.0,425.0,438.1,440.0,438.55,451.0,272.1,9619,4196758.45
2007-11-09,439.0,444.0,426.65,438.55,444.0,437.3,451.0,272.1,2245,984877.3
2007-11-12,443.0,468.0,428.0,437.3,468.0,460.3,468.0,272.1,21782,9783904.85
2007-11-13,459.0,499.0,459.0,460.3,471.0,473.7,499.0,272.1,15566,7520637.25
2007-11-14,473.0,489.95,455.0,473.7,469.2,461.0,499.0,272.1,7174,3352979.9
2007-11-15,450.05,475.0,445.05,461.0,474.95,461.4,499.0,272.1,11627,5332025.0
2007-11-16,485.0,513.9,470.0,461.4,479.9,471.5,513.9,272.1,24463,11895440.4
2007-11-19,488.35,488.35,464.0,471.5,464.0,466.6,513.9,272.1,6866,3270817.85
2007-11-20,468.8,482.0,455.0,466.6,469.5,464.35,513.9,272.1,6723,3142069.55
2007-11-21,461.0,471.0,453.1,464.35,458.0,458.7,513.9,272.1,2996,1390695.2
2007-11-22,470.0,470.0,412.15,458.7,428.05,430.85,513.9,272.1,7865,3425773.7
2007-11-23,439.95,480.0,432.0,430.85,435.55,439.6,513.9,272.1,1918,848539.7
2007-11-26,442.0,470.8,435.0,439.6,467.1,464.95,513.9,272.1,6405,2929980.7
2007-11-27,461.0,461.0,450.0,464.95,452.8,455.3,513.9,272.1,11974,5471877.6
2007-11-28,452.0,463.0,450.0,455.3,455.0,457.55,513.9,272.1,11954,5480730.85
2007-11-29,454.0,470.0,442.1,457.55,452.15,452.35,513.9,272.1,4011,1829468.65
2007-11-30,452.0,475.0,452.0,452.35,460.0,462.85,513.9,272.1,7342,3470232.1
2007-12-03,455.0,475.0,450.0,462.85,473.7,471.35,513.9,272.1,5576,2614776.2
2007-12-04,463.4,472.75,462.0,471.35,462.0,462.4,513.9,272.1,784,363922.85
2007-12-05,452.65,470.0,452.65,462.4,456.1,458.35,513.9,272.1,2009,926560.8
2007-12-06,456.1,469.7,453.0,458.35,464.0,460.4,513.9,272.1,6607,3034163.65
2007-12-07,422.9,541.0,422.9,460.4,520.0,518.1,541.0,272.1,71214,37011003.3
2007-12-10,519.0,526.5,491.0,518.1,498.0,497.7,541.0,272.1,6965,3519171.9
2007-12-11,492.05,509.9,491.05,497.7,493.0,492.1,541.0,272.1,3326,1652262.75
2007-12-12,493.0,509.0,481.0,492.1,508.9,502.2,541.0,272.1,6296,3130945.1
2007-12-13,508.0,535.0,493.45,502.2,515.0,519.15,541.0,272.1,17345,8841796.8
2007-12-14,515.0,620.0,515.0,519.15,590.0,579.8,620.0,272.1,34226,19911769.5
2007-12-17,581.0,675.0,581.0,579.8,613.8,611.05,675.0,272.1,21868,13598410.95
2007-12-18,634.95,640.0,604.0,611.05,625.0,628.15,675.0,272.1,10364,6463915.8
2007-12-19,650.0,690.0,625.0,628.15,646.3,651.8,690.0,272.1,18161,12106060.55
2007-12-20,650.0,777.0,650.0,651.8,743.0,746.45,777.0,272.1,90417,67024643.6
2007-12-24,790.0,790.0,700.15,746.45,728.9,726.05,790.0,272.1,41667,31158091.85
2007-12-26,732.0,740.0,705.0,726.05,705.0,711.55,790.0,272.1,10555,7616474.35
2007-12-27,713.0,769.95,713.0,711.55,751.8,748.75,790.0,272.1,32758,24450461.9
2007-12-28,750.0,764.0,735.0,748.75,743.0,741.8,790.0,272.1,12914,9637012.25
2007-12-31,785.0,816.0,770.0,741.8,816.0,816.0,816.0,272.1,37493,30325061.45
2008-01-01,887.0,897.6,850.0,816.0,897.6,897.6,897.6,272.1,56448,49745250.05
2008-01-02,924.4,987.4,915.0,897.6,987.4,987.4,987.4,272.1,51638,49858970.75
2008-01-03,1024.5,1036.8,1024.5,987.4,1036.8,1036.8,1036.8,272.1,35440,36735400.0
2008-01-04,1088.65,1088.65,985.0,1036.8,1020.0,1023.15,1088.65,272.1,70774,73926234.65
2008-01-07,1020.0,1074.35,972.0,1023.15,1074.35,1074.35,1088.65,272.1,86467,92138523.05
2008-01-08,1128.1,1128.1,1020.65,1074.35,1070.0,1054.55,1128.1,272.1,55148,59062884.4
2008-01-09,1070.0,1070.0,1010.15,1054.55,1055.0,1052.5,1128.1,272.1,57958,60850397.65
2008-01-10,1055.0,1099.0,999.9,1052.5,1010.0,1010.05,1128.1,272.1,45931,46318135.95
2008-01-11,1010.1,1010.1,959.55,1010.05,959.55,959.55,1128.1,272.1,35607,34369498.0
2008-01-14,950.0,1007.0,911.6,959.55,960.0,967.75,1128.1,272.1,4578,4348026.7
2008-01-15,952.0,1016.15,921.0,967.75,1005.0,1005.05,1128.1,272.1,152623,153699829.05
2008-01-16,1019.9,1019.9,954.8,1005.05,991.1,955.25,1128.1,272.1,60752,58714388.7
2008-01-17,970.0,979.9,950.0,955.25,950.0,950.35,1128.1,272.1,40585,38949891.4
2008-01-18,943.0,972.9,902.9,950.35,902.9,902.9,1128.1,272.1,1230,1145917.85
2008-01-21,863.0,870.0,857.8,902.9,857.8,857.8,1128.1,272.1,11253,9683019.4
2008-01-22,814.95,815.95,814.95,857.8,814.95,814.95,1128.1,272.1,15456,12595892.2
2008-01-23,774.2,855.2,774.2,814.95,774.2,775.65,1128.1,272.1,29162,23325469.0
2008-01-24,737.0,800.0,736.9,775.65,736.9,740.95,1128.1,272.1,11282,8349289.6
2008-01-25,705.0,778.0,704.05,740.95,711.3,758.6,1128.1,272.1,28943,22379995.6
2008-01-28,750.0,796.55,750.0,758.6,796.55,796.55,1128.1,272.1,23588,18672913.95
2008-01-29,836.2,836.2,800.0,796.55,800.0,801.6,1128.1,272.1,2630,2154687.9
