date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,15.8,17.0,15.5,15.0,16.1,16.1,22.05,10.2,2300,37640.0
2000-01-04,17.15,18.75,16.05,16.1,18.75,18.0,22.05,10.2,3900,66685.0
2000-01-05,17.0,17.0,16.0,18.0,16.25,16.25,22.05,10.2,1200,19505.0
2000-01-06,16.0,16.0,14.05,16.25,14.05,14.05,22.05,10.2,1100,17165.0
2000-01-07,15.0,15.0,14.0,14.05,14.0,14.0,22.05,10.2,700,10100.0
2000-01-10,14.15,14.15,14.15,14.0,14.15,14.15,22.05,10.2,100,1415.0
2000-01-11,14.5,14.5,13.55,14.15,13.55,13.9,22.05,10.2,1100,15595.0
2000-01-12,13.75,13.75,13.55,13.9,13.55,13.55,22.05,10.2,300,4085.0
2000-01-13,14.5,14.5,14.5,13.55,14.5,14.5,22.05,10.2,200,2900.0
2000-01-17,13.15,14.2,13.0,14.5,13.5,13.5,22.05,10.2,2100,27760.0
2000-01-18,12.4,13.0,12.25,13.5,12.6,12.6,22.05,10.2,800,9995.0
2000-01-19,12.05,13.1,12.05,12.6,13.1,13.1,22.05,10.2,300,3825.0
2000-01-20,13.35,13.35,13.35,13.1,13.35,13.35,22.05,10.2,300,4005.0
2000-01-24,12.3,12.9,12.3,13.35,12.75,12.75,22.05,10.2,1100,13960.0
2000-01-25,12.2,12.5,12.2,12.75,12.5,12.5,22.05,10.2,1500,18600.0
2000-01-27,12.0,12.2,12.0,12.5,12.2,12.2,22.05,10.2,400,4840.0
2000-01-28,12.45,12.45,12.45,12.2,12.45,12.45,22.05,10.2,200,2490.0
2000-01-31,12.5,12.5,11.5,12.45,12.0,12.0,22.05,10.2,600,7150.0
2000-02-01,11.5,12.0,11.5,12.0,11.7,11.7,22.05,10.2,2300,26860.0
2000-02-02,12.25,12.25,12.15,11.7,12.15,12.15,22.05,10.2,1100,13465.0
2000-02-03,12.5,12.5,12.5,12.15,12.5,12.5,22.05,10.2,1000,12500.0
2000-02-04,12.0,12.0,12.0,12.5,12.0,12.0,22.05,10.2,100,1200.0
2000-02-07,11.5,11.85,11.05,12.0,11.8,11.8,22.05,10.2,1400,16110.0
2000-02-08,11.05,12.0,11.05,11.8,11.05,11.15,22.05,10.2,1700,19410.0
2000-02-10,11.1,11.1,10.0,11.15,11.0,11.0,22.05,10.2,3500,37830.0
2000-02-11,11.0,11.0,11.0,11.0,11.0,11.0,22.05,10.0,200,2200.0
2000-02-14,10.25,11.2,10.25,11.0,11.2,11.2,22.05,10.0,900,9515.0
2000-02-15,11.2,11.2,10.25,11.2,10.25,10.25,22.05,10.0,1700,17740.0
2000-02-16,10.3,11.4,10.3,10.25,11.4,11.4,22.05,10.0,600,6295.0
2000-02-17,11.8,11.9,11.2,11.4,11.2,11.2,22.05,10.0,600,6910.0
2000-02-18,11.1,11.15,11.0,11.2,11.15,11.15,22.05,10.0,800,8840.0
2000-02-21,11.7,11.7,11.7,11.15,11.7,11.7,22.05,10.0,400,4680.0
2000-02-22,11.0,11.0,10.5,11.7,10.6,10.6,22.05,10.0,900,9650.0
2000-02-23,10.6,10.65,10.5,10.6,10.55,10.55,22.05,10.0,1100,11645.0
2000-02-29,11.05,11.05,11.0,10.55,11.0,11.0,22.05,10.0,600,6620.0
2000-03-01,11.0,11.0,11.0,11.0,11.0,11.0,22.05,10.0,100,1100.0
2000-03-03,10.0,10.0,10.0,11.0,10.0,10.0,22.05,10.0,100,1000.0
2000-03-06,10.1,11.0,10.1,10.0,11.0,10.55,22.05,10.0,400,4220.0
2000-03-07,10.0,10.0,8.6,10.55,8.6,8.6,22.05,10.0,700,6625.0
2000-03-08,9.0,9.9,9.0,8.6,9.9,9.9,22.05,8.6,700,6480.0
2000-03-09,8.0,8.0,8.0,9.9,8.0,8.0,22.05,8.6,2000,16000.0
2000-03-10,8.0,8.15,7.8,8.0,8.0,8.0,22.05,8.0,3600,28805.0
2000-03-13,8.4,8.95,8.4,8.0,8.4,8.4,22.05,7.8,1800,15425.0
2000-03-14,8.15,8.5,8.15,8.4,8.5,8.5,22.05,7.8,200,1665.0
2000-03-15,7.6,8.5,7.5,8.5,7.7,7.7,22.05,7.8,10800,85350.0
2000-03-16,7.9,8.95,7.9,7.7,8.5,8.5,22.05,7.5,3400,28730.0
2000-03-21,8.0,8.0,8.0,8.5,8.0,8.0,22.05,7.5,200,1600.0
2000-03-22,9.0,9.0,9.0,8.0,9.0,9.0,22.05,7.5,2000,18000.0
2000-03-23,9.0,9.0,7.25,9.0,8.2,8.2,22.05,7.5,800,6340.0
2000-03-24,8.45,8.5,8.3,8.2,8.5,8.45,22.05,7.25,5900,50025.0
2000-03-27,9.0,9.0,9.0,8.45,9.0,9.0,22.05,7.25,800,7200.0
2000-03-28,7.55,8.0,7.5,9.0,8.0,8.0,22.05,7.25,300,2305.0
2000-03-29,8.5,8.5,8.5,8.0,8.5,8.5,22.05,7.25,1000,8500.0
2000-03-30,8.0,8.0,8.0,8.5,8.0,8.0,22.05,7.25,4000,32000.0
2000-03-31,8.5,8.65,8.5,8.0,8.65,8.65,22.05,7.25,1000,8575.0
2000-04-12,7.1,8.25,7.1,8.65,8.25,8.25,22.05,7.25,600,4825.0
2000-04-17,8.25,8.25,8.25,8.25,8.25,8.25,22.05,7.1,2100,17325.0
2000-04-18,8.0,8.45,8.0,8.25,8.45,8.45,22.05,7.1,300,2445.0
2000-04-19,8.0,8.0,7.1,8.45,7.1,7.55,22.05,7.1,5200,40080.0
2000-04-20,7.5,7.7,7.0,7.55,7.7,7.7,22.05,7.1,1500,11005.0
2000-04-25,7.05,7.1,7.0,7.7,7.1,7.1,22.05,7.0,1000,7025.0
2000-04-26,7.2,7.2,7.2,7.1,7.2,7.2,22.05,7.0,600,4320.0
2000-04-27,7.4,7.5,7.4,7.2,7.5,7.5,22.05,7.0,1000,7470.0
2000-04-28,6.5,7.05,6.5,7.5,7.0,7.0,22.05,7.0,1300,9005.0
2000-05-02,7.5,7.5,7.5,7.0,7.5,7.5,22.05,6.5,100,750.0
2000-05-09,5.7,10.0,5.7,7.5,7.5,7.5,22.05,6.5,500,3640.0
2000-05-10,7.0,7.0,7.0,7.5,7.0,7.0,22.05,5.7,1000,7000.0
2000-05-11,7.0,7.0,7.0,7.0,7.0,7.0,22.05,5.7,3800,26600.0
2000-05-16,7.0,7.0,7.0,7.0,7.0,7.0,22.05,5.7,500,3500.0
2000-05-18,6.5,6.5,6.4,7.0,6.4,6.4,22.05,5.7,300,1940.0
2000-05-19,6.0,6.5,5.5,6.4,6.5,6.5,22.05,5.7,600,3645.0
2000-05-22,6.5,6.5,6.5,6.5,6.5,6.5,22.05,5.5,100,650.0
2000-05-30,7.0,8.0,7.0,6.5,8.0,8.0,22.05,5.5,200,1500.0
2000-05-31,7.25,7.25,7.25,8.0,7.25,7.25,22.05,5.5,500,3625.0
2000-06-14,6.5,6.5,6.5,7.25,6.5,6.5,22.05,5.5,100,650.0
2000-06-15,7.7,7.7,7.7,6.5,7.7,7.7,22.05,5.5,100,770.0
2000-06-19,8.15,8.15,8.15,7.7,8.15,8.15,22.05,5.5,100,815.0
2000-06-20,8.2,8.2,8.2,8.15,8.2,8.2,22.05,5.5,100,820.0
2000-06-21,7.95,7.95,7.95,8.2,7.95,7.95,22.05,5.5,100,795.0
2000-06-26,8.0,8.0,8.0,7.95,8.0,8.0,22.05,5.5,400,3200.0
2000-06-27,6.05,7.5,6.0,8.0,7.5,7.5,22.05,5.5,1100,6760.0
2000-07-04,7.4,7.4,7.4,7.5,7.4,7.4,22.05,5.5,100,740.0
2000-07-05,7.4,7.4,7.4,7.4,7.4,7.4,22.05,5.5,500,3700.0
2000-07-06,7.4,7.4,7.4,7.4,7.4,7.4,22.05,5.5,200,1480.0
2000-07-12,8.0,8.0,8.0,7.4,8.0,8.0,22.05,5.5,200,1600.0
2000-07-14,6.0,6.0,6.0,8.0,6.0,6.0,22.05,5.5,11000,66000.0
2000-07-17,6.05,6.05,6.0,6.0,6.0,6.0,22.05,5.5,600,3605.0
2000-07-18,6.15,6.15,5.8,6.0,5.8,5.8,22.05,5.5,1500,8830.0
2000-07-21,4.85,5.5,4.85,5.8,5.5,5.5,22.05,5.5,600,3235.0
2000-07-25,5.05,5.05,5.05,5.5,5.05,5.05,22.05,4.85,500,2525.0
2000-07-26,5.5,5.95,5.5,5.05,5.55,5.55,22.05,4.85,1500,8720.0
2000-07-28,5.65,5.7,5.65,5.55,5.7,5.7,22.05,4.85,700,3965.0
2000-07-31,5.95,6.0,5.95,5.7,6.0,6.0,22.05,4.85,1000,5980.0
2000-08-01,6.0,6.35,6.0,6.0,6.35,6.35,22.05,4.85,800,4835.0
2000-08-03,6.65,6.65,6.65,6.35,6.65,6.65,22.05,4.85,100,665.0
2000-08-11,6.5,6.5,6.5,6.65,6.5,6.5,22.05,4.85,100,650.0
2000-08-16,6.5,7.4,6.5,6.5,7.15,7.15,22.05,4.85,2500,17450.0
2000-08-17,7.2,7.2,6.1,7.15,6.1,6.1,22.05,4.85,1900,12355.0
2000-08-18,6.4,6.4,6.4,6.1,6.4,6.4,22.05,4.85,700,4480.0
2000-08-21,5.7,6.9,5.7,6.4,5.7,5.75,22.05,4.85,1200,6995.0
2000-08-22,6.4,6.4,6.2,5.75,6.25,6.2,22.05,4.85,600,3745.0
2000-08-23,7.4,7.4,7.4,6.2,7.4,7.4,22.05,4.85,100,740.0
2000-08-24,6.5,6.5,6.5,7.4,6.5,6.5,22.05,4.85,100,650.0
2000-08-28,6.7,6.75,6.7,6.5,6.75,6.75,22.05,4.85,700,4700.0
2000-08-29,7.75,7.75,7.75,6.75,7.75,7.75,22.05,4.85,100,775.0
2000-09-05,7.55,7.55,7.55,7.75,7.55,7.55,20.0,4.85,500,3775.0
2000-09-11,7.0,7.0,7.0,7.55,7.0,7.0,20.0,4.85,200,1400.0
2000-09-12,7.3,7.3,7.3,7.0,7.3,7.3,20.0,4.85,100,730.0
2000-09-26,7.7,7.7,6.1,7.3,6.1,6.1,20.0,4.85,500,3375.0
2000-09-28,7.95,8.0,7.95,6.1,8.0,8.0,20.0,4.85,500,3990.0
2000-09-29,7.9,7.9,7.9,8.0,7.9,7.9,20.0,4.85,200,1580.0
2000-10-04,8.0,8.0,8.0,7.9,8.0,8.0,20.0,4.85,200,1600.0
2000-10-05,7.75,7.75,7.4,8.0,7.5,7.5,20.0,4.85,600,4510.0
2000-10-06,7.1,7.1,7.1,7.5,7.1,7.1,20.0,4.85,100,710.0
2000-10-23,8.0,8.0,7.0,7.1,7.0,7.0,20.0,4.85,1500,11000.0
2000-10-24,7.4,8.6,7.4,7.0,8.2,8.2,20.0,4.85,2200,17590.0
2000-10-25,9.0,9.0,9.0,8.2,9.0,9.0,20.0,4.85,1300,11700.0
2000-10-26,9.95,9.95,9.95,9.0,9.95,9.95,20.0,4.85,200,1990.0
2000-10-27,7.2,9.2,7.2,9.95,8.95,8.95,20.0,4.85,900,7080.0
2000-10-30,8.9,8.9,8.9,8.95,8.9,8.9,20.0,4.85,200,1780.0
2000-10-31,9.9,10.5,9.9,8.9,9.9,9.9,20.0,4.85,1200,12360.0
2000-11-01,9.0,9.0,9.0,9.9,9.0,9.0,20.0,4.85,100,900.0
2000-11-02,9.05,9.2,9.05,9.0,9.2,9.2,20.0,4.85,200,1825.0
2000-11-03,9.0,10.2,9.0,9.2,10.2,10.2,20.0,4.85,1400,13735.0
2000-11-06,8.7,9.0,8.0,10.2,9.0,9.0,20.0,4.85,300,2570.0
2000-11-07,9.0,9.65,6.7,9.0,7.7,7.7,20.0,4.85,1500,12925.0
2000-11-09,9.1,9.1,9.1,7.7,9.1,9.1,20.0,4.85,100,910.0
2000-11-15,6.7,7.9,6.7,9.1,7.9,7.9,20.0,4.85,400,2920.0
2000-11-16,9.05,9.05,9.05,7.9,9.05,9.05,20.0,4.85,100,905.0
2000-11-17,9.05,9.3,9.05,9.05,9.3,9.3,20.0,4.85,700,6485.0
2000-11-20,9.45,9.45,8.85,9.3,9.0,9.0,20.0,4.85,1200,10800.0
2000-11-21,9.0,9.0,9.0,9.0,9.0,9.0,20.0,4.85,200,1800.0
2000-11-23,9.2,9.2,9.2,9.0,9.2,9.2,20.0,4.85,200,1840.0
2000-11-27,9.2,9.2,9.2,9.2,9.2,9.2,20.0,4.85,100,920.0
2000-11-28,9.75,9.8,9.0,9.2,9.0,9.0,20.0,4.85,1400,13010.0
2000-11-29,10.0,10.0,10.0,9.0,10.0,10.0,20.0,4.85,300,3000.0
2000-11-30,10.2,10.75,10.2,10.0,10.5,10.5,20.0,4.85,1800,19185.0
2000-12-01,10.8,10.8,10.8,10.5,10.8,10.8,20.0,4.85,200,2160.0
2000-12-04,11.5,11.5,11.5,10.8,11.5,11.5,20.0,4.85,300,3450.0
2000-12-05,12.0,12.0,11.0,11.5,11.0,11.0,20.0,4.85,300,3400.0
2000-12-06,10.5,10.5,10.5,11.0,10.5,10.5,20.0,4.85,200,2100.0
2000-12-07,10.5,10.5,10.5,10.5,10.5,10.5,20.0,4.85,100,1050.0
2000-12-08,11.2,11.2,10.65,10.5,11.0,11.0,20.0,4.85,4200,46150.0
2000-12-11,10.0,10.0,10.0,11.0,10.0,10.0,20.0,4.85,100,1000.0
2000-12-12,10.3,10.3,10.3,10.0,10.3,10.3,20.0,4.85,100,1030.0
2000-12-13,11.45,11.45,11.45,10.3,11.45,11.45,20.0,4.85,200,2290.0
2000-12-14,10.55,10.55,10.55,11.45,10.55,10.55,20.0,4.85,100,1055.0
2000-12-15,10.0,10.05,10.0,10.55,10.0,10.0,20.0,4.85,1000,10010.0
2000-12-19,10.0,10.0,10.0,10.0,10.0,10.0,20.0,4.85,1000,10000.0
2007-06-25,249.3,249.5,230.0,223.65,245.0,245.1,249.5,230.0,35593,8639082.85
2007-06-26,233.0,257.4,233.0,245.1,257.4,257.4,257.4,230.0,12196,3045462.75
2007-06-27,258.1,270.3,258.1,257.4,270.3,270.3,270.3,230.0,4099,1095875.1
2007-06-28,280.0,283.85,280.0,270.3,283.85,283.85,283.85,230.0,898,254281.1
2007-06-29,298.0,298.05,281.0,283.85,298.05,295.9,298.05,230.0,24510,7246516.55
2007-07-02,304.4,310.7,304.4,295.9,310.7,310.7,310.7,230.0,2058,638259.25
2007-07-03,315.0,326.25,304.2,310.7,317.0,317.45,326.25,230.0,24330,7746378.25
2007-07-04,324.95,324.95,302.05,317.45,317.0,314.3,326.25,230.0,2185,686887.6
2007-07-05,310.0,316.85,310.0,314.3,310.2,312.45,326.25,230.0,3216,1003947.2
2007-07-06,310.25,316.95,310.0,312.45,310.0,313.25,326.25,230.0,2004,629887.95
2007-07-09,311.0,311.0,310.0,313.25,310.0,310.0,326.25,230.0,1560,483650.0
2007-07-10,305.0,310.5,305.0,310.0,310.0,310.15,326.25,230.0,1960,606755.0
2007-07-11,310.0,310.0,300.0,310.15,304.0,304.0,326.25,230.0,145,43997.5
2007-07-12,305.0,305.55,305.0,304.0,305.0,305.0,326.25,230.0,3304,1007890.5
2007-08-31,265.55,290.0,265.55,279.0,270.05,271.4,326.25,230.0,236,65158.45
2007-09-03,284.95,284.95,275.0,271.4,279.45,279.45,326.25,230.0,171,47257.45
2007-09-04,266.15,274.0,266.15,279.45,274.0,274.0,326.25,230.0,66022,18089855.3
2007-09-05,280.0,280.0,264.0,274.0,264.0,264.4,326.25,230.0,322,85447.1
2007-09-06,269.95,272.0,268.7,264.4,269.0,269.8,326.25,230.0,1340,361204.5
2007-09-07,275.0,275.0,262.25,269.8,270.0,266.65,326.25,230.0,387,103985.75
2007-09-10,270.0,271.0,270.0,266.65,270.0,270.05,326.25,230.0,859,231935.0
2007-09-11,270.0,271.0,268.05,270.05,268.05,268.05,326.25,230.0,335,90545.25
2007-09-12,287.75,294.9,262.3,268.05,294.9,294.9,326.25,230.0,48532,13715667.3
2007-09-13,294.9,324.4,294.9,294.9,324.4,324.4,326.25,230.0,6915,2170625.35
2007-09-14,330.0,356.85,323.1,324.4,356.85,356.85,356.85,230.0,10899,3675163.35
2007-09-17,369.0,374.7,369.0,356.85,374.7,374.7,374.7,230.0,2423,906629.55
2007-09-18,389.0,389.0,360.1,374.7,370.0,366.65,389.0,230.0,64724,23970982.05
2007-09-19,373.0,373.0,355.0,366.65,357.65,361.75,389.0,230.0,1369,496178.5
2007-09-20,345.05,375.0,345.05,361.75,360.0,366.3,389.0,230.0,1856,672738.75
2007-12-03,80.0,83.7,80.0,79.8,80.55,80.55,390.0,74.0,1605,131156.5
2007-12-04,80.0,83.85,77.55,80.55,83.85,81.85,390.0,74.0,830,66531.25
2007-12-05,83.0,84.0,83.0,81.85,84.0,84.0,390.0,74.0,5600,467395.75
2007-12-06,84.0,88.2,84.0,84.0,88.2,88.2,390.0,74.0,106639,9404642.05
2007-12-07,90.0,92.65,85.0,88.2,90.6,90.95,390.0,74.0,215615,19594908.75
2007-12-10,95.5,95.5,92.0,90.95,95.5,95.5,390.0,74.0,65178,6184498.45
2007-12-11,100.3,100.3,96.05,95.5,96.5,96.85,390.0,74.0,20654,2061232.6
2007-12-12,95.0,101.0,92.25,96.85,97.0,97.6,390.0,74.0,37117,3670732.7
2007-12-13,100.0,100.0,95.3,97.6,95.5,96.3,390.0,74.0,8739,862778.4
2007-12-14,100.0,101.15,92.2,96.3,100.0,99.8,390.0,74.0,51939,5139571.75
2007-12-17,95.5,102.45,95.5,99.8,99.0,97.6,390.0,74.0,106178,10368592.75
2007-12-18,93.05,100.0,93.05,97.6,97.0,97.2,390.0,74.0,32428,3165855.85
2007-12-19,99.0,102.1,95.05,97.2,102.1,101.55,390.0,74.0,189150,19257925.4
2007-12-20,102.25,106.0,97.0,101.55,99.7,99.5,390.0,74.0,23178,2387955.4
2007-12-24,103.0,103.0,97.15,99.5,99.8,97.2,390.0,74.0,3381,330562.6
2007-12-26,100.75,100.75,97.5,97.2,97.75,97.8,390.0,74.0,9962,979198.2
2007-12-27,93.75,99.5,93.75,97.8,97.15,97.15,390.0,74.0,450,43557.5
2007-12-28,99.0,99.0,93.2,97.15,94.5,94.3,390.0,74.0,11406,1090310.9
2007-12-31,98.5,98.5,92.1,94.3,94.5,93.9,390.0,74.0,4735,446208.65
2008-01-01,92.1,94.8,92.0,93.9,94.65,93.45,390.0,74.0,6026,564066.45
2008-01-02,94.9,98.0,92.0,93.45,94.4,93.75,390.0,74.0,3535,333457.4
2008-01-03,95.0,95.8,92.0,93.75,93.2,92.3,390.0,74.0,31695,2925658.5
2008-01-04,92.4,94.2,92.0,92.3,92.05,92.05,390.0,74.0,5737,530409.05
2008-01-07,92.5,92.95,86.15,92.05,91.0,91.3,390.0,74.0,2435,223199.9
2008-01-08,91.0,93.0,91.0,91.3,93.0,92.0,390.0,74.0,9692,885720.25
2008-01-09,86.8,90.5,86.8,92.0,90.0,90.0,390.0,74.0,1709,152647.0
2008-01-10,89.0,92.8,85.0,90.0,85.0,86.7,390.0,74.0,4424,391555.55
2008-01-11,80.0,86.0,80.0,86.7,86.0,85.35,390.0,74.0,4384,365908.4
2008-01-14,83.0,83.2,80.0,85.35,83.0,83.0,390.0,74.0,2904,239221.05
2008-01-15,83.0,84.7,83.0,83.0,83.0,83.1,390.0,74.0,2325,193270.0
2008-01-16,83.0,83.0,79.05,83.1,79.05,79.05,390.0,74.0,462,36941.2
2008-01-17,76.0,83.0,76.0,79.05,83.0,80.05,390.0,74.0,3072,243999.3
2008-01-18,81.0,81.0,75.15,80.05,75.2,78.4,390.0,74.0,11235,886084.25
2008-01-21,75.0,75.0,70.6,78.4,72.5,72.4,390.0,70.6,8122,588105.2
2008-01-22,65.2,65.2,65.2,72.4,65.2,65.2,390.0,65.2,3840,250368.0
2008-01-23,65.2,71.75,62.0,65.2,71.75,71.75,390.0,62.0,3851,263479.05
2008-01-24,78.7,78.95,68.0,71.75,70.0,70.0,390.0,62.0,17978,1360085.9
2008-01-25,77.0,77.0,73.1,70.0,74.95,74.6,390.0,62.0,6110,464030.65
2008-01-28,75.0,75.0,67.15,74.6,68.45,67.3,390.0,62.0,1767,121523.65
2008-01-29,74.0,74.0,65.6,67.3,66.05,67.45,390.0,62.0,2265,154173.65
