date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-08-23,64.5,65.9,63.0,60.0,63.0,63.0,0.0,0.0,72390,4596869.5
2000-08-24,63.0,64.6,62.8,63.0,64.25,64.1,65.9,63.0,44125,2801896.75
2000-08-25,65.5,67.2,64.9,64.1,65.0,65.6,65.9,62.8,36190,2374745.5
2000-08-28,66.5,67.0,65.15,65.6,65.15,65.5,67.2,62.8,16415,1078070.0
2000-08-29,65.5,68.0,65.0,65.5,67.3,67.5,67.2,62.8,24210,1619244.5
2000-08-30,67.95,67.95,66.0,67.5,66.0,67.05,68.0,62.8,18865,1272623.75
2000-08-31,67.0,67.35,66.0,67.05,66.75,67.05,68.0,62.8,25705,1714945.25
2000-09-04,67.5,68.0,65.0,67.05,68.0,67.45,68.0,62.8,77310,5123428.0
2000-09-05,66.65,67.35,66.65,67.45,67.25,67.1,68.0,62.8,11250,753443.25
2000-09-06,68.0,69.0,67.5,67.1,68.0,67.85,68.0,62.8,15846,1082667.55
2000-09-07,68.9,70.2,68.5,67.85,69.0,69.1,69.0,62.8,28065,1953844.05
2000-09-08,70.0,74.65,70.0,69.1,74.65,74.65,70.2,62.8,85919,6388366.0
2000-09-11,79.0,80.65,79.0,74.65,80.65,80.65,74.65,62.8,232581,18754652.65
2000-09-12,86.7,87.1,83.25,80.65,87.1,87.1,80.65,62.8,269923,23460237.75
2000-09-13,94.1,94.1,88.0,87.1,89.1,91.65,87.1,62.8,423993,39530068.8
2000-09-14,98.65,98.65,86.0,91.65,93.0,92.55,94.1,62.8,298372,27760058.95
2000-09-15,94.75,94.75,85.15,92.55,85.15,85.15,98.65,62.8,102151,9053012.0
2000-09-18,80.5,80.5,78.35,85.15,78.35,78.35,98.65,62.8,48559,3812689.75
2000-09-19,72.85,81.7,72.1,78.35,72.1,72.15,98.65,62.8,140088,10400935.85
2000-09-20,76.8,77.0,69.5,72.15,74.45,73.7,98.65,62.8,51134,3745523.5
2000-09-21,71.8,73.45,69.0,73.7,69.55,69.6,98.65,62.8,42228,2982990.15
2000-09-22,68.1,70.4,67.95,69.6,69.75,69.4,98.65,62.8,42589,2929474.05
2000-09-25,72.5,74.95,70.5,69.4,74.95,74.95,98.65,62.8,25311,1849018.05
2000-09-26,80.0,80.95,76.05,74.95,80.95,80.95,98.65,62.8,41590,3288606.7
2000-09-27,84.5,86.65,81.0,80.95,83.9,84.6,98.65,62.8,60053,5031622.25
2000-09-28,82.05,84.95,80.1,84.6,82.9,81.75,98.65,62.8,24487,2002238.45
2000-09-29,83.0,83.0,78.0,81.75,80.7,80.35,98.65,62.8,21944,1754002.85
2000-10-03,79.6,82.8,77.9,80.35,79.0,79.15,98.65,62.8,29754,2381257.3
2000-10-04,79.8,85.5,79.25,79.15,81.35,81.3,98.65,62.8,53662,4366185.95
2000-10-05,82.9,83.9,80.0,81.3,80.0,80.15,98.65,62.8,15529,1254745.0
2000-10-06,79.1,79.8,75.0,80.15,78.0,77.3,98.65,62.8,24088,1851644.55
2000-10-09,75.8,77.25,73.65,77.3,73.75,73.85,98.65,62.8,9540,721830.65
2000-10-10,73.0,73.7,68.0,73.85,70.1,70.55,98.65,62.8,31823,2230803.95
2000-10-11,68.0,74.0,68.0,70.55,71.0,70.65,98.65,62.8,9011,640436.15
2000-10-12,69.1,71.75,69.0,70.65,71.75,71.75,98.65,62.8,8185,580573.5
2000-10-13,69.6,73.8,69.6,71.75,71.75,70.3,98.65,62.8,11594,819152.45
2000-10-16,73.25,74.9,72.8,70.3,73.0,73.0,98.65,62.8,8445,620891.05
2000-10-17,70.2,73.0,69.5,73.0,72.1,72.65,98.65,62.8,22874,1627990.85
2000-10-18,69.5,74.0,69.5,72.65,73.9,73.95,98.65,62.8,8562,618071.15
2000-10-19,74.95,79.9,73.25,73.95,79.9,79.9,98.65,62.8,17516,1372154.8
2000-10-20,86.3,86.3,82.55,79.9,86.3,86.3,98.65,62.8,45205,3863856.4
2000-10-23,87.55,89.75,83.35,86.3,84.8,83.9,98.65,62.8,28246,2462353.3
2000-10-24,85.8,90.65,80.05,83.9,90.65,90.65,98.65,62.8,61552,5449717.65
2000-10-25,95.0,97.9,94.75,90.65,97.9,97.9,98.65,62.8,176136,17169037.6
2000-10-26,100.0,103.0,96.5,97.9,100.0,100.95,98.65,62.8,65303,6511958.5
2000-10-27,103.0,109.05,100.6,100.95,106.4,107.15,103.0,62.8,92817,9826588.6
2000-10-30,104.25,105.9,98.6,107.15,98.6,98.6,109.05,62.8,29193,2920131.8
2000-10-31,90.75,105.7,90.75,98.6,105.0,104.0,109.05,62.8,104005,10248162.1
2000-11-01,110.95,111.5,104.2,104.0,107.05,108.0,109.05,62.8,164909,17802633.1
2000-11-02,109.0,109.0,101.0,108.0,107.25,105.65,111.5,62.8,80083,8356225.4
2000-11-03,108.9,114.1,108.9,105.65,114.1,114.1,111.5,62.8,51272,5817325.85
2000-11-06,123.2,123.25,123.2,114.1,123.25,123.25,114.1,62.8,6150,757957.5
2000-11-07,133.15,133.15,125.0,123.25,133.15,133.15,123.25,62.8,366516,48215774.95
2000-11-08,143.8,143.8,143.8,133.15,143.8,143.8,133.15,62.8,8346,1200154.8
2000-11-09,155.3,155.3,153.15,143.8,155.3,155.3,143.8,62.8,220316,34197427.45
2000-11-10,166.9,167.75,145.2,155.3,167.75,167.65,155.3,62.8,944610,150566696.95
2000-11-13,163.2,172.3,154.25,167.65,155.0,157.45,167.75,62.8,482570,77792526.15
2000-11-14,158.0,168.8,150.0,157.45,162.1,160.9,172.3,62.8,399650,64035042.55
2000-11-15,172.9,173.0,159.3,160.9,161.85,160.9,172.3,62.8,270806,44430635.05
2000-11-16,161.95,162.0,155.0,160.9,156.95,155.7,173.0,62.8,156978,24657320.25
2000-11-17,153.25,164.0,150.2,155.7,157.0,157.5,173.0,62.8,348470,54968731.25
2000-11-20,159.0,159.9,152.6,157.5,154.5,153.85,173.0,62.8,127918,19986147.7
2000-11-21,152.0,153.5,141.55,153.85,141.55,141.55,173.0,62.8,337566,49309259.55
2000-11-22,142.25,144.45,130.25,141.55,130.25,130.4,173.0,62.8,362077,48436126.5
2000-11-23,126.0,134.5,122.05,130.4,129.9,129.45,173.0,62.8,312571,39802750.45
2000-11-24,130.5,139.85,128.3,129.45,136.0,137.2,173.0,62.8,345653,46613119.0
