date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2020-03-05,9.75,9.75,9.75,10.8,9.75,9.75,9.75,9.75,325161,3170319.75
2020-03-06,8.8,8.8,8.8,9.75,8.8,8.8,9.75,8.8,253423,2230122.4
2020-03-09,7.95,7.95,7.95,8.8,7.95,7.95,9.75,7.95,321298,2554319.1
2020-03-11,7.6,7.6,7.6,7.95,7.6,7.6,9.75,7.6,319894,2431194.4
2020-03-12,7.25,7.25,7.25,7.6,7.25,7.25,9.75,7.25,269832,1956282.0
2020-03-13,6.9,6.9,6.9,7.25,6.9,6.9,9.75,6.9,230817,1592637.3
2020-03-16,6.6,6.6,6.6,6.9,6.6,6.6,9.75,6.6,234300,1546380.0
2020-03-17,6.3,6.3,6.3,6.6,6.3,6.3,9.75,6.3,191711,1207779.3
2020-03-18,6.0,6.0,6.0,6.3,6.0,6.0,9.75,6.0,157576,945456.0
2020-03-19,5.7,5.7,5.7,6.0,5.7,5.7,9.75,5.7,299349,1706289.3
2020-03-20,5.45,5.45,5.45,5.7,5.45,5.45,9.75,5.45,263152,1434178.4
2020-03-23,5.2,5.2,5.2,5.45,5.2,5.2,9.75,5.2,156006,811231.2
2020-03-24,4.95,4.95,4.95,5.2,4.95,4.95,9.75,4.95,379792,1879970.4
2020-03-25,4.75,4.75,4.75,4.95,4.75,4.75,9.75,4.75,304523,1446484.25
2020-03-26,4.55,4.55,4.55,4.75,4.55,4.55,9.75,4.55,394349,1794287.95
2020-03-27,4.35,4.35,4.35,4.55,4.35,4.35,9.75,4.35,810631,3526244.85
2020-03-30,4.15,4.15,4.15,4.35,4.15,4.15,9.75,4.15,606895,2518614.25
2020-03-31,3.95,3.95,3.95,4.15,3.95,3.95,9.75,3.95,1075590,4248580.5
2020-04-01,3.8,4.1,3.8,3.95,4.1,4.1,9.75,3.8,25847805,103603025.95
2020-04-03,4.3,4.3,4.3,4.1,4.3,4.3,9.75,3.8,3942656,16953420.8
2020-04-07,4.5,4.5,4.5,4.3,4.5,4.5,9.75,3.8,1360533,6122398.5
2020-04-08,4.7,4.7,4.7,4.5,4.7,4.7,9.75,3.8,1698707,7983922.9
2020-04-09,4.9,4.9,4.9,4.7,4.9,4.9,9.75,3.8,719085,3523516.5
2020-04-13,5.1,5.1,4.7,4.9,5.1,5.1,9.75,3.8,24939587,123722994.0
2020-04-15,5.35,5.35,5.3,5.1,5.35,5.35,9.75,3.8,5358992,28669321.9
2020-04-16,5.6,5.6,5.6,5.35,5.6,5.6,9.75,3.8,419768,2350700.8
2020-04-17,5.85,5.85,5.85,5.6,5.85,5.85,9.75,3.8,507807,2970670.95
2020-04-20,6.1,6.1,6.1,5.85,6.1,6.1,9.75,3.8,449546,2742230.6
2020-04-21,6.4,6.4,6.4,6.1,6.4,6.4,9.75,3.8,822876,5266406.4
2020-04-22,6.7,6.7,6.7,6.4,6.7,6.7,9.75,3.8,803868,5385915.6
