date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2017-09-18,338.0,343.3,300.0,327.4,327.0,324.65,343.3,202.0,668658,217589725.9
2017-09-19,340.0,342.0,329.1,324.65,333.95,333.4,343.3,202.0,406881,136007645.4
2017-09-20,330.0,335.0,310.0,333.4,314.8,313.2,343.3,202.0,366623,116907465.85
2017-09-21,312.0,315.6,291.3,313.2,298.1,297.85,343.3,202.0,358720,107849780.9
2017-09-22,291.35,293.7,278.0,297.85,279.0,278.9,343.3,202.0,489924,137526544.1
2017-09-25,273.2,275.0,252.2,278.9,264.0,264.6,343.3,202.0,302657,79954626.1
2017-09-26,263.3,291.05,262.25,264.6,291.05,291.05,343.3,202.0,468453,132094583.6
2017-09-27,304.4,320.15,300.0,291.05,320.15,319.7,343.3,202.0,927008,291012258.85
2017-09-28,328.0,328.0,310.0,319.7,312.1,313.4,343.3,202.0,348137,109792232.2
2017-09-29,313.9,320.0,305.05,313.4,311.7,309.25,343.3,202.0,164324,51365241.0
2017-10-03,315.0,322.0,305.1,309.25,308.5,307.2,343.3,202.0,151103,47174196.55
2017-10-04,310.05,337.9,305.2,307.2,337.9,337.9,343.3,202.0,552413,178540333.45
2017-10-05,345.0,371.65,343.0,337.9,371.65,371.65,371.65,202.0,1217889,439023485.7
2017-10-06,379.7,408.8,377.0,371.65,408.8,408.8,408.8,202.0,731456,291964120.25
2017-10-09,429.2,429.2,415.0,408.8,429.2,429.2,429.2,202.0,149557,64107811.5
2017-10-10,450.65,450.65,407.75,429.2,407.75,412.7,450.65,202.0,1102298,472934356.15
2017-10-11,414.0,419.0,392.1,412.7,394.0,395.75,450.65,202.0,483071,194771739.8
2017-10-12,395.0,415.5,395.0,395.75,415.5,415.5,450.65,202.0,604031,248881721.2
2017-10-13,423.95,436.25,423.0,415.5,436.25,436.25,450.65,202.0,500703,216788821.3
2017-10-16,444.3,458.05,444.3,436.25,458.05,458.05,458.05,202.0,587622,267071548.2
2017-10-17,474.0,480.95,450.1,458.05,462.9,461.35,480.95,202.0,1049403,497615304.1
2017-10-18,458.0,484.4,440.2,461.35,449.6,450.75,484.4,202.0,906887,422331984.55
2017-10-19,458.4,468.0,454.95,450.75,459.0,458.9,484.4,202.0,156243,71918999.8
2017-10-23,465.0,469.95,437.2,458.9,438.0,439.35,484.4,202.0,345290,155157163.05
2017-10-24,451.0,451.0,422.4,439.35,427.9,426.6,484.4,202.0,291110,125268151.95
2017-10-25,438.0,438.0,406.1,426.6,410.0,408.35,484.4,202.0,258301,107083642.65
2017-10-26,402.1,428.75,387.95,408.35,428.0,428.25,484.4,202.0,718019,301427087.85
2017-10-27,432.0,439.4,415.0,428.25,418.75,419.8,484.4,202.0,399005,170772543.2
2017-10-30,424.0,430.05,418.0,419.8,421.0,419.75,484.4,202.0,140932,59555715.25
2017-10-31,421.0,425.0,412.1,419.75,417.85,416.35,484.4,202.0,108783,45317733.65
2017-11-01,419.1,425.0,413.7,416.35,416.0,415.2,484.4,202.0,122295,51273223.65
2017-11-02,415.0,434.0,414.05,415.2,424.0,425.75,484.4,202.0,213793,90550976.85
2017-11-03,429.7,429.7,417.0,425.75,419.0,418.8,484.4,202.0,116248,48978710.35
2017-11-06,417.95,439.7,413.25,418.8,439.7,439.7,484.4,202.0,197586,85817692.0
2017-11-07,461.65,461.65,442.0,439.7,461.65,461.65,484.4,202.0,626282,286815318.25
2017-11-08,468.9,480.0,450.05,461.65,454.0,453.6,484.4,202.0,347870,161840299.45
2017-11-09,460.1,467.0,450.1,453.6,457.8,457.1,484.4,202.0,122209,55845210.75
2017-11-10,458.4,460.35,444.95,457.1,451.0,449.95,484.4,202.0,97688,44214087.1
2017-11-13,459.7,472.4,456.0,449.95,472.4,471.15,484.4,202.0,413574,193127522.6
2017-11-14,480.0,481.95,456.0,471.15,460.05,461.95,484.4,202.0,279595,131624129.8
2017-11-15,485.0,485.0,475.0,461.95,485.0,485.0,485.0,202.0,444123,214337837.3
2017-11-16,509.25,509.25,496.1,485.0,509.25,509.25,509.25,202.0,533720,270125166.15
2017-11-17,529.4,534.7,525.0,509.25,534.7,534.7,534.7,202.0,217937,116102123.7
2017-11-20,560.0,561.4,554.8,534.7,561.4,561.4,561.4,202.0,67346,37755545.95
2017-11-21,589.45,589.45,589.45,561.4,589.45,589.45,589.45,202.0,19998,11787821.1
2017-11-22,618.9,618.9,570.3,589.45,608.0,608.6,618.9,202.0,1525182,928357183.05
2017-11-23,614.0,616.95,582.0,608.6,583.9,585.25,618.9,202.0,354041,211003823.9
2017-11-24,585.0,614.5,560.25,585.25,614.5,610.7,618.9,202.0,838029,503029714.25
2017-11-27,626.0,641.2,625.0,610.7,641.2,641.2,641.2,202.0,263033,167833827.75
2017-11-28,671.7,673.25,664.9,641.2,673.25,673.25,673.25,202.0,79925,53762435.15
2017-11-29,702.0,706.9,683.65,673.25,706.9,706.9,706.9,202.0,845337,594895563.05
2017-11-30,728.0,742.2,714.0,706.9,742.2,742.2,742.2,202.0,476008,350174668.1
2017-12-01,779.3,779.3,779.3,742.2,779.3,779.3,779.3,202.0,170399,132791940.7
2017-12-04,810.0,818.25,780.1,779.3,818.25,818.25,818.25,202.0,582213,472967183.9
2017-12-05,843.0,859.15,813.1,818.25,859.15,859.15,859.15,202.0,765695,647946735.5
2017-12-06,902.1,902.1,880.0,859.15,902.1,901.25,902.1,202.0,706841,635939257.9
2017-12-07,923.0,939.0,856.2,901.25,856.2,856.2,939.0,202.0,1065558,936312565.85
2017-12-08,813.4,825.0,813.4,856.2,813.4,813.4,939.0,202.0,66872,54429031.2
2017-12-11,772.75,772.75,772.75,813.4,772.75,772.75,939.0,202.0,14103,10898093.25
2017-12-12,734.15,734.15,734.15,772.75,734.15,734.15,939.0,202.0,9281,6813646.15
2017-12-13,711.1,770.85,706.65,734.15,770.85,770.85,939.0,202.0,911088,671622324.5
2017-12-14,809.35,809.35,809.35,770.85,809.35,809.35,939.0,202.0,51200,41438720.0
