date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2018-02-06,290.1,313.9,285.2,314.1,307.0,308.5,480.0,285.2,247979,75274469.1
2018-02-07,314.45,340.65,312.5,308.5,325.05,327.3,480.0,285.2,449009,146516908.8
2018-02-08,330.0,338.45,321.1,327.3,323.3,323.95,480.0,285.2,217011,71400077.6
2018-02-09,315.0,331.4,311.0,323.95,323.0,322.35,480.0,285.2,176847,57051820.5
2018-02-12,326.25,328.3,321.5,322.35,323.0,322.6,480.0,285.2,91838,29814594.85
2018-02-14,317.0,317.5,308.05,322.6,309.0,309.4,480.0,285.2,177469,55346835.5
2018-02-15,310.15,314.4,308.3,309.4,312.2,311.55,480.0,285.2,109723,34141690.85
2018-02-16,313.0,313.9,301.0,311.55,303.95,302.75,480.0,285.2,98752,30206108.2
2018-02-19,306.0,306.0,295.25,302.75,296.0,296.3,480.0,285.2,73039,21813530.6
2018-02-20,296.3,299.0,287.95,296.3,288.45,288.45,480.0,285.2,71560,20822006.35
2018-02-21,291.0,293.95,280.5,288.45,281.9,281.35,480.0,280.5,71958,20395824.8
2018-02-22,281.95,331.9,275.6,281.35,319.55,321.25,480.0,275.6,999388,315645415.85
2018-02-23,321.25,328.75,310.0,321.25,312.0,312.5,480.0,275.6,311957,99646755.35
2018-02-26,314.5,323.65,310.0,312.5,310.0,311.1,480.0,275.6,124168,39202002.5
2018-02-27,313.35,314.45,302.0,311.1,303.75,303.3,480.0,275.6,94706,29171551.75
2018-02-28,302.6,314.0,296.65,303.3,304.8,303.7,480.0,275.6,117019,35885345.45
2018-03-01,303.65,309.4,300.0,303.7,301.6,301.45,480.0,275.6,81640,24852304.4
2018-03-05,300.0,304.2,296.0,301.45,296.25,297.9,480.0,275.6,76580,22894604.95
2018-03-06,301.0,302.95,284.0,297.9,286.0,287.75,480.0,275.6,84241,24648045.2
2018-03-07,286.0,293.0,279.65,287.75,281.0,281.4,480.0,275.6,82019,23398452.95
2018-03-08,284.0,286.8,276.0,281.4,281.25,281.7,480.0,275.6,61535,17285602.05
2018-03-09,284.7,286.0,278.15,281.7,279.6,279.15,480.0,275.6,42260,11904145.75
2018-03-12,282.0,283.3,275.1,279.15,276.9,277.35,480.0,275.1,50520,14044174.4
2018-03-13,275.0,284.5,275.0,277.35,279.5,280.1,480.0,275.0,69146,19407492.35
2018-03-14,280.2,280.2,275.4,280.1,278.5,277.75,480.0,275.0,32321,8985200.95
2018-03-15,279.4,291.7,277.85,277.75,282.25,282.5,480.0,275.0,102393,29211197.7
2018-03-16,284.0,285.45,281.0,282.5,282.9,281.9,480.0,275.0,50770,14376773.25
2018-03-19,282.0,283.45,275.05,281.9,276.2,275.8,480.0,275.0,53186,14770894.2
2018-03-20,275.0,280.0,275.0,275.8,276.1,276.2,480.0,275.0,40941,11346911.05
2018-03-21,277.0,283.15,274.25,276.2,274.45,275.3,480.0,274.25,48318,13422901.5
2018-03-22,278.0,278.0,268.0,275.3,268.0,268.9,480.0,268.0,45926,12485561.5
2018-03-23,260.2,263.9,256.05,268.9,258.0,258.1,480.0,256.05,74507,19290521.3
2018-03-26,256.1,264.3,250.05,258.1,250.5,250.8,480.0,250.05,62247,15744687.4
2018-03-27,254.0,261.6,252.0,250.8,253.85,253.2,480.0,250.05,58925,15051536.9
2018-03-28,252.0,254.9,244.2,253.2,245.0,245.1,480.0,244.2,73979,18317587.7
2018-04-02,246.0,268.0,244.5,245.1,252.0,252.85,480.0,244.2,158621,40888010.8
2018-04-03,250.7,256.9,249.1,252.85,253.85,253.5,480.0,244.2,66334,16730570.85
2018-04-04,255.8,264.8,252.2,253.5,254.0,253.6,480.0,244.2,139069,36014697.95
2018-04-05,258.0,262.5,255.6,253.6,256.7,257.5,480.0,244.2,87461,22625517.55
2018-04-06,259.0,259.0,254.05,257.5,256.1,256.1,480.0,244.2,26731,6852051.45
2018-04-09,257.0,264.3,256.15,256.1,261.7,260.5,480.0,244.2,247295,64389572.65
2018-04-10,262.9,263.45,257.05,260.5,258.8,257.5,480.0,244.2,28882,7490052.15
2018-04-11,259.7,259.7,255.85,257.5,257.0,256.8,480.0,244.2,21867,5616814.5
2018-04-12,257.0,260.95,254.5,256.8,255.0,255.35,480.0,244.2,22367,5736276.05
2018-04-13,257.45,261.8,253.4,255.35,253.4,254.25,480.0,244.2,56479,14513545.95
2018-04-16,252.05,254.0,250.0,254.25,251.0,251.15,480.0,244.2,36036,9065811.0
2018-04-17,252.9,253.0,250.0,251.15,250.0,250.25,480.0,244.2,22984,5776002.3
2018-04-18,252.0,252.0,244.1,250.25,245.8,245.0,480.0,244.1,46517,11494781.75
2018-04-19,245.0,246.9,240.35,245.0,242.0,242.4,480.0,240.35,46683,11337355.65
2018-04-20,241.8,242.85,239.85,242.4,240.35,240.4,480.0,239.85,35344,8507011.35
2018-04-23,239.8,249.7,237.05,240.4,241.4,242.35,480.0,237.05,72064,17664834.85
2018-04-24,241.0,245.0,240.05,242.35,241.0,240.9,480.0,237.05,28306,6862527.9
2018-04-25,240.95,247.7,239.5,240.9,239.55,240.1,480.0,237.05,44775,10876973.35
2018-04-26,238.55,241.7,236.5,240.1,236.95,237.15,480.0,236.5,28767,6870857.05
2018-04-27,236.6,241.0,230.0,237.15,231.0,232.3,480.0,230.0,60458,14223429.2
2018-04-30,231.2,235.2,227.8,232.3,228.7,228.35,480.0,227.8,41270,9514751.4
2018-05-02,228.0,234.9,222.25,228.35,223.0,224.1,480.0,222.25,60816,13894178.85
2018-05-03,220.15,221.55,206.3,224.1,207.0,208.35,480.0,206.3,78851,16720169.75
2018-05-04,206.05,216.95,206.0,208.35,209.4,209.6,480.0,206.0,70675,14934228.5
