date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2016-06-14,249.55,249.55,217.1,229.95,234.95,234.95,249.55,217.1,407,97008.8
2016-06-15,239.95,249.0,220.1,234.95,237.0,229.3,249.55,217.1,1216,291417.5
2016-06-16,244.95,244.95,231.05,229.3,231.05,231.05,249.55,217.1,14,3386.15
2016-06-17,240.0,240.0,229.5,231.05,229.5,229.5,249.55,217.1,139,32235.9
2016-06-20,249.95,249.95,230.15,229.5,238.95,238.95,249.95,217.1,714,170183.5
2016-06-21,239.0,239.45,234.95,238.95,238.95,238.95,249.95,217.1,519,122554.8
2016-06-22,242.85,242.85,235.0,238.95,235.0,235.0,249.95,217.1,140,33212.75
2016-06-23,230.3,248.95,230.0,235.0,237.95,237.95,249.95,217.1,862,200665.0
2016-06-24,221.15,234.0,198.3,237.95,228.0,228.0,249.95,198.3,4043,907619.6
2016-06-27,230.0,241.0,230.0,228.0,235.0,235.05,249.95,198.3,3857,908656.4
2016-06-28,238.0,244.75,238.0,235.05,241.95,241.1,249.95,198.3,5888,1417162.1
2016-06-29,243.0,244.8,240.0,241.1,243.0,243.0,249.95,198.3,4177,1011489.1
2016-06-30,244.0,291.0,224.0,243.0,280.0,260.8,291.0,198.3,365789,91010552.7
2016-07-01,278.4,289.5,256.35,260.8,269.9,267.6,291.0,198.3,324207,87245501.4
2016-07-04,268.0,270.0,256.9,267.6,260.2,260.35,291.0,198.3,76073,20109965.75
2016-07-05,260.35,268.0,252.1,260.35,258.9,261.8,291.0,198.3,39972,10290354.3
2016-07-07,259.9,265.5,255.05,261.8,257.5,256.4,291.0,198.3,27671,7277974.25
2016-07-08,256.0,263.8,250.55,256.4,251.5,251.9,291.0,198.3,17054,4362393.9
2016-07-11,255.05,264.7,255.0,251.9,263.0,263.0,291.0,198.3,38010,9915250.75
2016-07-12,265.0,270.0,265.0,263.0,265.55,266.8,291.0,198.3,35832,9599944.85
2016-07-13,269.5,270.0,264.15,266.8,266.1,266.5,291.0,198.3,30540,8167337.55
2016-07-14,265.1,266.4,255.4,266.5,262.5,262.65,291.0,198.3,13955,3646115.7
2016-07-15,262.5,264.95,257.75,262.65,258.0,258.3,291.0,198.3,7398,1926698.0
2016-07-18,259.1,262.45,255.1,258.3,256.0,256.0,291.0,198.3,12492,3240870.2
2016-07-19,255.05,259.9,252.55,256.0,256.0,255.95,291.0,198.3,5632,1438315.5
2016-07-20,259.85,262.0,256.0,255.95,258.3,258.45,291.0,198.3,12862,3335161.95
2016-07-21,258.05,262.0,257.0,258.45,259.95,257.9,291.0,198.3,6009,1556202.15
2016-07-22,262.45,286.3,261.95,257.9,276.0,277.7,291.0,198.3,136513,37700560.45
2016-07-25,279.9,300.0,275.0,277.7,289.8,293.55,300.0,198.3,128241,37290984.0
2016-07-26,292.15,297.0,276.0,293.55,280.5,285.15,300.0,198.3,62042,17983633.2
2016-07-27,285.3,300.0,272.05,285.15,295.0,294.95,300.0,198.3,89676,26394235.2
2016-07-28,303.5,325.0,284.35,294.95,291.0,289.65,325.0,198.3,358009,111182528.05
2016-07-29,290.0,298.95,287.0,289.65,288.1,289.65,325.0,198.3,50752,14779690.75
2016-08-01,294.5,298.0,273.6,289.65,280.0,279.55,325.0,198.3,50707,14673623.0
2016-08-02,282.0,294.5,271.1,279.55,271.1,276.2,325.0,198.3,39874,11233977.25
2016-08-03,277.0,277.0,256.5,276.2,262.0,261.6,325.0,198.3,71925,19031170.0
2016-08-04,262.1,268.9,253.0,261.6,258.3,259.8,325.0,198.3,18584,4829652.35
2016-08-05,263.25,274.0,261.0,259.8,270.0,269.4,325.0,198.3,27569,7413751.55
2016-08-08,278.0,286.0,262.1,269.4,283.0,282.1,325.0,198.3,61222,17166826.65
2016-08-09,286.0,286.0,272.0,282.1,278.95,277.85,325.0,198.3,15525,4288689.25
2016-08-10,278.0,281.85,258.0,277.85,262.05,261.5,325.0,198.3,31975,8500285.35
2016-08-11,284.0,284.0,256.2,261.5,256.5,257.9,325.0,198.3,30249,7975539.2
2016-08-12,258.25,269.3,255.3,257.9,258.55,261.4,325.0,198.3,13430,3531148.75
2016-08-16,267.95,269.0,255.3,261.4,257.55,256.65,325.0,198.3,11829,3090947.05
2016-08-17,264.4,264.4,251.0,256.65,253.0,253.65,325.0,198.3,17578,4492079.8
2016-08-18,250.0,265.0,250.0,253.65,260.0,263.1,325.0,198.3,29161,7585248.9
2016-08-19,257.0,265.75,257.0,263.1,258.0,260.05,325.0,198.3,22750,5961008.4
2016-08-22,258.0,259.8,250.05,260.05,253.0,253.7,325.0,198.3,13307,3388701.2
2016-08-23,255.0,258.45,250.0,253.7,255.0,254.5,325.0,198.3,24506,6206267.75
2016-08-24,258.0,262.8,254.0,254.5,259.0,258.4,325.0,198.3,14235,3673151.5
2016-08-25,259.95,266.0,258.0,258.4,262.95,260.25,325.0,198.3,25821,6743177.9
2016-08-26,267.0,267.0,260.0,260.25,260.0,261.1,325.0,198.3,12706,3315347.4
2016-08-29,262.95,262.95,260.0,261.1,260.0,260.2,325.0,198.3,7267,1890797.45
2016-08-30,258.0,272.4,252.1,260.2,265.1,269.95,325.0,198.3,17509,4637990.15
2016-08-31,267.0,272.0,255.5,269.95,259.05,264.1,325.0,198.3,21049,5548073.45
2016-09-01,267.4,270.0,260.0,264.1,260.0,261.15,325.0,198.3,14299,3773497.75
2016-09-02,260.0,267.6,259.6,261.15,263.15,264.15,325.0,198.3,13977,3657137.65
2016-09-06,272.0,272.0,260.1,264.15,261.0,260.55,325.0,198.3,8763,2294472.7
2016-09-07,260.15,261.95,253.5,260.55,257.0,256.45,325.0,198.3,4625,1194325.7
2016-09-08,252.1,264.0,250.1,256.45,257.7,255.15,325.0,198.3,42383,10882959.2
2016-09-09,251.5,260.0,251.5,255.15,257.1,257.5,325.0,198.3,11207,2883082.1
2016-09-12,255.0,259.5,245.05,257.5,257.4,257.05,325.0,198.3,32679,8383942.0
2016-09-14,251.9,261.5,250.0,257.05,258.9,257.35,325.0,198.3,7525,1939228.4
2016-09-15,254.55,266.0,254.55,257.35,257.55,257.95,325.0,198.3,7011,1829788.75
2016-09-16,258.0,263.2,257.95,257.95,260.0,260.15,325.0,198.3,12971,3375532.8
2016-09-19,266.45,266.45,259.95,260.15,260.0,260.45,325.0,198.3,12945,3370447.4
2016-09-20,260.0,260.05,257.1,260.45,260.0,259.5,325.0,198.3,20306,5274039.0
2016-09-21,260.0,267.2,258.0,259.5,260.05,260.25,325.0,198.3,35469,9271284.7
2016-09-22,261.05,281.05,260.5,260.25,273.65,273.05,325.0,198.3,29390,8016492.7
2016-09-23,276.0,276.2,265.1,273.05,268.1,270.0,325.0,198.3,19304,5221896.65
2016-09-26,270.0,270.0,260.0,270.0,260.95,260.3,325.0,198.3,9470,2480059.85
2016-09-27,263.0,271.0,260.05,260.3,260.25,260.7,325.0,198.3,12420,3297816.55
2016-09-28,267.05,267.05,260.0,260.7,260.0,260.2,325.0,198.3,3377,880662.25
2016-09-29,260.1,269.0,231.55,260.2,242.5,244.0,325.0,198.3,21097,5237023.85
2016-09-30,253.0,260.0,245.35,244.0,260.0,257.45,325.0,198.3,22589,5800116.65
2016-10-03,264.0,269.0,260.1,257.45,267.4,266.55,325.0,198.3,9494,2506452.95
2016-10-04,274.0,274.0,266.0,266.55,267.0,268.55,325.0,198.3,16225,4355448.4
2016-10-05,270.0,275.0,262.25,268.55,265.5,265.95,325.0,198.3,9267,2498527.55
2016-10-06,266.5,274.0,254.0,265.95,265.0,262.65,325.0,198.3,16802,4410501.1
2016-10-07,262.65,265.0,261.0,262.65,265.0,264.5,325.0,198.3,6571,1731051.45
2016-10-10,273.75,273.75,261.95,264.5,262.05,265.15,325.0,198.3,26221,6963872.1
2016-10-13,274.0,274.0,255.15,265.15,260.0,259.65,325.0,198.3,22610,5925842.9
2016-10-14,265.0,274.95,264.1,259.65,272.3,272.35,325.0,198.3,80548,21694814.05
2016-10-17,276.0,279.0,262.35,272.35,274.0,274.4,325.0,198.3,40986,11132280.2
2016-10-18,275.0,279.0,270.05,274.4,274.0,275.35,325.0,198.3,16072,4413658.2
2016-10-19,275.0,297.0,274.0,275.35,290.0,288.45,325.0,198.3,87573,25165282.15
2016-10-20,294.5,295.0,282.15,288.45,287.0,285.1,325.0,198.3,36487,10550227.3
2016-10-21,286.0,289.0,276.45,285.1,280.0,280.15,325.0,198.3,19714,5557163.0
2016-10-24,280.0,290.0,280.0,280.15,285.15,285.9,325.0,198.3,37703,10866248.1
2016-10-25,289.0,289.0,279.45,285.9,281.9,282.1,325.0,198.3,14561,4123474.6
2016-10-26,282.5,284.0,276.0,282.1,279.0,279.1,325.0,198.3,21205,5954797.15
2016-10-27,278.8,284.9,276.0,279.1,283.0,280.9,325.0,198.3,23380,6587133.55
2016-10-28,282.0,286.0,280.9,280.9,284.0,284.1,325.0,198.3,15875,4513833.7
2016-10-30,290.0,290.0,284.0,284.1,286.0,287.5,325.0,198.3,5896,1694175.85
2016-11-01,291.85,291.85,280.0,287.5,284.85,282.45,325.0,198.3,8470,2414425.35
2016-11-02,278.0,281.9,275.0,282.45,277.0,277.25,325.0,198.3,6001,1667880.7
2016-11-03,284.95,284.95,267.0,277.25,269.75,269.5,325.0,198.3,7976,2172701.8
2016-11-04,272.0,272.0,252.1,269.5,255.0,256.0,325.0,198.3,11468,2973016.25
2016-11-07,268.0,271.8,260.0,256.0,261.0,263.45,325.0,198.3,10069,2667867.8
2016-11-08,267.0,268.8,260.0,263.45,260.5,263.0,325.0,198.3,9196,2406415.7
2016-11-09,244.5,258.6,212.3,263.0,245.0,245.15,325.0,198.3,40836,9950191.7
2016-11-10,255.5,259.0,240.0,245.15,240.2,241.05,325.0,198.3,25180,6261665.3
2016-11-11,238.0,238.05,209.7,241.05,226.0,223.85,325.0,198.3,62922,14053681.6
2016-11-15,224.0,229.0,179.1,223.85,179.1,181.5,325.0,179.1,56391,10627689.1
2016-11-16,182.5,192.0,163.35,181.5,182.3,179.85,325.0,163.35,43770,7875282.35
2016-11-17,180.0,193.8,173.0,179.85,190.1,190.35,325.0,163.35,23754,4375660.65
2016-11-18,188.45,197.5,180.0,190.35,194.5,189.5,325.0,163.35,8960,1695708.35
2016-11-21,189.5,192.0,180.0,189.5,190.0,187.9,325.0,163.35,23728,4372908.95
2016-11-22,190.0,194.8,175.0,187.9,184.9,183.5,325.0,163.35,9806,1782852.6
2016-11-23,189.9,190.3,180.0,183.5,190.0,189.45,325.0,163.35,14129,2595292.9
2016-11-24,190.0,194.0,190.0,189.45,191.7,191.75,325.0,163.35,9489,1825530.0
2016-11-25,195.9,206.0,192.2,191.75,206.0,204.0,325.0,163.35,17140,3451720.2
2016-11-28,206.0,208.0,201.15,204.0,207.0,206.25,325.0,163.35,9316,1909857.5
2016-11-29,208.9,213.7,200.1,206.25,208.0,205.25,325.0,163.35,10159,2131180.7
2016-11-30,210.0,210.0,205.0,205.25,206.5,206.5,325.0,163.35,4632,958201.05
2016-12-01,208.0,209.5,201.0,206.5,201.0,201.0,325.0,163.35,6342,1282966.65
2016-12-02,201.0,205.0,197.5,201.0,201.1,201.05,325.0,163.35,12757,2567761.1
2016-12-05,209.1,212.95,198.15,201.05,205.0,204.1,325.0,163.35,2504,513696.4
2016-12-06,210.0,218.0,202.5,204.1,217.0,213.2,325.0,163.35,6806,1433051.35
2016-12-07,215.5,216.9,201.0,213.2,208.9,205.6,325.0,163.35,6729,1397201.2
2016-12-08,209.9,216.1,204.45,205.6,208.95,207.9,325.0,163.35,3280,687252.35
2016-12-09,216.2,226.6,210.0,207.9,217.15,215.25,325.0,163.35,8578,1840452.7
2016-12-12,220.0,220.0,201.95,215.25,206.0,208.8,325.0,163.35,3470,734575.75
2016-12-13,213.0,213.0,204.85,208.8,209.0,207.8,325.0,163.35,2537,527848.4
2016-12-14,210.0,210.05,197.15,207.8,203.0,201.25,325.0,163.35,6216,1265128.55
2016-12-15,201.5,207.0,199.75,201.25,202.0,200.6,325.0,163.35,2891,585844.3
2016-12-16,205.9,206.0,200.05,200.6,200.05,202.0,325.0,163.35,3975,812964.4
