date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-05-30,435.0,451.45,415.2,383.0,415.95,421.75,451.45,415.2,13664267,6020956864.2
2024-05-31,421.0,424.45,396.0,421.75,402.75,402.95,451.45,396.0,1663442,677359637.05
2024-06-03,420.0,423.5,405.0,402.95,420.0,419.35,451.45,396.0,1135227,469923516.25
2024-06-04,417.0,417.0,371.4,419.35,408.6,407.05,451.45,371.4,706925,282112321.95
2024-06-05,400.0,423.7,384.0,407.05,413.0,413.25,451.45,371.4,422329,170467408.15
2024-06-06,408.0,418.15,406.95,413.25,409.5,408.65,451.45,371.4,308675,126792552.55
2024-06-07,415.95,468.8,410.3,408.65,446.0,448.5,468.8,371.4,1935606,866253769.25
2024-06-10,448.5,455.0,433.25,448.5,441.0,439.8,468.8,371.4,536318,238447822.7
2024-06-11,447.0,468.0,443.05,439.8,459.4,455.85,468.8,371.4,695332,318308964.25
2024-06-12,463.95,485.9,457.2,455.85,473.0,472.55,485.9,371.4,717967,339774157.15
2024-06-13,474.8,478.45,462.1,472.55,467.8,466.95,485.9,371.4,298522,139809411.55
2024-06-14,470.0,491.8,464.85,466.95,485.0,483.35,491.8,371.4,616614,297152481.9
2024-06-18,489.35,494.8,473.2,483.35,486.0,486.5,494.8,371.4,351370,170233790.65
2024-06-19,488.0,507.25,479.25,486.5,500.1,499.85,507.25,371.4,597141,296694051.9
2024-06-20,530.15,544.0,500.0,499.85,501.9,504.9,544.0,371.4,1736521,909035986.0
2024-06-21,504.9,512.8,484.6,504.9,494.0,491.1,544.0,371.4,280205,139111219.55
2024-06-24,494.9,515.0,474.7,491.1,511.0,507.05,544.0,371.4,371253,184939470.85
2024-06-25,511.0,540.0,505.0,507.05,535.05,536.6,544.0,371.4,699993,370676438.9
2024-06-26,544.95,578.95,544.0,536.6,554.25,561.95,578.95,371.4,955436,535448049.55
2024-06-27,559.95,561.5,507.5,561.95,518.0,517.65,578.95,371.4,609993,320169099.95
2024-06-28,517.05,524.7,505.5,517.65,516.1,514.6,578.95,371.4,595151,305136028.05
2024-07-01,522.3,522.5,501.0,514.6,516.5,515.55,578.95,371.4,281660,144003347.55
2024-07-02,514.0,522.95,510.1,515.55,516.2,516.35,578.95,371.4,422263,217697745.15
2024-07-03,518.0,532.0,510.7,516.35,518.5,518.85,578.95,371.4,237784,123838720.15
2024-07-04,518.85,568.9,518.05,518.85,555.0,553.65,578.95,371.4,759783,416725302.8
2024-07-05,553.9,553.9,543.0,553.65,550.0,552.15,578.95,371.4,155827,85533397.6
2024-07-08,552.0,592.0,551.95,552.15,573.9,573.4,592.0,371.4,512050,293900394.4
2024-07-09,573.5,573.5,544.75,573.4,546.0,548.2,592.0,371.4,194899,108070265.7
2024-07-10,550.35,613.45,521.95,548.2,605.25,600.35,613.45,371.4,668627,385540039.5
2024-07-11,604.35,634.8,597.95,600.35,628.9,626.15,634.8,371.4,913989,563289596.45
2024-07-12,630.5,634.9,604.25,626.15,620.75,619.75,634.9,371.4,230499,142686623.6
2024-07-15,624.8,628.75,608.25,619.75,615.0,615.45,634.9,371.4,162300,100465301.4
2024-07-16,620.0,637.4,615.55,615.45,634.0,631.55,637.4,371.4,247276,155187409.35
2024-07-18,633.15,757.85,632.0,631.55,703.0,701.3,757.85,371.4,2608734,1840472657.4
2024-07-19,701.3,747.6,641.3,701.3,646.0,647.1,757.85,371.4,1029854,717711836.0
2024-07-22,640.0,648.0,613.7,647.1,627.0,621.6,757.85,371.4,264417,167330618.55
2024-07-23,631.0,641.2,578.9,621.6,615.0,615.4,757.85,371.4,202176,124641948.85
2024-07-24,621.8,652.0,615.4,615.4,649.5,645.9,757.85,371.4,211081,134353101.4
2024-07-25,643.9,657.3,636.25,645.9,640.25,641.5,757.85,371.4,117240,75812023.65
2024-07-26,636.25,650.0,636.25,641.5,638.05,639.95,757.85,371.4,72381,46543388.1
2024-07-29,694.9,701.0,656.35,639.95,698.05,695.4,757.85,371.4,374205,256294252.4
2024-07-30,695.4,706.15,674.5,695.4,681.0,682.2,757.85,371.4,165313,113550593.0
2024-07-31,685.75,697.5,676.0,682.2,689.95,691.2,757.85,371.4,117753,81127742.65
2024-08-01,693.95,695.1,660.6,691.2,681.9,681.05,757.85,371.4,102852,69946244.45
2024-08-02,670.0,675.8,648.05,681.05,672.0,670.0,757.85,371.4,119527,79519503.9
2024-08-05,651.0,662.0,620.05,670.0,626.3,625.7,757.85,371.4,207233,131940547.0
2024-08-06,629.4,648.3,612.55,625.7,625.0,626.55,757.85,371.4,121162,76067274.15
2024-08-07,634.0,656.0,621.2,626.55,631.0,629.25,757.85,371.4,91400,57618662.15
2024-08-08,640.05,683.0,631.65,629.25,676.0,668.35,757.85,371.4,289766,193207766.9
2024-08-09,690.0,712.0,678.05,668.35,695.0,696.1,757.85,371.4,252655,175390822.6
2024-08-12,690.0,710.0,680.0,696.1,685.05,687.05,757.85,371.4,219656,153368123.75
2024-08-13,688.2,704.9,665.55,687.05,669.6,670.95,757.85,371.4,145954,99993085.3
2024-08-14,700.0,746.65,676.55,670.95,715.0,708.5,757.85,371.4,1020405,720124512.4
2024-08-16,739.25,739.25,712.0,708.5,718.0,720.1,757.85,371.4,285146,205864846.35
2024-08-19,727.0,760.0,702.3,720.1,759.0,744.85,760.0,371.4,220556,160180369.7
2024-08-20,789.95,856.0,765.5,744.85,792.0,794.8,856.0,371.4,1875484,1526444881.0
2024-08-21,794.8,819.9,780.25,794.8,785.0,788.35,856.0,371.4,313294,250272096.85
2024-08-22,800.0,946.0,800.0,788.35,861.0,861.7,946.0,371.4,3946638,3525522989.05
2024-08-23,868.0,932.7,865.65,861.7,901.0,899.9,946.0,371.4,1772225,1604782682.0
2024-08-26,888.0,888.0,771.0,899.9,788.0,791.3,946.0,371.4,1430402,1170385566.85
2024-08-27,804.0,814.45,763.55,791.3,767.0,766.7,946.0,371.4,731375,567650315.1
2024-08-28,805.0,824.45,767.25,766.7,790.5,795.35,946.0,371.4,1443853,1143608461.45
2024-08-29,794.0,795.2,755.0,795.35,758.45,758.55,946.0,371.4,354291,272994535.35
2024-08-30,767.95,769.7,731.05,758.55,752.0,749.65,946.0,371.4,613646,456611453.35
2024-09-02,749.65,794.0,743.5,749.65,770.1,776.5,946.0,371.4,623003,484047426.55
2024-09-03,782.8,784.6,762.05,776.5,773.0,773.5,946.0,371.4,265372,205040125.4
2024-09-04,768.05,795.0,760.0,773.5,783.0,782.55,946.0,371.4,342166,267225458.15
2024-09-05,783.0,825.0,780.85,782.55,812.5,809.95,946.0,371.4,764302,620035758.4
2024-09-06,810.5,825.0,765.15,809.95,773.2,771.55,946.0,371.4,420344,334230461.8
2024-09-09,771.6,778.9,748.0,771.55,757.2,756.5,946.0,371.4,238641,180996731.8
2024-09-10,762.35,794.0,762.3,756.5,792.5,789.5,946.0,371.4,356785,278989722.7
2024-09-11,797.8,797.8,746.1,789.5,756.05,750.6,946.0,371.4,303350,232112575.0
2024-09-12,759.9,770.0,719.0,750.6,727.05,726.55,946.0,371.4,494997,363238586.2
2024-09-13,734.9,758.0,723.7,726.55,728.0,727.55,946.0,371.4,282376,207859328.45
2024-09-16,736.0,739.45,700.35,727.55,708.5,708.05,946.0,371.4,427531,303836701.2
2024-09-17,714.0,738.5,702.3,708.05,726.3,725.05,946.0,371.4,560641,403039073.25
2024-09-18,730.0,730.0,707.4,725.05,716.85,713.15,946.0,371.4,305711,219424449.05
2024-09-19,730.0,742.1,702.2,713.15,730.0,728.55,946.0,371.4,418567,302953474.9
2024-09-20,733.9,742.0,707.0,728.55,722.5,722.95,946.0,371.4,271434,197940005.45
2024-09-23,727.9,738.0,717.0,722.95,727.45,729.65,946.0,371.4,217249,158319914.0
2024-09-24,731.75,731.75,707.3,729.65,712.7,712.65,946.0,371.4,115538,83096451.5
2024-09-25,719.85,721.0,705.0,712.65,708.3,712.15,946.0,371.4,174129,123889245.95
2024-09-26,712.15,713.2,701.0,712.15,702.8,702.1,946.0,371.4,110688,78028407.85
2024-09-27,706.25,712.0,690.2,702.1,697.1,696.85,946.0,371.4,138282,97292393.7
2024-09-30,699.0,709.0,683.0,696.85,698.55,699.0,946.0,371.4,256305,177962046.35
2024-10-01,706.8,714.9,700.0,699.0,704.15,704.5,946.0,371.4,136487,96273734.5
2024-10-03,694.0,697.7,669.6,704.5,673.25,675.55,946.0,371.4,445126,304689059.9
2024-10-04,673.9,680.5,650.0,675.55,676.4,672.05,946.0,371.4,189616,126413885.25
2024-10-07,675.0,686.05,625.0,672.05,635.0,633.8,946.0,371.4,430144,274968122.7
2024-10-08,625.0,678.0,623.25,633.8,669.0,668.7,946.0,371.4,240605,157578393.15
2024-10-09,678.7,698.0,662.8,668.7,680.2,679.5,946.0,371.4,225661,154438684.75
2024-10-10,683.0,725.0,681.0,679.5,719.0,720.85,946.0,371.4,313960,222218686.35
2024-10-11,720.55,729.9,700.05,720.85,706.9,707.85,946.0,371.4,202835,145155907.55
2024-10-14,709.05,716.7,702.8,707.85,708.65,709.7,946.0,371.4,170950,121205349.65
2024-10-15,710.4,720.3,695.1,709.7,715.2,712.7,946.0,371.4,182441,129561471.9
2024-10-16,713.0,761.95,708.05,712.7,757.3,755.2,946.0,371.4,438696,324868968.7
2024-10-17,756.0,762.7,734.55,755.2,751.0,749.3,946.0,371.4,234135,175105396.15
2024-10-18,749.3,756.0,735.0,749.3,750.05,752.75,946.0,371.4,126896,94825450.95
2024-10-21,754.0,769.35,739.1,752.75,746.9,745.55,946.0,371.4,115769,86811291.8
2024-10-22,745.55,745.55,691.0,745.55,709.75,711.9,946.0,371.4,235611,169085459.2
2024-10-23,709.0,717.9,696.8,711.9,707.0,707.25,946.0,371.4,133427,94514835.55
2024-10-24,710.0,715.0,701.2,707.25,702.0,705.3,946.0,371.4,76593,54259844.35
2024-10-25,705.0,712.1,671.2,705.3,686.0,682.65,946.0,371.4,112381,77120468.5
2024-10-28,682.65,712.5,675.0,682.65,702.2,702.2,946.0,371.4,73649,51331631.65
2024-10-29,702.05,705.05,678.0,702.2,678.0,680.55,946.0,371.4,111571,76711008.05
2024-10-30,683.9,701.9,681.3,680.55,687.5,685.65,946.0,371.4,63120,43600941.75
