date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2020-11-09,270.5,274.31,265.61,249.96,272.8,272.13,274.31,265.61,104071,27929056.89
2020-11-10,274.0,285.0,274.0,272.13,282.9,282.24,285.0,265.61,30330,8515354.61
2020-11-11,299.7,327.7,279.93,282.24,287.0,285.06,327.7,265.61,7037,1997617.4
2020-11-12,284.58,284.58,279.45,285.06,280.1,281.16,327.7,265.61,878,246414.85
2020-11-13,299.7,299.7,274.55,281.16,283.85,284.33,327.7,265.61,2935,818550.7
2020-11-14,286.43,286.43,281.58,284.33,281.65,283.86,327.7,265.61,827,235209.78
2020-11-17,283.86,289.0,283.86,283.86,288.45,287.94,327.7,265.61,4313,1238766.63
2020-11-18,289.32,295.9,289.32,287.94,294.84,294.82,327.7,265.61,9891,2906262.92
2020-11-19,241.11,294.95,241.11,294.82,288.28,286.68,327.7,241.11,10001,2914959.62
2020-11-20,285.0,293.65,283.38,286.68,292.65,292.54,327.7,241.11,178816,52302507.56
2020-11-23,294.12,294.12,286.81,292.54,290.36,290.25,327.7,241.11,6052,1758178.93
2020-11-24,294.07,297.81,292.75,290.25,296.71,297.35,327.7,241.11,252023,74312153.95
2020-11-25,300.0,301.96,289.95,297.35,290.1,290.65,327.7,241.11,4269,1266273.28
2020-11-26,292.54,295.96,289.05,290.65,294.39,294.14,327.7,241.11,516,150716.99
2020-11-27,295.0,296.0,292.97,294.14,295.7,294.69,327.7,241.11,721,212600.33
2020-12-01,287.6,298.29,287.6,294.69,298.29,298.29,327.7,241.11,1673,494784.78
2020-12-02,297.6,297.97,291.28,298.29,292.68,293.42,327.7,241.11,5355,1570629.11
2020-12-03,293.9,297.6,293.9,293.42,293.9,293.97,327.7,241.11,2403,709945.84
2020-12-04,293.17,300.15,293.17,293.97,300.15,299.97,327.7,241.11,1643,489491.22
2020-12-07,306.0,306.0,298.85,299.97,300.39,302.01,327.7,241.11,897,270311.27
2020-12-08,302.52,303.01,298.56,302.01,299.25,299.25,327.7,241.11,1679,505579.4
2020-12-09,301.21,307.02,300.87,299.25,305.0,305.0,327.7,241.11,1132,342707.0
2020-12-10,315.0,315.0,298.5,305.0,298.5,300.95,327.7,241.11,2256,681176.22
2020-12-11,302.68,306.57,302.0,300.95,304.55,304.02,327.7,241.11,2727,829303.56
2020-12-14,305.09,306.7,304.41,304.02,306.3,306.1,327.7,241.11,735,224681.12
2020-12-15,305.24,306.33,300.22,306.1,306.11,306.11,327.7,241.11,1216,369453.66
2020-12-16,315.0,315.0,305.67,306.11,306.15,306.15,327.7,241.11,375,115075.19
2020-12-17,315.0,315.0,305.71,306.15,307.59,307.59,327.7,241.11,175,53790.08
2020-12-18,306.38,306.38,302.65,307.59,305.95,305.95,327.7,241.11,439,133558.4
2020-12-21,302.0,303.63,291.63,305.95,291.63,292.22,327.7,241.11,3315,991316.35
2020-12-22,295.1,296.71,288.72,292.22,296.44,296.04,327.7,241.11,7777,2274553.4
2020-12-23,295.08,299.22,293.95,296.04,298.0,298.97,327.7,241.11,1270,375753.68
2020-12-24,300.0,304.0,300.0,298.97,303.36,302.9,327.7,241.11,1064,321818.42
2020-12-28,304.0,307.51,304.0,302.9,307.5,307.49,327.7,241.11,1174,360251.6
2020-12-29,310.14,312.8,309.53,307.49,311.35,311.31,327.7,241.11,1623,505009.54
2020-12-30,310.54,313.1,309.11,311.31,312.26,312.26,327.7,241.11,1645,510204.5
2020-12-31,305.6,312.31,305.6,312.26,311.35,310.73,327.7,241.11,651,202430.31
2021-01-01,312.01,313.46,312.0,310.73,312.21,312.86,327.7,241.11,3006,938686.42
2021-01-04,314.83,315.39,308.86,312.86,312.0,312.0,327.7,241.11,2682,837495.61
2021-01-05,304.6,318.23,304.6,312.0,316.53,316.85,327.7,241.11,1797,564376.12
2021-01-06,314.0,319.45,314.0,316.85,317.22,317.22,327.7,241.11,4537,1440976.16
2021-01-07,319.5,321.06,318.0,317.22,319.49,318.85,327.7,241.11,3330,1066142.31
2021-01-08,320.25,321.12,318.88,318.85,320.42,319.46,327.7,241.11,396,126765.4
2021-01-11,320.42,320.82,317.3,319.46,318.38,318.52,327.7,241.11,1615,515407.79
2021-01-12,316.91,323.45,315.71,318.52,321.31,322.19,327.7,241.11,978,312367.69
2021-01-13,338.0,338.0,320.0,322.19,323.73,323.8,338.0,241.11,659,213320.08
2021-01-14,325.67,325.85,323.48,323.8,325.58,325.58,338.0,241.11,758,246357.29
2021-01-15,323.9,323.9,320.0,325.58,321.92,320.41,338.0,241.11,569,182838.4
2021-01-18,321.57,321.73,315.94,320.41,315.94,315.94,338.0,241.11,5022,1593837.47
2021-01-19,318.06,323.99,318.06,315.94,323.65,323.82,338.0,241.11,622,199794.48
2021-01-20,315.6,375.0,315.6,323.82,324.83,324.67,375.0,241.11,1142,370020.33
2021-01-21,325.18,326.89,318.55,324.67,321.13,321.0,375.0,241.11,416,135319.63
2021-01-22,318.97,318.99,309.7,321.0,310.3,310.37,375.0,241.11,2524,788655.2
2021-01-25,313.85,315.38,309.1,310.37,311.97,312.05,375.0,241.11,8302,2600725.33
2021-01-27,310.0,311.24,301.83,312.05,303.55,303.17,375.0,241.11,2423,742236.85
2021-01-28,300.0,304.51,296.69,303.17,302.58,302.42,375.0,241.11,2072,623050.62
2021-01-29,305.0,310.48,302.02,302.42,307.04,305.31,375.0,241.11,694,211264.85
2021-02-01,310.09,332.0,307.6,305.31,332.0,328.58,375.0,241.11,3315,1061132.54
2021-02-02,331.0,345.6,318.6,328.58,335.6,338.82,375.0,241.11,2637,886274.54
2021-02-03,345.0,347.0,338.95,338.82,343.73,344.95,375.0,241.11,813,279831.6
2021-02-04,350.0,352.58,335.6,344.95,350.24,350.47,375.0,241.11,990,344013.45
2021-02-05,354.0,370.0,354.0,350.47,358.07,356.18,375.0,241.11,6805,2451137.69
2021-02-08,363.05,364.58,358.0,356.18,360.95,359.36,375.0,241.11,1286,464800.14
2021-02-09,359.7,363.64,354.78,359.36,357.77,357.87,375.0,241.11,2470,888412.05
2021-02-10,368.6,368.6,354.4,357.87,359.71,358.55,375.0,241.11,508,181752.21
2021-02-11,358.55,359.28,355.0,358.55,358.0,357.11,375.0,241.11,587,209672.84
2021-02-12,367.82,367.82,355.95,357.11,359.52,360.67,375.0,241.11,1263,453627.75
