date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-06-21,186.0,187.65,170.05,178.1,182.1,182.15,187.65,170.05,31565,5615509.65
2022-06-22,191.85,192.0,174.25,182.15,180.75,178.35,192.0,170.05,23998,4285961.1
2022-06-23,177.05,188.5,171.25,178.35,188.5,187.4,192.0,170.05,12751,2273510.8
2022-06-24,192.5,204.85,185.45,187.4,195.0,194.75,204.85,170.05,33344,6427503.55
2022-06-27,195.0,203.65,194.95,194.75,199.5,200.15,204.85,170.05,28161,5656592.0
2022-06-28,200.0,217.75,199.65,200.15,211.0,212.1,217.75,170.05,64847,13530425.65
2022-06-29,227.0,233.3,211.95,212.1,233.3,233.3,233.3,170.05,36200,8113740.7
2022-06-30,244.95,244.95,244.95,233.3,244.95,244.95,244.95,170.05,914,223884.3
2022-07-01,257.15,257.15,234.65,244.95,234.65,235.65,257.15,170.05,97275,24121848.2
2022-07-04,238.8,245.85,238.75,235.65,243.25,243.7,257.15,170.05,37354,9066336.15
2022-07-05,243.25,243.25,234.25,243.7,236.5,237.1,257.15,170.05,32210,7639938.0
2022-07-06,226.3,248.0,226.3,237.1,232.25,232.65,257.15,170.05,60052,13956784.25
2022-07-07,232.75,232.75,223.05,232.65,226.75,226.7,257.15,170.05,44359,10107274.45
2022-07-08,227.0,227.0,224.3,226.7,224.5,225.3,257.15,170.05,41532,9344812.75
2022-07-11,225.3,236.55,225.3,225.3,236.55,231.25,257.15,170.05,67195,15466506.05
2022-07-12,237.75,242.8,237.7,231.25,242.75,241.95,257.15,170.05,61162,14813303.15
2022-07-13,242.95,244.25,230.5,241.95,234.25,232.95,257.15,170.05,69193,16297780.75
2022-07-14,231.0,244.55,230.25,232.95,244.55,244.55,257.15,170.05,58831,13977196.25
2022-07-15,246.0,256.75,246.0,244.55,256.75,256.7,257.15,170.05,26780,6824661.8
2022-07-18,264.75,269.5,248.5,256.7,259.0,260.15,269.5,170.05,75359,19917643.15
2022-07-19,260.0,265.25,254.35,260.15,258.8,257.7,269.5,170.05,58130,15131644.05
2022-07-20,254.0,261.5,252.85,257.7,257.45,258.55,269.5,170.05,51032,13082970.55
2022-07-21,257.75,261.5,253.0,258.55,255.0,255.05,269.5,170.05,72722,18690931.95
2022-07-22,255.5,255.75,251.05,255.05,251.5,251.2,269.5,170.05,65256,16461831.3
2022-07-25,251.5,259.95,251.5,251.2,258.5,258.75,269.5,170.05,47624,12214078.5
2022-07-26,259.5,268.2,259.5,258.75,263.8,264.05,269.5,170.05,45005,11960965.85
2022-07-27,266.5,268.25,264.05,264.05,265.6,265.75,269.5,170.05,42065,11205425.6
2022-07-28,266.25,268.35,265.0,265.75,265.3,265.25,269.5,170.05,27036,7202773.95
2022-07-29,265.75,265.75,261.5,265.25,261.8,261.9,269.5,170.05,62367,16375959.7
2022-08-01,262.25,265.75,262.0,261.9,262.0,263.1,269.5,170.05,83913,22096540.7
2022-08-02,264.0,265.0,262.3,263.1,263.35,263.35,269.5,170.05,57187,15048779.4
2022-08-03,263.75,268.15,259.0,263.35,263.5,264.6,269.5,170.05,124152,32924385.0
2022-08-04,266.0,277.8,266.0,264.6,277.75,276.75,277.8,170.05,34005,9358681.2
2022-08-05,288.55,304.15,280.9,276.75,290.0,288.25,304.15,170.05,96859,28255481.9
2022-08-08,290.25,294.75,288.25,288.25,292.5,291.85,304.15,170.05,41980,12234647.4
2022-08-10,292.75,295.0,291.0,291.85,295.0,294.8,304.15,170.05,32361,9502621.3
2022-08-11,295.25,297.3,291.05,294.8,296.0,295.65,304.15,170.05,38971,11506638.4
2022-08-12,296.25,297.25,294.25,295.65,296.5,296.45,304.15,170.05,26776,7931994.05
2022-08-16,296.75,319.35,290.05,296.45,319.35,316.3,319.35,170.05,62188,19124014.1
2022-08-17,324.95,329.0,321.2,316.3,324.95,324.1,329.0,170.05,58217,19027153.7
2022-08-18,328.0,330.35,321.2,324.1,327.2,327.3,330.35,170.05,73238,23989314.1
2022-08-19,328.3,328.3,317.1,327.3,320.0,319.6,330.35,170.05,48735,15666639.2
2022-08-22,318.0,324.9,308.5,319.6,313.6,310.0,330.35,170.05,56148,17522095.4
2022-08-23,316.95,328.3,316.9,310.0,320.0,321.9,330.35,170.05,54249,17592879.05
2022-08-24,324.9,326.75,309.0,321.9,316.7,318.6,330.35,170.05,52434,16730155.4
2022-08-25,325.9,338.95,307.65,318.6,317.0,311.65,338.95,170.05,225450,74336370.5
2022-08-26,325.55,327.4,320.0,311.65,326.9,325.1,338.95,170.05,57403,18532219.9
2022-08-29,316.0,345.25,306.35,325.1,332.5,329.7,345.25,170.05,196764,64337131.0
2022-08-30,334.9,347.1,323.65,329.7,327.5,329.55,347.1,170.05,141317,47805754.55
2022-09-01,330.9,332.6,314.85,329.55,317.6,318.25,347.1,170.05,52518,16783041.05
2022-09-02,329.2,329.2,304.0,318.25,310.8,306.0,347.1,170.05,139035,43182764.35
2022-09-05,306.1,321.95,306.1,306.0,310.0,310.0,347.1,170.05,43597,13745479.7
2022-09-06,313.9,317.0,308.0,310.0,315.0,314.5,347.1,170.05,48460,15145036.25
2022-09-07,314.5,319.6,309.1,314.5,319.0,314.15,347.1,170.05,50687,15889319.85
2022-09-08,316.6,318.5,312.0,314.15,316.25,314.7,347.1,170.05,48527,15231216.45
2022-09-09,315.0,319.9,305.6,314.7,307.0,307.3,347.1,170.05,52670,16220133.75
2022-09-12,310.1,317.75,308.0,307.3,312.75,311.6,347.1,170.05,48188,15063141.85
2022-09-13,313.0,313.0,308.0,311.6,310.25,309.2,347.1,170.05,56802,17643961.95
2022-09-14,309.6,313.7,308.55,309.2,310.0,311.05,347.1,170.05,45562,14137970.3
2022-09-15,319.95,319.95,310.0,311.05,311.0,310.35,347.1,170.05,43151,13424823.7
2022-09-16,310.6,316.0,308.8,310.35,310.5,310.6,347.1,170.05,50199,15653309.55
