date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-09-26,83.15,85.0,81.25,82.18,83.0,83.13,99.22,79.61,710413,58960053.14
2024-09-27,83.5,83.65,81.1,83.13,82.5,82.24,99.22,79.61,485493,39873207.05
2024-09-30,82.01,82.01,78.35,82.24,80.69,80.58,99.22,78.35,790264,63206087.38
2024-10-01,81.8,84.16,80.75,80.58,82.15,82.18,99.22,78.35,610956,50207654.54
2024-10-03,80.0,81.41,77.71,82.18,78.49,78.4,99.22,77.71,830723,65617689.19
2024-10-04,78.7,79.6,76.94,78.4,78.75,78.68,99.22,76.94,448756,35114817.11
2024-10-07,79.4,79.5,73.6,78.68,74.79,74.68,99.22,73.6,823692,62173042.17
2024-10-08,74.99,78.35,73.62,74.68,76.9,77.07,99.22,73.6,360695,27725276.63
2024-10-09,78.6,78.88,75.75,77.07,76.19,75.91,99.22,73.6,293886,22587530.89
2024-10-10,75.98,76.99,75.2,75.91,76.0,76.26,99.22,73.6,242809,18455887.61
2024-10-11,76.99,78.4,75.66,76.26,77.35,76.88,99.22,73.6,211304,16332375.12
2024-10-14,76.89,78.8,75.78,76.88,76.32,76.8,99.22,73.6,161909,12486835.37
2024-10-15,76.11,77.36,75.59,76.8,76.1,76.03,99.22,73.6,165461,12603553.37
2024-10-16,76.74,76.75,74.41,76.03,74.98,74.87,99.22,73.6,188441,14189949.6
2024-10-17,75.0,76.14,72.76,74.87,73.15,73.13,99.22,72.76,579446,42605412.9
2024-10-18,73.02,73.84,72.0,73.13,72.88,72.75,99.22,72.0,235184,17106004.97
2024-10-21,72.5,74.0,71.3,72.75,72.0,72.0,99.22,71.3,315270,22704847.39
2024-10-22,72.3,72.8,69.1,72.0,70.5,70.14,99.22,69.1,287594,20486532.32
2024-10-23,70.01,72.18,69.48,70.14,71.5,70.67,99.22,69.1,161204,11393717.51
2024-10-24,71.4,77.75,70.67,70.67,74.0,74.04,99.22,69.1,451158,33617390.04
2024-10-25,74.04,74.04,70.0,74.04,71.57,71.42,99.22,69.1,194636,13861524.18
2024-10-28,71.42,72.5,70.65,71.42,71.15,71.28,99.22,69.1,135603,9671171.78
2024-10-29,71.0,72.7,70.5,71.28,72.25,72.12,99.22,69.1,133019,9470706.83
2024-10-30,71.4,73.25,71.4,72.12,72.79,72.68,99.22,69.1,70198,5097054.93
2024-10-31,73.0,73.59,72.02,72.68,72.49,72.86,99.22,69.1,102236,7437614.9
