date,open,high,low,close,volume
2000-01-03,68.6,68.9,66.1,68.45,42545
2000-01-04,69.4,69.9,65.25,68.9,98966
2000-01-05,66.0,67.25,65.5,66.05,79908
2000-01-06,65.0,68.7,65.0,67.35,44015
2000-01-07,67.0,69.0,66.0,67.7,80021
2000-01-10,69.25,69.25,65.55,66.05,114490
2000-01-11,66.0,66.5,64.15,64.6,86721
2000-01-12,64.7,65.4,64.15,65.0,31206
2000-01-13,64.1,65.0,63.3,64.05,84775
2000-01-14,63.25,63.55,62.2,63.4,20668
2000-01-17,64.0,65.5,63.5,64.0,68722
2000-01-18,64.25,64.5,60.0,63.35,60704
2000-01-19,62.5,64.95,62.5,63.9,36341
2000-01-20,63.9,64.5,63.0,63.15,44000
2000-01-21,62.55,64.0,62.55,63.7,34211
2000-01-24,62.7,63.9,62.0,62.3,41285
2000-01-25,60.3,62.25,60.3,61.85,43125
2000-01-27,63.7,63.9,62.05,62.45,30895
2000-01-28,62.5,66.9,62.5,64.1,147220
2000-01-31,64.2,64.6,61.8,62.0,102021
2000-02-01,62.0,62.45,58.0,58.55,151888
2000-02-02,60.0,62.75,57.9,58.5,173487
2000-02-03,59.9,59.9,56.0,56.45,280232
2000-02-04,55.25,56.95,55.1,55.85,127477
2000-02-07,55.15,55.15,53.1,53.7,138556
2000-02-08,54.8,55.1,52.55,53.5,111704
2000-02-09,54.6,55.8,51.0,52.5,133051
2000-02-10,52.95,54.2,52.0,54.05,45703
2000-02-11,54.4,55.75,52.75,52.85,43087
2000-02-14,52.0,54.0,51.15,53.25,74149
2000-02-15,52.15,53.0,50.0,50.7,69177
2000-02-16,52.4,52.4,48.0,49.2,61996
2000-02-17,48.9,50.25,48.9,50.0,92800
2000-02-18,50.5,50.5,47.0,47.95,87610
2000-02-21,49.9,51.0,47.25,47.7,61650
2000-02-22,47.2,47.95,44.2,45.2,93276
2000-02-23,46.1,46.75,43.0,43.95,112498
2000-02-24,45.0,45.0,41.25,41.8,121530
2000-02-25,42.0,43.45,41.3,42.2,74715
2000-02-28,42.9,45.6,42.5,45.45,155447
2000-02-29,45.9,49.1,43.1,46.05,283734
2000-03-01,44.5,49.75,44.5,49.75,246331
2000-03-02,51.25,53.75,48.5,50.2,427190
2000-03-03,49.4,49.4,46.2,46.85,79618
2000-03-06,47.9,47.9,44.0,44.4,107043
2000-03-07,44.0,44.0,41.0,43.0,102839
2000-03-08,43.75,44.4,39.6,39.8,274324
2000-03-09,41.0,41.9,39.75,40.2,76632
2000-03-10,40.75,41.0,39.8,40.4,456389
2000-03-13,41.15,43.0,39.5,40.0,447357
2000-03-14,38.2,40.9,38.1,40.2,247886
2000-03-15,42.95,43.45,41.9,43.45,67718
2000-03-16,46.9,46.95,45.2,46.55,132583
2000-03-21,47.9,48.5,45.2,47.55,161182
2000-03-22,48.9,50.0,47.15,49.6,139072
2000-03-23,49.0,49.85,46.6,46.8,54170
2000-03-24,45.9,46.7,44.75,46.5,41100
2000-03-27,47.25,47.25,44.1,44.45,26268
2000-03-28,44.6,45.85,43.0,44.0,57588
2000-03-29,46.0,46.0,44.7,45.05,22400
2000-03-30,46.0,46.0,44.0,45.3,20165
2000-03-31,45.9,46.9,44.25,46.0,38653
2000-04-03,48.9,49.7,47.0,47.4,60201
2000-04-04,45.5,46.4,43.65,43.65,74854
2000-04-05,44.0,45.95,42.25,44.6,34617
2000-04-06,44.1,45.25,41.05,42.3,287241
2000-04-07,44.45,44.5,40.9,41.4,518468
2000-04-10,42.5,42.5,41.05,41.45,244470
2000-04-11,40.3,41.3,40.0,40.75,217060
2000-04-12,42.4,42.4,40.8,41.0,203921
2000-04-13,39.9,40.75,39.05,40.15,209057
2000-04-17,38.25,40.0,38.0,39.85,71803
2000-04-18,40.0,40.6,39.55,39.9,125239
2000-04-19,41.4,41.5,40.3,40.8,56837
2000-04-20,40.45,40.5,39.5,40.1,77804
2000-04-24,40.5,40.75,39.45,40.45,70763
2000-04-25,40.0,40.35,39.15,40.0,105038
2000-04-26,38.0,40.4,36.5,40.2,251515
2000-04-27,39.5,40.5,38.55,38.8,140818
2000-04-28,39.0,39.8,38.25,38.45,112399
2000-05-02,39.15,39.45,36.95,37.5,109301
2000-05-03,37.9,37.9,36.5,37.05,114536
2000-05-04,37.35,38.0,37.25,37.65,52413
2000-05-05,38.45,39.0,37.25,38.4,91692
2000-05-08,39.8,39.9,37.7,38.25,68921
2000-05-09,38.15,39.25,37.6,38.75,68906
2000-05-10,38.1,38.9,38.05,38.25,23229
2000-05-11,38.5,38.5,37.5,37.65,42640
2000-05-12,38.3,38.3,37.2,37.4,54655
2000-05-15,37.0,37.4,36.1,37.05,43311
2000-05-16,37.0,37.3,36.6,36.75,54948
2000-05-17,37.5,37.5,36.6,37.1,28273
2000-05-18,36.55,37.4,36.55,36.75,15474
2000-05-19,36.5,37.0,36.5,36.55,24167
2000-05-22,36.85,36.85,35.65,35.85,42413
2000-05-23,33.85,35.95,33.85,34.8,143496
2000-05-24,34.6,35.5,34.5,34.95,74655
2000-05-25,36.5,36.5,34.85,35.0,48155
2000-05-26,34.4,35.2,34.4,34.7,61761
2000-05-29,34.85,37.0,34.3,35.1,76009
2000-05-30,35.6,36.0,35.1,35.75,96146
2000-05-31,36.75,38.0,35.1,35.75,185465
2000-06-01,35.5,35.75,34.5,35.1,81395
2000-06-02,35.4,35.8,35.0,35.3,26569
2000-06-05,35.8,36.55,35.0,35.05,144090
2000-06-06,34.95,35.3,34.5,34.8,77092
2000-06-07,35.4,35.65,34.9,35.35,63370
2000-06-08,36.5,38.2,35.35,37.75,207239
2000-06-09,38.9,40.0,37.85,38.25,292762
2000-06-12,38.5,38.9,37.5,37.8,103642
2000-06-13,37.75,38.3,37.3,37.85,100665
2000-06-14,38.6,40.25,38.6,39.2,131311
