date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-07-26,461.3,553.25,457.33,461.87,480.0,498.84,553.25,457.33,468,221498.08
2023-07-27,462.0,469.6,456.31,498.84,457.68,457.14,553.25,456.31,26849,12298066.81
2023-07-28,457.68,457.68,453.3,457.14,453.78,454.54,553.25,453.3,1325,602395.96
2023-07-31,454.9,456.77,453.08,454.54,456.77,455.8,553.25,453.08,417,189717.24
2023-08-01,455.8,456.95,454.15,455.8,454.33,454.37,553.25,453.08,555,253009.99
2023-08-02,454.31,454.31,447.51,454.37,450.79,450.12,553.25,447.51,26043,11738672.11
2023-08-03,450.12,450.12,444.0,450.12,446.24,445.71,553.25,444.0,1910,853801.07
2023-08-04,446.51,458.0,445.7,445.71,452.79,447.77,553.25,444.0,5501,2466739.03
2023-08-07,448.0,454.0,446.97,447.77,453.99,453.77,553.25,444.0,256,115257.66
2023-08-08,449.3,455.6,447.35,453.77,454.8,454.8,553.25,444.0,186,83727.33
2023-08-09,449.3,449.5,446.0,454.8,449.23,447.37,553.25,444.0,1644,734338.06
2023-08-10,447.3,448.76,444.0,447.37,444.0,444.6,553.25,444.0,303,135293.97
2023-08-11,444.3,453.0,443.17,444.6,443.17,443.29,553.25,443.17,1623,721258.45
2023-08-14,448.0,448.0,439.02,443.29,441.04,440.86,553.25,439.02,925,407445.09
2023-08-16,440.31,440.31,437.27,440.86,439.43,439.73,553.25,437.27,1658,726646.85
2023-08-17,439.3,441.15,438.01,439.73,439.62,439.18,553.25,437.27,319,140141.17
2023-08-18,439.3,440.15,438.3,439.18,440.15,440.11,553.25,437.27,10324,4536177.4
2023-08-21,459.92,459.92,439.92,440.11,439.92,440.33,553.25,437.27,1516,669474.04
2023-08-22,460.15,460.15,440.02,440.33,441.34,441.08,553.25,437.27,1319,594672.7
2023-08-23,439.01,445.9,439.01,441.08,445.9,445.86,553.25,437.27,340,150458.77
2023-08-24,454.78,454.78,445.3,445.86,446.26,445.87,553.25,437.27,224,100500.79
2023-08-25,445.3,445.3,441.0,445.87,442.68,442.82,553.25,437.27,360,159307.76
2023-08-28,443.5,447.0,443.5,442.82,447.0,445.68,553.25,437.27,140,62342.13
2023-08-29,445.3,446.59,444.49,445.68,444.49,444.96,553.25,437.27,750,334653.79
2023-08-30,446.1,449.0,442.0,444.96,449.0,443.52,553.25,437.27,258,114932.24
2023-08-31,443.52,447.6,440.0,443.52,440.0,441.03,553.25,437.27,1351,597660.51
2023-09-01,442.82,445.59,439.76,441.03,444.02,444.27,553.25,437.27,384,169990.88
2023-09-04,444.85,446.79,444.0,444.27,445.65,446.56,553.25,437.27,820,364597.73
2023-09-05,446.88,446.88,445.0,446.56,446.67,446.67,553.25,437.27,255,113764.9
2023-09-06,446.3,446.3,443.38,446.67,445.91,445.45,553.25,437.27,488,217030.81
2023-09-07,445.31,449.52,444.44,445.45,449.33,448.54,553.25,437.27,656,292450.0
2023-09-08,449.0,454.29,448.98,448.54,452.21,452.21,553.25,437.27,1947,877155.21
