date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,219.9,226.5,219.0,209.7,226.0,224.1,349.0,148.5,250560,55633991.85
2000-01-04,225.0,226.4,213.25,224.1,217.5,215.35,349.0,148.5,235889,51476331.05
2000-01-05,205.0,222.0,205.0,215.35,213.4,211.8,349.0,148.5,238715,51488965.05
2000-01-06,214.0,228.75,214.0,211.8,225.8,226.95,349.0,148.5,667010,150867381.35
2000-01-07,225.0,229.0,215.1,226.95,218.0,217.1,349.0,148.5,603282,133766993.85
2000-01-10,225.0,229.0,203.1,217.1,220.0,220.4,349.0,148.5,552905,123673901.05
2000-01-11,215.1,222.9,205.45,220.4,212.0,211.75,349.0,148.5,464451,99161032.7
2000-01-12,217.0,221.9,215.0,211.75,221.0,220.0,349.0,148.5,296657,64659245.65
2000-01-13,223.9,225.0,207.0,220.0,208.25,208.75,349.0,148.5,643419,138726117.45
2000-01-14,213.0,214.0,208.05,208.75,213.7,211.9,349.0,148.5,319473,67252493.05
2000-01-17,214.9,219.65,209.5,211.9,212.5,210.7,349.0,148.5,506233,108966459.45
2000-01-18,213.0,214.9,210.0,210.7,211.0,211.45,349.0,148.5,529461,112209211.1
2000-01-19,219.0,228.4,215.95,211.45,223.0,223.85,349.0,148.5,913154,205300898.75
2000-01-20,225.0,225.0,215.5,223.85,216.0,216.1,349.0,148.5,236151,51827529.4
2000-01-21,216.0,216.9,213.3,216.1,215.3,214.8,349.0,148.5,384706,82622409.65
2000-01-24,215.5,216.0,206.0,214.8,206.35,207.55,349.0,148.5,308995,65251645.7
2000-01-25,206.0,207.9,202.0,207.55,203.4,202.95,349.0,148.5,461529,94384491.8
2000-01-27,207.85,209.0,197.3,202.95,199.85,199.45,349.0,148.5,487933,99216286.2
2000-01-28,196.05,196.05,189.0,199.45,191.55,190.3,349.0,148.5,456783,87951902.15
2000-01-31,190.0,190.5,175.1,190.3,175.1,175.1,349.0,148.5,255875,45908798.45
2000-02-01,171.0,189.15,167.5,175.1,183.0,184.1,349.0,148.5,1173235,213261922.3
2000-02-02,189.9,198.85,184.0,184.1,191.9,192.1,349.0,148.5,1997302,387655054.9
2000-02-03,194.0,203.0,193.0,192.1,195.8,196.9,349.0,148.5,1251984,247666080.45
2000-02-04,196.5,199.0,183.5,196.9,185.0,185.65,349.0,148.5,1024687,194039259.9
2000-02-07,187.4,190.6,183.5,185.65,184.5,184.3,349.0,148.5,485717,91133798.2
2000-02-08,188.0,188.0,180.55,184.3,185.5,184.85,349.0,148.5,822499,151201301.3
2000-02-09,188.0,194.7,186.05,184.85,188.5,189.0,349.0,148.5,692525,131717900.3
2000-02-10,188.5,191.5,182.75,189.0,184.0,183.6,349.0,148.5,326481,60733138.5
2000-02-11,186.0,189.0,177.0,183.6,179.0,178.4,349.0,148.5,516115,93919810.15
2000-02-14,171.05,179.45,168.15,178.4,168.2,169.75,349.0,148.5,315471,54841793.65
2000-02-15,168.0,175.0,156.2,169.75,159.95,157.8,349.0,148.5,836251,137997172.2
2000-02-16,164.0,166.0,153.0,157.8,157.75,157.5,349.0,148.5,1332449,210213348.95
2000-02-17,157.9,163.95,155.1,157.5,156.4,157.1,349.0,148.5,540722,86355692.3
2000-02-18,154.5,155.3,144.55,157.1,144.55,144.95,349.0,148.5,1359041,199610800.35
2000-02-21,147.0,156.55,147.0,144.95,156.55,156.45,349.0,144.55,1266156,193488061.75
2000-02-22,159.0,159.75,147.3,156.45,149.35,148.75,349.0,144.55,1230432,186298261.5
2000-02-23,155.2,157.0,148.0,148.75,149.25,148.65,349.0,144.55,538199,81947347.85
2000-02-24,150.8,152.8,146.95,148.65,151.0,150.75,349.0,144.55,298604,44872991.55
2000-02-25,152.05,153.9,145.0,150.75,146.2,145.65,349.0,144.55,405633,60312759.0
2000-02-28,146.75,157.0,143.0,145.65,156.0,155.85,349.0,144.55,665985,100795245.45
2000-02-29,157.0,162.5,143.4,155.85,144.0,145.5,349.0,143.0,845920,131568627.25
2000-03-01,147.95,150.0,140.0,145.5,144.0,142.3,349.0,143.0,760003,110875947.45
2000-03-02,145.5,145.9,130.95,142.3,130.95,130.95,349.0,140.0,897540,121569584.7
2000-03-03,128.0,130.0,121.5,130.95,124.7,122.75,349.0,130.95,761444,95430887.95
2000-03-06,125.5,132.6,125.5,122.75,132.6,132.3,349.0,121.5,723214,94192165.05
2000-03-07,130.0,133.7,123.0,132.3,125.0,124.35,349.0,121.5,739526,92545434.95
2000-03-08,127.9,134.3,125.1,124.35,134.25,132.65,349.0,121.5,704513,92145991.6
2000-03-09,138.0,138.0,125.8,132.65,131.15,131.85,349.0,121.5,561486,72887028.0
2000-03-10,134.9,134.9,122.55,131.85,124.75,123.45,349.0,121.5,465510,58461357.9
2000-03-13,125.0,127.0,122.0,123.45,122.5,122.4,349.0,121.5,333114,41242042.55
2000-03-14,123.65,129.15,121.05,122.4,125.15,125.1,349.0,121.5,881442,109850512.75
2000-03-15,128.0,133.65,125.0,125.1,125.7,125.75,349.0,121.05,992379,128208767.4
2000-03-16,125.55,127.5,122.1,125.75,123.4,123.05,349.0,121.05,519520,64436878.95
2000-03-21,125.85,132.9,120.15,123.05,132.9,131.8,349.0,121.05,1082800,138341318.5
2000-03-22,135.8,142.35,133.45,131.8,138.9,138.65,349.0,120.15,1198033,165793239.2
2000-03-23,139.5,139.5,130.1,138.65,131.95,131.45,349.0,120.15,588017,78588812.65
2000-03-24,130.1,133.9,125.3,131.45,132.2,131.65,349.0,120.15,523675,67698821.5
2000-03-27,132.0,134.7,130.0,131.65,131.3,131.4,349.0,120.15,405832,53688970.4
2000-03-28,130.85,138.5,127.6,131.4,136.1,136.3,349.0,120.15,749559,99484306.45
2000-03-29,144.0,144.0,132.0,136.3,132.5,132.55,349.0,120.15,263783,35315180.5
2000-03-30,130.3,131.5,121.95,132.55,125.1,125.25,349.0,120.15,951323,118388527.4
2000-03-31,123.25,128.5,120.3,125.25,125.85,125.65,349.0,120.15,776134,97302067.05
2000-04-03,126.3,134.35,126.2,125.65,131.0,132.75,349.0,120.15,1267955,165353555.7
2000-04-04,129.5,132.0,122.15,132.75,122.15,122.15,349.0,120.15,665295,83301517.1
2000-04-05,130.95,130.95,120.0,122.15,121.9,121.95,349.0,120.15,597503,73199471.3
2000-04-06,123.5,124.0,114.0,121.95,118.0,117.8,349.0,120.0,516598,61335295.95
2000-04-07,119.8,125.0,119.0,117.8,122.7,123.1,349.0,114.0,1318715,162194136.6
2000-04-10,124.5,130.2,123.0,123.1,124.9,125.55,349.0,114.0,1659736,210708165.85
2000-04-11,123.3,125.0,116.0,125.55,123.0,123.0,349.0,114.0,626343,76850762.05
2000-04-12,124.0,128.4,123.5,123.0,123.55,123.9,349.0,114.0,710860,89323874.2
2000-04-13,121.3,122.7,117.5,123.9,120.95,120.35,349.0,114.0,585566,70681292.0
2000-04-17,118.0,120.0,111.0,120.35,116.95,117.2,349.0,114.0,554811,65001646.35
2000-04-18,118.95,119.85,109.7,117.2,112.0,111.3,349.0,111.0,1001542,113420145.55
2000-04-19,114.45,114.45,102.4,111.3,102.4,102.6,349.0,109.7,1501466,160590823.45
2000-04-20,100.0,100.0,94.9,102.6,95.75,96.75,349.0,102.4,2162311,209739509.5
2000-04-24,97.7,97.75,89.05,96.75,89.05,90.3,349.0,94.9,783647,73100925.55
2000-04-25,85.0,94.0,83.1,90.3,93.0,92.25,349.0,89.05,1948990,169956574.0
