date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,72.45,74.45,70.75,68.9,74.45,74.45,82.4,30.5,131569,9609292.85
2000-01-04,76.9,76.95,71.0,74.45,73.1,73.75,82.4,30.5,132327,9670663.1
2000-01-05,71.5,71.9,68.0,73.75,69.85,69.05,82.4,30.5,129477,9083597.55
2000-01-06,70.9,74.2,68.55,69.05,70.75,71.05,82.4,30.5,182113,13150078.3
2000-01-07,67.0,71.5,66.5,71.05,67.25,67.4,82.4,30.5,102816,7019155.95
2000-01-10,68.0,69.9,67.5,67.4,68.4,68.05,82.4,30.5,76766,5239139.3
2000-01-11,68.0,70.85,67.0,68.05,67.0,67.95,82.4,30.5,183483,12622228.25
2000-01-12,69.95,70.5,68.7,67.95,69.75,69.4,82.4,30.5,37012,2566892.4
2000-01-13,71.45,71.45,68.05,69.4,68.2,68.3,82.4,30.5,56575,3959361.95
2000-01-14,71.0,71.0,66.0,68.3,66.65,66.4,82.4,30.5,47349,3176779.4
2000-01-17,68.0,68.0,65.05,66.4,66.7,66.85,82.4,30.5,27239,1815652.05
2000-01-18,66.85,67.1,64.3,66.85,64.95,65.1,82.4,30.5,94403,6199116.75
2000-01-19,66.1,70.2,66.1,65.1,70.0,69.25,82.4,30.5,93737,6394804.75
2000-01-20,70.0,70.9,67.5,69.25,67.75,67.65,82.4,30.5,88109,6115083.6
2000-01-21,65.75,68.0,65.75,67.65,67.5,67.2,82.4,30.5,46470,3123861.1
2000-01-24,68.0,70.0,66.6,67.2,67.5,67.15,82.4,30.5,52603,3555855.9
2000-01-25,70.0,71.9,68.2,67.15,68.3,68.95,82.4,30.5,175193,12162230.15
2000-01-27,71.5,73.0,69.65,68.95,70.0,70.05,82.4,30.5,170530,12150578.25
2000-01-28,72.0,72.5,67.8,70.05,68.3,68.3,82.4,30.5,75380,5172623.6
2000-01-31,67.0,68.0,65.0,68.3,65.0,65.1,82.4,30.5,56749,3783650.9
2000-02-01,64.15,65.0,63.3,65.1,63.5,63.7,82.4,30.5,86216,5538501.3
2000-02-02,66.6,67.0,65.0,63.7,66.4,66.05,82.4,30.5,57378,3783787.0
2000-02-03,66.95,66.95,65.25,66.05,65.9,65.4,82.4,30.5,18853,1240008.45
2000-02-04,64.6,66.35,64.0,65.4,66.15,65.65,82.4,30.5,77198,5068037.15
2000-02-07,65.0,65.7,63.5,65.65,64.5,64.6,82.4,30.5,38825,2516478.7
2000-02-08,64.0,65.75,63.85,64.6,64.5,65.35,82.4,30.5,77647,5009590.0
2000-02-09,68.0,68.0,64.65,65.35,66.7,66.4,82.4,30.5,56890,3763078.25
2000-02-10,65.95,67.25,65.1,66.4,67.0,66.75,82.4,30.5,28862,1920026.6
2000-02-11,65.4,66.0,64.5,66.75,64.75,64.7,82.4,30.5,35573,2315312.9
2000-02-14,64.0,65.0,61.15,64.7,64.0,64.0,82.4,30.5,41205,2635786.5
2000-02-15,67.0,67.0,63.3,64.0,64.0,64.3,82.4,30.5,58449,3743565.85
2000-02-16,65.9,66.0,64.5,64.3,66.0,65.7,82.4,30.5,47366,3096674.5
2000-02-17,65.05,67.4,65.0,65.7,66.15,66.3,82.4,30.5,33079,2186932.65
2000-02-18,68.0,68.0,65.15,66.3,66.0,66.05,82.4,30.5,84947,5591240.25
2000-02-21,67.0,67.5,64.0,66.05,64.15,64.25,82.4,30.5,30442,1993420.55
2000-02-22,64.05,69.0,64.0,64.25,69.0,67.45,82.4,30.5,126740,8353414.85
2000-02-23,68.5,69.25,65.0,67.45,65.0,65.05,82.4,30.5,62253,4147548.55
2000-02-24,65.1,65.9,64.0,65.05,65.0,65.0,82.4,30.5,63134,4084538.4
2000-02-25,64.0,65.9,63.1,65.0,64.5,64.8,82.4,30.5,28382,1837290.8
2000-02-28,64.25,68.0,62.5,64.8,68.0,66.35,82.4,30.5,33071,2141017.0
2000-02-29,66.0,68.75,61.1,66.35,61.1,61.9,82.4,30.5,61673,3999160.55
2000-03-01,61.3,61.35,59.0,61.9,61.0,60.65,82.4,30.5,106357,6428320.85
2000-03-02,60.5,61.45,59.65,60.65,60.0,60.05,82.4,30.5,146829,8814316.7
2000-03-03,57.1,57.5,55.5,60.05,56.2,56.0,82.4,30.5,150852,8511931.8
2000-03-06,53.25,58.6,51.7,56.0,52.0,52.0,82.4,30.5,40307,2112222.75
2000-03-07,51.0,56.0,51.0,52.0,55.1,55.35,82.4,30.5,67933,3625382.55
2000-03-08,55.0,55.0,51.0,55.35,51.5,51.15,82.4,30.5,83851,4325613.95
2000-03-09,50.5,52.0,50.5,51.15,51.7,51.4,82.4,30.5,27309,1397414.65
2000-03-10,50.5,52.8,50.0,51.4,51.75,51.55,82.4,30.5,170400,8779110.2
2000-03-13,53.2,53.2,51.0,51.55,52.05,52.05,82.4,30.5,50411,2622980.15
2000-03-14,51.0,52.4,48.4,52.05,51.0,50.8,82.4,30.5,161917,8150432.2
2000-03-15,52.4,54.9,52.3,50.8,53.0,53.0,82.4,30.5,48535,2581332.0
2000-03-16,53.25,53.3,50.95,53.0,51.2,51.0,82.4,30.5,42080,2158442.2
2000-03-21,51.0,52.85,49.45,51.0,50.35,50.15,82.4,30.5,62400,3135901.55
2000-03-22,50.65,51.8,49.9,50.15,50.1,50.0,82.4,30.5,12825,647405.45
2000-03-23,50.0,50.4,49.45,50.0,50.0,50.0,82.4,30.5,63227,3158347.45
2000-03-24,49.05,49.9,46.65,50.0,48.15,48.05,82.4,30.5,26661,1270989.15
2000-03-27,48.05,48.95,48.0,48.05,48.5,48.5,82.4,30.5,28131,1362718.75
2000-03-28,48.1,49.9,48.0,48.5,49.0,48.3,82.4,30.5,39578,1915945.75
2000-03-29,49.9,49.9,48.5,48.3,48.8,49.05,82.4,30.5,29111,1425140.8
2000-03-30,49.5,49.5,48.0,49.05,49.0,49.0,82.4,30.5,13211,640751.75
2000-03-31,47.0,52.4,47.0,49.0,52.0,51.35,82.4,30.5,26345,1324489.0
2000-04-03,52.0,54.95,52.0,51.35,54.0,54.0,82.4,30.5,39240,2117949.4
2000-04-04,53.0,53.7,49.7,54.0,50.8,50.6,82.4,30.5,94460,4760060.2
2000-04-05,50.0,50.0,47.0,50.6,49.35,49.3,82.4,30.5,111240,5430311.8
2000-04-06,49.0,49.9,47.2,49.3,49.65,49.55,82.4,30.5,62253,3005656.45
2000-04-07,49.75,52.5,48.7,49.55,51.05,52.0,82.4,30.5,97926,4991491.8
2000-04-10,52.5,52.5,49.1,52.0,50.35,50.55,82.4,30.5,52094,2664588.1
2000-04-11,49.5,49.9,48.5,50.55,49.0,48.85,82.4,30.5,47423,2324545.5
2000-04-12,49.0,50.5,48.7,48.85,50.0,50.1,82.4,30.5,58297,2888396.35
2000-04-13,48.25,49.3,47.9,50.1,48.45,48.5,82.4,30.5,16882,820642.5
2000-04-17,47.1,48.5,47.0,48.5,48.2,48.0,82.4,30.5,27048,1293051.0
2000-04-18,49.0,49.0,45.5,48.0,46.4,46.1,82.4,30.5,31649,1474454.8
2000-04-19,46.7,47.25,44.25,46.1,44.7,44.4,82.4,30.5,25383,1159901.55
2000-04-20,46.0,46.0,41.8,44.4,43.0,42.9,82.4,30.5,33966,1447674.65
2000-04-24,42.45,42.5,40.15,42.9,40.5,40.55,82.4,30.5,33835,1385907.85
2000-04-25,40.0,40.9,38.0,40.55,40.05,40.3,82.4,30.5,78806,3080478.6
2000-04-26,41.0,42.9,40.0,40.3,42.15,42.5,82.4,30.5,40131,1661955.25
2000-04-27,41.9,42.5,41.7,42.5,42.0,42.0,82.4,30.5,38346,1611439.2
2000-04-28,43.5,43.5,41.0,42.0,42.0,42.0,82.4,30.5,64004,2669280.8
2000-05-02,40.5,41.9,39.6,42.0,40.25,40.4,82.4,30.5,31878,1300106.4
2000-05-03,41.0,41.5,39.6,40.4,40.45,40.25,82.4,31.25,7436,301559.1
2000-05-04,40.1,41.15,40.1,40.25,41.0,40.8,82.4,31.25,3500,142926.25
2000-05-05,41.0,45.7,40.1,40.8,45.7,45.7,82.4,31.25,21516,912872.85
2000-05-08,46.0,51.2,46.0,45.7,51.15,51.2,82.4,31.25,58245,2890068.55
2000-05-09,51.5,51.75,49.55,51.2,51.75,51.35,82.4,32.9,63533,3198738.2
2000-05-10,51.0,55.5,48.05,51.35,55.5,54.65,82.4,32.9,126138,6578904.2
2000-05-11,52.1,54.3,50.3,54.65,50.5,50.6,82.4,32.9,38189,1990297.1
2000-05-12,50.5,56.7,50.5,50.6,56.7,56.7,82.4,32.9,149006,8272225.35
2000-05-15,56.0,56.0,52.75,56.7,56.0,55.3,82.4,32.9,64970,3551580.2
2000-05-16,55.1,57.95,55.0,55.3,57.95,56.3,82.4,35.5,75580,4184971.1
2000-05-17,56.5,56.5,55.0,56.3,55.6,55.8,82.4,35.5,36707,2029866.45
2000-05-18,54.65,56.0,52.1,55.8,52.8,53.0,82.4,35.5,57227,3145410.1
2000-05-19,52.8,55.5,52.0,53.0,55.0,55.05,82.4,35.5,60336,3256008.85
2000-05-22,54.25,54.25,49.4,55.05,53.1,51.95,82.4,35.5,68533,3534195.15
2000-05-23,51.55,58.2,51.25,51.95,58.2,57.05,82.4,35.5,63217,3428539.55
2000-05-24,55.5,63.9,54.25,57.05,63.9,62.6,82.4,35.5,141341,8534089.05
2000-05-25,63.0,70.15,63.0,62.6,70.15,70.15,82.4,35.5,710277,48888809.6
2000-05-26,70.4,71.0,68.0,70.15,69.6,69.3,82.4,35.5,152207,10522565.3
2000-05-29,69.5,72.95,67.55,69.3,69.25,69.2,82.4,35.5,125848,8752235.85
2000-05-30,68.25,76.4,68.1,69.2,71.0,72.6,82.4,36.6,215332,15642855.25
2000-05-31,72.05,81.35,71.0,72.6,81.35,80.95,82.4,36.6,463102,35844022.15
2000-06-01,80.0,86.95,79.0,80.95,83.0,84.05,82.4,36.6,499040,42013584.05
2000-06-02,86.0,94.0,84.0,84.05,92.2,92.5,86.95,36.6,633974,56951910.05
2000-06-05,95.0,97.6,86.0,92.5,91.05,90.5,94.0,36.6,719193,65344860.5
2000-06-06,89.0,92.0,87.35,90.5,91.0,91.1,97.6,38.0,222555,19951233.55
2000-06-07,88.1,102.05,85.3,91.1,102.05,102.05,97.6,38.0,442949,43094494.5
2000-06-08,107.4,114.3,103.1,102.05,114.3,114.3,102.05,38.0,242014,27376380.55
2000-06-09,122.9,128.0,111.0,114.3,125.5,126.45,114.3,38.0,582038,69975737.25
2000-06-12,129.0,129.0,111.3,126.45,111.3,112.0,128.0,38.0,521330,62619744.95
2000-06-13,107.5,117.0,105.65,112.0,112.25,113.2,129.0,38.0,803200,89104578.7
2000-06-14,119.0,119.0,106.0,113.2,110.05,109.0,129.0,38.0,127879,13981335.55
2000-06-15,107.0,109.9,104.0,109.0,105.5,105.15,129.0,38.0,94520,10032318.1
2000-06-16,103.3,114.8,95.05,105.15,110.55,111.95,129.0,38.0,668738,70729837.9
2000-06-19,114.95,114.95,99.5,111.95,102.3,101.9,129.0,38.0,225760,23933535.85
2000-06-20,102.0,114.15,102.0,101.9,113.4,112.4,129.0,38.0,422627,46735454.15
2000-06-21,106.0,117.0,104.5,112.4,106.4,105.35,129.0,38.0,163493,17724898.2
2000-06-22,106.0,108.0,101.75,105.35,104.2,103.9,129.0,38.0,80838,8416096.85
2000-06-23,101.25,106.5,99.0,103.9,106.0,105.55,129.0,38.0,275657,28480762.55
2000-06-26,104.45,109.5,101.6,105.55,103.05,103.2,129.0,38.0,174398,18113849.65
2000-06-27,103.0,104.35,100.05,103.2,100.65,100.55,129.0,38.0,73783,7558058.75
2000-06-28,101.0,103.0,97.5,100.55,100.5,100.0,129.0,38.0,35813,3578515.35
2000-06-29,102.1,102.1,99.5,100.0,101.0,101.05,129.0,38.0,63298,6383829.65
2000-06-30,96.0,103.8,96.0,101.05,102.0,101.9,129.0,38.0,83498,8501270.5
2000-07-03,103.7,106.75,101.8,101.9,103.0,102.6,129.0,38.0,73498,7644336.55
2000-07-04,103.4,104.6,102.0,102.6,103.15,102.45,129.0,38.0,41718,4287882.25
2000-07-05,102.1,102.9,101.0,102.45,101.0,101.15,129.0,38.0,11621,1182989.75
