date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2020-11-24,158.5,160.5,154.2,158.15,156.9,156.1,160.5,154.2,148351,23622044.25
2020-11-25,159.0,160.15,152.1,156.1,153.4,152.8,160.5,152.1,70855,10913301.5
2020-11-26,155.9,158.9,152.5,152.8,157.15,158.35,160.5,152.1,90047,14059402.8
2020-11-27,158.95,161.7,156.25,158.35,158.0,158.4,161.7,152.1,123709,19648825.1
2020-12-01,159.3,166.3,158.0,158.4,166.3,166.3,166.3,152.1,89998,14792590.2
2020-12-02,174.6,174.6,168.4,166.3,170.0,171.05,174.6,152.1,488579,84899146.95
2020-12-03,172.55,175.8,167.0,171.05,168.95,168.05,175.8,152.1,176103,29983415.95
2020-12-04,169.05,170.65,162.0,168.05,166.9,165.8,175.8,152.1,118504,19858700.8
2020-12-07,168.0,181.0,166.45,165.8,173.5,173.15,181.0,152.1,302269,53278737.25
2020-12-08,176.7,180.05,167.0,173.15,170.15,169.9,181.0,152.1,172492,29722035.0
2020-12-09,170.15,175.3,167.35,169.9,168.5,168.9,181.0,152.1,129705,22069259.55
2020-12-10,167.9,169.95,163.0,168.9,163.0,163.7,181.0,152.1,87677,14480547.05
2020-12-11,165.0,173.0,162.0,163.7,169.8,168.95,181.0,152.1,144625,24378066.5
2020-12-14,172.7,185.8,171.5,168.95,185.8,185.8,185.8,152.1,278148,50126409.35
2020-12-15,199.35,204.35,188.8,185.8,191.65,195.2,204.35,152.1,1343829,270129862.9
2020-12-16,193.85,198.6,188.3,195.2,193.0,191.85,204.35,152.1,296750,57442072.75
2020-12-17,194.1,197.9,172.7,191.85,174.5,177.0,204.35,152.1,459630,85328168.8
2020-12-18,176.0,178.7,171.0,177.0,173.05,173.6,204.35,152.1,263912,45961829.55
2020-12-21,175.8,187.3,164.0,173.6,169.05,170.15,204.35,152.1,469567,84232224.75
2020-12-22,173.5,185.0,165.0,170.15,184.8,183.65,204.35,152.1,453300,79842036.7
2020-12-23,185.4,202.0,184.0,183.65,200.95,201.25,204.35,152.1,967295,190427665.95
2020-12-24,205.0,214.65,199.0,201.25,200.6,202.25,214.65,152.1,785144,161740879.15
2020-12-28,204.25,214.95,196.45,202.25,211.6,210.35,214.95,152.1,810704,169589864.15
2020-12-29,212.4,231.35,212.4,210.35,231.35,231.35,231.35,152.1,871028,196245814.95
2020-12-30,236.5,242.9,225.7,231.35,242.9,242.9,242.9,152.1,1458773,349690654.7
2020-12-31,245.0,254.0,230.8,242.9,230.8,231.4,254.0,152.1,1227680,297851623.1
2021-01-01,226.0,226.0,219.85,231.4,219.85,219.85,254.0,152.1,296318,65321218.75
2021-01-04,221.1,230.8,221.1,219.85,230.8,230.8,254.0,152.1,406680,93311365.8
2021-01-05,239.95,241.8,225.55,230.8,233.0,233.05,254.0,152.1,567039,133095588.3
2021-01-06,235.45,239.75,223.95,233.05,226.95,226.5,254.0,152.1,314230,72400306.8
2021-01-07,234.0,234.0,225.0,226.5,227.95,227.2,254.0,152.1,186842,42554897.2
2021-01-08,229.0,233.95,226.0,227.2,227.0,227.45,254.0,152.1,285380,65802044.95
2021-01-11,229.5,229.5,216.5,227.45,217.0,216.9,254.0,152.1,237714,52326258.2
2021-01-12,219.0,219.4,210.4,216.9,211.5,211.35,254.0,152.1,145376,31045897.0
2021-01-13,211.5,220.75,207.5,211.35,210.45,209.85,254.0,152.1,266784,57117408.45
2021-01-14,208.5,213.8,204.0,209.85,205.0,205.1,254.0,152.1,196605,40601797.6
2021-01-15,203.05,211.0,203.05,205.1,206.7,206.05,254.0,152.1,147564,30538058.55
2021-01-18,208.8,208.8,195.75,206.05,195.75,196.2,254.0,152.1,175408,34773592.4
2021-01-19,197.5,202.9,197.0,196.2,198.4,198.15,254.0,152.1,136152,27168274.9
2021-01-20,200.0,208.05,198.05,198.15,208.05,208.05,254.0,152.1,230865,47249836.05
2021-01-21,211.0,214.35,200.05,208.05,203.5,201.55,254.0,152.1,205301,42632190.3
2021-01-22,206.0,206.0,193.85,201.55,196.6,195.85,254.0,152.1,183174,36565238.35
2021-01-25,198.0,201.0,190.0,195.85,193.0,191.15,254.0,152.1,86350,16775727.95
2021-01-27,192.0,196.05,185.05,191.15,188.0,190.45,254.0,152.1,113730,21829565.35
2021-01-28,189.0,192.95,184.0,190.45,188.0,186.25,254.0,152.1,135398,25416431.0
2021-01-29,186.85,190.95,181.55,186.25,181.55,183.0,254.0,152.1,121752,22792000.4
2021-02-01,187.9,192.15,180.15,183.0,192.15,190.35,254.0,152.1,130209,24246439.05
2021-02-02,194.25,196.15,190.0,190.35,190.5,191.35,254.0,152.1,80906,15620775.2
2021-02-03,191.35,196.65,189.45,191.35,191.5,191.15,254.0,152.1,133066,25549147.15
2021-02-04,193.0,197.6,191.1,191.15,194.4,194.7,254.0,152.1,110722,21564341.4
2021-02-05,196.25,212.0,193.55,194.7,209.0,208.25,254.0,152.1,276286,56301284.1
2021-02-08,214.15,215.05,203.0,208.25,204.5,204.25,254.0,152.1,156014,32552576.25
