date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2025-03-19,1001.47,1001.49,1001.47,1001.14,1001.49,1001.49,1001.49,1001.47,78708,78825274.84
2025-03-20,1001.64,1001.66,1001.64,1001.49,1001.64,1001.65,1001.66,1001.47,10053,10069687.66
2025-03-21,1002.15,1002.17,1002.15,1001.65,1002.16,1002.16,1002.17,1001.47,1501,1504227.3
2025-03-24,1002.32,1002.32,1002.3,1002.16,1002.32,1002.31,1002.32,1001.47,2584,2589993.76
2025-03-25,1002.48,1002.48,1002.48,1002.31,1002.48,1002.48,1002.48,1001.47,10,10024.8
2025-03-26,1002.64,1002.64,1002.62,1002.48,1002.62,1002.63,1002.64,1001.47,537,538417.66
2025-03-27,1002.8,1002.8,1002.78,1002.63,1002.78,1002.78,1002.8,1001.47,17920,17970175.92
2025-04-01,1003.72,1003.72,1003.7,1002.78,1003.7,1003.71,1003.72,1001.47,4,4014.84
2025-04-02,1003.14,1003.84,1003.14,1003.71,1003.84,1003.84,1003.84,1001.47,1021538,1025438117.14
2025-04-03,1003.97,1003.99,1003.97,1003.84,1003.99,1003.99,1003.99,1001.47,29257,29373690.69
2025-04-04,1004.45,1004.47,1004.45,1003.99,1004.47,1004.47,1004.47,1001.47,65750,66043816.97
2025-04-07,1034.6,1034.6,1004.0,1004.47,1004.6,1004.6,1034.6,1001.47,37410,37582009.96
2025-04-08,1004.76,1004.76,1004.76,1004.6,1004.76,1004.76,1034.6,1001.47,11323,11376897.48
2025-04-09,1005.08,1005.1,1005.08,1004.76,1005.1,1005.1,1034.6,1001.47,1658,1666427.18
2025-04-11,1005.69,1005.71,1005.69,1005.1,1005.71,1005.71,1034.6,1001.47,299,300705.23
2025-04-15,1005.82,1005.84,1005.82,1005.71,1005.84,1005.84,1034.6,1001.47,723,727215.88
2025-04-16,1005.97,1005.99,1005.97,1005.84,1005.99,1005.97,1034.6,1001.47,4260,4285433.9
2025-04-17,1006.59,1006.59,1006.59,1005.97,1006.59,1006.59,1034.6,1001.47,148,148975.32
2025-04-21,1006.74,1006.74,1006.72,1006.59,1006.74,1006.74,1034.6,1001.47,149076,150080762.98
2025-04-22,1006.89,1006.89,1006.87,1006.74,1006.87,1006.87,1034.6,1001.47,266,267832.72
2025-04-23,1007.03,1007.05,1007.03,1006.87,1007.05,1007.05,1034.6,1001.47,3867,3894222.11
2025-04-24,1007.18,1007.2,1007.18,1007.05,1007.2,1007.2,1034.6,1001.47,40238,40527703.56
2025-04-25,1007.65,1007.67,1007.65,1007.2,1007.65,1007.65,1034.6,1001.47,778,783952.24
2025-04-28,1007.79,1007.81,1007.79,1007.65,1007.81,1007.81,1034.6,1001.47,1355,1365581.53
2025-04-29,1007.94,1007.96,1007.94,1007.81,1007.96,1007.96,1034.6,1001.47,45347,45707908.44
2025-04-30,1008.27,1008.27,1008.25,1007.96,1008.25,1008.26,1034.6,1001.47,40541,40876268.19
2025-05-02,1008.74,1008.74,1008.72,1008.26,1008.74,1008.74,1034.6,1001.47,20171,20347288.54
2025-05-05,1008.88,1008.88,1008.86,1008.74,1008.88,1008.87,1034.6,1001.47,230407,232453013.94
2025-05-06,1009.02,1009.02,1009.0,1008.87,1009.0,1009.0,1034.6,1001.47,2947,2973536.2
2025-05-07,1009.16,1009.18,1009.16,1009.0,1009.18,1009.18,1034.6,1001.47,72350,73013952.0
2025-05-08,1009.33,1009.33,1009.33,1009.18,1009.33,1009.33,1034.6,1001.47,142006,143330915.98
2025-05-09,1009.94,1009.96,1009.94,1009.33,1009.96,1009.94,1034.6,1001.47,5755,5812238.06
2025-05-12,1009.96,1009.96,1009.94,1009.94,1009.96,1009.96,1034.6,1001.47,186732,188591737.78
2025-05-13,1008.99,1010.09,1008.99,1009.96,1010.09,1010.09,1034.6,1001.47,79772,80576865.76
2025-05-14,1010.22,1010.24,1010.22,1010.09,1010.24,1010.23,1034.6,1001.47,173797,175576510.76
2025-05-15,1010.37,1010.39,1010.37,1010.23,1010.39,1010.39,1034.6,1001.47,72218,72968304.12
2025-05-16,1010.85,1010.86,1010.85,1010.39,1010.86,1010.86,1034.6,1001.47,277134,280143668.95
2025-05-19,1010.85,1010.99,1010.85,1010.86,1010.99,1010.99,1034.6,1001.47,241372,244024574.91
2025-05-20,1011.13,1011.15,1011.13,1010.99,1011.15,1011.14,1034.6,1001.47,171084,172991265.81
2025-05-21,1011.3,1011.3,1011.28,1011.14,1011.3,1011.29,1034.6,1001.47,241810,244540052.35
2025-05-22,1011.43,1011.45,1011.43,1011.29,1011.45,1011.45,1034.6,1001.47,111982,113264164.98
2025-05-23,1011.9,1011.92,1011.9,1011.45,1011.92,1011.92,1034.6,1001.47,215061,217624277.94
2025-05-26,1012.06,1012.06,1012.04,1011.92,1012.04,1012.05,1034.6,1001.47,114679,116061746.72
2025-05-27,1012.21,1012.21,1012.19,1012.05,1012.21,1012.2,1034.6,1001.47,218039,220701236.39
