date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2024-12-27,826.0,860.0,801.0,701.0,830.35,827.1,860.0,801.0,9233701,7665144277.7
2024-12-30,821.7,823.0,745.2,827.1,750.05,752.85,860.0,745.2,1459394,1138854015.65
2024-12-31,754.0,787.25,736.6,752.85,743.0,745.4,860.0,736.6,1055382,797558756.75
2025-01-01,747.95,752.9,730.5,745.4,733.6,738.65,860.0,730.5,464444,343298798.85
2025-01-02,740.0,824.2,735.55,738.65,812.95,813.05,860.0,730.5,2414272,1911751464.65
2025-01-03,810.0,814.95,778.9,813.05,781.0,789.25,860.0,730.5,828006,659927345.7
2025-01-06,788.05,789.0,728.15,789.25,738.5,743.3,860.0,728.15,747693,563171993.85
2025-01-07,752.35,785.0,741.05,743.3,775.1,775.85,860.0,728.15,534631,407571104.3
2025-01-08,778.9,781.15,736.4,775.85,760.75,758.5,860.0,728.15,296795,224331279.9
2025-01-09,762.85,763.85,738.0,758.5,742.75,743.25,860.0,728.15,191771,143873860.55
2025-01-10,748.55,748.55,695.05,743.25,699.0,700.25,860.0,695.05,263246,189093198.2
2025-01-13,685.25,702.3,632.2,700.25,640.0,638.05,860.0,632.2,482244,319197087.5
2025-01-14,663.0,690.6,640.7,638.05,684.55,681.0,860.0,632.2,247134,166456054.15
2025-01-15,690.0,694.0,660.85,681.0,668.0,667.7,860.0,632.2,125836,85711686.8
2025-01-16,681.0,716.3,676.0,667.7,690.0,692.15,860.0,632.2,299914,210088243.7
2025-01-17,695.05,736.0,673.55,692.15,683.0,680.9,860.0,632.2,546651,387368175.3
2025-01-20,769.0,773.6,705.0,680.9,720.0,724.1,860.0,632.2,1763477,1308490522.3
2025-01-21,724.1,730.0,692.0,724.1,725.6,722.85,860.0,632.2,455068,322984000.9
2025-01-22,729.0,729.0,687.05,722.85,697.0,704.3,860.0,632.2,283264,198164569.4
2025-01-23,693.0,693.0,656.55,704.3,664.7,673.4,860.0,632.2,303806,206020847.25
2025-01-24,665.0,675.15,637.0,673.4,649.95,644.95,860.0,632.2,242642,157739722.4
2025-01-27,636.0,636.0,575.0,644.95,581.0,584.65,860.0,575.0,377785,226713863.8
2025-01-28,594.2,683.35,559.75,584.65,652.5,655.95,860.0,559.75,736270,458103002.6
2025-01-29,650.0,689.4,645.05,655.95,670.0,681.8,860.0,559.75,379384,252574696.7
2025-01-30,680.0,723.45,669.0,681.8,680.0,689.35,860.0,559.75,431366,303096321.2
2025-01-31,682.95,699.0,660.1,689.35,680.1,682.9,860.0,559.75,189715,130238131.1
2025-02-01,684.1,707.25,655.6,682.9,666.1,669.5,860.0,559.75,183150,124980697.95
2025-02-03,654.95,669.0,635.2,669.5,638.5,646.4,860.0,559.75,125618,81778577.3
2025-02-04,654.0,667.2,645.15,646.4,659.0,661.1,860.0,559.75,79888,52489874.25
2025-02-05,662.8,689.9,662.8,661.1,676.0,677.05,860.0,559.75,154418,104636238.0
2025-02-06,677.0,679.5,645.2,677.05,658.5,652.7,860.0,559.75,105709,69864988.35
2025-02-07,658.0,703.45,652.7,652.7,667.0,665.95,860.0,559.75,432915,295227532.95
2025-02-10,672.95,681.65,643.15,665.95,645.3,650.25,860.0,559.75,118388,77782956.75
2025-02-11,650.0,653.55,619.0,650.25,634.0,635.95,860.0,559.75,189119,119726230.55
2025-02-12,640.0,651.95,609.2,635.95,644.9,644.65,860.0,559.75,210287,133386441.35
2025-02-13,645.0,662.95,636.25,644.65,650.0,652.9,860.0,559.75,92971,60646837.5
2025-02-14,559.0,560.0,522.35,652.9,522.35,522.35,860.0,522.35,1194947,628947870.65
2025-02-17,472.7,498.0,449.95,522.35,466.15,469.9,860.0,449.95,886570,417130760.0
2025-02-18,472.25,483.2,445.0,469.9,450.0,455.1,860.0,445.0,426304,195190515.9
2025-02-19,450.0,474.4,441.25,455.1,459.95,459.65,860.0,441.25,345251,160262721.2
2025-02-20,455.0,487.0,441.65,459.65,480.0,479.75,860.0,441.25,168299,78013694.95
2025-02-21,479.8,492.8,451.35,479.75,463.5,457.05,860.0,441.25,223244,103860797.6
2025-02-24,454.0,454.0,430.75,457.05,433.4,435.75,860.0,430.75,190015,83393909.5
2025-02-25,437.0,448.35,424.05,435.75,437.0,437.1,860.0,424.05,142546,61608942.9
2025-02-27,436.0,442.9,415.0,437.1,441.5,435.55,860.0,415.0,129153,54984886.0
2025-02-28,429.8,442.8,417.9,435.55,441.9,440.9,860.0,415.0,93769,40587349.05
2025-03-03,448.35,451.8,423.7,440.9,430.3,433.9,860.0,415.0,124292,53756436.3
2025-03-04,430.05,448.05,421.8,433.9,445.0,443.9,860.0,415.0,109015,48016659.15
2025-03-05,441.4,477.1,441.4,443.9,473.0,472.25,860.0,415.0,92197,42436305.35
2025-03-06,479.0,519.45,463.55,472.25,503.5,503.85,860.0,415.0,169122,84622505.55
2025-03-07,500.0,514.0,490.0,503.85,501.05,504.8,860.0,415.0,117250,59290429.3
2025-03-10,508.7,516.9,489.4,504.8,516.0,515.2,860.0,415.0,96268,48981017.9
2025-03-11,509.7,555.0,492.2,515.2,542.0,539.55,860.0,415.0,306360,164787404.8
