date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2019-12-04,275.0,306.8,275.0,195.0,300.35,300.05,306.8,275.0,37124674,10961486364.15
2019-12-05,303.9,313.5,294.0,300.05,298.8,297.6,313.5,275.0,7896739,2395255800.15
2019-12-06,297.85,297.85,267.25,297.6,274.25,274.3,313.5,267.25,5530725,1533263883.45
2019-12-09,270.0,277.0,262.0,274.3,270.0,269.25,313.5,262.0,2573011,694675770.45
2019-12-10,266.65,271.0,258.15,269.25,259.1,259.45,313.5,258.15,1177652,311137508.1
2019-12-11,256.0,258.75,238.1,259.45,239.3,240.7,313.5,238.1,2763231,682337949.15
2019-12-12,241.0,243.8,216.5,240.7,223.25,222.9,313.5,216.5,4606237,1049209639.8
2019-12-13,220.15,239.0,218.5,222.9,236.6,235.7,313.5,216.5,5067316,1164168371.5
2019-12-16,236.8,244.4,228.0,235.7,243.9,240.5,313.5,216.5,2294567,539272517.05
2019-12-17,243.0,249.75,240.0,240.5,243.85,245.65,313.5,216.5,1704620,419329795.45
2019-12-18,245.0,245.0,237.35,245.65,240.0,239.8,313.5,216.5,856066,205855586.45
2019-12-19,236.5,242.0,234.65,239.8,238.2,238.6,313.5,216.5,534437,127190080.15
2019-12-20,239.0,244.9,237.05,238.6,243.0,241.95,313.5,216.5,465629,112719649.15
2019-12-23,241.0,243.25,239.0,241.95,240.05,240.2,313.5,216.5,386104,92816470.7
2019-12-24,242.0,242.45,235.8,240.2,237.5,237.05,313.5,216.5,319736,76405104.3
2019-12-26,237.5,239.05,230.5,237.05,231.0,231.7,313.5,216.5,230536,53896284.55
2019-12-27,232.2,235.75,229.0,231.7,229.0,230.75,313.5,216.5,216093,50309430.6
2019-12-30,230.6,233.45,224.0,230.75,224.85,224.75,313.5,216.5,370598,84091290.95
2019-12-31,224.0,225.8,215.15,224.75,215.6,216.45,313.5,215.15,580382,127258095.8
2020-01-01,215.0,218.75,206.2,216.45,207.0,206.9,313.5,206.2,873909,183768159.6
