date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,21.5,22.8,21.5,21.2,21.5,21.5,24.0,13.2,7000,153350.0
2000-01-04,21.0,21.0,19.95,21.5,20.85,20.8,24.0,13.2,5100,104765.0
2000-01-05,21.0,21.0,19.7,20.8,20.0,20.05,24.0,13.2,5700,115150.0
2000-01-06,20.45,20.7,20.05,20.05,20.5,20.5,24.0,13.2,5100,103255.0
2000-01-07,19.3,20.3,19.1,20.5,19.75,19.75,24.0,13.2,3800,74740.0
2000-01-10,20.0,20.0,18.25,19.75,18.5,18.5,24.0,13.2,1200,23130.0
2000-01-11,20.0,20.0,18.25,18.5,18.25,18.6,24.0,13.2,5700,107970.0
2000-01-12,18.5,19.1,18.5,18.6,19.0,19.0,24.0,13.2,1300,24460.0
2000-01-13,19.0,19.0,18.3,19.0,18.3,18.4,24.0,13.2,1600,29805.0
2000-01-14,18.5,18.5,18.5,18.4,18.5,18.5,24.0,13.2,300,5550.0
2000-01-17,19.95,20.5,19.0,18.5,19.25,19.25,24.0,13.2,1600,31325.0
2000-01-18,19.5,19.8,18.5,19.25,19.0,18.85,24.0,13.2,5400,103745.0
2000-01-19,19.05,19.85,19.05,18.85,19.05,19.05,24.0,13.2,1200,23205.0
2000-01-20,19.0,19.45,19.0,19.05,19.15,19.15,24.0,13.2,1900,36620.0
2000-01-21,19.0,19.25,18.3,19.15,18.5,18.5,24.0,13.2,1800,34095.0
2000-01-24,19.0,19.15,18.4,18.5,18.4,18.4,24.0,13.2,3000,56005.0
2000-01-25,18.1,18.9,18.1,18.4,18.5,18.5,24.0,13.2,4200,77060.0
2000-01-27,19.0,22.5,18.75,18.5,21.5,21.25,24.0,13.2,15300,320755.0
2000-01-28,20.05,22.5,20.0,21.25,21.5,21.5,24.0,13.2,12400,272825.0
2000-01-31,20.65,22.4,20.6,21.5,22.0,21.15,24.0,13.2,10400,222540.0
2000-02-01,22.45,22.8,20.75,21.15,22.8,22.45,24.0,13.2,21900,477645.0
2000-02-02,23.9,24.25,23.2,22.45,24.25,24.25,24.0,13.2,25000,602740.0
2000-02-03,25.6,26.2,25.45,24.25,25.75,25.8,24.25,13.2,27800,721095.0
2000-02-04,26.0,27.0,24.5,25.8,25.5,25.65,26.2,13.2,25500,657905.0
2000-02-07,25.5,27.65,25.0,25.65,27.1,27.05,27.0,13.2,33700,910670.0
