date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,1740.0,1740.65,1729.9,1611.7,1740.65,1740.65,1782.55,197.0,21200,36888390.0
2000-01-04,1774.0,1774.0,1620.0,1740.65,1670.0,1670.2,1782.55,199.0,22600,38406080.0
2000-01-05,1671.0,1671.0,1536.6,1670.2,1536.6,1536.6,1782.55,199.0,11600,18456090.0
2000-01-06,1648.0,1658.0,1500.0,1536.6,1564.0,1570.1,1782.55,199.0,10800,17187425.0
2000-01-07,1500.0,1500.0,1444.5,1570.1,1444.5,1444.5,1782.55,199.0,3300,4826160.0
2000-01-10,1535.0,1535.0,1370.5,1444.5,1453.05,1453.05,1782.55,199.0,5600,8173360.0
2000-01-11,1405.0,1461.0,1336.85,1453.05,1336.85,1336.85,1782.55,221.0,5400,7526835.0
2000-01-12,1330.0,1380.0,1232.05,1336.85,1316.0,1298.9,1782.55,221.0,5700,7451560.0
2000-01-13,1313.0,1320.0,1255.0,1298.9,1280.0,1280.0,1782.55,221.0,3100,4007945.0
2000-01-14,1274.95,1330.0,1195.0,1280.0,1242.0,1218.0,1782.55,221.0,5900,7373700.0
2000-01-17,1250.0,1315.45,1250.0,1218.0,1312.0,1309.0,1782.55,221.0,9000,11676085.0
2000-01-18,1310.0,1329.0,1241.2,1309.0,1255.0,1250.75,1782.55,221.0,8100,10394675.0
2000-01-19,1310.0,1350.85,1305.0,1250.75,1350.85,1349.8,1782.55,221.0,18500,24758195.0
2000-01-20,1410.0,1420.0,1301.0,1349.8,1413.95,1377.3,1782.55,221.0,26400,35797665.0
2000-01-21,1370.0,1395.0,1315.0,1377.3,1370.0,1367.9,1782.55,221.0,6800,9194175.0
2000-01-24,1335.0,1340.0,1260.0,1367.9,1260.0,1260.6,1782.55,221.0,7200,9319935.0
2000-01-25,1203.0,1265.0,1202.5,1260.6,1250.0,1243.0,1782.55,221.0,8600,10639615.0
2000-01-27,1241.0,1275.0,1200.0,1243.0,1201.0,1206.55,1782.55,221.0,7800,9528855.0
2000-01-28,1240.0,1303.1,1210.0,1206.55,1303.1,1303.1,1782.55,221.0,13400,16853025.0
2000-01-31,1343.0,1343.0,1242.0,1303.1,1300.0,1296.55,1782.55,221.0,12100,15601855.0
2000-02-01,1307.0,1307.0,1254.0,1296.55,1272.0,1276.15,1782.55,221.0,7900,10043440.0
2000-02-02,1330.0,1378.25,1330.0,1276.15,1368.15,1377.4,1782.55,221.0,12000,16375730.0
2000-02-03,1385.0,1487.6,1385.0,1377.4,1487.6,1487.6,1782.55,221.0,8800,12740165.0
2000-02-04,1584.0,1606.65,1549.0,1487.6,1570.0,1583.3,1782.55,221.0,10900,17345020.0
2000-02-07,1622.0,1622.0,1461.15,1583.3,1480.0,1493.5,1782.55,221.0,10000,15291985.0
2000-02-08,1475.0,1510.0,1385.15,1493.5,1400.0,1396.45,1782.55,221.0,8000,11350840.0
2000-02-09,1426.0,1486.9,1426.0,1396.45,1441.0,1438.75,1782.55,221.0,5900,8620935.0
2000-02-10,1421.0,1485.0,1410.0,1438.75,1461.0,1467.75,1782.55,221.0,3900,5633250.0
2000-02-11,1470.0,1495.0,1447.0,1467.75,1458.0,1453.6,1782.55,221.0,8300,12138135.0
2000-02-14,1401.1,1435.0,1401.0,1453.6,1419.9,1404.6,1782.55,221.0,5400,7654195.0
2000-02-15,1396.0,1415.0,1316.05,1404.6,1374.0,1365.75,1782.55,221.0,8600,11850630.0
2000-02-16,1360.0,1400.0,1325.0,1365.75,1354.0,1346.5,1782.55,221.0,5000,6857790.0
2000-02-17,1345.0,1369.0,1307.5,1346.5,1351.05,1363.05,1782.55,221.0,4700,6355595.0
2000-02-18,1375.0,1386.0,1281.1,1363.05,1320.0,1318.85,1782.55,221.0,4600,6130310.0
2000-02-21,1324.0,1400.0,1271.0,1318.85,1378.0,1361.25,1782.55,221.0,9300,12437475.0
2000-02-22,1360.0,1390.0,1313.0,1361.25,1359.0,1344.35,1782.55,221.0,30500,41241410.0
2000-02-23,1385.0,1451.9,1350.0,1344.35,1375.0,1371.45,1782.55,221.0,16800,23498965.0
2000-02-24,1425.05,1439.0,1301.0,1371.45,1337.7,1337.7,1782.55,221.0,8000,11060230.0
2000-02-25,1290.0,1335.0,1241.5,1337.7,1273.0,1286.6,1782.55,221.0,2100,2681225.0
2000-02-28,1239.9,1239.9,1184.0,1286.6,1184.0,1184.5,1782.55,221.0,2800,3336205.0
2000-02-29,1120.0,1210.0,1089.75,1184.5,1089.75,1089.75,1782.55,221.0,6600,7519030.0
2000-03-01,1002.6,1170.0,1002.6,1089.75,1170.0,1170.0,1782.55,221.0,5700,6526380.0
2000-03-02,1263.6,1263.6,1263.6,1170.0,1263.6,1263.6,1782.55,221.0,100,126360.0
2000-03-03,1290.0,1364.7,1290.0,1263.6,1364.7,1364.7,1782.55,221.0,13700,18679450.0
2000-03-06,1466.0,1466.0,1316.1,1364.7,1430.0,1423.0,1782.55,221.0,11300,15891040.0
2000-03-07,1435.95,1435.95,1309.2,1423.0,1309.2,1310.2,1782.55,221.0,5500,7366525.0
2000-03-08,1350.0,1369.0,1255.0,1310.2,1290.0,1290.0,1782.55,221.0,2800,3677010.0
2000-03-09,1221.0,1221.0,1186.8,1290.0,1186.8,1186.8,1782.55,221.0,1200,1434080.0
