date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2025-02-11,327.3,336.35,293.25,323.7,314.0,312.7,358.3,293.25,551176,168825784.65
2025-02-12,314.0,321.0,296.0,312.7,313.75,311.3,358.3,293.25,385570,119664933.65
2025-02-13,314.45,315.45,302.5,311.3,303.0,306.05,358.3,293.25,193779,59622206.8
2025-02-14,308.95,309.0,270.25,306.05,287.4,290.4,358.3,270.25,418286,120985973.9
2025-02-17,307.0,333.35,300.4,290.4,325.3,327.9,358.3,270.25,1438241,459730892.9
2025-02-18,327.05,339.8,300.0,327.9,303.6,305.55,358.3,270.25,894935,281489299.35
2025-02-19,305.0,330.85,301.0,305.55,324.6,323.7,358.3,270.25,746230,239440645.25
2025-02-20,319.0,375.0,312.05,323.7,350.8,355.5,375.0,270.25,4792715,1710826075.5
2025-02-21,355.35,377.7,341.8,355.5,353.0,356.85,377.7,270.25,2839409,1017429153.05
2025-02-24,344.0,352.0,334.05,356.85,342.8,343.6,377.7,270.25,969479,330563725.55
2025-02-25,340.0,349.3,307.8,343.6,310.0,311.7,377.7,270.25,1039361,339105714.95
2025-02-27,310.0,315.9,301.0,311.7,309.0,306.85,377.7,270.25,834235,255924396.65
2025-02-28,301.8,304.75,289.05,306.85,296.2,295.55,377.7,270.25,537589,158983794.4
2025-03-03,301.95,304.95,275.5,295.55,288.9,290.0,377.7,270.25,507108,145420089.3
2025-03-04,283.5,308.0,280.05,290.0,293.0,291.5,377.7,270.25,427606,126580193.65
2025-03-05,295.0,311.0,292.0,291.5,302.55,307.95,377.7,270.25,356875,108221059.15
2025-03-06,311.0,313.0,301.65,307.95,305.0,305.9,377.7,270.25,246364,75615555.4
2025-03-07,302.1,317.7,302.1,305.9,306.0,306.8,377.7,270.25,353349,109818819.15
2025-03-10,310.0,311.0,295.45,306.8,296.0,299.0,377.7,270.25,218626,66126384.3
2025-03-11,296.0,299.95,289.0,299.0,297.7,295.25,377.7,270.25,203263,59727865.2
2025-03-12,299.0,301.35,287.7,295.25,290.0,290.0,377.7,270.25,310622,90525784.25
2025-03-13,295.4,298.75,290.5,290.0,293.95,294.2,377.7,270.25,179655,52914178.2
2025-03-17,296.9,296.9,276.0,294.2,279.5,277.45,377.7,270.25,419548,119074956.45
2025-03-18,282.4,292.5,281.05,277.45,290.2,289.5,377.7,270.25,273835,78699309.3
2025-03-19,291.45,300.9,291.45,289.5,296.7,295.5,377.7,270.25,349390,103522784.05
2025-03-20,300.1,306.0,290.0,295.5,290.8,291.0,377.7,270.25,380651,112969521.0
2025-03-21,291.95,308.55,291.05,291.0,304.3,302.45,377.7,270.25,409434,123927938.35
2025-03-24,306.3,313.3,305.4,302.45,308.0,307.5,377.7,270.25,310714,96019973.05
2025-03-25,309.0,310.95,289.1,307.5,291.75,291.75,377.7,270.25,293696,87155392.5
2025-03-26,293.05,294.35,285.0,291.75,285.35,285.85,377.7,270.25,303935,87945746.9
2025-03-27,285.85,289.9,280.9,285.85,288.35,288.05,377.7,270.25,385081,110028458.65
2025-03-28,293.85,296.85,284.0,288.05,285.0,286.2,377.7,270.25,159507,46102121.7
2025-04-01,284.1,295.5,283.0,286.2,292.5,292.3,377.7,270.25,143372,41373673.35
2025-04-02,294.0,296.0,285.2,292.3,293.5,293.55,377.7,270.25,123441,36076502.85
2025-04-03,288.0,298.95,288.0,293.55,296.55,297.15,377.7,270.25,127958,37859723.9
2025-04-04,300.0,300.0,283.2,297.15,286.1,285.45,377.7,270.25,238475,68441630.5
2025-04-07,258.95,275.0,251.25,285.45,272.5,269.95,377.7,251.25,293462,78301354.2
2025-04-08,282.1,286.95,272.35,269.95,278.7,280.25,377.7,251.25,123913,34365285.0
2025-04-09,275.0,288.9,273.1,280.25,281.5,282.05,377.7,251.25,114813,32201253.8
2025-04-11,292.0,296.35,286.65,282.05,293.0,293.95,377.7,251.25,194982,56974498.85
2025-04-15,297.0,300.0,295.0,293.95,297.0,296.6,377.7,251.25,161204,47916023.6
2025-04-16,298.85,310.0,297.9,296.6,302.1,303.2,377.7,251.25,289364,88197229.35
2025-04-17,306.0,307.45,300.05,303.2,302.0,302.0,377.7,251.25,110136,33370821.85
2025-04-21,306.0,342.0,305.0,302.0,326.95,328.2,377.7,251.25,1596293,523512770.8
2025-04-22,329.0,334.9,322.0,328.2,324.95,324.3,377.7,251.25,276085,90558209.7
2025-04-23,328.0,333.0,316.85,324.3,325.0,326.05,377.7,251.25,268963,87366486.2
2025-04-24,324.05,328.45,314.5,326.05,316.0,315.25,377.7,251.25,234399,75008319.0
2025-04-25,315.5,318.8,292.05,315.25,293.9,294.45,377.7,251.25,579756,173980709.5
2025-04-28,290.05,307.3,283.0,294.45,302.05,300.8,377.7,251.25,536491,159053031.05
2025-04-29,303.2,306.8,291.0,300.8,295.0,293.3,377.7,251.25,216740,64594471.85
2025-04-30,293.3,295.3,286.0,293.3,288.0,287.0,377.7,251.25,108732,31438770.8
2025-05-02,286.55,293.4,285.0,287.0,285.8,285.75,377.7,251.25,114487,33063241.7
2025-05-05,288.9,296.25,285.7,285.75,293.95,294.3,377.7,251.25,166369,48617732.6
2025-05-06,295.0,295.95,282.0,294.3,283.0,283.75,377.7,251.25,205550,59003154.65
2025-05-07,278.95,284.85,276.15,283.75,281.0,280.6,377.7,251.25,210082,58863902.7
2025-05-08,283.0,288.0,277.0,280.6,279.15,278.7,377.7,251.25,129501,36717633.8
2025-05-09,273.1,280.0,270.0,278.7,279.45,277.65,377.7,251.25,148729,40781870.95
2025-05-12,288.55,295.55,284.85,277.65,295.55,295.0,377.7,251.25,177664,51837428.25
2025-05-13,295.0,298.9,291.1,295.0,296.4,295.95,377.7,251.25,102478,30255929.8
2025-05-14,299.9,302.65,293.25,295.95,299.0,296.7,377.7,251.25,182078,54188501.2
2025-05-15,299.2,311.4,299.0,296.7,307.4,306.05,377.7,251.25,385011,118107422.65
2025-05-16,307.4,308.9,303.1,306.05,308.15,306.55,377.7,251.25,162457,49757038.0
2025-05-19,310.0,316.45,306.8,306.55,310.0,311.1,377.7,251.25,247730,77397994.8
2025-05-20,314.9,314.9,298.6,311.1,305.5,304.45,377.7,251.25,223953,68652413.6
2025-05-21,304.05,313.0,302.05,304.45,304.8,304.6,377.7,251.25,127627,39188875.2
2025-05-22,306.0,319.9,304.2,304.6,318.0,316.4,377.7,251.25,357620,112135391.65
2025-05-23,320.9,339.7,315.05,316.4,319.2,318.8,377.7,251.25,777947,254454900.5
2025-05-26,322.0,326.5,321.5,318.8,324.6,323.35,377.7,251.25,274617,88963389.45
2025-05-27,324.6,328.0,320.2,323.35,323.0,321.85,377.7,251.25,118944,38420325.35
2025-05-28,324.0,324.0,308.0,321.85,310.0,313.35,377.7,251.25,218716,69109158.1
2025-05-29,272.0,287.15,265.0,313.35,280.5,280.45,377.7,251.25,1303371,366168143.85
2025-05-30,280.95,287.55,279.0,280.45,279.3,279.7,377.7,251.25,442224,124688835.5
2025-06-02,281.5,282.45,272.6,279.7,275.55,274.55,377.7,251.25,253799,70224940.9
2025-06-03,275.0,283.4,273.8,274.55,280.4,280.35,377.7,251.25,170365,47673828.15
2025-06-04,280.4,287.5,279.35,280.35,285.4,285.15,377.7,251.25,230866,65597416.35
2025-06-05,286.4,288.0,282.0,285.15,286.15,285.0,377.7,251.25,154481,43996505.7
2025-06-06,285.0,295.1,285.0,285.0,293.25,292.4,377.7,251.25,291096,84500393.25
2025-06-09,295.6,315.0,294.3,292.4,314.0,310.65,377.7,251.25,768331,237442270.2
