date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2017-12-26,8.95,9.6,8.25,8.0,9.6,9.6,10.0,6.75,1170619,10740595.4
2017-12-27,10.15,11.5,9.4,9.6,11.5,11.5,11.5,6.75,1282408,14079034.7
2017-12-28,12.2,12.65,11.9,11.5,12.65,12.65,12.65,6.75,572543,7185070.5
2017-12-29,13.9,13.9,12.25,12.65,13.9,13.9,13.9,6.75,736867,10064041.0
2018-01-01,14.4,14.4,12.55,13.9,13.1,12.85,14.4,6.75,892402,11693976.75
2018-01-02,12.7,13.5,11.75,12.85,13.1,13.35,14.4,6.75,432184,5465244.35
2018-01-03,13.4,14.4,12.6,13.35,13.4,13.3,14.4,6.75,323023,4335078.75
2018-01-04,13.3,14.1,13.0,13.3,13.75,13.75,14.4,6.75,259031,3503953.65
2018-01-05,13.8,13.8,13.0,13.75,13.25,13.25,14.4,6.75,224649,2971900.05
2018-01-08,13.4,13.5,12.85,13.25,13.1,13.0,14.4,6.75,301137,3925567.4
2018-01-09,12.9,13.5,12.25,13.0,13.4,13.35,14.4,6.75,255244,3352474.2
2018-01-10,13.5,13.5,13.0,13.35,13.2,13.1,14.4,6.75,172189,2263291.4
2018-01-11,13.1,13.5,12.05,13.1,12.3,12.15,14.4,6.75,446982,5637416.9
2018-01-12,12.35,12.95,12.0,12.15,12.1,12.1,14.4,6.75,219973,2704826.15
2018-01-15,12.05,12.35,11.2,12.1,11.8,11.8,14.4,6.75,85592,1014453.6
2018-01-16,11.9,11.9,10.7,11.8,11.3,11.2,14.4,6.75,124570,1395467.7
2018-01-17,11.7,11.7,10.25,11.2,11.2,11.4,14.4,6.75,110809,1217785.25
2018-01-18,11.0,11.6,10.55,11.4,10.9,10.75,14.4,6.75,114210,1243593.8
2018-01-19,10.75,11.0,9.7,10.75,10.0,9.95,14.4,6.75,186074,1872173.1
2018-01-22,9.7,10.25,9.7,9.95,10.05,10.05,14.4,6.75,82534,827568.75
2018-01-23,10.2,10.55,9.85,10.05,10.25,10.15,14.4,6.75,80324,817211.2
2018-01-24,10.4,10.4,9.8,10.15,9.85,9.95,14.4,6.75,67275,666238.1
2018-01-25,9.65,9.85,9.5,9.95,9.5,9.5,14.4,6.75,424913,4106903.05
2018-01-29,9.45,9.65,9.05,9.5,9.05,9.05,14.4,6.75,85210,776870.65
2018-01-30,8.6,9.45,8.6,9.05,9.35,9.1,14.4,6.75,151409,1339839.5
2018-01-31,8.8,9.45,8.65,9.1,8.85,8.8,14.4,6.75,100827,894048.15
2018-02-01,8.8,9.2,8.6,8.8,9.2,9.2,14.4,6.75,63949,575328.8
2018-02-02,9.0,9.4,8.75,9.2,8.75,8.75,14.4,6.75,94949,840288.9
2018-02-05,8.8,8.8,8.35,8.75,8.6,8.55,14.4,6.75,111733,942773.5
2018-02-06,8.15,8.65,8.15,8.55,8.65,8.55,14.4,6.75,86005,720806.95
2018-02-07,8.8,9.4,8.55,8.55,8.7,8.7,14.4,6.75,91690,800666.2
2018-02-08,8.7,9.05,8.5,8.7,9.0,8.9,14.4,6.75,55999,497252.2
2018-02-09,8.6,8.95,8.3,8.9,8.9,8.8,14.4,6.75,33673,295373.7
2018-02-12,9.05,9.05,8.6,8.8,8.85,8.7,14.4,6.75,53597,467542.0
2018-02-14,8.95,9.0,8.3,8.7,8.7,8.7,14.4,6.75,96237,825460.8
2018-02-15,8.35,8.7,8.35,8.7,8.55,8.45,14.4,6.75,39612,334188.75
2018-02-16,8.45,8.6,8.3,8.45,8.3,8.5,14.4,6.75,23198,195719.75
2018-02-19,8.25,8.6,8.0,8.5,8.15,8.25,14.4,6.75,65680,539061.45
2018-02-20,8.2,8.2,7.85,8.25,7.9,7.95,14.4,6.75,62515,502321.6
2018-02-21,7.9,8.2,7.6,7.95,7.95,7.9,14.4,6.75,50075,396421.75
2018-02-22,8.0,8.15,7.65,7.9,7.85,7.95,14.4,6.75,22216,177464.35
2018-02-23,8.45,8.45,7.85,7.95,8.0,7.9,14.4,6.75,18827,149535.85
2018-02-26,8.4,8.4,7.85,7.9,8.15,8.15,14.4,6.75,23389,189945.9
2018-02-27,7.85,8.2,7.8,8.15,8.2,8.05,14.4,6.75,42910,340508.1
2018-02-28,8.0,8.0,7.85,8.05,7.9,7.95,14.4,6.75,32105,253596.05
2018-03-01,8.3,8.3,7.9,7.95,8.3,8.25,14.4,6.75,45757,374006.95
2018-03-05,8.3,8.4,7.85,8.25,8.15,8.15,14.4,6.75,37400,303051.05
2018-03-06,8.0,8.1,7.95,8.15,7.95,8.0,14.4,6.75,17979,144218.3
2018-03-07,7.75,8.0,7.5,8.0,7.95,7.65,14.4,6.75,30839,235843.3
2018-03-08,7.95,8.4,7.55,7.65,8.4,8.2,14.4,6.75,88124,703073.45
2018-03-09,8.05,8.2,7.8,8.2,7.85,7.85,14.4,6.75,20516,163298.25
2018-03-12,7.8,8.5,7.55,7.85,8.1,8.25,14.4,6.75,42880,349105.45
2018-03-13,8.4,8.5,7.9,8.25,7.95,7.95,14.4,6.75,84903,692702.55
2018-03-14,7.6,8.0,7.6,7.95,7.8,7.8,14.4,6.75,39980,313834.9
2018-03-15,8.0,8.2,7.75,7.8,7.95,7.95,14.4,6.75,79613,636173.35
2018-03-16,7.8,8.25,7.75,7.95,8.0,7.95,14.4,6.75,25079,200862.8
2018-03-19,7.8,8.0,7.75,7.95,7.85,7.95,14.4,6.75,262499,2059521.6
2018-03-20,7.6,7.95,7.6,7.95,7.8,7.8,14.4,6.75,19968,155878.25
2018-03-21,8.2,8.2,7.7,7.8,7.7,7.8,14.4,6.75,21406,167034.0
2018-03-22,7.6,8.05,7.6,7.8,7.7,7.7,14.4,6.75,26933,210664.65
2018-03-23,7.5,7.9,7.5,7.7,7.85,7.7,14.4,6.75,71512,546144.9
2018-03-26,7.5,8.45,7.5,7.7,8.1,8.15,14.4,6.75,196353,1534220.8
2018-03-27,8.5,8.5,7.5,8.15,7.85,7.6,14.4,6.75,135280,1064416.8
2018-03-28,7.6,8.2,7.6,7.6,7.75,8.05,14.4,6.75,37762,298345.6
2018-04-02,7.9,8.3,7.8,8.05,7.8,7.8,14.4,6.75,9402,74138.2
2018-04-03,7.8,8.0,7.8,7.8,7.95,7.95,14.4,6.75,9032,70979.85
2018-04-04,7.95,8.35,7.8,7.95,7.95,7.9,14.4,6.75,23205,184942.05
2018-04-05,8.3,8.3,7.9,7.9,8.0,8.0,14.4,6.75,34600,275875.65
2018-04-06,8.35,9.6,7.95,8.0,9.55,9.6,14.4,6.75,542320,5131776.75
2018-04-09,10.35,10.35,9.0,9.6,9.0,9.15,14.4,6.75,190951,1847562.05
2018-04-10,8.9,9.35,8.5,9.15,8.75,8.7,14.4,6.75,84748,746806.2
2018-04-11,9.35,9.35,8.75,8.7,8.9,8.9,14.4,6.75,91921,828975.75
2018-04-12,8.9,8.9,8.5,8.9,8.7,8.6,14.4,6.75,30605,266824.0
2018-04-13,9.0,9.0,8.5,8.6,8.65,8.65,14.4,6.75,20892,182368.5
2018-04-16,8.5,8.9,8.3,8.65,8.55,8.45,14.4,6.75,22642,191038.8
2018-04-17,8.25,8.55,8.2,8.45,8.55,8.45,14.4,6.75,180934,1529918.35
