date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2008-04-21,55.2,620.6,55.2,55.65,620.6,619.55,620.6,55.2,2733,928211.55
2008-04-22,743.5,743.5,625.0,619.55,743.5,743.5,743.5,55.2,8518,6189787.75
2008-04-23,815.0,892.0,630.0,743.5,800.0,810.9,892.0,55.2,52036,41475378.6
2008-04-24,810.9,810.9,755.0,810.9,802.0,793.05,892.0,55.2,13330,10431465.75
2008-04-25,760.0,940.0,760.0,793.05,915.0,857.55,940.0,55.2,9178,7559810.15
2008-04-28,877.0,1029.1,877.0,857.55,1029.1,1029.1,1029.1,55.2,19513,19352935.8
2008-04-29,1051.0,1132.05,1050.0,1029.1,1132.05,1132.05,1132.05,55.2,9058,10004320.5
2008-04-30,1245.3,1245.3,1061.2,1132.05,1210.0,1181.25,1245.3,55.2,20083,24154889.05
2008-05-02,1251.0,1280.0,1100.0,1181.25,1240.0,1210.2,1280.0,55.2,14334,16943440.5
2008-06-13,461.0,499.1,461.0,1210.2,499.1,499.1,1280.0,55.2,70,34668.5
2008-06-16,524.1,524.1,508.05,499.1,511.0,511.0,1280.0,55.2,172,88680.5
2008-06-17,495.7,528.0,495.7,511.0,502.5,504.35,1280.0,55.2,399,202552.5
2008-06-18,506.0,515.95,506.0,504.35,506.0,506.1,1280.0,55.2,18,9119.45
2008-06-19,506.0,506.0,483.0,506.1,485.0,484.25,1280.0,55.2,35,17051.65
2008-06-20,508.0,508.0,460.5,484.25,461.0,461.0,1280.0,55.2,42,19574.4
2008-06-23,440.0,445.0,440.0,461.0,442.0,442.05,1280.0,55.2,122,53839.2
2008-06-24,422.0,422.0,420.2,442.05,421.0,421.0,1280.0,55.2,125,52546.45
2008-06-25,400.0,442.0,400.0,421.0,442.0,442.0,1280.0,55.2,148,62791.0
2008-06-26,442.0,442.0,420.0,442.0,420.0,420.0,1280.0,55.2,29,12290.0
2008-06-27,420.0,441.0,400.0,420.0,400.0,400.0,1280.0,55.2,77,31156.0
2008-06-30,415.0,415.0,380.0,400.0,380.0,383.65,1280.0,55.2,55,21162.5
2008-07-02,366.0,402.0,365.0,383.65,402.0,402.0,1280.0,55.2,197,76518.55
2008-07-03,420.0,421.0,382.0,402.0,382.0,382.0,1280.0,55.2,107,42931.5
2008-07-07,363.0,370.0,360.0,382.0,370.0,370.0,1280.0,55.2,48,17528.0
2008-07-08,405.0,405.0,372.0,370.0,372.0,374.25,1280.0,55.2,57,22537.8
2008-07-09,409.55,409.55,409.55,374.25,409.55,409.55,1280.0,55.2,1,409.55
2008-07-10,448.0,449.0,390.0,409.55,390.0,390.0,1280.0,55.2,48,19856.0
2008-07-11,390.0,390.0,390.0,390.0,390.0,390.0,1280.0,55.2,7,2730.0
2008-07-15,410.0,419.0,380.05,390.0,380.05,390.0,1280.0,55.2,11,4453.1
2008-07-16,429.0,429.0,360.0,390.0,405.0,406.4,1280.0,55.2,138,54861.8
2008-07-17,429.0,429.7,387.55,406.4,423.0,421.6,1280.0,55.2,92,38772.9
2008-07-18,400.0,400.0,392.0,421.6,392.0,393.85,1280.0,55.2,7,2757.0
2008-07-21,355.0,389.0,354.5,393.85,389.0,389.0,1280.0,55.2,38,13672.0
2008-07-22,390.0,390.0,356.0,389.0,390.0,390.0,1280.0,55.2,4,1526.0
2008-07-23,418.0,418.0,352.0,390.0,370.0,371.3,1280.0,55.2,142,53364.0
2008-07-24,397.0,408.0,341.0,371.3,390.0,390.0,1280.0,55.2,107,40163.0
2008-07-25,390.0,390.0,360.0,390.0,370.0,370.0,1280.0,55.2,72,26700.0
2008-07-28,405.0,405.0,340.0,370.0,360.1,360.1,1280.0,55.2,176,64962.3
2008-07-29,370.0,380.0,350.0,360.1,370.0,370.0,1280.0,55.2,40,14750.5
2008-07-30,380.0,380.0,356.0,370.0,376.0,376.0,1280.0,55.2,204,74720.0
2008-07-31,390.0,390.0,352.0,376.0,355.0,355.0,1280.0,55.2,16,5782.0
2008-08-01,325.0,337.0,325.0,355.0,337.0,337.0,1280.0,55.2,6,1986.0
2008-08-04,331.0,370.7,331.0,337.0,370.0,369.15,1280.0,55.2,140,50806.8
2008-08-05,358.0,398.0,358.0,369.15,398.0,390.3,1280.0,55.2,93,34883.0
2008-08-06,380.0,416.0,370.0,390.3,370.0,371.65,1280.0,55.2,2365,928860.0
2008-08-07,365.0,390.0,365.0,371.65,390.0,390.0,1280.0,55.2,26,9645.0
2008-08-08,424.0,424.0,373.0,390.0,400.0,393.8,1280.0,55.2,195,77289.5
2008-08-11,385.0,419.0,385.0,393.8,400.0,401.25,1280.0,55.2,121,49634.2
2008-08-12,378.0,385.0,372.0,401.25,375.5,378.5,1280.0,55.2,125,47332.5
2008-08-13,410.0,412.0,378.1,378.5,411.5,400.1,1280.0,55.2,23,9387.5
2008-08-14,364.0,400.0,364.0,400.1,400.0,396.65,1280.0,55.2,26,9950.25
2008-08-18,366.0,436.35,366.0,396.65,436.0,436.0,1280.0,55.2,504,217888.3
2008-08-19,475.0,479.6,473.95,436.0,479.6,479.6,1280.0,55.2,328,156099.2
2008-08-20,527.6,527.6,527.6,479.6,527.6,527.6,1280.0,55.2,180,94968.0
2008-08-21,554.0,554.0,503.0,527.6,531.0,535.0,1280.0,55.2,1522,829905.25
2008-08-22,548.0,558.9,508.3,535.0,549.0,550.05,1280.0,55.2,1012,544591.4
2008-08-25,538.0,576.4,523.0,550.05,575.0,569.7,1280.0,55.2,953,535837.5
2008-08-26,554.0,575.0,541.35,569.7,575.0,571.15,1280.0,55.2,897,508453.55
2008-08-27,552.0,598.9,551.0,571.15,574.85,569.25,1280.0,55.2,197,111771.45
2008-08-28,557.0,580.0,557.0,569.25,580.0,575.55,1280.0,55.2,373,214548.75
2008-08-29,560.0,590.0,560.0,575.55,586.0,580.4,1280.0,55.2,353,204041.4
2008-09-01,568.0,595.0,557.0,580.4,570.0,570.0,1280.0,55.2,38,22234.8
2008-09-02,575.0,583.5,565.05,570.0,570.0,567.95,1280.0,55.2,146,83557.75
2008-09-04,580.0,580.0,539.6,567.95,540.0,540.0,1280.0,55.2,88,48596.95
2008-09-05,515.0,539.0,513.0,540.0,537.0,537.0,1280.0,55.2,18,9417.1
2008-12-01,343.4,343.4,339.75,327.65,339.75,339.75,1280.0,55.2,4,1366.3
2008-12-02,352.8,352.8,322.8,339.75,322.8,322.8,1280.0,55.2,38,12323.65
2008-12-03,322.0,322.0,307.3,322.8,307.3,316.75,1280.0,55.2,3,950.3
2008-12-04,301.25,301.25,301.25,316.75,301.25,301.25,1280.0,55.2,7,2108.75
2008-12-05,315.8,315.8,286.25,301.25,286.25,286.25,1280.0,55.2,9,2606.05
2008-12-08,280.0,280.0,271.95,286.25,271.95,271.95,1280.0,55.2,35,9558.75
2008-12-10,285.5,285.5,258.4,271.95,258.4,259.45,1280.0,55.2,51,13644.5
2008-12-11,272.4,272.4,255.0,259.45,255.0,255.0,1280.0,55.2,110,29790.0
2008-12-15,267.75,267.75,267.75,255.0,267.75,267.75,1280.0,55.2,1,267.75
2008-12-16,256.0,256.0,256.0,267.75,256.0,256.0,1280.0,55.2,1,256.0
2008-12-19,268.8,268.8,266.95,256.0,266.95,266.95,1280.0,55.2,70,18705.0
2008-12-24,254.0,254.0,254.0,266.95,254.0,254.0,1280.0,55.2,9,2286.0
2008-12-29,264.0,264.0,264.0,254.0,264.0,264.0,1280.0,55.2,41,10824.0
2008-12-30,264.0,277.0,264.0,264.0,277.0,277.0,1280.0,55.2,4,1082.0
2009-01-01,290.0,290.0,290.0,277.0,290.0,290.0,1280.0,55.2,1,290.0
2009-01-02,277.0,292.0,277.0,290.0,277.1,277.4,1280.0,55.2,208,60623.2
2009-01-05,289.0,290.0,289.0,277.4,290.0,290.0,1280.0,55.2,292,84390.0
2009-01-06,276.0,276.0,276.0,290.0,276.0,276.0,1280.0,55.2,102,28152.0
2009-01-12,262.2,262.2,262.2,276.0,262.2,262.2,1280.0,55.2,5,1311.0
2009-01-13,249.5,249.5,249.5,262.2,249.5,249.5,1280.0,55.2,5,1247.5
2009-01-15,237.5,237.5,237.5,249.5,237.5,237.5,1280.0,55.2,5,1187.5
2009-01-16,226.0,226.0,226.0,237.5,226.0,226.0,1280.0,55.2,5,1130.0
2009-01-19,215.0,215.0,215.0,226.0,215.0,215.0,1280.0,55.2,15,3225.0
2009-01-20,204.5,204.5,204.5,215.0,204.5,204.5,1280.0,55.2,19,3885.5
2009-01-21,194.5,204.5,194.5,204.5,204.5,204.5,1280.0,55.2,75,15202.5
2009-01-22,195.25,195.25,195.25,204.5,195.25,195.25,1280.0,55.2,1,195.25
2009-01-27,188.0,188.0,187.05,195.25,187.05,187.05,1280.0,55.2,63,11812.65
2009-01-28,180.0,180.1,180.0,187.05,180.1,180.1,1280.0,55.2,10,1800.5
2009-01-29,175.0,189.0,175.0,180.1,189.0,189.0,1280.0,55.2,14,2512.0
2009-02-02,198.45,198.45,198.45,189.0,198.45,198.45,1280.0,55.2,10,1984.5
2009-02-03,208.4,208.4,208.4,198.45,208.4,208.4,1280.0,55.2,5,1042.0
2009-02-04,217.0,218.85,217.0,208.4,218.85,218.85,1280.0,55.2,14,3054.65
2009-02-05,229.8,229.8,229.8,218.85,229.8,229.8,1280.0,55.2,25,5745.0
2009-02-06,241.3,241.3,241.3,229.8,241.3,241.3,1280.0,55.2,8,1930.4
2009-02-09,253.4,253.4,253.4,241.3,253.4,253.4,1280.0,55.2,5,1267.0
2009-02-10,266.1,266.1,243.25,253.4,243.25,243.25,1280.0,55.2,83,22010.95
2009-02-11,243.0,255.45,243.0,243.25,255.45,255.45,1280.0,55.2,19,4790.85
2009-02-12,268.25,268.25,268.25,255.45,268.25,268.25,1280.0,55.2,1,268.25
2009-02-16,280.0,280.0,280.0,268.25,280.0,280.0,1280.0,55.2,20,5600.0
2009-02-17,291.5,291.5,291.5,280.0,291.5,291.5,1280.0,55.2,8,2332.0
2009-02-18,295.0,298.8,280.0,291.5,280.0,280.0,1280.0,55.2,129,37178.8
2009-02-19,293.0,293.0,266.0,280.0,266.0,266.0,1280.0,55.2,266,72195.0
2009-02-20,255.0,255.0,253.0,266.0,253.0,253.0,1280.0,55.2,11,2787.0
2009-02-24,253.0,253.0,240.5,253.0,243.05,243.05,1280.0,55.2,131,31824.75
2009-02-25,244.0,244.0,232.25,243.05,232.25,232.25,1280.0,55.2,111,26232.75
2009-02-26,223.0,223.0,220.65,232.25,220.65,220.65,1280.0,55.2,27,5962.25
2009-02-27,210.05,210.05,209.7,220.65,209.7,209.7,1280.0,55.2,23,4827.85
2009-03-04,220.2,220.2,220.2,209.7,220.2,220.2,1280.0,55.2,26,5725.2
2009-03-05,220.0,220.0,210.25,220.2,210.25,210.25,1280.0,55.2,6,1291.0
2009-03-06,220.8,220.8,220.0,210.25,220.8,220.8,1280.0,55.2,220,48556.0
2009-03-09,231.8,231.8,226.0,220.8,231.0,231.0,1280.0,55.2,341,78537.0
2009-03-12,225.0,228.0,225.0,231.0,228.0,228.0,1280.0,55.2,4,903.0
2009-03-13,218.1,218.1,218.1,228.0,218.1,218.1,1280.0,55.2,100,21810.0
2009-03-16,208.0,224.5,208.0,218.1,208.0,208.0,1280.0,55.2,64,13345.0
2009-03-17,218.0,218.0,214.5,208.0,214.5,214.5,1280.0,55.2,5,1077.5
2009-03-18,216.0,222.0,216.0,214.5,216.0,217.75,1280.0,55.2,619,134612.5
2009-03-19,219.0,219.0,209.0,217.75,209.0,209.0,1280.0,55.2,12,2618.0
2009-03-20,215.0,215.0,199.0,209.0,199.0,199.0,1280.0,55.2,106,22305.0
2009-03-23,205.0,207.6,192.0,199.0,206.0,206.0,1280.0,55.2,110,21455.0
2009-03-25,214.0,214.0,214.0,206.0,214.0,214.0,1280.0,55.2,5,1070.0
2009-03-26,215.0,215.0,215.0,214.0,215.0,215.0,1280.0,55.2,25,5375.0
2009-03-27,204.5,220.0,204.25,215.0,204.25,204.25,1280.0,55.2,111,22750.75
2009-03-31,214.0,214.0,194.1,204.25,194.1,194.1,1280.0,55.2,2,408.1
2009-04-01,185.0,194.0,185.0,194.1,185.0,185.0,1280.0,55.2,39,7305.0
2009-04-02,180.0,194.25,180.0,185.0,194.25,193.95,1280.0,55.2,212,40470.5
2009-04-06,194.25,194.25,190.0,193.95,190.0,190.0,1280.0,55.2,250,48350.0
2009-04-08,181.0,195.9,180.5,190.0,182.0,182.0,1280.0,55.2,112,20296.4
2009-04-09,186.0,186.0,182.0,182.0,182.0,182.0,1280.0,55.2,61,11126.0
2009-04-13,191.1,191.1,191.1,182.0,191.1,191.1,1280.0,55.2,75,14332.5
2009-04-15,191.1,191.1,190.0,191.1,191.1,191.1,1280.0,55.2,260,49566.0
2009-04-16,200.7,200.7,182.0,191.1,182.0,182.0,1280.0,55.2,180,36088.6
2009-04-17,185.0,187.5,185.0,182.0,187.5,187.5,1280.0,55.2,160,29700.0
2009-04-20,196.5,196.9,182.0,187.5,196.9,196.9,1280.0,55.2,338,66395.2
2009-04-28,200.0,200.0,187.1,196.9,200.0,200.0,1280.0,175.0,85,16786.5
2009-04-29,205.0,210.0,199.0,200.0,199.0,199.0,1280.0,175.0,70,14100.0
2009-05-04,191.1,208.95,191.1,199.0,208.95,208.95,1265.0,175.0,90,18074.25
2009-05-05,219.4,219.4,219.0,208.95,219.4,219.4,1265.0,175.0,184,40349.6
2009-05-07,230.4,230.4,230.4,219.4,230.4,230.4,1265.0,175.0,125,28800.0
2009-05-08,241.95,241.95,241.95,230.4,241.95,241.95,1265.0,175.0,149,36050.55
2009-05-11,254.05,254.05,254.05,241.95,254.05,254.05,892.7,175.0,6,1524.3
2009-05-12,266.75,266.75,242.05,254.05,266.75,257.05,892.7,175.0,430,114654.05
2009-05-13,269.9,269.9,261.0,257.05,269.9,268.85,892.7,175.0,52,13887.3
2009-05-14,279.9,282.3,279.9,268.85,282.3,282.3,892.7,175.0,177,49859.6
2009-05-15,296.45,296.45,296.45,282.3,296.45,296.45,892.7,175.0,69,20455.05
2009-05-19,311.3,311.3,311.3,296.45,311.3,311.3,761.7,175.0,24,7471.2
2009-05-20,326.9,326.9,326.9,311.3,326.9,326.9,761.7,175.0,88,28767.2
2009-05-21,343.25,343.25,343.25,326.9,343.25,343.25,761.7,175.0,27,9267.75
2009-05-22,360.45,360.45,360.45,343.25,360.45,360.45,761.7,175.0,45,16220.25
2009-05-25,378.5,378.5,378.5,360.45,378.5,378.5,622.1,175.0,5,1892.5
