date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2011-12-01,9.75,9.75,8.1,9.0,8.1,8.1,9.75,8.1,805,6771.0
2011-12-02,8.0,8.0,7.3,8.1,7.3,7.3,9.75,7.3,1350,10205.0
2011-12-05,6.6,6.6,6.6,7.3,6.6,6.6,9.75,6.6,798,5266.8
2011-12-07,6.0,6.0,5.95,6.6,5.95,5.95,9.75,5.95,2902,17274.45
2011-12-08,5.65,5.65,5.65,5.95,5.65,5.65,9.75,5.65,4196,23707.4
2011-12-09,5.85,5.9,5.4,5.65,5.9,5.9,9.75,5.4,3419,19467.3
2011-12-12,5.6,6.2,5.6,5.9,5.65,5.65,9.75,5.4,9240,52827.7
2011-12-13,5.9,5.9,5.5,5.65,5.5,5.5,9.75,5.4,1373,7951.5
2011-12-14,5.75,5.75,5.55,5.5,5.55,5.55,9.75,5.4,158,907.7
2011-12-15,5.3,5.7,5.3,5.55,5.7,5.35,9.75,5.3,2797,14970.6
2011-12-16,5.3,5.35,5.25,5.35,5.25,5.25,9.75,5.25,660,3488.55
2011-12-19,5.15,5.15,5.0,5.25,5.0,5.0,9.75,5.0,1610,8250.0
2011-12-20,4.75,4.75,4.75,5.0,4.75,4.75,9.75,4.75,451,2142.25
2011-12-21,4.65,4.9,4.65,4.75,4.9,4.75,9.75,4.65,838,3950.4
2011-12-22,4.65,4.9,4.55,4.75,4.65,4.75,9.75,4.55,1260,5864.3
2011-12-23,4.55,4.95,4.55,4.75,4.65,4.65,9.75,4.55,398,1884.3
2011-12-26,4.55,4.65,4.55,4.65,4.65,4.65,9.75,4.55,581,2690.15
2011-12-27,4.85,4.85,4.85,4.65,4.85,4.85,9.75,4.55,4,19.4
2011-12-29,4.65,4.7,4.65,4.85,4.7,4.7,9.75,4.55,48,224.8
2012-01-02,4.5,4.9,4.5,4.7,4.55,4.6,9.75,4.5,88,411.0
2012-01-03,4.8,4.8,4.8,4.6,4.8,4.8,9.75,4.5,20,96.0
2012-01-04,4.6,5.0,4.6,4.8,4.8,4.9,9.75,4.5,450,2112.0
2012-01-05,5.0,5.15,5.0,4.9,5.0,5.0,9.75,4.5,906,4642.35
2012-01-06,4.6,5.25,4.5,5.0,5.25,5.25,9.75,4.5,740,3372.75
2012-01-07,5.75,5.75,5.6,5.25,5.6,5.6,9.75,4.5,320,1825.0
2012-01-09,5.05,5.05,5.05,5.6,5.05,5.05,9.75,4.5,1534,7746.7
2012-01-10,5.05,5.25,5.05,5.05,5.25,5.25,9.75,4.5,769,3963.45
2012-01-11,4.8,5.3,4.75,5.25,5.25,5.25,9.75,4.5,230,1156.0
2012-01-12,4.8,5.25,4.75,5.25,5.2,5.2,9.75,4.5,1536,7903.0
2012-01-13,5.2,5.2,4.75,5.2,5.15,5.15,9.75,4.5,6,30.55
2012-01-16,4.85,5.0,4.75,5.15,4.75,4.8,9.75,4.5,366,1789.5
2012-01-17,4.75,4.75,4.75,4.8,4.75,4.75,9.75,4.5,541,2569.75
2012-01-18,4.3,4.75,4.3,4.75,4.75,4.75,9.75,4.3,260,1190.0
2012-01-19,4.75,4.95,4.4,4.75,4.95,4.95,9.75,4.3,3044,14518.8
2012-01-20,4.5,5.05,4.5,4.95,5.0,4.9,9.75,4.3,1923,9641.95
2012-01-23,4.9,5.35,4.55,4.9,5.35,5.35,9.75,4.3,1450,7137.7
2012-01-24,5.2,5.25,5.0,5.35,5.0,5.25,9.75,4.3,4545,23828.4
2012-01-27,5.1,5.4,5.1,5.25,5.2,5.2,9.75,4.3,1091,5628.2
2012-01-30,5.7,5.7,5.0,5.2,5.7,5.7,9.75,4.3,2727,15415.2
2012-01-31,6.1,6.1,5.2,5.7,6.0,5.9,9.75,4.3,2551,14394.85
2012-02-01,6.4,6.45,5.45,5.9,6.35,6.1,9.75,4.3,3007,18421.15
2012-02-02,5.7,6.45,5.5,6.1,5.8,5.55,9.75,4.3,7384,41594.05
2012-02-03,5.15,6.1,5.15,5.55,6.1,6.0,9.75,4.3,2780,16560.75
2012-02-06,6.5,6.5,5.85,6.0,6.5,6.35,9.75,4.3,6378,39759.2
2012-02-07,6.45,6.45,6.05,6.35,6.4,6.4,9.75,4.3,1820,11356.2
2012-02-08,6.5,7.0,6.4,6.4,7.0,7.0,9.75,4.3,15561,106049.2
2012-02-09,7.35,7.35,7.1,7.0,7.35,7.35,9.75,4.3,1740,12736.0
2012-02-10,7.35,7.7,7.35,7.35,7.7,7.7,9.75,4.3,2872,22086.4
2012-02-13,8.0,8.05,8.0,7.7,8.05,8.05,9.75,4.3,2298,18471.15
2012-02-14,8.45,8.45,8.0,8.05,8.45,8.45,9.75,4.3,5122,42425.15
2012-02-15,8.85,8.85,8.15,8.45,8.85,8.55,9.75,4.3,8243,69497.35
2012-02-16,8.3,8.7,8.15,8.55,8.15,8.15,9.75,4.3,6651,54650.75
2012-02-17,7.75,8.45,7.75,8.15,7.9,7.85,9.75,4.3,3621,28801.0
2012-02-21,7.85,7.85,7.55,7.85,7.6,7.6,9.75,4.3,3564,27357.65
2012-02-22,7.55,7.55,7.4,7.6,7.4,7.4,9.75,4.3,356,2649.4
2012-02-23,7.15,7.15,7.1,7.4,7.1,7.1,9.75,4.3,1029,7315.9
2012-02-24,6.75,7.05,6.75,7.1,6.8,6.9,9.75,4.3,1040,7113.8
2012-02-27,6.6,6.6,6.6,6.9,6.6,6.6,9.75,4.3,949,6263.4
2012-02-28,6.3,6.3,6.3,6.6,6.3,6.3,9.75,4.3,2412,15195.6
2012-02-29,6.0,6.0,6.0,6.3,6.0,6.0,9.75,4.3,2975,17850.0
2012-03-01,5.7,5.7,5.7,6.0,5.7,5.7,9.75,4.3,1470,8379.0
2012-06-15,4.5,4.5,4.3,4.4,4.3,4.3,9.75,3.6,914,3948.5
2012-06-18,4.2,4.5,4.2,4.3,4.35,4.35,9.75,3.6,1261,5638.35
2012-06-20,4.15,4.15,4.15,4.35,4.15,4.15,9.75,3.6,3,12.45
2012-06-21,4.1,4.1,4.1,4.15,4.1,4.1,9.75,3.6,140,574.0
2012-06-22,4.0,4.05,3.95,4.1,3.95,3.95,9.75,3.6,2104,8451.95
2012-06-26,3.8,3.8,3.8,3.95,3.8,3.8,9.75,3.6,440,1672.0
2012-06-27,3.75,3.75,3.75,3.8,3.75,3.75,9.75,3.6,50,187.5
2012-06-28,3.7,3.7,3.7,3.75,3.7,3.7,9.75,3.6,7,25.9
2012-06-29,3.75,3.75,3.7,3.7,3.7,3.7,9.75,3.6,599,2241.3
2012-07-02,3.7,3.7,3.7,3.7,3.7,3.7,9.75,3.6,40,148.0
2012-07-09,3.7,3.7,3.7,3.7,3.7,3.7,9.75,3.6,100,370.0
2012-07-11,3.7,3.8,3.7,3.7,3.7,3.7,9.75,3.6,190,714.0
2012-07-12,3.75,3.75,3.75,3.7,3.75,3.75,9.75,3.6,8,30.0
2012-07-13,3.75,3.75,3.75,3.75,3.75,3.75,9.75,3.6,16,60.0
2012-07-16,3.65,3.8,3.65,3.75,3.8,3.8,9.75,3.6,61,231.5
2012-07-17,3.95,3.95,3.95,3.8,3.95,3.95,9.75,3.6,80,316.0
2012-07-18,3.95,3.95,3.95,3.95,3.95,3.95,9.75,3.6,8,31.6
2012-07-23,4.0,4.05,4.0,3.95,4.05,4.05,9.75,3.6,240,963.0
2012-07-24,3.95,3.95,3.95,4.05,3.95,3.95,9.75,3.6,500,1975.0
2012-07-26,3.85,3.85,3.85,3.95,3.85,3.85,9.75,3.6,1245,4793.25
2012-07-27,4.0,4.0,3.9,3.85,3.9,3.9,9.75,3.6,48,188.0
2012-07-30,3.9,3.9,3.75,3.9,3.75,3.75,9.75,3.6,400,1523.7
2012-07-31,3.7,3.7,3.7,3.75,3.7,3.7,9.75,3.6,135,499.5
2012-08-02,3.65,3.8,3.65,3.7,3.8,3.8,9.75,3.6,600,2238.0
2012-08-03,3.8,3.8,3.65,3.8,3.65,3.65,9.75,3.6,774,2940.6
2012-08-06,3.6,3.6,3.6,3.65,3.6,3.6,9.75,3.6,20,72.0
2012-08-07,3.6,3.6,3.6,3.6,3.6,3.6,9.75,3.6,214,770.4
2012-08-08,3.55,3.65,3.55,3.6,3.65,3.65,9.75,3.55,75,269.35
2012-08-09,3.65,3.65,3.65,3.65,3.65,3.65,9.75,3.55,60,219.0
2012-08-10,3.8,3.8,3.8,3.65,3.8,3.8,9.75,3.55,350,1330.0
2012-08-13,3.65,3.9,3.65,3.8,3.9,3.9,9.75,3.55,463,1795.7
2012-08-14,3.75,3.75,3.75,3.9,3.75,3.75,9.75,3.55,3578,13417.5
2012-08-16,3.6,3.65,3.6,3.75,3.65,3.65,9.75,3.55,56,202.4
2012-08-23,3.6,3.6,3.55,3.65,3.55,3.55,9.75,3.55,88,312.9
2012-08-24,3.55,3.7,3.55,3.55,3.55,3.55,9.75,3.55,447,1601.85
2012-08-28,3.45,3.7,3.45,3.55,3.55,3.55,9.75,3.45,3924,14455.2
2012-08-29,3.55,3.55,3.55,3.55,3.55,3.55,9.75,3.45,40,142.0
2012-08-30,3.7,3.7,3.7,3.55,3.7,3.7,9.75,3.45,404,1494.8
2012-08-31,3.75,3.85,3.65,3.7,3.65,3.65,9.75,3.45,2962,11001.8
2012-09-03,3.65,3.65,3.65,3.65,3.65,3.65,9.75,3.45,440,1606.0
