date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-12-16,1004.0,1005.0,1001.05,1000.0,1003.0,1002.52,1005.0,1001.05,10360,10385256.47
2022-12-19,1002.52,1003.98,1002.0,1002.52,1003.45,1002.99,1005.0,1001.05,7297,7318590.82
2022-12-20,1003.0,1005.0,1002.07,1002.99,1002.22,1002.52,1005.0,1001.05,23271,23358242.33
2022-12-21,1002.01,1005.99,1002.01,1002.52,1004.86,1003.5,1005.99,1001.05,4677,4693903.0
2022-12-22,1003.02,1005.88,1003.01,1003.5,1003.65,1005.69,1005.99,1001.05,14887,14967893.89
2022-12-23,1003.51,1005.98,1003.5,1005.69,1003.52,1003.53,1005.99,1001.05,7079,7108385.21
2022-12-26,1003.53,1006.0,1002.1,1003.53,1004.5,1004.68,1006.0,1001.05,21275,21400325.86
2022-12-27,1003.73,1006.98,1003.7,1004.68,1005.57,1005.6,1006.98,1001.05,3376,3393655.67
2022-12-28,1005.6,1006.99,1004.5,1005.6,1005.86,1004.88,1006.99,1001.05,5616,5647062.07
2022-12-29,1005.86,1006.49,1002.59,1004.88,1003.0,1003.92,1006.99,1001.05,9822,9863398.26
2022-12-30,1005.0,1006.99,1003.95,1003.92,1004.01,1005.34,1006.99,1001.05,8112,8162468.34
2023-01-02,1006.49,1006.98,1004.0,1005.34,1004.6,1004.86,1006.99,1001.05,3783,3804037.08
2023-01-03,1004.86,1006.43,1004.7,1004.86,1006.22,1005.44,1006.99,1001.05,17021,17114842.41
2023-01-04,1005.43,1006.99,1004.0,1005.44,1004.76,1004.75,1006.99,1001.05,5341,5369304.12
2023-01-05,1005.99,1006.49,1004.77,1004.75,1005.0,1005.14,1006.99,1001.05,7482,7520985.91
2023-01-06,1006.49,1006.49,1005.11,1005.14,1005.28,1005.59,1006.99,1001.05,19967,20078118.17
2023-01-09,1005.99,1006.99,1005.16,1005.59,1006.95,1006.49,1006.99,1001.05,16467,16576964.99
2023-01-10,1006.25,1007.59,1005.01,1006.49,1006.93,1005.79,1007.59,1001.05,8735,8790380.13
2023-01-11,1006.79,1007.99,1005.1,1005.79,1005.55,1006.33,1007.99,1001.05,6482,6524333.99
2023-01-12,1006.99,1007.0,1006.4,1006.33,1006.99,1006.88,1007.99,1001.05,6591,6636864.11
2023-01-13,1006.88,1008.0,1006.11,1006.88,1007.99,1007.94,1008.0,1001.05,8090,8152654.79
2023-01-16,1008.0,1008.0,1005.25,1007.94,1006.59,1006.6,1008.0,1001.05,4702,4732631.04
2023-01-17,1007.0,1007.98,1006.12,1006.6,1006.4,1006.88,1008.0,1001.05,3395,3418588.8
2023-01-18,1006.3,1007.99,1006.3,1006.88,1006.62,1006.93,1008.0,1001.05,6234,6277652.58
2023-01-19,1006.64,1007.7,1006.64,1006.93,1007.23,1007.42,1008.0,1001.05,13917,14018746.17
2023-01-20,1007.25,1007.99,1005.51,1007.42,1007.2,1007.25,1008.0,1001.05,9421,9489987.69
2023-01-23,1007.25,1008.0,1005.5,1007.25,1007.25,1007.25,1008.0,1001.05,3687,3712894.87
2023-01-24,1006.51,1008.98,1006.0,1007.25,1007.0,1006.8,1008.98,1001.05,11881,11959094.45
2023-01-25,1006.56,1008.66,1006.56,1006.8,1006.8,1006.93,1008.98,1001.05,6065,6106977.0
2023-01-27,1007.5,1008.84,1006.8,1006.93,1006.85,1007.09,1008.98,1001.05,2627,2645555.66
2023-01-30,1004.11,1008.0,1004.11,1007.09,1006.6,1006.6,1008.98,1001.05,7833,7887739.95
2023-01-31,1006.4,1007.99,1006.4,1006.6,1007.99,1006.8,1008.98,1001.05,9143,9205367.69
2023-02-01,1008.0,1009.0,1006.8,1006.8,1007.3,1007.24,1009.0,1001.05,4047,4076325.6
2023-02-02,1006.91,1010.0,1006.8,1007.24,1007.08,1007.14,1010.0,1001.05,4093,4124003.37
2023-02-03,1007.08,1009.97,1006.9,1007.14,1009.39,1009.34,1010.0,1001.05,7879,7950130.06
2023-02-06,1009.0,1011.0,1007.55,1009.34,1008.32,1009.19,1011.0,1001.05,2933,2958644.41
2023-02-07,1008.33,1011.99,1008.33,1009.19,1009.0,1009.45,1011.99,1001.05,1934,1952338.41
2023-02-08,1010.1,1013.99,1010.1,1009.45,1012.0,1012.04,1013.99,1001.05,3284,3324011.96
2023-02-09,1011.0,1011.0,1007.1,1012.04,1008.99,1008.86,1013.99,1001.05,8636,8709530.68
2023-02-10,1009.0,1011.99,1008.9,1008.86,1009.38,1009.59,1013.99,1001.05,6043,6107026.32
2023-02-13,1009.0,1009.99,1008.0,1009.59,1008.99,1008.82,1013.99,1001.05,13104,13223319.49
2023-02-14,1010.0,1010.0,1005.01,1008.82,1006.0,1006.9,1013.99,1001.05,12140,12224794.41
2023-02-15,1007.49,1008.89,1005.0,1006.9,1005.31,1006.05,1013.99,1001.05,22377,22513907.9
2023-02-16,1006.06,1007.94,1005.0,1006.05,1005.5,1006.07,1013.99,1001.05,31536,31739466.77
2023-02-17,1007.98,1007.98,1006.01,1006.07,1006.5,1007.15,1013.99,1001.05,7061,7111990.24
2023-02-20,1007.2,1007.96,1004.12,1007.15,1004.26,1005.1,1013.99,1001.05,10525,10590731.88
2023-02-21,1005.18,1008.95,1005.18,1005.1,1006.0,1005.89,1013.99,1001.05,2569,2583515.81
2023-02-22,1005.21,1007.0,1005.21,1005.89,1006.26,1006.63,1013.99,1001.05,3616,3639051.3
2023-02-23,1007.98,1007.98,1005.26,1006.63,1006.3,1006.49,1013.99,1001.05,9716,9784842.2
2023-02-24,1007.99,1007.99,1006.58,1006.49,1006.62,1007.23,1013.99,1001.05,7941,7999993.82
