date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-11-02,180.9,180.9,180.9,164.05,180.9,180.9,180.9,180.9,326,58973.4
2007-11-05,189.95,189.95,189.95,180.9,189.95,189.95,189.95,180.9,870,165256.5
2007-11-06,199.45,199.45,199.45,189.95,199.45,199.45,199.45,180.9,375,74793.75
2007-11-07,209.45,209.45,189.5,199.45,209.45,209.45,209.45,180.9,179230,36958581.6
2007-11-08,213.4,219.95,207.95,209.45,219.95,219.95,219.95,180.9,8952,1909043.55
2007-11-09,230.95,230.95,230.95,219.95,230.95,230.95,230.95,180.9,886,204621.7
2007-11-12,242.5,242.5,235.0,230.95,242.5,242.5,242.5,180.9,18596,4501292.45
2007-11-13,254.65,254.65,254.65,242.5,254.65,254.65,254.65,180.9,6648,1692913.2
2007-11-14,267.4,267.4,267.4,254.65,267.4,267.4,267.4,180.9,5506,1472304.4
2007-11-15,280.8,280.8,280.8,267.4,280.8,280.8,280.8,180.9,882,247665.6
2007-11-16,294.85,294.85,276.1,280.8,294.85,294.85,294.85,180.9,83474,24401016.5
2007-11-19,309.6,309.6,281.55,294.85,309.6,309.6,309.6,180.9,142003,43042603.75
2007-11-20,325.0,325.1,315.0,309.6,325.1,325.1,325.1,180.9,72483,23524026.85
2007-11-21,334.4,341.4,325.1,325.1,341.4,339.3,341.4,180.9,127804,43440556.4
2007-11-22,355.95,356.3,322.35,339.3,322.35,322.35,356.3,180.9,67569,22152527.75
2007-11-23,306.25,306.25,306.25,322.35,306.25,306.25,356.3,180.9,3327,1018893.75
2007-11-26,290.95,290.95,290.95,306.25,290.95,290.95,356.3,180.9,2481,721846.95
2007-11-27,276.4,276.4,276.4,290.95,276.4,276.4,356.3,180.9,2632,727484.8
2007-11-28,262.6,290.25,262.6,276.4,290.25,290.25,356.3,180.9,215954,59526124.1
2007-11-29,303.4,304.75,275.75,290.25,275.75,275.75,356.3,180.9,175634,50234285.9
2007-11-30,279.8,279.8,262.0,275.75,262.0,262.15,356.3,180.9,45297,12023422.3
2007-12-03,250.35,275.3,250.35,262.15,275.3,275.3,356.3,180.9,37770,10009206.75
2007-12-04,289.0,289.1,271.1,275.3,276.9,275.15,356.3,180.9,84969,23999312.75
2007-12-05,277.0,283.0,266.0,275.15,270.85,269.4,356.3,180.9,19015,5189120.6
2007-12-06,278.0,278.0,261.35,269.4,265.0,263.1,356.3,180.9,28710,7709112.2
2007-12-07,267.0,268.0,254.2,263.1,261.0,260.3,356.3,180.9,22349,5778989.7
2007-12-10,271.5,273.35,250.1,260.3,273.35,273.35,356.3,180.9,36595,9788374.1
2007-12-11,283.85,284.0,275.2,273.35,278.0,277.35,356.3,180.9,35883,10068847.85
2007-12-12,275.0,279.95,265.15,277.35,266.0,269.3,356.3,180.9,13121,3590027.45
2007-12-13,260.1,274.0,260.1,269.3,262.1,265.0,356.3,180.9,10253,2757000.8
2007-12-14,261.0,269.0,256.0,265.0,259.0,257.8,356.3,180.9,8621,2253899.0
2007-12-17,262.8,270.7,250.25,257.8,251.0,253.65,356.3,180.9,35959,9491153.65
2007-12-18,256.0,266.35,251.25,253.65,261.9,258.6,356.3,180.9,30219,7855311.15
2007-12-19,258.05,271.55,258.0,258.6,265.0,265.9,356.3,180.9,43288,11638375.15
2007-12-20,262.0,267.85,253.0,265.9,255.0,255.15,356.3,180.9,12000,3100080.5
