date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-11-24,76.0,80.97,75.0,75.23,75.0,75.0,80.97,75.0,205339,15404062.15
2023-11-28,76.0,80.0,74.21,75.0,77.01,77.15,80.97,74.21,918209,70702396.4
2023-11-29,79.07,79.5,76.29,77.15,77.7,77.3,80.97,74.21,905405,70395041.02
2023-11-30,79.23,79.5,75.0,77.3,77.5,78.19,80.97,74.21,911475,71272853.65
2023-12-01,79.0,79.5,78.01,78.19,78.8,78.74,80.97,74.21,895109,70489538.36
2023-12-04,80.7,80.7,76.0,78.74,76.69,78.69,80.97,74.21,893325,70302556.22
2023-12-05,79.98,79.98,76.93,78.69,77.06,77.05,80.97,74.21,985713,75950102.71
2023-12-06,77.51,78.0,76.2,77.05,76.5,76.58,80.97,74.21,27001,2068488.72
2023-12-07,77.0,77.51,75.61,76.58,76.18,75.8,80.97,74.21,6589,502682.31
2023-12-08,76.0,77.01,75.3,75.8,75.3,75.78,80.97,74.21,46741,3544681.83
2023-12-11,75.79,76.24,73.6,75.78,75.99,73.76,80.97,73.6,29193,2158114.2
2023-12-12,75.24,75.24,73.15,73.76,73.15,73.52,80.97,73.15,20065,1476984.33
2023-12-13,75.0,75.0,72.6,73.52,72.6,72.62,80.97,72.6,7830,573240.51
2023-12-14,74.85,77.0,73.99,72.62,76.05,76.04,80.97,72.6,18309,1387200.78
2023-12-15,77.81,78.01,75.2,76.04,76.3,76.24,80.97,72.6,42109,3211491.08
2023-12-18,76.01,76.01,74.9,76.24,76.0,75.99,80.97,72.6,27825,2114143.98
2023-12-19,76.4,76.4,75.01,75.99,75.8,75.77,80.97,72.6,2791,211362.59
2023-12-20,76.24,76.4,75.3,75.77,75.85,76.29,80.97,72.6,48789,3721446.24
2023-12-21,76.59,77.51,76.2,76.29,76.3,76.3,80.97,72.6,28564,2181086.89
2023-12-22,76.0,77.2,75.7,76.3,77.05,77.05,80.97,72.6,19389,1492882.31
2023-12-26,77.05,77.8,76.21,77.05,76.8,76.8,80.97,72.6,12597,968203.4
2023-12-27,76.0,78.5,75.91,76.8,78.2,76.57,80.97,72.6,49829,3815177.12
2023-12-28,76.8,77.8,76.58,76.57,76.85,76.82,80.97,72.6,7811,601246.43
2023-12-29,76.68,76.68,75.6,76.82,75.97,75.6,80.97,72.6,42553,3221614.69
2024-01-01,76.0,76.99,75.4,75.6,75.95,75.91,80.97,72.6,57323,4354733.89
2024-01-02,75.99,76.51,75.4,75.91,76.5,76.41,80.97,72.6,31084,2376722.83
2024-01-03,76.58,76.58,74.81,76.41,75.1,75.09,80.97,72.6,20216,1519809.31
2024-01-04,74.9,74.91,73.8,75.09,73.99,73.99,80.97,72.6,13920,1030414.0
2024-01-05,74.98,74.98,73.8,73.99,73.8,73.81,80.97,72.6,5345,395776.43
2024-01-08,75.29,75.29,72.79,73.81,73.7,73.64,80.97,72.6,44814,3298845.59
2024-01-09,74.67,78.0,73.7,73.64,74.2,74.2,80.97,72.6,67578,5014122.73
2024-01-10,74.4,74.61,73.01,74.2,73.75,73.84,80.97,72.6,13652,1007909.81
2024-01-11,74.88,74.88,73.5,73.84,73.6,73.69,80.97,72.6,31423,2316978.85
2024-01-12,74.68,74.68,73.42,73.69,73.6,73.59,80.97,72.6,33039,2431912.91
2024-01-15,73.75,74.88,73.3,73.59,74.2,74.04,80.97,72.6,15181,1124570.78
2024-01-16,74.2,74.51,73.5,74.04,73.92,73.99,80.97,72.6,34283,2536984.8
2024-01-17,74.2,74.36,73.1,73.99,73.4,73.33,80.97,72.6,5460,401288.11
2024-01-18,73.41,73.81,71.49,73.33,73.0,73.1,80.97,71.49,40181,2936517.1
2024-01-19,74.26,74.26,73.0,73.1,73.39,73.44,80.97,71.49,9390,689245.95
2024-01-20,74.91,74.91,73.0,73.44,73.3,73.33,80.97,71.49,2861,210009.7
2024-01-23,73.33,74.51,72.21,73.33,72.55,72.63,80.97,71.49,7647,556869.11
2024-01-24,73.0,75.4,71.8,72.63,73.8,73.35,80.97,71.49,42408,3107378.38
2024-01-25,73.7,74.18,72.8,73.35,73.45,73.45,80.97,71.49,9974,727469.9
2024-01-29,74.37,74.37,72.6,73.45,73.65,73.63,80.97,71.49,2772,203752.5
2024-01-30,74.51,74.51,73.0,73.63,73.95,73.95,80.97,71.49,39965,2955129.89
2024-01-31,73.9,74.0,73.6,73.95,74.0,73.98,80.97,71.49,17440,1289823.8
2024-02-01,73.96,73.96,73.0,73.98,73.2,73.2,80.97,71.49,2469,181099.18
2024-02-02,73.2,73.95,73.2,73.2,73.95,73.95,80.97,71.49,1245,91691.8
2024-02-05,73.64,73.64,72.2,73.95,72.5,72.5,80.97,71.49,44886,3254322.48
2024-02-06,72.51,72.91,72.0,72.5,72.2,72.27,80.97,71.49,6612,478280.48
2024-02-07,73.81,73.81,71.91,72.27,72.1,72.04,80.97,71.49,21497,1549938.8
2024-02-08,72.04,72.05,71.85,72.04,72.05,72.01,80.97,71.49,9984,718447.8
2024-02-09,72.01,72.98,72.01,72.01,72.78,72.79,80.97,71.49,17904,1302203.64
2024-02-12,73.47,73.47,72.49,72.79,73.1,73.17,80.97,71.49,5061,368721.55
2024-02-13,73.98,73.98,71.48,73.17,73.04,72.8,80.97,71.48,106318,7738843.84
