date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-05-30,825.0,839.95,773.0,878.0,801.4,803.1,839.95,773.0,2637898,2120955985.95
2022-05-31,805.05,818.0,801.1,803.1,803.0,805.7,839.95,773.0,362441,292468072.9
2022-06-01,811.9,811.9,788.45,805.7,806.5,806.15,839.95,773.0,142831,114591993.2
2022-06-02,807.75,807.75,780.0,806.15,781.4,782.55,839.95,773.0,48340,38266108.15
2022-06-03,785.0,791.2,742.05,782.55,742.5,746.5,839.95,742.05,48361,36989185.35
2022-06-06,733.0,787.65,707.45,746.5,766.0,770.1,839.95,707.45,166416,124753329.1
2022-06-07,758.3,798.95,752.8,770.1,772.75,776.2,839.95,707.45,93288,72728693.3
2022-06-08,774.0,799.0,774.0,776.2,785.0,784.85,839.95,707.45,60115,47236577.55
2022-06-09,790.0,807.75,750.65,784.85,797.0,802.85,839.95,707.45,57921,46129330.3
2022-06-10,790.8,799.95,779.0,802.85,780.1,784.6,839.95,707.45,14635,11621557.95
2022-06-13,761.0,798.7,759.0,784.6,781.4,788.65,839.95,707.45,46430,36473422.85
2022-06-14,785.0,800.0,778.55,788.65,792.0,795.75,839.95,707.45,34110,27086954.6
2022-06-15,791.0,802.0,789.35,795.75,797.0,798.75,839.95,707.45,25663,20446840.8
2022-06-16,808.0,808.75,766.0,798.75,786.0,779.3,839.95,707.45,38765,30589130.15
2022-06-17,779.3,790.0,761.25,779.3,790.0,782.25,839.95,707.45,12220,9485151.35
2022-06-20,771.1,780.7,750.05,782.25,765.85,759.3,839.95,707.45,58565,44572102.25
2022-06-21,765.85,775.75,758.75,759.3,775.55,772.9,839.95,707.45,6031,4624749.8
2022-06-22,775.55,777.7,761.2,772.9,770.0,770.55,839.95,707.45,5196,3999357.85
2022-06-23,763.25,784.75,763.25,770.55,780.0,780.15,839.95,707.45,17880,13926977.5
2022-06-24,781.1,804.0,780.25,780.15,800.0,799.35,839.95,707.45,16245,12939977.25
2022-06-27,793.0,821.0,793.0,799.35,815.15,809.95,839.95,707.45,29224,23556738.45
2022-06-28,795.4,817.15,792.0,809.95,792.5,797.85,839.95,707.45,13009,10489630.6
2022-06-29,789.55,796.35,766.4,797.85,768.5,777.95,839.95,707.45,3576,2816098.55
2022-06-30,784.0,799.85,770.0,777.95,795.0,793.9,839.95,707.45,6941,5425308.15
2022-07-01,793.9,794.8,776.3,793.9,784.0,785.05,839.95,707.45,2217,1740519.05
2022-07-04,773.1,789.95,773.1,785.05,785.0,785.65,839.95,707.45,2871,2245410.7
2022-07-05,778.1,785.25,770.05,785.65,780.0,780.15,839.95,707.45,9993,7799524.8
2022-07-06,774.15,783.3,770.15,780.15,780.0,779.25,839.95,707.45,14379,11199191.25
2022-07-07,781.6,792.15,776.0,779.25,790.0,789.7,839.95,707.45,21840,17242908.05
2022-07-08,795.05,798.15,773.5,789.7,773.5,777.75,839.95,707.45,4090,3212671.3
2022-07-11,777.75,874.25,770.75,777.75,852.0,845.25,874.25,707.45,98506,83234144.4
2022-07-12,859.0,867.95,807.7,845.25,825.0,824.8,874.25,707.45,43593,36931777.3
2022-07-13,824.0,838.9,812.4,824.8,830.0,831.25,874.25,707.45,9859,8150551.05
2022-07-14,839.45,845.25,821.1,831.25,827.0,831.05,874.25,707.45,11045,9233796.05
2022-07-15,837.75,849.0,828.0,831.05,848.0,842.6,874.25,707.45,7267,6096567.7
2022-07-18,845.0,884.0,845.0,842.6,874.0,872.1,884.0,707.45,62097,53753681.55
2022-07-19,872.25,902.95,864.85,872.1,889.0,890.3,902.95,707.45,136695,121583807.4
2022-07-20,908.0,924.8,890.0,890.3,903.0,901.75,924.8,707.45,73667,66957021.1
2022-07-21,901.75,918.0,890.3,901.75,910.0,909.95,924.8,707.45,41649,37685062.6
2022-07-22,910.0,992.7,901.15,909.95,979.25,978.15,992.7,707.45,166580,159641059.8
2022-07-25,965.25,1005.15,940.3,978.15,964.9,954.85,1005.15,707.45,68362,66478643.9
2022-07-26,968.0,972.8,942.4,954.85,969.9,961.05,1005.15,707.45,24708,23663433.0
2022-07-27,1020.0,1075.0,945.15,961.05,965.0,965.5,1075.0,707.45,812235,816207842.1
2022-07-28,978.0,1020.0,962.0,965.5,981.0,987.4,1075.0,707.45,119965,119140219.0
2022-07-29,1003.0,1005.5,979.25,987.4,990.0,989.8,1075.0,707.45,48081,47638279.8
2022-08-01,999.0,1029.0,965.9,989.8,990.15,998.95,1075.0,707.45,83857,83537736.25
2022-08-02,1010.0,1021.45,982.0,998.95,1002.25,1009.2,1075.0,707.45,84432,84913559.4
2022-08-03,1009.0,1031.95,996.7,1009.2,1010.0,1009.7,1075.0,707.45,64986,65709288.1
2022-08-04,1014.0,1014.0,971.0,1009.7,1000.0,998.9,1075.0,707.45,74555,74035317.5
2022-08-05,1004.7,1004.9,970.0,998.9,974.0,974.85,1075.0,707.45,28896,28593739.45
2022-08-08,974.1,1007.0,974.1,974.85,1004.0,997.3,1075.0,707.45,47114,46747713.5
2022-08-10,1011.15,1030.0,987.35,997.3,995.0,997.65,1075.0,707.45,205683,208258880.05
2022-08-11,1013.75,1024.0,986.0,997.65,1016.15,1018.4,1075.0,707.45,157246,158284987.95
2022-08-12,1018.4,1125.0,1000.85,1018.4,1118.15,1107.55,1125.0,707.45,442682,479021101.0
2022-08-16,1120.0,1147.0,1082.45,1107.55,1090.0,1097.95,1147.0,707.45,134470,149960457.05
2022-08-17,1089.95,1108.5,1068.5,1097.95,1071.5,1072.0,1147.0,707.45,88310,95907962.7
2022-08-18,1086.7,1100.0,1050.0,1072.0,1097.0,1094.2,1147.0,707.45,64392,69340241.9
2022-08-19,1099.9,1099.9,1055.6,1094.2,1058.0,1069.35,1147.0,707.45,66775,72463613.45
2022-08-22,1074.95,1074.95,1040.0,1069.35,1046.0,1051.0,1147.0,707.45,58860,62129411.9
2022-08-23,1032.05,1055.0,1008.55,1051.0,1032.0,1031.7,1147.0,707.45,76142,78608075.15
2022-08-24,1032.0,1083.0,1011.05,1031.7,1029.95,1028.5,1147.0,707.45,126033,132449654.5
2022-08-25,1038.95,1044.95,1011.0,1028.5,1015.5,1016.75,1147.0,707.45,94631,97101580.55
2022-08-26,1024.9,1089.0,1024.9,1016.75,1055.0,1060.25,1147.0,707.45,103700,110597439.65
2022-08-29,1021.0,1044.65,1005.05,1060.25,1017.0,1013.7,1147.0,707.45,95873,98472086.35
2022-08-30,1028.95,1038.1,1012.0,1013.7,1022.05,1029.6,1147.0,707.45,136652,140410033.75
2022-09-01,1021.9,1079.0,1015.05,1029.6,1049.8,1049.5,1147.0,707.45,84314,88442453.1
2022-09-02,1058.4,1073.0,1030.0,1049.5,1037.0,1036.7,1147.0,707.45,30858,32403162.05
2022-09-05,1049.8,1050.85,1002.65,1036.7,1014.95,1011.95,1147.0,707.45,55295,57243759.75
2022-09-06,1024.9,1030.0,977.0,1011.95,1020.2,1025.7,1147.0,707.45,100629,101446211.65
2022-09-07,1024.0,1043.2,1015.05,1025.7,1036.05,1034.3,1147.0,707.45,36609,37703761.3
2022-09-08,1039.95,1086.8,1011.8,1034.3,1039.95,1039.7,1147.0,707.45,81969,84939706.75
2022-09-09,1045.0,1069.55,1003.0,1039.7,1007.0,1009.6,1147.0,707.45,114877,119700993.7
2022-09-12,1022.9,1068.0,1016.15,1009.6,1050.0,1044.15,1147.0,707.45,173749,181129363.5
2022-09-13,1057.0,1057.0,1037.95,1044.15,1048.4,1044.95,1147.0,707.45,80355,83984012.95
