date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2009-10-26,126.0,169.8,126.0,125.0,166.0,164.4,169.8,126.0,26247157,4077006062.45
2009-10-27,163.9,197.3,161.3,164.4,197.3,196.3,197.3,126.0,20307064,3705305653.55
2009-10-28,170.0,217.9,170.0,196.3,212.0,211.5,217.9,126.0,20217704,4152536815.15
2009-10-29,212.0,223.8,199.35,211.5,220.95,220.35,223.8,126.0,11128693,2411092186.05
2009-10-30,224.9,231.5,220.3,220.35,224.25,226.75,231.5,126.0,6075894,1373318266.75
2009-11-03,219.8,229.0,196.55,226.75,227.0,226.9,231.5,126.0,6928555,1542618343.5
2009-11-04,230.1,248.0,215.3,226.9,237.6,235.65,248.0,126.0,7785254,1843493738.5
2009-11-05,236.0,244.4,207.35,235.65,214.65,215.05,248.0,126.0,10052767,2221473084.75
2009-11-06,202.0,221.7,202.0,215.05,215.0,215.55,248.0,126.0,3846460,825938642.75
2009-11-09,214.0,230.8,213.6,215.55,229.9,229.65,248.0,126.0,2924296,655994646.9
2009-11-10,232.4,244.5,231.05,229.65,242.7,242.5,248.0,126.0,3429791,819514653.05
2009-11-11,245.9,258.85,240.8,242.5,252.55,254.5,258.85,126.0,3468535,872204977.05
2009-11-12,256.4,266.5,243.0,254.5,247.0,250.0,266.5,126.0,4254703,1082884233.45
2009-11-13,249.7,256.0,245.6,250.0,254.7,253.95,266.5,126.0,2192213,552440874.9
2009-11-16,255.0,262.0,253.0,253.95,260.0,259.75,266.5,126.0,1307857,338942975.5
2009-11-17,264.8,265.3,258.05,259.75,258.5,260.05,266.5,126.0,779818,204028763.6
2009-11-18,260.5,260.8,247.4,260.05,255.0,254.45,266.5,126.0,1478793,375663721.25
2009-11-19,255.25,265.1,254.15,254.45,264.7,263.0,266.5,126.0,1507732,393978684.75
2009-11-20,264.0,293.3,262.2,263.0,278.9,280.25,293.3,126.0,5155758,1452109662.65
2009-11-23,283.0,296.8,282.5,280.25,295.0,293.75,296.8,126.0,2653106,774695768.6
2009-11-24,297.4,305.25,291.75,293.75,298.1,297.95,305.25,126.0,2233779,670433242.5
2009-11-25,308.7,308.7,293.5,297.95,295.5,295.8,308.7,126.0,968282,288534451.8
2009-11-26,295.0,304.3,291.0,295.8,304.0,302.95,308.7,126.0,1336931,400858187.55
2009-11-27,299.9,321.0,297.0,302.95,319.9,319.1,321.0,126.0,3373600,1049119755.15
2009-11-30,321.0,335.3,298.1,319.1,299.25,302.4,335.3,126.0,6095296,1910014548.75
2009-12-01,301.9,309.8,288.3,302.4,291.05,291.1,335.3,126.0,3223083,956082026.75
2009-12-02,293.0,302.9,282.0,291.1,300.6,300.3,335.3,126.0,3381141,991463901.1
2009-12-03,303.0,309.5,300.05,300.3,302.05,303.15,335.3,126.0,1928232,588424802.5
