date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2023-11-30,138.0,148.25,133.0,140.0,139.3,140.25,148.25,133.0,33768075,4791053443.95
2023-12-01,141.5,144.8,141.3,140.25,142.2,142.55,148.25,133.0,5428331,777377813.85
2023-12-04,144.15,146.3,140.6,142.55,141.05,141.5,148.25,133.0,3850479,552897443.15
2023-12-05,141.85,142.5,135.05,141.5,136.9,136.6,148.25,133.0,2270739,315444522.05
2023-12-06,137.05,139.4,135.0,136.6,137.1,137.45,148.25,133.0,1569037,215082716.75
2023-12-07,136.95,140.2,136.3,137.45,140.0,139.05,148.25,133.0,1080402,149968918.3
2023-12-08,139.8,141.1,136.5,139.05,136.8,136.95,148.25,133.0,1778418,246820627.9
2023-12-11,138.25,140.0,136.5,136.95,137.0,137.35,148.25,133.0,2070721,286501741.75
2023-12-12,140.0,152.8,139.25,137.35,146.4,146.3,152.8,133.0,12224375,1780168477.95
2023-12-13,147.2,149.85,145.9,146.3,147.15,147.0,152.8,133.0,3413491,503165364.0
2023-12-14,148.0,148.85,145.6,147.0,147.35,147.45,152.8,133.0,3762961,553093691.05
2023-12-15,147.45,153.6,146.35,147.45,147.4,147.7,153.6,133.0,4182407,625879330.0
2023-12-18,147.9,148.65,143.65,147.7,146.0,146.0,153.6,133.0,1543605,225269458.85
2023-12-19,146.0,148.35,145.0,146.0,145.95,145.5,153.6,133.0,1451007,212802148.65
2023-12-20,146.0,148.05,139.5,145.5,140.25,140.5,153.6,133.0,2484641,359124607.25
2023-12-21,135.0,142.45,135.0,140.5,141.1,141.35,153.6,133.0,1038729,145394216.1
2023-12-22,142.3,143.05,140.1,141.35,140.7,141.05,153.6,133.0,614557,86948296.15
2023-12-26,141.25,142.9,140.0,141.05,140.5,140.85,153.6,133.0,624148,88152899.85
2023-12-27,140.85,142.0,140.1,140.85,140.45,140.6,153.6,133.0,588694,82919466.6
2023-12-28,140.15,141.45,138.25,140.6,138.7,138.6,153.6,133.0,713747,99483396.4
2023-12-29,138.95,138.95,135.5,138.6,135.75,136.15,153.6,133.0,1366932,187160286.85
2024-01-01,136.15,138.3,136.15,136.15,137.25,137.2,153.6,133.0,415643,57077213.65
2024-01-02,137.95,139.4,136.2,137.2,137.75,137.8,153.6,133.0,842877,115941564.8
2024-01-03,137.8,138.05,136.55,137.8,137.1,137.2,153.6,133.0,603217,82820542.45
2024-01-04,137.15,138.45,137.15,137.2,137.95,138.0,153.6,133.0,695205,95783094.2
2024-01-05,138.05,139.2,137.05,138.0,138.2,138.55,153.6,133.0,966911,133753121.3
2024-01-08,139.05,139.05,136.35,138.55,136.5,136.6,153.6,133.0,749846,102718483.25
2024-01-09,137.05,138.25,136.5,136.6,136.65,136.9,153.6,133.0,578471,79320754.55
2024-01-10,137.0,139.8,136.6,136.9,138.75,139.5,153.6,133.0,974155,135073673.7
2024-01-11,139.5,140.5,138.55,139.5,139.2,139.4,153.6,133.0,802522,111919673.35
2024-01-12,140.25,140.75,139.0,139.4,139.95,139.85,153.6,133.0,649908,90862037.75
2024-01-15,141.45,142.45,138.5,139.85,142.25,140.95,153.6,133.0,1860259,261468717.65
2024-01-16,142.25,142.4,139.0,140.95,139.6,139.35,153.6,133.0,1808867,253332926.9
2024-01-17,139.0,139.4,136.05,139.35,136.8,136.75,153.6,133.0,997700,137567100.9
2024-01-18,135.9,138.4,133.15,136.75,137.0,136.85,153.6,133.0,573895,77810782.45
2024-01-19,138.0,138.0,136.0,136.85,136.3,136.4,153.6,133.0,312989,42799401.4
2024-01-20,136.55,137.55,135.0,136.4,135.15,135.1,153.6,133.0,313126,42440351.75
2024-01-23,135.65,136.0,132.0,135.1,133.6,132.95,153.6,132.0,494128,65915423.45
2024-01-24,133.5,133.5,130.7,132.95,132.15,132.1,153.6,130.7,548141,72214645.5
2024-01-25,132.1,133.5,129.95,132.1,131.25,131.0,153.6,129.95,495150,65016888.4
2024-01-29,131.1,132.3,130.7,131.0,131.25,131.35,153.6,129.95,326329,42908171.75
2024-01-30,131.6,132.2,130.5,131.35,130.75,131.0,153.6,129.95,383713,50451346.35
2024-01-31,131.05,131.8,130.7,131.0,131.45,131.35,153.6,129.95,245546,32244767.55
2024-02-01,131.7,135.35,130.3,131.35,132.4,132.15,153.6,129.95,645572,85496212.5
2024-02-02,133.15,133.45,131.3,132.15,131.4,131.55,153.6,129.95,304375,40267231.55
2024-02-05,131.5,132.5,130.0,131.55,130.2,130.2,153.6,129.95,450887,59032527.9
2024-02-06,130.25,130.85,129.7,130.2,130.45,130.55,153.6,129.7,230805,30079613.45
2024-02-07,130.6,131.7,130.55,130.55,131.0,130.95,153.6,129.7,208065,27258268.45
2024-02-08,131.2,131.35,129.5,130.95,130.0,129.8,153.6,129.5,245379,31943085.9
2024-02-09,130.0,130.05,126.4,129.8,128.1,128.0,153.6,126.4,352721,45038818.55
2024-02-12,127.9,128.85,124.55,128.0,124.55,124.9,153.6,124.55,467626,59029480.6
2024-02-13,124.65,124.75,121.6,124.9,122.35,122.45,153.6,121.6,440824,54037467.4
2024-02-14,122.0,124.7,120.0,122.45,122.5,122.9,153.6,120.0,393391,48165830.3
2024-02-15,122.95,127.2,122.95,122.9,125.9,126.3,153.6,120.0,539315,67460054.95
2024-02-16,127.05,131.2,126.15,126.3,128.5,129.5,153.6,120.0,866430,112101290.5
2024-02-19,129.55,131.65,129.2,129.5,130.2,130.35,153.6,120.0,305825,39970175.7
2024-02-20,129.0,130.55,128.2,130.35,129.0,129.2,153.6,120.0,391996,50673783.45
2024-02-21,130.65,131.15,128.7,129.2,129.7,129.75,153.6,120.0,422138,54819810.5
2024-02-22,130.05,130.4,128.4,129.75,128.8,129.0,153.6,120.0,166432,21465492.7
2024-02-23,128.75,129.5,128.0,129.0,128.25,128.25,153.6,120.0,197707,25460983.2
2024-02-26,128.25,129.05,126.3,128.25,126.3,126.55,153.6,120.0,223054,28386756.5
2024-02-27,126.5,126.5,122.4,126.55,123.0,122.65,153.6,120.0,619842,76588456.3
2024-02-28,123.2,123.5,120.1,122.65,121.2,120.9,153.6,120.0,457381,55431128.65
2024-02-29,121.0,121.05,117.65,120.9,120.0,119.6,153.6,117.65,577019,68492473.6
2024-03-01,119.75,123.25,119.75,119.6,122.6,122.8,153.6,117.65,367606,44801162.9
2024-03-02,123.75,124.35,120.5,122.8,123.3,123.1,153.6,117.65,46575,5746734.85
2024-03-04,127.0,129.5,126.05,123.1,126.65,126.65,153.6,117.65,1463394,186856740.6
2024-03-05,129.0,129.25,124.35,126.65,126.55,127.0,153.6,117.65,1478704,187487810.3
2024-03-06,127.5,127.5,124.5,127.0,124.6,124.75,153.6,117.65,663218,83091068.45
2024-03-07,125.85,125.85,122.4,124.75,122.95,122.95,153.6,117.65,364657,45076417.3
2024-03-11,123.4,123.65,120.1,122.95,120.9,120.35,153.6,117.65,224087,27207286.55
2024-03-12,120.9,121.25,116.0,120.35,116.9,116.3,153.6,116.0,613776,72043840.05
2024-03-13,117.9,118.3,108.75,116.3,112.6,113.3,153.6,108.75,1334046,150043661.4
2024-03-14,113.3,121.25,113.0,113.3,116.7,116.65,153.6,108.75,2974707,343477136.15
2024-03-15,116.75,117.9,115.1,116.65,116.05,116.85,153.6,108.75,470885,54920924.4
2024-03-18,117.8,118.65,115.55,116.85,116.0,115.9,153.6,108.75,322590,37535378.55
2024-03-19,118.0,118.0,114.6,115.9,115.8,115.2,153.6,108.75,439629,51108939.2
2024-03-20,115.95,116.8,113.6,115.2,116.15,115.95,153.6,108.75,673131,77863399.2
2024-03-21,117.5,117.5,114.8,115.95,116.25,116.2,153.6,108.75,545274,63186941.7
2024-03-22,116.2,116.85,114.45,116.2,116.0,116.1,153.6,108.75,747418,86551418.85
2024-03-26,116.2,116.5,114.3,116.1,114.5,114.9,153.6,108.75,1068687,122905179.6
2024-03-27,114.75,117.85,114.05,114.9,115.1,115.15,153.6,108.75,1301582,150120367.65
2024-03-28,114.6,115.85,113.05,115.15,113.1,113.45,153.6,108.75,518702,59280685.7
2024-04-01,113.45,120.1,113.45,113.45,119.75,119.5,153.6,108.75,419407,49542318.45
2024-04-02,122.25,123.65,119.05,119.5,122.4,123.1,153.6,108.75,337223,41072561.65
2024-04-03,121.05,125.35,121.05,123.1,124.5,124.85,153.6,108.75,575698,71553553.6
2024-04-04,126.0,127.0,120.4,124.85,126.55,126.3,153.6,108.75,778566,97437011.9
2024-04-05,126.3,129.0,125.2,126.3,127.05,127.2,153.6,108.75,517329,65885987.6
2024-04-08,127.2,128.75,125.4,127.2,126.1,126.15,153.6,108.75,273647,34808462.7
2024-04-09,125.5,126.9,123.45,126.15,124.5,124.6,153.6,108.75,195432,24439740.5
2024-04-10,125.3,125.5,122.7,124.6,123.1,123.45,153.6,108.75,160496,19831129.75
2024-04-12,123.45,125.0,122.4,123.45,123.25,123.2,153.6,108.75,237647,29396906.0
2024-04-15,120.95,122.95,118.7,123.2,121.7,121.35,153.6,108.75,231039,27917705.15
2024-04-16,120.75,127.0,120.25,121.35,124.9,124.9,153.6,108.75,2187011,273387097.55
2024-04-18,126.6,126.6,123.0,124.9,123.25,123.75,153.6,108.75,175772,21978857.25
2024-04-19,123.0,124.0,120.6,123.75,122.8,122.25,153.6,108.75,214157,26304205.25
2024-04-22,123.05,124.15,122.25,122.25,122.55,122.8,153.6,108.75,114596,14091132.1
2024-04-23,122.95,125.85,122.95,122.8,125.15,125.0,153.6,108.75,198303,24801979.95
2024-04-24,125.55,126.65,124.7,125.0,125.0,124.85,153.6,108.75,112396,14118424.3
2024-04-25,124.75,130.7,124.45,124.85,126.8,127.05,153.6,108.75,712979,91085291.1
2024-04-26,128.3,128.4,126.2,127.05,127.25,127.1,153.6,108.75,330806,42026176.6
2024-04-29,128.0,133.5,127.5,127.1,131.3,130.95,153.6,108.75,3040638,397449849.3
2024-04-30,131.65,132.6,127.6,130.95,128.0,128.3,153.6,108.75,793330,103511843.45
2024-05-02,130.45,131.55,126.1,128.3,127.8,128.35,153.6,108.75,747470,95907726.85
2024-05-03,129.7,133.0,126.1,128.35,127.2,127.15,153.6,108.75,831909,106290738.65
2024-05-06,128.6,128.95,124.8,127.15,127.0,127.0,153.6,108.75,418580,52978276.45
2024-05-07,126.5,127.0,124.35,127.0,125.3,125.1,153.6,108.75,610354,76411292.4
2024-05-08,125.15,127.0,124.3,125.1,126.0,126.0,153.6,108.75,141868,17817013.3
2024-05-09,125.4,125.9,124.2,126.0,125.1,124.95,153.6,108.75,856162,106998440.1
2024-05-10,125.1,125.8,123.3,124.95,125.1,125.0,153.6,108.75,716084,89570553.1
2024-05-13,125.2,125.9,122.1,125.0,125.15,124.9,153.6,108.75,199337,24765924.4
2024-05-14,125.1,125.85,124.65,124.9,125.0,125.15,153.6,108.75,444538,55603912.05
2024-05-15,125.15,126.85,123.0,125.15,123.5,123.6,153.6,108.75,720076,89720027.8
2024-05-16,125.0,125.15,123.1,123.6,124.8,124.35,153.6,108.75,162337,20127910.15
2024-05-17,124.8,124.95,123.85,124.35,123.9,124.0,153.6,108.75,100064,12418426.4
2024-05-18,124.9,124.9,123.9,124.0,124.0,124.0,153.6,108.75,27653,3433297.7
2024-05-21,124.0,124.2,122.55,124.0,123.3,123.25,153.6,108.75,241165,29744476.0
2024-05-22,124.8,124.8,121.65,123.25,122.4,122.25,153.6,108.75,275253,33708526.75
2024-05-23,122.3,123.2,121.4,122.25,122.0,121.9,153.6,108.75,247868,30221523.1
2024-05-24,123.0,123.25,121.4,121.9,121.85,122.05,153.6,108.75,159800,19485704.75
2024-05-27,121.5,122.05,121.05,122.05,121.25,121.2,153.6,108.75,122423,14850146.2
2024-05-28,121.95,121.95,119.3,121.2,119.6,119.95,153.6,108.75,129888,15639715.2
2024-05-29,121.05,122.0,118.1,119.95,121.2,121.3,153.6,108.75,190999,22966358.25
2024-05-30,121.55,122.4,119.0,121.3,120.35,120.7,153.6,108.75,173408,20875679.45
2024-05-31,120.7,121.4,118.0,120.7,119.45,119.15,153.6,108.75,164323,19577607.35
2024-06-03,122.5,122.75,118.5,119.15,119.0,119.0,153.6,108.75,207550,24916250.85
2024-06-04,120.0,120.75,111.0,119.0,114.8,114.2,153.6,108.75,469742,54380356.65
2024-06-05,115.0,118.6,113.5,114.2,118.35,117.55,153.6,108.75,264399,30816215.45
2024-06-06,118.25,121.45,118.25,117.55,120.9,120.9,153.6,108.75,191403,23028798.9
2024-06-07,120.9,122.9,120.0,120.9,122.7,122.2,153.6,108.75,288620,35155851.2
2024-06-10,122.3,123.11,121.51,122.2,121.85,121.67,153.6,108.75,130770,16017262.15
2024-06-11,121.8,122.89,120.0,121.67,120.7,120.57,153.6,108.75,287862,34824367.27
2024-06-12,122.0,124.66,120.8,120.57,123.7,123.7,153.6,108.75,920434,112724069.87
2024-06-13,124.76,124.76,121.73,123.7,123.0,123.0,153.6,108.75,325429,39928131.53
2024-06-14,123.5,123.52,121.23,123.0,121.8,121.89,153.6,108.75,348133,42549478.3
