date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-11-15,359.5,364.8,321.1,368.0,323.4,324.8,364.8,321.1,16728869,5750900727.8
2022-11-16,325.0,348.65,323.5,324.8,343.9,345.45,364.8,321.1,3678285,1249159938.5
2022-11-17,343.0,346.4,334.3,345.45,342.2,340.45,364.8,321.1,598178,203584878.15
2022-11-18,341.95,344.5,335.0,340.45,335.0,336.65,364.8,321.1,382364,129418826.4
2022-11-21,336.0,347.0,327.7,336.65,343.0,342.95,364.8,321.1,1246319,423637618.5
2022-11-22,340.1,347.0,339.0,342.95,342.5,341.7,364.8,321.1,399287,136529627.6
2022-11-23,341.7,343.9,335.05,341.7,339.0,337.3,364.8,321.1,194186,65850467.25
2022-11-24,339.9,356.0,338.0,337.3,344.8,345.65,364.8,321.1,845293,294235486.95
2022-11-25,347.2,365.9,347.2,345.65,362.75,360.25,365.9,321.1,1847437,664438369.2
2022-11-28,365.0,378.55,363.65,360.25,378.05,375.35,378.55,321.1,2421780,897852381.85
2022-11-29,386.0,391.0,363.85,375.35,364.0,366.15,391.0,321.1,2731172,1030211654.75
2022-11-30,368.0,370.8,360.25,366.15,370.0,366.9,391.0,321.1,719966,263260088.55
2022-12-01,371.4,379.0,370.3,366.9,372.95,373.55,391.0,321.1,1070080,400722046.7
2022-12-02,373.55,382.0,369.0,373.55,378.5,379.95,391.0,321.1,1111142,419838580.8
2022-12-05,381.85,384.0,376.05,379.95,380.8,381.95,391.0,321.1,547728,208557923.8
2022-12-06,380.15,387.7,375.0,381.95,380.65,380.3,391.0,321.1,430531,164436350.4
2022-12-07,379.7,403.2,379.1,380.3,389.0,389.55,403.2,321.1,1990339,785489577.2
2022-12-08,392.5,394.6,385.5,389.55,392.95,387.95,403.2,321.1,408752,159338888.05
2022-12-09,390.0,390.75,374.4,387.95,376.5,376.75,403.2,321.1,311271,118761396.25
2022-12-12,375.95,399.5,374.45,376.75,390.0,390.0,403.2,321.1,987898,386713060.45
2022-12-13,391.95,398.2,387.3,390.0,392.0,391.05,403.2,321.1,542006,212084671.1
2022-12-14,392.2,415.8,391.05,391.05,404.0,404.3,415.8,321.1,2150470,870382413.0
2022-12-15,405.0,409.7,398.5,404.3,404.0,404.7,415.8,321.1,516463,208514183.4
2022-12-16,399.0,407.45,387.1,404.7,390.0,391.25,415.8,321.1,692523,273345991.75
2022-12-19,389.0,393.0,386.0,391.25,388.9,388.7,415.8,321.1,434771,169176931.8
2022-12-20,388.0,393.35,380.25,388.7,385.9,385.8,415.8,321.1,555940,214673313.0
2022-12-21,387.25,390.7,363.05,385.8,366.8,369.75,415.8,321.1,751255,286662817.1
2022-12-22,371.7,374.15,355.3,369.75,357.8,362.35,415.8,321.1,475783,172181978.65
2022-12-23,357.5,363.0,346.5,362.35,360.0,352.0,415.8,321.1,815441,290163066.85
2022-12-26,353.8,363.85,348.25,352.0,353.9,351.8,415.8,321.1,816845,290588113.2
2022-12-27,355.0,365.75,352.0,351.8,358.75,359.0,415.8,321.1,351296,126461261.7
