date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2009-09-23,101.0,111.7,89.5,100.0,90.0,91.0,111.7,89.5,13142820,1318535962.15
2009-09-24,89.8,95.45,86.3,91.0,92.8,92.35,111.7,86.3,4907619,452757373.45
2009-09-25,92.9,94.2,91.0,92.35,91.15,91.35,111.7,86.3,933872,86226493.3
2009-09-29,92.0,93.2,88.1,91.35,88.5,88.85,111.7,86.3,563698,51074835.5
2009-09-30,89.0,89.0,85.55,88.85,85.6,85.9,111.7,85.55,399842,34728888.05
2009-10-01,86.0,89.8,82.55,85.9,85.2,85.85,111.7,82.55,1004562,87135833.6
2009-10-05,85.0,93.5,83.7,85.85,89.2,88.9,111.7,82.55,2207664,200480504.45
2009-10-06,90.25,90.25,85.0,88.9,85.55,86.05,111.7,82.55,366166,31887148.6
2009-10-07,87.3,88.4,84.55,86.05,85.3,85.45,111.7,82.55,234871,20390345.25
2009-10-08,86.2,86.7,81.95,85.45,82.0,83.45,111.7,81.95,213283,18058468.35
2009-10-09,85.0,85.95,81.0,83.45,81.3,81.4,111.7,81.0,247328,20639703.3
2009-10-12,82.0,82.95,80.1,81.4,80.2,80.4,111.7,80.1,186112,15103893.2
2009-10-14,81.0,82.0,78.0,80.4,78.15,78.2,111.7,78.0,224986,17929612.6
2009-10-15,78.8,79.4,77.2,78.2,77.25,77.5,111.7,77.2,176283,13762573.25
2009-10-16,78.0,78.0,75.25,77.5,75.6,75.5,111.7,75.25,126906,9718517.4
2009-10-17,75.55,76.1,74.6,75.5,75.7,75.2,111.7,74.6,38838,2919799.0
2009-10-20,75.9,90.25,75.65,75.2,87.9,87.9,111.7,74.6,3845796,337816514.75
2009-10-21,88.9,89.0,84.5,87.9,85.0,84.95,111.7,74.6,826001,71728387.85
2009-10-22,84.9,95.8,83.45,84.95,86.5,85.8,111.7,74.6,2663964,241763002.6
2009-10-23,87.4,93.4,87.1,85.8,89.65,89.25,111.7,74.6,1301604,118252339.95
2009-10-26,92.2,92.2,85.7,89.25,87.2,86.5,111.7,74.6,454412,40489789.75
2009-10-27,86.0,86.5,81.35,86.5,81.85,81.95,111.7,74.6,245723,20553353.7
2009-10-28,81.15,83.5,81.0,81.95,82.0,81.5,111.7,74.6,170745,14031941.25
2009-10-29,80.7,80.8,78.5,81.5,79.75,79.35,111.7,74.6,181533,14523159.1
2009-10-30,81.05,83.85,77.5,79.35,78.25,78.65,111.7,74.6,201577,16327120.95
2009-11-03,78.55,79.5,76.0,78.65,76.3,76.2,111.7,74.6,124103,9631454.8
2009-11-04,77.7,79.5,75.05,76.2,78.35,78.4,111.7,74.6,185271,14347977.05
2009-11-05,78.4,78.9,76.4,78.4,77.0,77.15,111.7,74.6,108772,8419562.55
2009-11-06,78.05,83.9,77.95,77.15,81.0,80.6,111.7,74.6,303231,24743596.9
2009-11-09,81.6,83.5,81.05,80.6,82.7,82.6,111.7,74.6,114113,9381952.05
2009-11-10,83.9,84.45,80.0,82.6,80.2,80.45,111.7,74.6,149596,12313992.35
2009-11-11,80.1,82.6,79.5,80.45,81.1,81.2,111.7,74.6,133652,10855919.3
2009-11-12,81.4,91.8,80.95,81.2,88.25,88.7,111.7,74.6,947298,83795427.0
2009-11-13,89.2,90.0,85.0,88.7,85.55,85.6,111.7,74.6,228557,20104089.0
2009-11-16,85.85,88.8,84.0,85.6,85.2,85.55,111.7,74.6,95274,8245736.7
2009-11-17,86.4,86.45,83.1,85.55,83.75,84.0,111.7,74.6,102423,8661571.9
2009-11-18,83.1,89.0,83.1,84.0,85.55,85.25,111.7,74.6,203325,17613315.65
2009-11-19,85.3,85.9,83.0,85.25,83.0,83.55,111.7,74.6,88219,7455861.85
2009-11-20,82.7,85.0,82.7,83.55,83.0,83.35,111.7,74.6,72450,6051568.65
2009-11-23,83.95,84.65,83.25,83.35,83.9,84.0,111.7,74.6,77035,6473925.65
2009-11-24,83.95,94.0,83.5,84.0,88.65,89.75,111.7,74.6,2112199,191553931.95
2009-11-25,90.0,93.0,84.85,89.75,87.7,88.15,111.7,74.6,992860,88891762.5
2009-11-26,88.15,92.5,86.0,88.15,86.7,86.9,111.7,74.6,643155,57391537.4
2009-11-27,84.5,86.75,83.5,86.9,85.3,85.3,111.7,74.6,295391,25139454.3
2009-11-30,87.0,89.55,86.25,85.3,86.35,86.8,111.7,74.6,114261,10009950.25
2009-12-01,87.85,90.9,87.5,86.8,88.3,88.75,111.7,74.6,236640,21125212.3
2009-12-02,90.0,92.0,87.75,88.75,91.0,90.9,111.7,74.6,366960,33068315.5
2009-12-03,91.7,94.0,91.0,90.9,93.45,93.3,111.7,74.6,650916,60365595.35
2009-12-04,92.5,93.4,91.0,93.3,91.5,91.7,111.7,74.6,163467,15086139.55
2009-12-07,92.7,92.9,87.1,91.7,87.1,87.85,111.7,74.6,420630,38181957.25
2009-12-08,88.5,89.9,87.2,87.85,87.4,87.55,111.7,74.6,190874,16895883.75
2009-12-09,88.25,100.0,87.0,87.55,96.5,96.65,111.7,74.6,1719374,164861321.15
2009-12-10,96.8,97.45,93.1,96.65,94.0,93.6,111.7,74.6,387938,36766909.2
2009-12-11,94.75,99.0,93.5,93.6,94.35,95.6,111.7,74.6,887822,85857664.25
2009-12-14,96.4,96.95,89.9,95.6,92.5,92.65,111.7,74.6,441194,41849309.25
2009-12-15,93.0,98.15,93.0,92.65,93.55,93.65,111.7,74.6,551660,52789836.8
2009-12-16,92.7,96.5,92.7,93.65,93.15,93.55,111.7,74.6,232727,22009473.1
2009-12-17,94.25,95.95,93.6,93.55,95.05,94.95,111.7,74.6,170072,16163558.0
2009-12-18,94.15,95.65,90.3,94.95,90.5,91.0,111.7,74.6,187193,17371370.55
2009-12-21,93.0,93.9,91.25,91.0,92.5,91.75,111.7,74.6,162847,15103453.25
