date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2006-08-21,216.0,219.5,200.0,210.0,210.05,210.4,219.5,200.0,13777145,2932162709.25
2006-08-22,211.9,214.0,210.0,210.4,210.0,210.05,219.5,200.0,3013946,636484434.8
2006-08-23,211.0,211.0,210.0,210.05,210.0,210.0,219.5,200.0,2045718,429929984.0
2006-08-24,210.05,222.25,210.05,210.0,222.0,220.35,222.25,200.0,3382785,733474888.9
2006-08-25,225.0,230.5,220.7,220.35,225.0,225.05,230.5,200.0,4535140,1027406787.55
2006-08-28,225.8,227.4,221.25,225.05,221.3,222.3,230.5,200.0,1072005,240741216.2
2006-08-29,224.0,227.35,222.0,222.3,224.0,223.35,230.5,200.0,1385158,311460052.3
2006-08-30,224.5,225.8,220.5,223.35,220.75,221.4,230.5,200.0,756615,168240056.85
2006-08-31,222.8,222.8,214.0,221.4,216.0,214.7,230.5,200.0,959952,208166876.65
2006-09-01,217.5,217.7,212.55,214.7,213.7,213.25,230.5,200.0,444118,95403078.65
2006-09-04,214.9,222.0,213.3,213.25,221.75,221.4,230.5,200.0,1028122,225169550.65
2006-09-05,222.3,222.3,215.55,221.4,219.0,219.05,230.5,200.0,467217,102403170.7
2006-09-06,220.0,225.0,219.5,219.05,222.05,222.15,230.5,200.0,914871,203635770.5
2006-09-07,220.5,220.75,216.2,222.15,219.05,218.95,230.5,200.0,792502,173330616.3
2006-09-08,220.0,222.45,218.1,218.95,218.2,219.55,230.5,200.0,477616,105266113.8
2006-09-11,220.1,220.5,210.6,219.55,211.75,212.05,230.5,200.0,410782,88133145.7
2006-09-12,212.0,214.3,210.35,212.05,213.0,212.85,230.5,200.0,331743,70376011.35
2006-09-13,215.2,217.5,214.0,212.85,214.5,214.65,230.5,200.0,285366,61508304.05
2006-09-14,215.8,219.45,214.25,214.65,217.0,217.15,230.5,200.0,459235,99447375.1
2006-09-15,218.0,218.0,212.5,217.15,216.85,215.55,230.5,200.0,368626,79318952.45
2006-09-18,215.6,218.35,214.1,215.55,216.0,216.4,230.5,200.0,452106,97987736.75
2006-09-19,216.0,217.75,211.1,216.4,212.0,212.2,230.5,200.0,215139,46322192.6
2006-09-20,212.8,214.0,211.05,212.2,213.55,213.15,230.5,200.0,136247,29023203.9
2006-09-21,214.0,216.5,212.0,213.15,214.5,214.05,230.5,200.0,326976,70127499.1
2006-09-22,214.5,214.5,210.25,214.05,211.1,211.8,230.5,200.0,346501,73541227.8
2006-09-25,212.0,214.5,211.1,211.8,212.0,211.8,230.5,200.0,306464,65279387.45
2006-09-26,212.5,213.5,210.65,211.8,212.0,212.5,230.5,200.0,379934,80469865.7
2006-09-27,212.5,219.35,212.0,212.5,218.55,218.4,230.5,200.0,1151023,248703514.8
2006-09-28,220.0,227.2,215.65,218.4,226.0,225.55,230.5,200.0,2399872,531847037.65
2006-09-29,232.0,238.95,225.5,225.55,235.75,235.45,238.95,200.0,3619210,846194458.8
