date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2010-01-05,511.0,586.8,502.15,490.0,536.05,537.25,586.8,502.15,8707481,4802725390.1
2010-01-06,537.0,546.6,524.55,537.25,525.5,527.2,586.8,502.15,1170320,626125490.4
2010-01-07,529.0,543.9,526.0,527.2,535.6,536.9,586.8,502.15,823422,442194605.75
2010-01-08,533.0,538.25,517.15,536.9,518.0,520.3,586.8,502.15,235521,124450583.8
2010-01-11,526.85,529.45,510.0,520.3,520.9,520.3,586.8,502.15,270664,141316863.45
2010-01-12,520.5,524.45,509.2,520.3,511.0,511.05,586.8,502.15,177605,91735106.3
2010-01-13,511.05,524.45,502.5,511.05,517.0,517.65,586.8,502.15,214107,110513128.9
2010-01-14,522.0,523.7,510.0,517.65,512.0,513.7,586.8,502.15,71557,37011031.1
2010-01-15,512.0,517.0,509.7,513.7,510.4,510.2,586.8,502.15,75754,38795217.45
2010-01-18,510.2,515.8,506.0,510.2,509.0,510.3,586.8,502.15,54124,27666740.25
2010-01-19,505.0,528.4,505.0,510.3,513.25,512.45,586.8,502.15,120417,62339780.35
2010-01-20,514.45,522.0,510.0,512.45,512.0,511.95,586.8,502.15,74275,38128433.4
2010-01-21,510.0,514.95,499.5,511.95,502.0,500.9,586.8,499.5,86478,43758479.25
2010-01-22,490.0,521.95,490.0,500.9,494.0,493.95,586.8,490.0,119658,59670041.65
2010-01-25,495.0,505.0,488.0,493.95,490.0,489.5,586.8,488.0,130522,64087941.2
2010-01-27,487.35,498.0,450.35,489.5,474.8,480.95,586.8,450.35,66130,32077799.65
2010-01-28,485.0,492.0,481.95,480.95,484.05,484.4,586.8,450.35,68171,33099030.55
2010-01-29,484.4,484.4,461.4,484.4,479.5,475.95,586.8,450.35,31178,14743281.85
2010-02-01,478.0,489.0,475.95,475.95,487.0,485.45,586.8,450.35,28266,13691806.35
2010-02-02,490.0,495.0,480.0,485.45,480.0,480.1,586.8,450.35,17124,8313806.35
2010-02-03,486.85,487.0,476.3,480.1,482.45,480.4,586.8,450.35,15117,7266134.9
2010-02-04,480.1,485.5,476.05,480.4,478.95,478.5,586.8,450.35,13166,6304936.75
2010-02-05,472.0,475.0,444.0,478.5,475.0,468.2,586.8,444.0,23009,10656893.4
2010-02-06,470.0,475.0,461.35,468.2,470.7,468.7,586.8,444.0,2562,1201133.75
2010-02-08,475.0,488.0,469.0,468.7,474.0,473.55,586.8,444.0,15556,7435000.95
2010-02-09,487.5,488.0,465.0,473.55,465.0,469.45,586.8,444.0,7955,3760323.9
2010-02-10,452.5,479.0,452.5,469.45,472.0,470.9,586.8,444.0,11958,5664943.0
2010-02-11,470.05,482.0,470.05,470.9,480.9,477.1,586.8,444.0,13765,6535009.65
2010-02-15,480.0,489.9,470.2,477.1,475.1,478.5,586.8,444.0,19363,9339073.85
2010-02-16,485.0,485.0,470.3,478.5,472.0,472.0,586.8,444.0,10492,4977284.6
2010-02-17,475.0,487.0,475.0,472.0,477.25,478.3,586.8,444.0,11770,5642565.8
2010-02-18,477.0,484.95,470.1,478.3,478.05,479.1,586.8,444.0,25671,12319130.5
2010-02-19,472.05,477.95,472.05,479.1,476.3,475.1,586.8,444.0,7109,3376950.0
2010-02-22,485.0,485.0,470.1,475.1,472.0,472.4,586.8,444.0,9875,4671620.1
2010-02-23,455.0,479.95,455.0,472.4,470.9,469.9,586.8,444.0,12817,6045706.25
2010-02-24,469.9,469.9,465.0,469.9,466.95,465.65,586.8,444.0,5099,2377094.75
2010-02-25,468.0,479.9,464.1,465.65,478.5,476.2,586.8,444.0,12716,6006307.5
2010-02-26,478.0,485.0,470.8,476.2,477.5,474.1,586.8,444.0,19200,9134887.75
2010-03-02,479.5,489.9,472.7,474.1,489.0,484.55,586.8,444.0,12887,6201263.6
2010-03-03,486.0,527.0,481.0,484.55,518.7,516.2,586.8,444.0,199211,102553161.45
2010-03-04,508.95,520.9,506.5,516.2,515.05,517.95,586.8,444.0,46677,24048494.8
2010-03-05,519.0,520.0,508.0,517.95,508.1,510.35,586.8,444.0,16438,8410625.75
2010-03-08,511.0,519.8,499.1,510.35,499.9,501.15,586.8,444.0,14239,7247209.7
2010-03-09,502.0,507.7,492.0,501.15,500.5,500.2,586.8,444.0,7653,3804417.9
2010-03-10,480.0,508.8,480.0,500.2,502.0,501.35,586.8,444.0,37628,18942100.9
2010-03-11,488.0,509.7,487.05,501.35,490.9,489.3,586.8,444.0,22349,11134698.7
2010-03-12,489.0,499.0,482.0,489.3,494.0,490.35,586.8,444.0,8326,4092079.8
2010-03-15,485.0,496.55,484.0,490.35,485.4,486.3,586.8,444.0,6828,3334252.75
2010-03-16,494.0,497.0,487.0,486.3,495.95,493.55,586.8,444.0,9515,4695512.4
2010-03-17,497.0,504.5,488.0,493.55,488.0,495.1,586.8,444.0,17511,8732798.85
2010-03-18,498.0,505.0,498.0,495.1,503.0,500.2,586.8,444.0,30664,15336354.45
2010-03-19,500.0,538.9,500.0,500.2,506.2,507.05,586.8,444.0,201797,105049272.3
2010-03-22,501.0,509.0,491.0,507.05,496.0,499.75,586.8,444.0,30730,15470237.15
2010-03-23,492.0,513.8,492.0,499.75,507.15,508.85,586.8,444.0,340299,171202963.25
2010-03-25,507.15,509.0,500.0,508.85,501.0,501.55,586.8,444.0,40021,20175555.6
2010-03-26,501.0,517.0,495.0,501.55,505.0,505.2,586.8,444.0,199184,100633529.45
2010-03-29,509.85,509.85,485.0,505.2,486.0,495.55,586.8,444.0,39748,20059164.95
2010-03-30,504.0,508.0,492.35,495.55,498.0,497.15,586.8,444.0,14033,7034538.55
2010-03-31,497.0,516.0,493.0,497.15,513.0,511.55,586.8,444.0,24631,12522036.7
2010-04-01,506.0,518.8,506.0,511.55,518.0,516.25,586.8,444.0,15978,8187723.6
2010-04-05,507.1,529.8,507.1,516.25,515.6,518.7,586.8,444.0,35559,18593795.75
2010-04-06,501.0,529.85,501.0,518.7,520.0,520.25,586.8,444.0,15449,8036125.5
2010-04-07,522.9,530.0,517.0,520.25,520.0,519.3,586.8,444.0,29986,15736434.05
2010-04-08,504.9,528.9,504.9,519.3,525.1,526.4,586.8,444.0,26491,13907768.55
2010-04-09,530.0,537.0,522.6,526.4,528.15,529.3,586.8,444.0,56460,29997496.85
2010-04-12,517.95,534.0,517.95,529.3,522.0,522.1,586.8,444.0,7275,3822759.9
2010-04-13,518.15,524.9,510.0,522.1,512.4,511.3,586.8,444.0,12237,6310976.75
2010-04-15,509.4,533.8,509.4,511.3,523.1,522.15,586.8,444.0,45652,24052136.35
2010-04-16,522.0,532.9,520.0,522.15,520.1,521.4,586.8,444.0,27144,14301431.65
