date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2025-04-24,10.21,10.3,10.0,10.0,10.19,10.17,10.3,10.0,15332926,156072103.78
2025-04-25,10.4,12.0,9.85,10.17,9.94,10.02,12.0,9.85,1459583,14620042.62
2025-04-28,10.22,10.56,9.83,10.02,10.06,10.05,12.0,9.83,368347,3689527.14
2025-04-29,10.05,10.37,9.85,10.05,10.07,10.06,12.0,9.83,902510,9112481.23
2025-04-30,10.24,10.24,9.71,10.06,9.95,9.94,12.0,9.71,452105,4524154.24
2025-05-02,9.8,10.18,9.11,9.94,10.1,10.04,12.0,9.11,607637,6105692.63
2025-05-05,10.2,10.31,9.84,10.04,10.19,10.15,12.0,9.11,597017,6049735.4
2025-05-06,10.27,10.31,9.96,10.15,10.05,9.98,12.0,9.11,504649,5091638.58
2025-05-07,9.99,10.08,9.82,9.98,10.07,10.05,12.0,9.11,267708,2678636.29
2025-05-08,10.19,10.19,9.89,10.05,10.0,9.95,12.0,9.11,312688,3139887.42
2025-05-09,9.83,10.0,9.72,9.95,9.82,9.86,12.0,9.11,523569,5140793.79
2025-05-12,9.91,10.3,9.91,9.86,10.28,10.25,12.0,9.11,599118,6114855.86
2025-05-13,10.11,10.4,10.11,10.25,10.28,10.26,12.0,9.11,5589667,57420500.27
2025-05-14,10.47,10.55,10.2,10.26,10.41,10.42,12.0,9.11,5396906,55932022.79
2025-05-15,10.32,10.66,10.32,10.42,10.52,10.54,12.0,9.11,543437,5706293.33
2025-05-16,10.69,10.7,10.44,10.54,10.66,10.63,12.0,9.11,703634,7452952.43
2025-05-19,10.8,11.42,10.52,10.63,11.13,10.63,12.0,9.11,832581,8836237.29
2025-05-20,10.84,10.98,10.4,10.63,10.43,10.45,12.0,9.11,637769,6704743.7
2025-05-21,10.46,10.55,10.32,10.45,10.49,10.45,12.0,9.11,1487195,15445855.68
2025-05-22,10.49,10.5,10.25,10.45,10.48,10.44,12.0,9.11,275582,2874523.32
2025-05-23,10.54,10.54,10.3,10.44,10.52,10.51,12.0,9.11,295820,3098193.35
2025-05-26,10.69,10.69,10.25,10.51,10.54,10.55,12.0,9.11,408538,4309313.45
2025-05-27,10.6,10.71,10.35,10.55,10.53,10.52,12.0,9.11,327861,3448183.46
2025-05-28,10.68,10.68,10.3,10.52,10.48,10.47,12.0,9.11,339098,3561335.9
2025-05-29,10.48,10.6,10.45,10.47,10.55,10.52,12.0,9.11,361491,3796472.97
2025-05-30,10.66,10.66,10.48,10.52,10.55,10.55,12.0,9.11,278075,2929072.39
2025-06-02,10.48,10.71,10.4,10.55,10.59,10.56,12.0,9.11,283817,2991948.58
2025-06-03,10.56,10.71,10.45,10.56,10.55,10.61,12.0,9.11,298866,3167913.84
2025-06-04,10.61,10.75,10.4,10.61,10.7,10.7,12.0,9.11,772127,8185632.87
2025-06-05,10.49,10.89,10.45,10.7,10.87,10.86,12.0,9.11,483226,5212860.35
2025-06-06,11.08,11.1,10.65,10.86,10.96,10.96,12.0,9.11,436541,4763744.2
2025-06-09,11.01,11.2,10.9,10.96,11.1,11.05,12.0,9.11,617226,6819452.79
2025-06-10,11.25,12.0,11.05,11.05,11.12,11.09,12.0,9.11,1291983,14408797.99
2025-06-11,11.15,11.34,10.94,11.09,11.05,11.02,12.0,9.11,785415,8672261.15
2025-06-12,11.08,11.2,10.76,11.02,10.94,10.84,12.0,9.11,725732,7923750.35
2025-06-13,10.8,10.94,10.6,10.84,10.82,10.81,12.0,9.11,566358,6109968.84
