date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,47.0,51.3,47.0,47.5,51.3,51.15,71.75,32.6,21050,1071192.5
2000-01-04,51.5,51.5,49.5,51.15,49.6,50.0,71.0,32.6,20350,1023310.0
2000-01-05,51.0,52.9,48.1,50.0,50.4,50.4,71.0,32.6,15250,765650.0
2000-01-06,50.45,54.45,47.8,50.4,54.45,54.45,71.0,32.6,43400,2227752.5
2000-01-07,55.9,58.85,52.55,54.45,55.75,55.45,71.0,32.6,38250,2116335.0
2000-01-10,57.5,59.4,54.0,55.45,58.05,58.1,71.0,32.6,82900,4852082.5
2000-01-11,56.0,56.8,53.45,58.1,53.45,53.45,67.0,32.6,88550,4782975.0
2000-01-12,54.5,57.65,54.5,53.45,55.15,55.1,67.0,32.6,23582,1313153.5
2000-01-13,53.5,55.0,53.0,55.1,53.0,53.1,67.0,32.6,12948,696736.45
2000-01-14,51.55,53.35,51.0,53.1,53.0,53.1,67.0,32.6,13898,728665.2
2000-01-17,52.75,53.5,52.0,53.1,52.0,52.65,67.0,32.6,11951,629787.75
2000-01-18,50.5,51.8,50.35,52.65,51.0,51.05,65.0,32.6,18318,932830.55
2000-01-19,51.0,52.5,51.0,51.05,51.05,51.45,65.0,32.6,11480,594084.0
2000-01-20,51.3,52.25,50.5,51.45,52.25,51.75,65.0,32.6,16833,866038.45
2000-01-21,52.8,52.9,50.1,51.75,50.2,50.25,65.0,32.6,21921,1115463.9
2000-01-24,51.95,52.9,50.05,50.25,50.1,50.1,65.0,32.6,19878,1012705.55
2000-01-25,51.95,53.25,49.0,50.1,50.0,49.6,65.0,32.6,37090,1883157.95
2000-01-27,52.0,52.0,48.95,49.6,48.95,49.15,65.0,32.6,29766,1509884.7
2000-01-28,49.95,52.95,47.0,49.15,47.0,47.25,65.0,32.6,59844,2905428.2
2000-01-31,48.95,49.45,43.55,47.25,43.8,44.2,65.0,32.6,73272,3356151.35
2000-02-01,44.25,45.5,41.0,44.2,45.0,44.8,65.0,32.6,33668,1479934.6
2000-02-02,45.7,48.4,45.5,44.8,48.4,48.4,65.0,32.6,31960,1537072.8
2000-02-03,52.0,52.25,48.7,48.4,49.0,48.95,65.0,32.6,71873,3653375.1
2000-02-04,49.0,50.95,46.5,48.95,47.5,47.4,65.0,32.6,36805,1775667.2
2000-02-07,47.0,47.7,45.5,47.4,46.0,46.15,65.0,32.6,16318,758906.4
2000-02-08,45.35,46.75,44.0,46.15,45.5,45.15,65.0,32.6,35818,1613459.2
2000-02-09,47.7,47.7,44.75,45.15,46.0,45.9,65.0,32.6,32723,1505471.65
2000-02-10,47.0,47.95,45.9,45.9,46.5,46.55,65.0,32.6,25701,1208046.75
2000-02-11,47.0,48.5,45.8,46.55,46.5,46.5,65.0,32.6,23551,1100503.2
2000-02-14,47.7,47.7,44.5,46.5,44.55,44.8,65.0,32.6,14857,670152.5
2000-02-15,43.5,44.95,43.5,44.8,44.0,44.15,65.0,32.6,16087,713689.35
2000-02-16,45.95,45.95,43.0,44.15,44.85,44.55,65.0,32.6,13363,587506.65
2000-02-17,43.55,45.5,43.55,44.55,45.5,45.35,65.0,32.6,13954,626239.55
2000-02-18,44.05,45.0,42.0,45.35,43.95,43.9,65.0,32.6,8483,369189.85
2000-02-21,43.05,44.9,42.4,43.9,44.0,44.0,65.0,32.6,18949,829072.4
2000-02-22,44.95,47.5,44.3,44.0,45.95,46.15,65.0,32.6,32116,1466535.95
2000-02-23,48.0,48.45,45.5,46.15,47.0,46.75,65.0,32.6,18273,857089.35
2000-02-24,47.95,50.5,47.5,46.75,49.0,49.3,65.0,32.6,52502,2619605.8
2000-02-25,50.5,50.5,46.2,49.3,47.0,46.95,65.0,32.6,18644,887886.5
2000-02-28,48.0,50.5,47.1,46.95,49.25,49.95,65.0,32.6,45040,2212396.75
2000-02-29,53.85,53.85,45.95,49.95,47.6,46.35,65.0,32.6,52912,2581795.45
2000-03-01,47.75,50.1,46.0,46.35,50.0,49.25,65.0,32.6,46092,2289180.8
2000-03-02,50.0,51.95,46.15,49.25,46.75,46.65,65.0,32.6,48115,2385308.9
2000-03-03,46.0,47.85,43.3,46.65,44.8,44.85,65.0,32.6,11996,532499.25
2000-03-06,44.9,44.9,41.3,44.85,44.5,44.25,65.0,32.6,24501,1078402.8
2000-03-07,44.0,44.0,40.75,44.25,41.45,40.75,65.0,32.6,29317,1205359.0
2000-03-08,42.0,42.0,37.6,40.75,39.0,38.75,65.0,32.6,10873,430843.5
2000-03-09,39.9,39.9,36.3,38.75,38.25,38.25,65.0,32.6,13419,501171.3
2000-03-10,38.0,38.9,36.0,38.25,37.5,38.15,65.0,32.6,23330,870284.6
2000-03-13,38.0,39.0,36.5,38.15,37.25,37.05,65.0,32.6,15482,580325.9
2000-03-14,37.0,37.75,35.0,37.05,37.0,36.75,65.0,32.6,48043,1749586.2
2000-03-15,37.0,39.4,36.6,36.75,37.0,37.25,65.0,32.6,20410,771222.35
2000-03-16,38.25,38.35,36.7,37.25,36.8,36.95,65.0,32.6,15241,568287.35
2000-03-21,35.1,36.75,35.0,36.95,35.7,35.2,65.0,32.6,22782,806462.85
2000-03-22,33.5,37.75,33.5,35.2,36.9,36.9,65.0,32.6,6895,252194.85
2000-03-23,35.55,39.5,35.5,36.9,36.0,36.0,65.0,32.6,11950,444883.8
2000-03-24,36.1,37.25,36.0,36.0,37.0,36.95,65.0,32.6,5076,184458.4
2000-03-27,37.0,37.45,36.0,36.95,36.0,36.2,65.0,32.6,8875,325781.2
2000-03-28,35.0,38.9,35.0,36.2,38.25,38.0,65.0,32.6,10666,392714.4
2000-03-29,36.0,38.25,36.0,38.0,36.1,36.35,65.0,32.6,20876,780141.6
