date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-08-11,420.0,422.7,411.3,418.18,417.31,417.29,422.7,411.3,1991,828182.09
2022-08-12,417.3,419.0,410.0,417.29,416.39,410.31,422.7,410.0,892,367741.57
2022-08-16,410.41,418.65,410.13,410.31,418.5,416.28,422.7,410.0,697,288727.18
2022-08-17,417.0,429.5,416.1,416.28,418.27,418.27,429.5,410.0,2701,1141176.27
2022-08-18,420.0,428.7,418.15,418.27,418.15,420.86,429.5,410.0,977,414384.86
2022-08-19,420.5,424.9,412.0,420.86,412.0,414.83,429.5,410.0,1015,425590.27
2022-08-22,419.0,428.0,414.0,414.83,421.11,425.08,429.5,410.0,8787,3711140.2
2022-08-23,423.3,427.0,414.3,425.08,422.5,424.42,429.5,410.0,4239,1783575.1
2022-08-24,423.3,427.0,423.3,424.42,424.0,425.66,429.5,410.0,1426,606721.18
2022-08-25,428.0,432.8,424.5,425.66,432.5,430.21,432.8,410.0,521,225048.0
2022-08-26,438.0,438.0,430.1,430.21,434.0,434.0,438.0,410.0,121,52854.78
2022-08-29,420.98,433.4,420.98,434.0,432.5,428.51,438.0,410.0,763,330005.95
2022-08-30,426.3,438.0,426.0,428.51,433.5,434.8,438.0,410.0,427,185668.61
2022-09-01,432.3,444.99,423.32,434.8,443.0,441.71,444.99,410.0,107,46314.8
2022-09-02,440.0,446.0,435.0,441.71,443.95,439.38,446.0,410.0,863,378303.71
2022-09-05,445.0,445.0,435.1,439.38,435.1,435.1,446.0,410.0,215,93874.01
2022-09-06,439.9,446.0,435.5,435.1,440.99,440.99,446.0,410.0,42,18582.77
2022-09-07,440.99,446.0,440.1,440.99,440.1,442.73,446.0,410.0,261,116008.69
2022-09-08,441.3,442.9,440.0,442.73,442.9,440.53,446.0,410.0,424,187197.45
2022-09-09,443.0,445.99,439.0,440.53,444.5,444.5,446.0,410.0,116,51596.44
2022-09-12,446.0,447.0,442.35,444.5,447.0,446.9,447.0,410.0,584,260431.95
2022-09-13,445.31,465.0,439.3,446.9,446.5,446.57,465.0,410.0,3889,1761596.12
2022-09-14,443.26,452.9,443.26,446.57,451.91,451.07,465.0,410.0,595,267759.68
2022-09-15,452.0,455.0,448.51,451.07,455.0,450.14,465.0,410.0,596,268693.96
2022-09-16,459.0,459.0,440.11,450.14,442.0,446.08,465.0,410.0,306,136996.17
2022-09-19,440.0,449.0,439.3,446.08,441.0,441.0,465.0,410.0,336,148546.89
2022-09-20,446.0,451.0,443.9,441.0,451.0,448.46,465.0,410.0,607,271859.56
2022-09-21,446.0,455.0,439.11,448.46,448.99,440.27,465.0,410.0,467,208080.35
2022-09-22,442.89,448.9,438.5,440.27,446.0,441.08,465.0,410.0,457,201825.27
2022-09-23,446.0,446.0,435.1,441.08,436.5,439.94,465.0,410.0,207,91226.21
2022-09-26,438.3,440.0,421.1,439.94,421.1,424.37,465.0,410.0,2248,974136.66
2022-09-27,427.89,430.0,421.5,424.37,421.5,426.67,465.0,410.0,590,251941.82
2022-09-28,427.99,429.89,420.0,426.67,420.0,420.34,465.0,410.0,364,154827.95
2022-09-29,420.0,430.0,420.0,420.34,423.85,423.85,465.0,410.0,58,24704.65
2022-09-30,420.48,427.99,419.85,423.85,420.6,420.53,465.0,410.0,189,80267.86
2022-10-03,426.9,428.0,411.6,420.53,411.6,412.79,465.0,410.0,2071,870971.66
2022-10-04,420.15,430.19,420.15,412.79,421.21,421.81,465.0,410.0,473,199463.05
2022-10-06,422.9,431.9,422.9,421.81,426.1,429.3,465.0,410.0,125,53730.28
2022-10-07,425.9,429.99,422.0,429.3,426.31,426.31,465.0,410.0,52,22165.38
2022-10-10,426.3,427.99,420.65,426.31,427.99,421.99,465.0,410.0,324,136930.96
2022-10-11,429.85,429.85,415.1,421.99,419.98,415.89,465.0,410.0,537,227288.68
2022-10-12,419.0,422.4,412.96,415.89,416.1,420.3,465.0,410.0,1145,477624.53
2022-10-13,420.73,420.73,406.85,420.3,406.85,410.4,465.0,406.85,78,32672.96
2022-10-14,418.0,433.05,409.48,410.4,432.47,418.44,465.0,406.85,703,297349.62
2022-10-17,420.0,420.0,413.0,418.44,420.0,419.8,465.0,406.85,93,38888.64
2022-10-18,420.0,420.0,415.8,419.8,420.0,420.0,465.0,406.85,133,55357.21
2022-10-19,422.0,425.99,420.0,420.0,424.9,420.3,465.0,406.85,63,26621.39
2022-10-20,422.0,440.0,419.01,420.3,440.0,422.49,465.0,406.85,3169,1338345.86
2022-10-21,430.0,430.0,407.33,422.49,408.51,418.07,465.0,406.85,1058,446540.55
2022-10-24,430.0,430.0,419.01,418.07,426.37,426.36,465.0,406.85,256,109409.92
2022-10-25,427.89,430.0,418.0,426.36,430.0,422.72,465.0,406.85,609,256914.6
2022-10-27,421.32,425.89,418.0,422.72,420.0,419.21,465.0,406.85,49,20620.35
2022-10-28,430.0,433.44,420.05,419.21,427.0,421.05,465.0,406.85,2145,915658.69
2022-10-31,425.9,480.25,420.0,421.05,422.0,430.48,480.25,406.85,6441,2713280.05
2022-11-01,430.0,434.0,422.0,430.48,428.0,429.52,480.25,406.85,463,197100.78
2022-11-02,431.0,431.5,425.85,429.52,430.0,430.0,480.25,406.85,233,99710.13
2022-11-03,425.0,430.0,425.0,430.0,427.24,427.24,480.25,406.85,568,241618.73
2022-11-04,432.0,436.94,426.22,427.24,435.5,434.5,480.25,406.85,1047,451313.68
2022-11-07,431.1,435.5,429.61,434.5,430.3,431.19,480.25,406.85,431,185556.53
2022-11-09,430.5,435.0,430.5,431.19,431.3,431.3,480.25,406.85,408,176870.03
2022-11-10,434.0,437.0,425.1,431.3,425.25,425.23,480.25,406.85,329,140629.68
2022-11-11,429.0,437.5,428.98,425.23,430.01,430.01,480.25,406.85,2113,907676.96
2022-11-14,431.0,434.99,430.99,430.01,434.9,434.81,480.25,406.85,148,64114.57
2022-11-15,437.0,437.0,431.0,434.81,433.31,433.31,480.25,406.85,601,259161.95
2022-11-16,433.31,435.99,428.1,433.31,430.35,430.35,480.25,406.85,374,161821.17
