date,open,high,low,close,volume
2000-01-03,189.0,194.0,185.8,192.8,147868
2000-01-04,189.0,200.0,184.3,192.7,215242
2000-01-05,186.1,193.85,180.0,191.95,219242
2000-01-06,194.75,203.7,186.5,188.8,258702
2000-01-07,188.4,191.7,182.0,183.6,135492
2000-01-10,183.5,187.45,175.15,179.35,257959
2000-01-11,179.0,180.0,165.0,167.5,337002
2000-01-12,175.0,178.95,171.0,174.8,217785
2000-01-13,172.0,172.0,165.0,165.85,335304
2000-01-14,168.0,168.7,162.6,165.7,218375
2000-01-17,169.5,169.5,160.0,161.0,680988
2000-01-18,163.05,173.9,160.3,168.45,606451
2000-01-19,177.95,179.0,166.7,168.85,845904
2000-01-20,170.0,171.5,167.75,168.2,348112
2000-01-21,167.5,169.2,166.1,166.95,322012
2000-01-24,170.0,173.0,167.35,171.7,473543
2000-01-25,169.3,174.75,165.05,169.9,444314
2000-01-27,172.75,174.0,166.15,172.0,705356
2000-01-28,172.0,172.4,168.75,169.65,346116
2000-01-31,170.0,170.95,166.25,169.9,397570
2000-02-01,170.0,172.25,168.05,171.3,376894
2000-02-02,172.0,185.0,172.0,185.0,1211712
2000-02-03,194.8,199.8,194.0,199.8,915920
2000-02-04,213.8,213.8,184.0,195.5,795226
2000-02-07,191.0,193.0,179.9,182.15,181509
2000-02-08,183.0,194.1,179.0,183.1,921512
2000-02-09,187.0,190.0,181.55,182.7,428962
2000-02-10,178.75,184.0,178.75,183.55,189403
2000-02-11,183.0,185.0,175.0,177.25,337533
2000-02-14,175.0,180.0,164.2,165.5,222189
2000-02-15,159.25,165.0,159.25,163.3,229345
2000-02-16,170.0,170.0,160.0,161.25,316822
2000-02-17,163.9,163.9,157.1,158.35,179693
2000-02-18,160.0,160.0,152.0,154.2,166222
2000-02-21,151.0,158.1,149.05,155.65,288494
2000-02-22,152.1,158.0,148.0,149.3,235755
2000-02-23,158.0,158.0,149.0,149.75,362301
2000-02-24,151.0,152.3,148.5,149.45,95019
2000-02-25,150.0,150.95,141.0,144.15,55964
2000-02-28,142.1,155.7,142.0,155.7,171740
2000-02-29,159.85,165.2,143.25,143.25,404382
2000-03-01,144.95,150.9,144.0,147.15,201956
2000-03-02,152.0,158.95,144.25,147.15,259982
2000-03-03,141.0,141.0,135.4,135.4,108255
2000-03-06,135.4,138.0,124.6,124.6,397005
2000-03-07,126.9,127.0,114.65,114.65,410609
2000-03-08,115.1,116.0,105.5,105.85,411292
