date,open,high,low,close,volume
2003-12-26,92.0,199.7,92.0,119.4,19844945
2003-12-29,124.35,143.3,120.1,143.0,15202564
2003-12-30,145.25,165.0,145.25,150.9,20250790
2003-12-31,152.7,159.3,145.1,148.05,13018852
2004-01-01,152.0,153.9,147.2,150.65,7461782
2004-01-02,151.9,152.4,147.05,148.15,5213083
2004-01-05,148.8,149.65,137.1,137.75,7137219
2004-01-06,138.7,138.7,122.15,123.9,8901377
2004-01-07,125.0,132.2,120.0,129.05,11126409
2004-01-08,131.7,134.35,130.5,132.7,4199049
2004-01-09,135.0,137.7,128.1,128.8,4151502
2004-01-12,129.6,129.7,125.05,126.05,3100098
2004-01-13,126.25,128.4,123.0,123.65,2640549
2004-01-14,124.1,126.35,123.1,123.6,1494830
2004-01-15,124.8,127.8,122.5,123.45,2884915
2004-01-16,123.9,124.0,114.2,114.8,2566511
2004-01-19,115.9,116.35,108.1,112.75,3025347
2004-01-20,113.8,119.0,110.5,111.45,2820082
2004-01-21,112.0,112.0,98.15,99.95,3545920
2004-01-22,100.1,103.8,96.7,98.5,3504049
2004-01-23,100.1,107.35,98.5,105.3,2832728
2004-01-27,108.0,110.0,105.2,109.4,1862064
2004-01-28,110.25,110.65,103.4,104.5,1649050
2004-01-29,105.0,105.0,102.0,102.7,1198830
2004-01-30,103.3,103.7,99.0,99.7,1055851
2004-02-03,100.7,100.7,90.75,91.7,1619599
2004-02-04,92.0,92.8,88.6,89.55,3351635
2004-02-05,90.0,95.55,89.55,90.7,3912520
2004-02-06,91.25,92.2,90.2,91.6,1639174
2004-02-09,92.4,93.0,91.5,92.5,1215269
2004-02-10,93.1,96.3,92.75,94.45,2711265
2004-02-11,95.3,95.5,93.1,94.0,1007016
2004-02-12,94.9,101.75,93.7,99.8,5896304
2004-02-13,101.0,104.25,99.3,102.85,4495119
2004-02-16,103.35,105.5,101.65,102.7,2770236
2004-02-17,103.5,103.5,100.6,101.1,1297252
2004-02-18,102.0,103.3,99.7,100.25,1520942
2004-02-19,100.65,101.65,96.55,96.85,1692186
2004-02-20,96.0,96.55,94.0,95.25,1610142
2004-02-23,96.0,96.4,91.9,92.25,886337
2004-02-24,92.0,92.5,90.55,91.85,1130600
2004-02-25,92.4,93.5,90.0,90.55,812035
2004-02-26,92.0,92.4,89.75,90.2,737425
2004-02-27,90.5,91.45,88.75,90.05,769623
2004-03-01,91.8,91.8,90.0,90.75,576925
2004-03-03,91.8,95.3,90.55,93.55,1914145
2004-03-04,94.0,95.9,91.35,91.8,1543911
2004-03-05,92.1,94.6,91.75,93.65,982384
2004-03-08,93.5,97.35,93.5,96.3,1816987
2004-03-09,96.5,96.75,92.55,93.15,1023264
2004-03-10,93.0,94.45,92.5,93.75,907511
2004-03-11,93.75,93.75,90.25,90.7,584304
2004-03-12,90.0,91.0,88.8,90.3,918193
2004-03-15,90.5,92.0,85.0,86.9,723643
2004-03-16,85.4,85.4,81.05,81.75,1114613
2004-03-17,82.8,83.0,81.2,81.75,640958
2004-03-18,83.9,83.9,80.25,80.65,672636
2004-03-19,81.2,81.2,77.6,78.1,860508
2004-03-22,78.5,78.9,73.1,73.6,914939
2004-03-23,73.5,73.5,68.1,70.15,1804419
2004-03-24,70.25,74.8,68.8,72.55,1851674
2004-03-25,74.0,76.6,72.6,75.2,1402760
2004-03-26,73.1,77.8,73.1,76.4,1060532
2004-03-29,77.0,80.6,76.5,79.4,1341304
2004-03-30,81.0,83.4,79.6,81.8,1371025
2004-03-31,82.85,85.15,81.3,82.9,1039906
2004-04-01,83.8,86.0,83.0,85.0,983152
2004-04-02,85.9,91.8,85.4,89.85,1759023
2004-04-05,91.75,93.75,90.85,91.35,1530978
2004-04-06,91.95,92.3,88.0,88.8,1275669
2004-04-07,88.5,89.25,87.2,88.25,665971
2004-04-08,87.0,88.5,86.2,86.65,661579
2004-04-12,87.0,89.0,85.5,86.0,682672
2004-04-13,86.5,86.9,85.1,86.5,474791
2004-04-15,87.1,87.45,85.0,85.25,553708
2004-04-16,85.3,85.95,84.25,84.55,454688
2004-04-17,85.2,92.35,83.35,91.55,1985786
2004-04-19,92.0,94.4,88.3,89.35,1856118
2004-04-20,88.1,90.5,87.0,88.1,1430329
2004-04-21,87.4,91.7,87.35,90.6,1275008
2004-04-22,91.45,91.85,89.6,90.35,924318
2004-04-23,90.8,92.5,90.1,90.45,1013709
2004-04-27,87.0,90.45,83.55,84.35,750564
2004-04-28,84.0,85.6,81.75,83.5,1036900
2004-04-29,82.0,87.0,82.0,84.4,702172
2004-04-30,85.0,86.3,84.0,84.25,466606
2004-05-03,84.0,84.0,80.0,80.8,595349
2004-05-04,83.15,84.9,81.75,83.3,462739
2004-05-05,80.1,84.85,80.1,83.95,464133
2004-05-06,84.0,86.7,84.0,85.1,540319
2004-05-07,85.75,90.45,83.5,88.3,1515690
2004-05-10,89.9,89.9,85.0,86.0,745685
2004-05-11,85.45,85.45,81.1,82.05,636776
2004-05-12,82.0,83.75,80.0,82.65,834874
2004-05-13,82.0,84.4,77.2,80.65,1066016
2004-05-14,81.95,82.0,64.55,71.5,1370542
2004-05-17,70.0,73.0,57.2,59.7,1023793
2004-05-18,60.0,69.0,58.0,68.0,962349
2004-05-19,69.6,74.0,69.6,72.65,759962
