date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-03-29,132.6,150.0,132.6,133.2,146.0,147.9,150.0,132.6,147455,21217821.6
2022-03-30,150.0,159.0,147.0,147.9,147.1,149.15,159.0,132.6,98454,15052346.75
2022-03-31,149.0,151.7,142.35,149.15,142.55,143.4,159.0,132.6,30879,4531682.0
2022-04-01,144.0,158.05,144.0,143.4,153.05,153.9,159.0,132.6,140132,21526584.45
2022-04-04,156.75,184.65,154.9,153.9,162.0,162.95,184.65,132.6,130435,21156289.95
2022-04-05,164.8,177.0,163.0,162.95,173.6,174.0,184.65,132.6,165040,27792986.7
2022-04-06,175.9,177.0,165.0,174.0,165.25,166.9,184.65,132.6,74485,12772975.4
2022-04-07,166.6,171.2,162.0,166.9,165.0,164.75,184.65,132.6,72338,12027197.4
2022-04-08,166.8,166.8,158.1,164.75,162.5,160.35,184.65,132.6,53370,8631785.8
2022-04-11,164.0,166.75,160.35,160.35,164.75,162.4,184.65,132.6,43385,7111045.25
2022-04-12,161.4,164.2,155.25,162.4,159.15,160.5,184.65,132.6,27422,4419123.9
2022-04-13,164.95,165.9,155.3,160.5,160.25,160.8,184.65,132.6,30275,4897073.3
2022-04-18,163.95,163.95,154.5,160.8,155.05,155.95,184.65,132.6,27763,4337683.9
2022-04-19,160.0,160.0,153.7,155.95,154.15,155.3,184.65,132.6,44491,6914454.85
2022-04-20,159.0,161.0,150.0,155.3,152.2,154.15,184.65,132.6,43091,6767601.45
2022-04-21,151.3,158.4,151.0,154.15,156.8,154.95,184.65,132.6,23998,3744428.2
2022-04-22,152.5,165.0,152.5,154.95,158.0,158.1,184.65,132.6,60231,9606719.3
2022-04-25,158.4,158.4,152.0,158.1,152.5,152.65,184.65,132.6,22673,3500103.6
2022-04-26,153.5,156.05,152.0,152.65,153.0,152.7,184.65,132.6,17036,2625810.7
2022-04-27,155.75,155.75,142.3,152.7,143.0,144.05,184.65,132.6,29765,4378731.5
2022-04-28,145.0,161.35,145.0,144.05,158.8,156.15,184.65,132.6,98241,15181262.45
2022-04-29,158.7,158.75,150.85,156.15,154.0,153.4,184.65,132.6,24933,3857049.95
2022-05-02,145.6,151.55,142.55,153.4,150.95,150.45,184.65,132.6,26649,3976492.7
2022-05-04,154.0,160.0,140.1,150.45,143.5,142.3,184.65,132.6,36809,5456522.8
2022-05-05,149.0,149.0,143.4,142.3,145.0,144.45,184.65,132.6,12425,1809504.65
2022-05-06,143.5,144.5,122.3,144.45,138.8,136.1,184.65,122.3,34347,4720733.45
2022-05-09,141.0,141.0,129.0,136.1,133.5,133.0,184.65,122.3,19132,2574753.6
2022-05-10,130.15,139.9,115.7,133.0,125.0,125.05,184.65,115.7,42593,5452393.8
2022-05-11,125.0,131.8,119.05,125.05,130.5,127.85,184.65,115.7,47473,5869079.5
2022-05-12,126.9,134.7,122.85,127.85,129.8,131.2,184.65,115.7,28534,3644279.65
2022-05-13,131.2,137.0,131.05,131.2,131.7,133.55,184.65,115.7,18873,2528600.5
2022-05-16,135.4,135.4,130.05,133.55,133.05,133.35,184.65,115.7,12162,1620990.05
2022-05-17,135.2,137.0,132.1,133.35,136.65,134.3,184.65,115.7,26944,3623603.25
2022-05-18,136.9,144.65,128.5,134.3,134.0,135.35,184.65,115.7,27218,3641417.25
2022-05-19,132.0,132.8,127.45,135.35,132.0,131.2,184.65,115.7,33078,4304611.3
2022-05-20,136.0,136.0,130.6,131.2,132.3,131.65,184.65,115.7,11724,1545261.5
2022-05-23,145.7,145.7,130.0,131.65,135.0,133.6,184.65,115.7,19233,2613645.45
2022-05-24,137.9,142.05,132.8,133.6,141.1,139.2,184.65,115.7,33255,4589054.7
2022-05-25,141.9,141.9,131.0,139.2,131.55,136.0,184.65,115.7,15911,2178161.9
2022-05-26,139.0,139.0,127.85,136.0,132.95,132.6,184.65,115.7,11442,1507973.6
2022-05-27,132.65,135.1,131.25,132.6,133.45,132.95,184.65,115.7,9134,1214132.35
2022-05-30,139.9,139.9,131.0,132.95,131.4,132.6,184.65,115.7,21190,2837178.4
2022-05-31,136.0,136.0,109.5,132.6,111.6,110.6,184.65,109.5,453044,51845879.3
2022-06-01,112.75,114.55,109.0,110.6,110.0,109.95,184.65,109.0,169886,18849528.75
2022-06-02,111.85,118.8,111.0,109.95,116.55,117.0,184.65,109.0,93898,10849447.45
2022-06-03,118.25,118.45,110.1,117.0,112.45,111.85,184.65,109.0,63224,7234607.65
2022-06-06,113.9,113.95,110.1,111.85,111.9,111.2,184.65,109.0,30565,3430283.2
2022-06-07,113.7,113.7,110.2,111.2,111.7,111.4,184.65,109.0,34505,3854972.5
2022-06-08,112.95,114.15,110.5,111.4,110.5,111.1,184.65,109.0,21198,2375615.75
2022-06-09,113.5,113.5,109.05,111.1,110.85,110.6,184.65,109.0,27416,3038822.05
2022-06-10,112.4,112.4,109.0,110.6,111.5,110.65,184.65,109.0,22069,2444469.8
2022-06-13,114.7,114.7,100.25,110.65,109.0,108.75,184.65,100.25,22866,2486164.35
2022-06-14,105.0,112.4,105.0,108.75,109.3,109.75,184.65,100.25,13997,1533324.15
2022-06-15,112.0,114.25,107.0,109.75,108.0,107.85,184.65,100.25,19767,2157986.05
2022-06-16,110.9,111.0,102.55,107.85,104.9,104.05,184.65,100.25,20348,2175041.7
2022-06-17,106.7,111.0,101.45,104.05,105.8,105.0,184.65,100.25,23940,2511947.4
2022-06-20,105.0,105.0,95.1,105.0,96.0,96.8,184.65,95.1,28027,2799019.65
2022-06-21,95.1,103.0,95.1,96.8,101.0,101.25,184.65,95.1,15429,1549645.15
2022-06-22,101.9,107.0,95.55,101.25,104.5,104.4,184.65,95.1,14093,1440250.25
2022-06-23,106.45,109.0,101.0,104.4,102.0,102.35,184.65,95.1,19074,2008247.25
2022-06-24,104.4,107.25,102.0,102.35,104.1,104.15,184.65,95.1,15156,1584754.65
2022-06-27,109.95,109.95,105.5,104.15,108.0,107.65,184.65,95.1,14962,1607078.45
2022-06-28,107.65,112.0,102.3,107.65,112.0,111.65,184.65,95.1,22431,2455428.85
