date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2021-11-08,150.0,157.75,150.0,143.45,157.75,157.65,157.75,150.0,280452,44160538.2
2021-11-09,161.8,165.5,152.0,157.65,161.0,158.3,165.5,150.0,148381,23918686.7
2021-11-10,152.15,161.0,150.4,158.3,155.0,151.55,165.5,150.0,43215,6701291.1
2021-11-11,153.05,153.05,145.5,151.55,147.05,147.95,165.5,145.5,30594,4528484.05
2021-11-12,148.75,151.55,144.9,147.95,149.75,148.55,165.5,144.9,19337,2889826.6
2021-11-15,141.2,141.2,141.15,148.55,141.15,141.15,165.5,141.15,10018,1414061.75
2021-11-16,134.1,141.9,134.1,141.15,134.1,134.1,165.5,134.1,72074,9888490.65
2021-11-17,140.5,140.8,127.65,134.1,140.8,139.6,165.5,127.65,40129,5396211.85
2021-11-18,144.0,144.0,132.65,139.6,139.5,136.5,165.5,127.65,25573,3501877.2
2021-11-22,139.95,139.95,130.0,136.5,132.75,130.9,165.5,127.65,12130,1611443.9
2021-11-23,124.4,137.4,124.4,130.9,137.4,137.25,165.5,124.4,17538,2289266.3
2021-11-24,135.35,139.6,134.45,137.25,136.3,136.05,165.5,124.4,5718,781182.1
2021-11-25,137.0,137.0,132.75,136.05,134.25,134.0,165.5,124.4,8614,1161225.7
2021-11-26,130.85,135.7,127.3,134.0,129.4,129.2,165.5,124.4,29775,3877649.05
2021-11-29,132.2,132.2,122.75,129.2,122.75,122.8,165.5,122.75,22505,2797947.25
2021-11-30,125.5,128.5,122.1,122.8,123.2,124.15,165.5,122.1,9385,1173964.55
2021-12-01,125.8,125.8,118.55,124.15,124.9,122.3,165.5,118.55,8298,1020830.7
2021-12-02,122.95,128.4,122.3,122.3,128.4,128.1,165.5,118.55,6615,836227.9
2021-12-03,128.6,134.5,128.15,128.1,134.5,133.6,165.5,118.55,17384,2315449.9
2021-12-06,139.0,140.25,127.9,133.6,136.6,135.95,165.5,118.55,32933,4432830.5
2021-12-07,138.75,140.05,129.8,135.95,138.0,136.3,165.5,118.55,18716,2519207.5
2021-12-08,141.95,141.95,128.3,136.3,128.3,129.7,165.5,118.55,16848,2237429.05
2021-12-09,130.0,132.0,126.5,129.7,127.9,127.25,165.5,118.55,14207,1827657.85
2021-12-10,129.8,129.8,122.9,127.25,128.0,127.3,165.5,118.55,8547,1085560.6
2021-12-13,134.8,135.0,127.5,127.3,128.0,127.8,165.5,118.55,24821,3211548.7
2021-12-14,130.0,132.0,125.1,127.8,127.95,127.95,165.5,118.55,17379,2223396.0
2021-12-15,127.95,128.65,126.0,127.95,128.0,128.25,165.5,118.55,27144,3471428.55
2021-12-16,126.0,130.5,123.8,128.25,126.5,125.3,165.5,118.55,14376,1816045.9
2021-12-17,127.95,127.95,113.6,125.3,119.5,118.05,165.5,113.6,24095,2919260.15
2021-12-20,117.75,124.0,107.25,118.05,123.85,121.15,165.5,107.25,21023,2443712.4
2021-12-21,118.2,128.9,118.2,121.15,128.9,126.5,165.5,107.25,19840,2471904.2
2021-12-22,128.9,137.0,126.4,126.5,129.05,127.4,165.5,107.25,21521,2765603.15
2021-12-23,129.8,133.0,122.6,127.4,129.0,128.75,165.5,107.25,6759,870485.85
2021-12-24,134.8,137.95,130.05,128.75,133.25,133.6,165.5,107.25,38209,5191832.9
2021-12-27,133.6,137.95,130.95,133.6,137.95,136.2,165.5,107.25,8300,1110536.55
2021-12-28,136.5,136.5,128.15,136.2,132.9,131.85,165.5,107.25,7922,1047013.45
2021-12-29,128.7,137.15,128.7,131.85,136.0,136.1,165.5,107.25,15443,2070792.55
2021-12-30,145.1,149.1,136.55,136.1,148.0,144.7,165.5,107.25,68592,9865278.9
2021-12-31,150.5,153.0,141.0,144.7,144.9,144.5,165.5,107.25,70917,10484308.85
2022-01-03,150.0,158.95,144.0,144.5,158.9,157.4,165.5,107.25,192604,30258335.5
2022-01-04,158.0,162.4,154.0,157.4,155.75,156.7,165.5,107.25,75559,11958376.45
2022-01-05,159.0,159.0,146.7,156.7,149.0,149.25,165.5,107.25,31546,4744357.8
2022-01-06,150.9,151.95,144.7,149.25,147.4,148.3,165.5,107.25,27146,3996089.35
2022-01-07,147.0,151.6,141.3,148.3,145.5,146.9,165.5,107.25,49859,7291154.6
2022-01-10,149.0,149.8,144.15,146.9,146.5,147.2,165.5,107.25,10991,1623511.1
2022-01-11,152.0,152.0,144.65,147.2,150.0,148.7,165.5,107.25,12009,1768031.5
2022-01-12,148.0,150.9,145.5,148.7,150.9,147.8,165.5,107.25,22074,3263468.65
2022-01-13,147.6,149.75,142.5,147.8,144.0,144.35,165.5,107.25,7923,1150707.45
2022-01-14,144.4,148.0,143.35,144.35,147.0,145.75,165.5,107.25,8568,1253805.4
2022-01-17,151.8,153.0,144.8,145.75,146.8,145.75,165.5,107.25,14320,2114334.1
2022-01-18,145.75,147.95,142.0,145.75,143.0,143.0,165.5,107.25,9801,1424348.3
2022-01-19,141.95,144.8,141.4,143.0,143.1,143.5,165.5,107.25,9141,1304693.15
2022-01-20,143.4,145.55,138.05,143.5,140.45,139.3,165.5,107.25,13018,1833162.15
2022-01-21,145.95,145.95,138.1,139.3,140.3,139.7,165.5,107.25,12560,1777478.25
2022-01-24,137.0,139.35,125.75,139.7,131.0,132.05,165.5,107.25,30116,3931765.2
2022-01-25,130.0,131.75,125.1,132.05,125.1,126.1,165.5,107.25,24049,3088809.75
2022-01-27,121.1,135.0,121.1,126.1,125.0,124.6,165.5,107.25,27312,3480402.8
2022-01-28,128.15,132.2,125.6,124.6,129.0,129.1,165.5,107.25,23193,3009790.7
2022-01-31,136.9,142.0,131.9,129.1,142.0,141.9,165.5,107.25,50060,6958031.85
2022-02-01,148.0,150.4,132.1,141.9,140.0,141.6,165.5,107.25,37570,5321528.85
2022-02-02,142.25,147.35,139.95,141.6,145.0,143.9,165.5,107.25,13008,1867264.65
2022-02-03,143.05,148.85,140.5,143.9,146.0,147.25,165.5,107.25,13642,1980697.95
2022-02-04,148.5,148.5,138.0,147.25,140.0,139.7,165.5,107.25,17176,2426565.5
2022-02-07,145.0,145.0,134.3,139.7,135.0,135.65,165.5,107.25,10994,1526908.65
2022-02-08,137.0,138.5,130.0,135.65,131.9,131.4,165.5,107.25,10353,1381529.35
2022-02-09,134.25,136.35,132.0,131.4,134.25,134.45,165.5,107.25,11584,1559600.5
2022-02-10,135.95,135.95,126.1,134.45,127.1,131.25,165.5,107.25,24392,3231155.8
2022-02-11,131.25,131.25,122.45,131.25,123.75,123.95,165.5,107.25,29077,3620772.4
2022-02-14,125.0,129.9,115.7,123.95,120.0,121.15,165.5,107.25,21540,2599057.4
2022-02-15,112.0,123.6,109.15,121.15,113.0,116.3,165.5,107.25,81999,9415009.35
2022-02-16,116.3,120.0,115.9,116.3,118.0,118.25,165.5,107.25,17906,2109437.35
2022-02-17,122.0,122.0,108.25,118.25,108.25,108.85,165.5,107.25,68909,7658241.45
2022-02-18,110.45,114.25,107.05,108.85,110.0,109.45,165.5,107.05,38479,4210593.0
2022-02-21,114.5,114.5,102.35,109.45,105.1,104.85,165.5,102.35,30196,3201855.15
2022-02-22,95.3,101.7,95.25,104.85,99.0,99.25,165.5,95.25,64642,6358037.15
2022-02-23,99.85,109.8,98.55,99.25,104.4,103.8,165.5,95.25,38242,3975586.45
2022-02-24,102.5,102.5,95.25,103.8,98.95,96.95,165.5,95.25,45931,4501619.7
2022-02-25,99.75,111.9,98.1,96.95,109.45,106.25,165.5,95.25,28194,2880401.35
2022-02-28,107.8,111.5,102.25,106.25,105.2,106.5,165.5,95.25,41312,4416152.9
2022-03-02,101.7,107.5,101.0,106.5,102.9,102.35,165.5,95.25,34611,3588102.9
2022-03-03,104.8,109.75,99.1,102.35,109.7,106.35,165.5,95.25,40028,4111909.65
2022-03-04,109.5,109.5,103.0,106.35,105.3,106.85,165.5,95.25,11462,1211754.95
2022-03-07,93.05,104.0,93.05,106.85,99.0,99.35,165.5,93.05,44680,4368404.85
2022-03-08,100.3,104.0,97.9,99.35,99.85,100.2,165.5,93.05,18203,1833206.1
2022-03-09,101.85,120.2,99.35,100.2,116.25,118.0,165.5,93.05,112025,13121014.75
2022-03-10,118.0,119.9,108.0,118.0,108.1,109.5,165.5,93.05,65341,7322025.8
2022-03-11,108.6,112.25,108.0,109.5,110.0,109.95,165.5,93.05,18401,2029256.0
2022-03-14,112.9,115.7,110.4,109.95,111.0,111.35,165.5,93.05,31832,3595908.95
2022-03-15,111.4,115.45,103.3,111.35,105.1,106.5,165.5,93.05,23807,2637205.45
2022-03-16,110.95,112.0,105.1,106.5,107.05,108.2,165.5,93.05,11387,1237870.0
2022-03-17,111.0,114.4,108.5,108.2,110.65,109.25,165.5,93.05,25067,2766647.75
2022-03-21,111.85,111.85,99.3,109.25,107.0,109.5,165.5,93.05,62218,6595266.0
2022-03-22,109.3,113.0,106.05,109.5,110.5,111.0,165.5,93.05,28506,3117583.7
2022-03-23,111.95,114.5,103.35,111.0,105.05,105.9,165.5,93.05,100329,10925730.85
2022-03-24,106.95,108.05,103.0,105.9,104.45,103.85,165.5,93.05,27648,2912173.15
2022-03-25,105.35,106.95,102.0,103.85,102.5,102.55,165.5,93.05,16430,1702708.7
2022-03-28,106.2,106.2,99.2,102.55,101.0,100.35,165.5,93.05,29559,3001606.15
2022-03-29,102.0,102.4,99.0,100.35,100.05,100.15,165.5,93.05,25465,2577474.65
2022-03-30,103.7,104.25,100.0,100.15,100.0,100.55,165.5,93.05,14316,1456234.4
2022-03-31,102.45,102.45,100.05,100.55,100.15,100.75,165.5,93.05,989611,99946701.45
2022-04-01,102.75,108.65,101.3,100.75,106.5,106.35,165.5,93.05,24134,2557119.1
2022-04-04,107.0,110.1,102.55,106.35,103.0,104.45,165.5,93.05,14369,1530608.7
2022-04-05,104.0,110.1,104.0,104.45,108.9,108.1,165.5,93.05,13249,1431012.85
2022-04-06,108.1,109.0,104.15,108.1,106.0,105.65,165.5,93.05,9991,1064111.45
2022-04-07,106.7,110.1,104.05,105.65,104.1,105.0,165.5,93.05,13343,1433973.25
2022-04-08,106.75,114.5,106.15,105.0,113.0,111.4,165.5,93.05,56751,6308697.35
2022-04-11,111.4,116.0,109.05,111.4,110.2,110.8,165.5,93.05,24576,2785328.2
2022-04-12,110.75,112.3,105.35,110.8,108.7,108.35,165.5,93.05,9396,1021827.35
2022-04-13,108.9,109.9,105.1,108.35,106.0,105.85,165.5,93.05,14511,1552298.0
2022-04-18,106.1,114.9,104.0,105.85,108.9,106.8,165.5,93.05,19285,2074296.0
2022-04-19,109.85,109.85,103.7,106.8,103.7,104.5,165.5,93.05,12942,1372721.85
2022-04-20,104.9,106.0,102.0,104.5,102.05,102.45,165.5,93.05,11041,1143909.4
2022-04-21,102.1,109.5,102.1,102.45,109.0,108.65,165.5,93.05,26631,2856715.35
2022-04-22,108.0,110.0,104.9,108.65,105.1,105.45,165.5,93.05,15948,1693155.15
2022-04-25,106.95,121.0,104.0,105.45,107.95,107.1,165.5,93.05,19991,2134059.1
2022-04-26,108.5,109.05,104.55,107.1,104.75,105.35,165.5,93.05,20341,2162310.1
2022-04-27,103.35,105.85,100.3,105.35,101.0,101.0,165.5,93.05,22475,2300344.4
2022-04-28,102.0,102.6,97.15,101.0,98.3,97.95,165.5,93.05,23903,2372427.4
2022-04-29,99.0,100.7,97.05,97.95,98.7,98.45,165.5,93.05,9926,984692.7
2022-05-02,95.25,98.2,90.55,98.45,94.1,93.6,165.5,90.55,27518,2575836.05
2022-05-04,96.9,103.0,89.0,93.6,89.0,91.05,165.5,89.0,41238,3993506.75
2022-05-05,93.65,95.5,91.75,91.05,92.75,93.6,165.5,89.0,8296,778782.0
2022-05-06,92.35,94.9,87.1,93.6,94.9,93.5,165.5,87.1,23557,2123160.85
2022-05-09,94.0,94.0,83.65,93.5,84.9,85.1,165.5,83.65,23239,2065461.5
2022-05-10,87.0,91.9,85.1,85.1,89.5,88.55,165.5,83.65,22629,1980726.1
2022-05-11,88.25,91.15,78.4,88.55,81.05,80.8,165.5,78.4,70065,5834283.05
2022-05-12,78.35,79.7,71.1,80.8,75.0,74.15,165.5,71.1,41965,3181208.85
2022-05-13,78.0,82.9,74.65,74.15,78.0,78.3,165.5,71.1,26241,2082999.15
2022-05-16,80.1,83.1,78.3,78.3,81.5,81.3,165.5,71.1,11163,905514.25
2022-05-17,81.1,82.95,78.1,81.3,79.2,80.2,165.5,71.1,15401,1250995.9
2022-05-18,81.8,96.2,81.8,80.2,96.2,95.8,165.5,71.1,60632,5721286.6
2022-05-19,97.4,104.8,88.55,95.8,89.75,89.9,165.5,71.1,139525,13577298.4
2022-05-20,92.55,96.85,88.55,89.9,91.2,90.55,165.5,71.1,31117,2881022.4
2022-05-23,89.0,92.5,88.15,90.55,89.15,89.25,165.5,71.1,13773,1254242.5
2022-05-24,89.25,92.0,86.35,89.25,87.0,88.1,165.5,71.1,15159,1346552.4
2022-05-25,85.5,88.05,81.4,88.1,81.5,82.95,165.5,71.1,12596,1075371.9
2022-05-26,81.35,85.1,81.0,82.95,84.0,83.75,165.5,71.1,10310,853710.25
2022-05-27,85.65,86.0,81.0,83.75,81.75,82.25,165.5,71.1,11387,951489.9
2022-05-30,84.65,84.65,81.0,82.25,82.2,81.8,165.5,71.1,10381,860762.25
2022-05-31,82.55,83.1,80.25,81.8,81.0,80.8,165.5,71.1,8691,706077.2
2022-06-01,82.15,83.0,81.5,80.8,82.65,82.7,165.5,71.1,8010,658024.4
2022-06-02,84.2,84.2,81.65,82.7,83.9,83.4,165.5,71.1,6742,561504.55
2022-06-03,83.8,84.05,83.0,83.4,83.5,83.2,165.5,71.1,5105,424999.75
