date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2016-12-30,229.0,234.0,210.2,212.3,211.0,213.1,234.0,210.2,122798,27182710.4
2017-01-02,215.25,219.9,203.0,213.1,216.0,217.2,234.0,203.0,32691,7000736.85
2017-01-03,221.0,222.9,210.6,217.2,217.0,213.95,234.0,203.0,25486,5543227.0
2017-01-04,216.8,221.0,209.6,213.95,210.45,210.95,234.0,203.0,9640,2062933.75
2017-01-05,218.7,219.0,210.5,210.95,212.4,211.25,234.0,203.0,10361,2216768.85
2017-01-06,210.0,219.0,209.0,211.25,213.0,214.8,234.0,203.0,12546,2684400.0
2017-01-09,215.9,218.5,211.05,214.8,213.2,215.85,234.0,203.0,10936,2363123.65
2017-01-10,216.75,219.4,211.1,215.85,217.05,218.65,234.0,203.0,10119,2196552.95
2017-01-11,217.0,222.0,213.5,218.65,216.0,217.6,234.0,203.0,9030,1969935.6
2017-01-12,212.5,220.0,212.5,217.6,214.9,214.85,234.0,203.0,4306,938378.45
2017-01-13,235.0,257.8,222.0,214.85,257.8,257.8,257.8,203.0,208418,52075196.55
2017-01-16,277.0,308.8,260.15,257.8,301.0,301.95,308.8,203.0,1097128,316374240.5
2017-01-17,301.25,326.0,296.1,301.95,313.2,313.45,326.0,203.0,872218,273952252.45
2017-01-18,308.6,312.4,292.2,313.45,294.8,296.3,326.0,203.0,182377,54981667.4
2017-01-19,299.7,299.95,277.0,296.3,279.7,279.5,326.0,203.0,71994,20604100.05
2017-01-20,262.1,293.6,262.1,279.5,277.8,278.55,326.0,203.0,118830,33894453.4
2017-01-23,280.0,290.0,273.0,278.55,275.0,276.55,326.0,203.0,77473,21757324.35
2017-01-24,279.0,283.0,270.35,276.55,271.2,271.85,326.0,203.0,36294,10012219.45
2017-01-25,278.05,299.0,275.0,271.85,278.5,280.5,326.0,203.0,244063,70720403.85
2017-01-27,282.0,288.3,277.0,280.5,279.4,278.9,326.0,203.0,43995,12425142.85
