date,open,high,low,close,volume
2021-06-25,339.35,339.35,339.35,339.35,4483
2021-06-28,373.25,373.25,373.25,373.25,796
2021-06-29,410.55,410.55,410.55,410.55,3894
2021-06-30,431.05,431.05,431.05,431.05,31705
2021-10-12,617.0,645.65,609.35,645.5,4127
2021-10-13,677.55,677.75,650.15,677.75,2925
2021-10-14,711.25,711.6,701.15,711.6,3037
2021-10-18,747.15,747.15,711.6,747.15,25730
2021-10-19,784.5,784.5,747.15,779.7,15001
2021-10-20,814.85,814.95,740.75,765.95,13688
2021-10-21,740.15,770.0,740.15,751.9,2843
2021-10-22,769.9,784.65,736.15,762.1,3500
2021-10-25,775.0,798.85,740.05,776.1,2754
2021-10-26,779.05,779.95,750.0,761.15,1830
2021-10-27,742.0,799.2,742.0,799.2,6581
2021-10-28,834.0,839.15,809.95,839.15,6787
2021-10-29,879.0,881.1,801.3,872.2,28373
2021-11-01,881.0,915.8,828.6,895.15,18883
2021-11-02,856.0,939.9,856.0,939.9,7170
2021-11-03,986.5,986.5,930.0,946.35,6642
2021-11-04,933.55,960.95,933.05,944.75,1563
2021-11-08,978.0,978.0,897.55,897.55,8878
2022-02-21,706.7,730.0,706.7,709.3,818
2022-02-22,705.0,705.0,673.85,673.85,2803
2022-02-23,699.95,700.0,661.0,674.15,663
2022-02-24,641.3,671.2,640.45,648.1,2375
2022-02-25,680.0,680.0,631.15,662.9,1551
2022-02-28,693.0,693.0,667.85,678.0,166
2022-03-02,683.95,684.55,657.95,681.15,3962
2022-03-03,680.0,715.2,650.3,683.35,1297
2022-03-04,711.65,711.65,665.0,677.85,351
2022-03-07,663.85,689.95,644.0,670.2,467
2022-03-08,650.0,684.95,642.1,664.15,833
2022-03-09,656.25,662.25,637.85,652.25,2029
2022-03-10,658.05,682.0,643.3,671.7,403
2022-03-11,680.0,680.0,657.0,674.5,354
2022-03-14,685.95,685.95,660.55,672.75,847
2022-03-15,665.8,706.35,660.1,671.65,1782
2022-03-16,704.9,705.2,676.25,705.2,934
2022-03-17,708.0,740.45,706.05,740.45,654
2022-03-21,764.95,764.95,710.0,716.25,1995
2022-03-22,751.95,751.95,680.5,709.15,1103
2022-03-23,680.9,718.8,680.9,705.1,842
2022-03-24,693.9,716.0,687.7,694.5,1598
2022-03-25,696.7,715.0,683.95,712.75,1979
2022-03-28,748.35,748.35,690.1,710.45,1436
2022-03-29,701.05,745.0,696.7,726.2,90515
2022-03-30,760.0,760.0,695.0,728.85,4890
2022-03-31,733.2,742.4,693.25,710.1,1001
2022-04-01,720.0,720.0,685.3,695.5,852
2022-04-04,681.6,707.3,681.6,699.5,332
2022-04-05,699.0,701.2,676.45,694.45,1866
2022-04-06,700.0,716.95,687.15,695.1,1587
2022-04-07,695.1,700.0,678.65,688.25,1550
2022-04-08,693.0,697.4,682.05,688.1,361
2022-04-11,685.05,700.0,671.65,686.35,1733
2022-04-12,699.0,699.0,666.15,680.7,777
2022-04-13,699.0,699.0,670.1,672.55,538
2022-04-18,661.1,696.95,661.1,685.7,6214
2022-04-19,686.0,719.95,660.0,692.65,4685
2022-04-20,726.95,727.25,700.05,710.05,2379
2022-04-21,710.0,726.9,681.1,699.8,1539
2022-04-22,670.05,710.0,670.05,698.1,168
2022-04-25,666.0,695.45,666.0,670.95,289
2022-04-26,699.0,701.0,660.0,671.6,592
2022-04-27,665.0,680.0,660.1,672.75,442
2022-04-28,704.25,704.25,651.15,673.95,601
2022-04-29,697.35,697.35,661.0,683.45,428
2022-05-02,697.15,697.15,649.3,666.1,289
2022-05-04,673.95,689.85,654.55,666.35,870
2022-05-05,663.3,690.0,648.9,650.8,771
2022-05-06,650.8,683.3,622.5,637.8,900
2022-05-09,618.3,643.75,605.95,619.35,365
2022-05-10,620.0,620.0,588.4,588.75,1600
2022-05-11,600.0,615.05,562.05,566.0,1145
2022-05-12,569.75,581.95,537.75,555.2,670
2022-05-13,582.0,582.95,555.0,570.85,462
2022-05-16,579.75,599.35,556.25,570.65,185
2022-05-17,557.0,599.15,555.5,597.5,263
2022-05-18,601.0,620.3,570.0,570.5,200
2022-05-19,569.95,598.9,549.95,571.9,445
2022-05-20,571.0,590.0,560.0,563.3,230
2022-05-23,552.05,572.7,550.05,556.75,254
2022-05-24,563.95,579.95,560.0,560.0,282
2022-05-25,550.0,577.25,532.05,559.8,797
2022-05-26,571.95,571.95,550.05,559.95,114
2022-05-27,565.0,565.0,545.55,548.1,271
2022-05-30,542.75,571.95,533.15,539.45,837
2022-05-31,558.9,561.55,515.15,543.95,564
2022-06-01,544.65,556.25,533.0,543.1,564
2022-06-02,525.45,555.75,525.45,540.25,250
2022-06-03,525.4,559.15,521.0,531.4,2270
2022-06-06,540.0,540.0,509.05,529.3,355
2022-06-07,518.25,544.3,514.6,532.5,430
2022-06-08,535.05,547.1,520.4,541.35,495
2022-06-09,514.45,549.0,514.45,530.0,406
2022-06-10,506.3,543.25,506.3,543.0,524
2022-06-13,517.95,539.8,517.95,532.9,112
2022-06-14,528.75,541.0,511.0,536.45,625
2022-06-15,535.05,538.35,520.2,527.35,138
2022-06-16,549.9,549.9,501.0,501.0,2000
2022-06-17,524.8,524.8,475.95,498.9,231
2022-06-20,476.15,505.0,474.0,474.0,1115
2022-06-21,483.5,483.5,450.3,464.8,2382
2022-06-22,460.05,465.0,442.6,465.0,228
2022-06-23,478.0,478.0,442.3,446.15,235
2022-06-24,463.45,463.45,426.25,449.0,261
2022-06-27,468.5,468.7,449.0,462.3,300
2022-06-28,453.0,463.8,446.15,463.4,212
2022-06-29,484.0,485.8,440.3,456.1,320
2022-06-30,460.25,468.65,451.5,459.85,449
2022-07-01,441.3,478.6,438.45,458.65,324
