date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2003-11-17,410.0,460.0,410.0,10.0,432.7,430.6,0.0,0.0,62440,27424486.7
2003-11-18,435.0,439.9,398.0,430.6,410.0,407.25,460.0,410.0,58544,24342051.85
2003-11-19,399.7,410.0,382.0,407.25,398.5,399.15,460.0,398.0,83900,33304804.55
2003-11-20,400.0,403.0,353.65,399.15,359.95,362.25,460.0,382.0,64804,25111955.6
2003-11-21,360.0,369.0,332.1,362.25,355.0,362.65,460.0,353.65,178917,63420480.85
2003-11-24,365.0,404.0,362.1,362.65,404.0,396.25,460.0,332.1,87032,33870110.45
2003-11-25,406.0,415.0,392.05,396.25,397.0,396.1,460.0,332.1,54757,22108178.55
2003-11-27,408.0,408.0,378.0,396.1,384.5,380.8,460.0,332.1,30592,11894478.6
2003-11-28,394.0,394.0,371.3,380.8,388.9,386.85,460.0,332.1,74060,28497175.15
2003-12-01,382.5,387.95,370.1,386.85,374.0,373.95,460.0,332.1,59016,22237189.8
2003-12-02,382.5,394.0,373.0,373.95,373.0,374.0,460.0,332.1,52919,20170545.35
2003-12-03,390.0,404.0,386.0,374.0,388.05,389.35,460.0,332.1,150542,59624390.6
2003-12-04,391.2,402.85,388.0,389.35,391.55,391.3,460.0,332.1,58635,23272935.5
2003-12-05,391.0,397.4,372.5,391.3,380.0,375.35,460.0,332.1,35773,13739519.3
2003-12-08,378.3,390.0,378.0,375.35,389.0,387.25,460.0,332.1,38767,14930272.85
2003-12-09,391.0,414.4,389.75,387.25,402.0,400.95,460.0,332.1,81592,32798422.85
2003-12-10,404.0,415.0,403.0,400.95,410.0,408.5,460.0,332.1,74923,30646795.7
2003-12-11,414.0,417.8,404.0,408.5,416.0,412.35,460.0,332.1,48468,19888534.4
2003-12-12,419.9,420.0,405.0,412.35,412.0,413.5,460.0,332.1,45605,18770588.1
2003-12-15,418.8,469.9,417.0,413.5,460.0,459.1,460.0,332.1,231558,102662955.15
2003-12-16,465.0,471.8,435.3,459.1,445.0,444.45,469.9,332.1,165466,75352963.7
2003-12-17,454.0,459.95,446.25,444.45,448.0,451.4,471.8,332.1,63084,28593237.3
2003-12-18,453.0,469.0,451.25,451.4,458.2,456.35,471.8,332.1,65856,30325698.55
2003-12-19,460.0,461.4,451.0,456.35,452.9,451.45,471.8,332.1,32792,14899846.4
2003-12-22,457.9,479.0,455.1,451.45,471.1,473.75,471.8,332.1,89700,42294115.35
2003-12-23,480.0,489.9,461.0,473.75,474.0,466.3,479.0,332.1,54634,25874608.45
2003-12-24,467.1,474.0,464.0,466.3,464.0,468.05,489.9,332.1,32050,15037500.95
2003-12-26,474.0,485.0,469.5,468.05,475.55,478.6,489.9,332.1,55387,26504979.5
2003-12-29,491.0,504.0,484.0,478.6,492.05,493.2,489.9,332.1,90553,44503826.15
2003-12-30,499.8,499.8,476.0,493.2,486.5,481.5,504.0,332.1,37809,18298648.15
2003-12-31,488.0,496.95,480.0,481.5,484.0,485.4,504.0,332.1,51809,25296970.1
2004-01-01,486.05,503.0,486.05,485.4,493.0,493.5,504.0,332.1,109655,54253421.05
2004-01-02,500.0,504.6,491.1,493.5,491.1,492.05,504.0,332.1,64503,32007869.45
2004-01-05,500.0,502.0,476.0,492.05,476.0,479.7,504.6,332.1,74213,36508734.15
