date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,20.15,22.2,20.0,21.4,21.6,21.6,33.3,9.0,58900,1200065.0
2000-01-04,20.9,20.9,20.1,21.6,20.5,20.65,33.3,9.0,7200,148375.0
2000-01-05,20.0,20.95,19.1,20.65,19.5,19.5,33.3,9.0,5500,109880.0
2000-01-06,20.0,20.7,19.0,19.5,19.0,19.25,33.3,9.0,9800,190555.0
2000-01-07,19.5,20.35,19.5,19.25,20.0,20.0,33.3,9.0,3400,67255.0
2000-01-10,19.5,19.5,18.5,20.0,19.1,19.1,33.3,9.0,2100,39650.0
2000-01-11,18.15,18.95,18.1,19.1,18.85,18.35,33.3,9.0,3200,58490.0
2000-01-12,18.75,18.8,17.65,18.35,17.95,17.95,33.3,9.0,2200,40040.0
2000-01-13,18.0,18.65,18.0,17.95,18.65,18.65,33.3,9.0,1500,27510.0
2000-01-14,18.0,18.0,17.6,18.65,17.65,17.65,33.3,9.0,500,8890.0
2000-01-17,18.5,20.4,18.3,17.65,20.4,20.4,33.3,9.0,2600,49125.0
2000-01-18,19.0,19.1,19.0,20.4,19.0,19.0,33.3,9.0,1500,28510.0
2000-01-19,19.5,19.5,19.0,19.0,19.0,19.0,33.3,9.0,800,15495.0
2000-01-20,19.45,19.5,18.0,19.0,18.0,18.25,33.3,9.0,2400,44855.0
2000-01-21,18.05,19.0,18.05,18.25,18.5,18.5,33.3,9.0,1400,26265.0
2000-01-24,18.0,18.5,17.9,18.5,17.9,17.95,33.3,9.0,2400,43440.0
2000-01-25,17.6,17.6,17.05,17.95,17.5,17.5,33.3,9.0,11200,193590.0
2000-01-27,17.55,17.55,17.0,17.5,17.0,17.0,33.3,9.0,4600,79335.0
2000-01-28,17.1,18.4,14.0,17.0,15.1,15.15,33.3,9.0,6500,103060.0
2000-01-31,16.75,17.7,15.0,15.15,16.0,16.0,33.3,9.0,3800,60020.0
2000-02-01,15.6,16.0,15.5,16.0,16.0,16.0,33.3,9.0,4700,75015.0
2000-02-02,16.5,17.0,16.0,16.0,16.2,16.2,33.3,9.0,6200,100845.0
2000-02-03,17.0,17.0,16.1,16.2,16.9,16.4,33.3,9.0,5300,87030.0
2000-02-04,16.5,16.5,16.0,16.4,16.0,16.0,33.3,9.0,2500,40080.0
2000-02-07,15.0,16.5,15.0,16.0,15.95,15.9,33.3,9.0,800,12575.0
2000-02-08,15.95,16.0,15.0,15.9,15.95,15.25,33.3,9.0,10500,164420.0
2000-02-09,16.0,16.15,15.25,15.25,16.0,15.95,33.3,9.0,12600,200310.0
2000-02-10,14.5,19.5,14.5,15.95,19.2,19.1,33.3,9.0,5900,102785.0
2000-02-11,17.65,19.4,17.0,19.1,18.3,18.3,33.3,9.0,6600,122685.0
2000-02-14,20.8,20.8,18.0,18.3,20.5,20.35,33.3,9.0,32600,641820.0
2000-02-15,20.5,21.5,19.3,20.35,20.2,20.6,33.3,9.0,26700,543540.0
2000-02-16,20.45,22.0,20.25,20.6,20.5,20.85,33.3,9.0,19100,403365.0
2000-02-17,21.9,21.9,20.0,20.85,20.0,20.0,33.3,9.0,13400,276140.0
2000-02-18,19.5,20.0,19.0,20.0,19.0,19.0,33.3,9.0,3200,61620.0
2000-02-21,19.1,19.9,18.0,19.0,18.0,18.0,33.3,9.0,7700,148620.0
2000-02-22,18.0,19.45,18.0,18.0,18.3,18.65,33.3,9.0,8600,161600.0
2000-02-23,18.9,18.9,17.8,18.65,17.9,17.9,33.3,9.0,2100,37975.0
2000-02-24,18.5,18.5,16.0,17.9,16.0,16.0,33.3,9.0,11100,181635.0
2000-02-25,16.05,17.25,15.0,16.0,17.25,17.25,33.3,9.0,11600,180710.0
2000-02-28,16.9,16.9,15.2,17.25,16.65,16.65,33.3,9.0,5700,91235.0
2000-02-29,17.0,17.5,16.1,16.65,16.1,16.25,33.3,9.0,13200,220860.0
2000-03-01,16.0,16.5,15.0,16.25,15.5,15.5,33.3,9.0,21400,324780.0
2000-03-02,14.4,16.0,14.4,15.5,15.5,15.8,33.3,9.0,16400,257895.0
2000-03-03,15.8,15.8,14.25,15.8,14.6,14.6,33.3,9.0,3500,52020.0
2000-03-06,17.8,17.8,13.65,14.6,14.0,14.0,33.3,9.0,8900,128250.0
2000-03-07,14.9,14.9,13.5,14.0,13.85,13.85,33.3,9.0,7800,110260.0
2000-03-08,13.0,14.0,13.0,13.85,13.9,13.9,33.3,9.0,5000,69470.0
2000-03-09,14.1,15.0,14.0,13.9,15.0,15.0,33.3,9.0,4600,66600.0
2000-03-10,14.0,14.5,14.0,15.0,14.4,14.3,33.3,9.0,1100,15585.0
2000-03-13,14.0,14.9,14.0,14.3,14.0,14.0,33.3,9.0,3200,45170.0
2000-03-14,13.8,14.2,13.75,14.0,13.8,13.8,33.3,9.0,7100,97985.0
2000-03-15,13.1,15.0,13.1,13.8,14.0,13.95,33.3,9.0,3100,44280.0
2000-03-16,14.0,14.25,13.3,13.95,13.3,13.3,33.3,9.0,1300,18165.0
2000-03-21,13.25,13.35,12.25,13.3,12.35,12.4,33.3,9.0,27700,359240.0
2000-03-22,12.55,12.6,12.0,12.4,12.0,12.05,33.3,9.0,9800,118945.0
2000-03-23,12.65,14.0,12.65,12.05,14.0,14.0,33.3,9.0,52300,692530.0
2000-03-24,14.0,14.5,13.4,14.0,13.4,13.6,33.3,9.0,2800,39245.0
