date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2000-01-03,120.0,123.75,119.1,121.5,123.0,123.0,312.0,98.0,2700,327275.0
2000-01-04,124.5,132.85,124.0,123.0,130.0,131.0,312.0,98.0,14100,1840950.0
2000-01-05,136.9,136.9,125.1,131.0,135.5,133.8,312.0,98.0,4200,556305.0
2000-01-06,128.2,131.6,126.5,133.8,127.0,127.3,312.0,98.0,7100,909800.0
2000-01-07,125.85,126.95,123.1,127.3,125.0,124.4,312.0,98.0,2400,299680.0
2000-01-10,122.0,123.9,122.0,124.4,122.6,122.6,312.0,98.0,600,73785.0
2000-01-11,120.0,120.75,118.1,122.6,119.15,119.15,312.0,98.0,3400,405350.0
2000-01-12,121.0,122.0,120.0,119.15,122.0,121.75,312.0,98.0,1200,144910.0
2000-01-13,119.0,122.0,119.0,121.75,120.5,120.5,312.0,98.0,2100,253240.0
2000-01-14,119.5,119.8,116.5,120.5,119.0,119.0,312.0,98.0,1500,176375.0
2000-01-17,119.0,119.75,117.0,119.0,118.0,118.0,312.0,98.0,1100,130305.0
2000-01-18,124.9,124.9,115.1,118.0,118.0,118.4,312.0,98.0,2800,329005.0
2000-01-19,120.0,124.0,116.0,118.4,123.6,123.6,312.0,98.0,2400,293440.0
2000-01-20,125.0,125.0,118.5,123.6,121.75,121.75,312.0,98.0,206300,24964415.0
2000-01-21,121.0,124.0,121.0,121.75,122.0,122.5,312.0,98.0,2700,329845.0
2000-01-24,124.7,124.9,120.25,122.5,120.25,120.6,312.0,98.0,4300,528445.0
2000-01-25,119.0,119.9,116.05,120.6,117.25,118.25,312.0,98.0,103900,12459770.0
2000-01-27,124.85,124.85,121.0,118.25,122.0,122.0,312.0,98.0,2700,329940.0
2000-01-28,119.4,122.6,119.4,122.0,122.6,122.6,312.0,98.0,200,24200.0
2000-01-31,120.9,121.0,119.0,122.6,119.0,119.0,312.0,98.0,2800,333670.0
2000-02-01,117.05,118.9,117.0,119.0,117.5,117.75,312.0,98.0,2100,247010.0
2000-02-02,120.0,120.0,118.0,117.75,119.0,118.75,312.0,98.0,700,82965.0
2000-02-03,116.0,118.9,115.0,118.75,118.6,117.7,312.0,98.0,1400,163900.0
2000-02-04,115.25,115.5,111.0,117.7,112.5,112.0,312.0,98.0,3800,434160.0
2000-02-07,107.65,109.0,104.1,112.0,104.1,105.05,312.0,98.0,2700,289280.0
2000-02-08,105.0,110.0,102.0,105.05,106.0,106.6,312.0,104.1,7900,840670.0
2000-02-09,105.0,109.0,102.25,106.6,107.0,107.0,312.0,102.0,2700,285230.0
2000-02-10,106.5,106.5,103.25,107.0,106.0,106.0,312.0,102.0,4400,462460.0
2000-02-11,105.0,110.0,105.0,106.0,108.0,108.0,312.0,102.0,1100,118120.0
2000-02-14,105.0,106.85,102.0,108.0,102.0,102.75,312.0,102.0,2000,207165.0
2000-02-15,100.1,102.0,97.0,102.75,98.0,98.75,312.0,102.0,2200,217325.0
2000-02-16,106.65,106.65,94.75,98.75,95.0,95.6,312.0,97.0,7400,714500.0
2000-02-17,103.0,103.0,93.0,95.6,95.0,95.35,312.0,94.75,7700,737950.0
2000-02-18,95.0,95.0,92.5,95.35,95.0,95.0,312.0,93.0,2800,264905.0
2000-02-21,97.25,102.6,93.8,95.0,102.6,102.6,312.0,92.5,7200,722050.0
2000-02-22,109.0,109.0,102.0,102.6,108.8,107.45,312.0,92.5,13000,1371735.0
2000-02-23,115.45,116.05,110.0,107.45,111.0,111.2,312.0,92.5,7600,862635.0
2000-02-24,112.0,114.7,109.5,111.2,110.0,110.0,312.0,92.5,3100,347465.0
2000-02-25,108.5,108.8,106.0,110.0,106.0,106.75,312.0,92.5,1400,149810.0
2000-02-28,105.25,107.0,98.55,106.75,107.0,105.85,312.0,92.5,2400,250225.0
2000-02-29,104.5,106.0,100.0,105.85,100.0,101.7,312.0,92.5,4100,424855.0
2000-03-01,108.0,109.5,108.0,101.7,109.5,109.5,312.0,92.5,2200,239650.0
2000-03-02,110.0,110.0,102.05,109.5,102.05,102.85,312.0,92.5,3200,338975.0
2000-03-03,102.0,102.0,98.0,102.85,101.25,100.0,312.0,92.5,1500,149695.0
2000-03-06,102.0,102.0,96.25,100.0,96.25,96.25,312.0,92.5,3300,328980.0
2000-03-07,93.0,95.0,91.0,96.25,91.0,91.0,312.0,92.5,3200,297140.0
2000-03-08,94.0,94.9,86.2,91.0,86.65,86.75,312.0,91.0,3400,310355.0
2000-03-09,90.0,91.9,88.0,86.75,90.0,89.95,312.0,86.2,4000,359875.0
2000-03-10,90.0,91.5,90.0,89.95,91.0,90.8,312.0,86.2,2400,216525.0
2000-03-13,91.05,91.05,86.25,90.8,86.35,86.35,312.0,86.2,1600,141130.0
2000-03-14,87.05,89.9,86.05,86.35,88.0,87.4,312.0,86.2,3800,333080.0
2000-03-15,87.0,90.0,85.0,87.4,86.5,87.65,312.0,86.05,4300,372750.0
2000-03-16,88.7,88.7,80.65,87.65,80.65,80.65,312.0,85.0,4800,401375.0
2000-03-21,81.95,81.95,74.2,80.65,74.2,74.3,312.0,80.65,6700,513605.0
2000-03-22,76.0,79.8,76.0,74.3,78.0,78.0,285.6,74.2,2900,224000.0
2000-03-23,78.0,79.0,74.4,78.0,77.1,75.35,285.6,74.2,6300,481180.0
2000-03-24,75.15,75.15,70.0,75.35,74.9,74.15,285.6,74.2,6500,468375.0
