date,open,high,low,close,volume
2024-11-14,544.95,549.0,526.0,534.45,66906
2024-11-18,557.0,561.15,541.0,561.15,109333
2024-11-19,572.45,589.2,565.55,578.65,236812
2024-11-21,574.7,589.0,551.55,562.5,134114
2024-11-22,567.55,574.1,545.65,566.9,122616
2024-11-25,582.95,595.2,572.0,592.05,178330
2024-11-26,592.55,608.7,583.0,589.9,121682
2024-11-27,593.95,599.7,580.05,591.35,99395
2024-11-28,597.95,602.95,590.05,596.75,114892
2024-11-29,598.45,626.55,580.55,620.05,246852
2024-12-02,619.9,641.5,610.55,628.6,185668
2024-12-03,633.0,640.15,620.55,633.8,149172
2024-12-04,639.8,655.6,611.1,618.3,231333
2024-12-05,610.75,624.45,601.0,607.95,130583
2024-12-06,613.95,617.5,604.0,612.6,79034
2024-12-09,610.0,673.85,610.0,654.8,484714
2024-12-10,675.0,675.0,646.4,661.35,185405
2024-12-11,665.8,669.85,638.0,642.9,136637
2024-12-12,648.2,648.2,620.0,621.5,140764
2024-12-13,622.0,630.95,605.0,609.7,131074
2024-12-16,601.0,670.65,590.0,607.75,931285
2024-12-17,610.95,621.45,595.95,605.85,198918
2024-12-18,607.0,614.95,585.0,587.55,175321
2024-12-19,555.7,592.0,555.7,577.95,161255
2024-12-20,577.5,589.9,544.85,553.2,319531
2024-12-23,558.0,566.1,549.5,553.0,83421
2024-12-24,552.95,566.0,535.1,538.25,158521
2024-12-26,542.8,554.9,537.0,540.95,121942
2024-12-27,543.9,547.0,522.35,528.75,111858
2024-12-30,534.8,572.45,525.85,536.85,254320
2024-12-31,540.0,556.15,526.35,536.65,149543
2025-01-01,540.0,553.85,532.7,541.1,83701
2025-01-02,545.0,548.8,535.1,546.3,110447
2025-01-03,549.8,559.9,540.1,540.95,122424
2025-01-06,540.15,543.95,513.35,517.25,195745
2025-01-07,519.65,530.0,506.8,517.1,128105
2025-01-08,520.0,522.0,508.0,516.1,77484
2025-01-09,495.5,516.3,481.7,489.85,422815
2025-01-10,491.8,495.15,461.95,469.35,405209
2025-01-13,465.95,465.95,427.6,441.25,628303
2025-01-14,440.0,459.9,436.65,452.1,278149
2025-01-15,460.0,471.45,434.05,439.65,313910
2025-01-16,447.0,477.75,446.85,467.15,372868
2025-01-17,467.15,483.15,458.7,472.55,216912
2025-01-20,440.0,481.95,440.0,477.05,139718
2025-01-21,482.6,486.8,451.55,456.35,133389
2025-01-22,459.0,461.85,411.95,423.9,415187
2025-01-23,422.25,442.0,407.0,426.35,247688
2025-01-24,429.6,429.6,393.05,398.65,348719
2025-01-27,394.8,394.8,358.8,358.8,574970
2025-01-28,354.5,365.5,340.9,341.25,482745
2025-01-29,345.05,358.3,344.1,358.3,83250
2025-01-30,370.0,376.2,367.35,376.2,81058
2025-01-31,395.0,395.0,393.95,395.0,88353
2025-02-01,408.4,414.75,390.0,414.75,543162
2025-02-03,413.0,435.45,395.2,398.85,605770
2025-02-04,400.95,418.75,393.2,409.6,311217
