date,open,high,low,close,volume
2024-10-03,480.0,513.5,450.0,478.79,33592188
2024-10-04,474.0,483.0,448.55,452.21,5747591
2024-10-07,445.35,451.4,402.1,422.43,4813962
2024-10-08,415.0,438.97,413.01,423.18,1924427
2024-10-09,423.0,483.52,423.0,459.13,4803522
2024-10-10,466.8,472.0,448.6,460.74,1292759
2024-10-11,465.0,495.0,456.55,487.63,4537147
2024-10-14,479.99,486.0,472.4,478.53,1315307
2024-10-15,478.53,510.0,475.53,483.7,3122554
2024-10-16,484.0,487.19,466.74,471.75,933192
2024-10-17,476.0,477.0,451.5,453.27,597455
2024-10-18,452.7,468.4,439.0,462.14,817518
2024-10-21,462.14,467.45,446.15,450.13,413276
2024-10-22,454.0,455.0,422.0,425.36,516665
2024-10-23,420.21,438.5,420.21,435.43,522421
2024-10-24,436.0,439.0,420.15,426.01,265585
2024-10-25,427.0,436.9,416.07,428.16,810397
2024-10-28,442.9,449.0,434.0,437.83,451397
2024-10-29,438.35,458.88,429.0,456.55,544344
2024-10-30,455.0,483.45,450.15,456.03,1086548
2024-10-31,458.0,463.6,447.07,451.32,500464
2024-11-01,455.5,469.8,455.05,467.85,224338
2024-11-04,466.9,467.0,448.0,450.25,636600
2024-11-05,450.2,455.0,446.0,447.95,268145
2024-11-06,455.0,537.5,451.05,537.5,4056581
2024-11-07,565.45,636.75,556.35,592.85,11280335
2024-11-08,577.05,636.0,574.05,588.05,5303979
2024-11-11,586.75,657.3,583.3,625.0,6321924
2024-11-12,632.0,652.7,605.6,609.9,1494814
2024-11-13,613.2,644.5,590.0,619.9,1678649
2024-11-14,638.0,673.0,621.0,652.2,3455186
2024-11-18,659.4,753.0,640.0,743.95,5502251
2024-11-19,743.95,798.75,728.1,737.1,4229650
2024-11-21,732.0,777.95,693.0,762.65,2869650
2024-11-22,770.25,821.95,770.25,790.5,3675294
2024-11-25,809.0,819.75,768.05,784.55,1660676
2024-11-26,789.0,791.0,711.55,742.7,1914620
2024-11-27,747.0,769.8,744.05,754.9,945429
2024-11-28,753.45,764.8,730.0,745.6,849534
2024-11-29,746.75,790.0,733.9,782.25,1604110
2024-12-02,774.6,836.25,766.0,828.35,2035008
2024-12-03,831.8,852.8,821.0,830.7,1622534
2024-12-04,826.8,848.7,806.1,823.95,861389
2024-12-05,823.5,862.55,816.1,841.4,1959997
2024-12-06,842.0,879.95,842.0,847.6,1417178
2024-12-09,849.0,860.25,837.0,842.35,551159
2024-12-10,844.9,845.3,825.35,835.35,339291
2024-12-11,834.85,844.8,828.8,834.0,277461
2024-12-12,831.95,833.9,792.2,798.0,520543
2024-12-13,776.0,795.0,770.0,783.6,456186
2024-12-16,778.0,809.9,778.0,786.85,406821
2024-12-17,788.0,794.95,762.65,768.7,399377
2024-12-18,770.5,773.0,745.25,759.55,353917
2024-12-19,735.0,753.65,710.0,739.15,368134
2024-12-20,742.7,747.0,686.65,703.45,592047
2024-12-23,708.85,732.8,704.0,710.3,453562
2024-12-24,711.0,732.0,701.75,717.55,354608
2024-12-26,715.0,722.0,698.1,704.2,245179
2024-12-27,706.35,767.0,705.5,731.75,1179314
2024-12-30,733.9,733.9,695.2,700.7,873251
2024-12-31,695.3,714.5,687.0,700.5,452741
2025-01-01,700.0,770.55,699.95,769.7,1508153
2025-01-02,784.0,804.0,770.65,792.75,1555800
2025-01-03,789.75,823.55,784.2,795.5,938229
2025-01-06,798.0,815.55,741.95,747.55,864818
2025-01-07,752.95,783.55,751.0,775.4,598382
2025-01-08,778.0,778.0,747.55,760.5,390917
2025-01-09,763.7,772.75,725.0,731.2,326407
2025-01-10,731.0,732.0,702.0,706.95,440803
2025-01-13,695.0,723.85,675.3,711.5,610312
2025-01-14,720.0,750.0,688.0,735.3,1088108
2025-01-15,737.8,757.65,721.55,728.55,407347
2025-01-16,736.0,745.0,723.85,732.25,207314
2025-01-17,732.1,777.0,714.05,753.45,947745
2025-01-20,758.9,828.75,749.8,828.75,1727455
2025-01-21,840.0,899.0,824.9,846.7,4420204
2025-01-22,862.7,868.75,792.55,831.1,1838162
2025-01-23,831.0,904.4,820.05,842.95,2129402
2025-01-24,849.0,851.0,805.65,809.6,855552
2025-01-27,809.55,809.55,729.0,737.55,1213400
2025-01-28,742.8,799.0,695.0,764.1,2509486
2025-01-29,787.0,828.8,769.5,821.6,1380199
2025-01-30,824.0,831.65,777.0,788.1,804908
2025-01-31,792.8,811.0,768.7,794.2,858050
2025-02-01,795.05,873.6,786.1,863.1,1404335
2025-02-03,875.45,939.0,856.55,916.8,3867877
2025-02-04,915.0,953.85,903.7,933.45,1668897
2025-02-05,935.45,952.0,880.25,889.05,1035618
2025-02-06,890.0,1012.0,882.0,970.25,5138374
2025-02-07,964.45,977.8,932.0,938.6,1328274
2025-02-10,933.45,933.45,857.0,882.15,1780174
2025-02-11,877.0,887.95,801.8,824.6,1698616
2025-02-12,824.0,883.9,787.45,857.75,2976996
2025-02-13,864.8,944.0,853.0,887.8,3964147
2025-02-14,894.8,896.8,818.95,840.45,2228018
2025-02-17,834.0,852.8,787.0,795.45,2432494
2025-02-18,798.0,802.8,736.0,750.6,2053209
2025-02-19,744.0,865.55,726.6,854.45,4418112
2025-02-20,837.35,892.0,825.0,862.8,3274884
2025-02-21,855.0,883.5,834.5,845.95,1964852
2025-02-24,821.0,896.8,815.5,849.25,2946560
2025-02-25,850.0,944.8,850.0,888.05,7324902
2025-02-27,896.0,928.0,870.0,914.05,3341266
2025-02-28,900.0,933.85,855.6,873.35,3308763
2025-03-03,886.0,893.45,806.6,873.65,3668014
2025-03-04,862.65,944.0,855.65,923.1,6014892
2025-03-05,940.0,1010.0,921.15,940.2,7331819
2025-03-06,939.65,958.0,905.45,934.55,3984689
2025-03-07,936.5,962.8,922.55,934.9,2382987
2025-03-10,937.7,984.8,923.5,942.2,3877880
2025-03-11,930.0,994.7,925.0,955.7,4974198
2025-03-12,972.5,982.2,946.85,952.8,2078956
2025-03-13,960.0,1006.7,921.6,929.0,5709758
2025-03-17,938.7,951.2,855.0,881.45,2927775
2025-03-18,880.8,895.0,857.55,876.05,2984494
2025-03-19,880.3,907.9,880.3,896.05,1926255
2025-03-20,909.65,927.55,890.0,896.55,1660422
2025-03-21,899.05,940.0,885.55,921.25,2248626
2025-03-24,930.1,959.9,925.15,929.7,1294199
2025-03-25,948.5,955.6,882.65,896.5,1889592
2025-03-26,896.0,898.9,869.0,881.7,1352335
2025-03-27,876.0,891.0,860.75,884.35,1104677
2025-03-28,890.15,907.95,862.1,871.7,1112363
2025-04-01,860.15,877.5,859.95,864.1,654196
2025-04-02,866.8,871.0,838.4,850.25,953046
2025-04-03,840.0,875.25,837.15,859.5,979831
2025-04-04,859.55,865.0,814.0,820.55,887800
2025-04-07,685.0,774.75,685.0,757.4,2016170
2025-04-08,795.0,799.9,772.6,795.4,1116862
2025-04-09,794.0,794.0,765.75,772.35,619974
2025-04-11,795.0,795.0,775.0,779.35,713622
2025-04-15,789.9,843.7,786.8,828.25,1507259
2025-04-16,830.35,847.0,830.0,837.5,650823
2025-04-17,835.0,851.5,828.85,835.7,526157
2025-04-21,836.05,846.6,816.95,821.4,558641
2025-04-22,823.8,835.0,811.8,820.05,537234
2025-04-23,824.5,853.15,816.0,821.45,1011291
2025-04-24,822.8,830.95,805.8,812.5,432776
2025-04-25,812.55,814.0,768.05,783.25,864046
2025-04-28,775.0,787.45,762.95,765.25,582926
2025-04-29,768.5,783.8,751.0,759.8,550349
2025-04-30,759.7,761.95,723.0,726.5,539314
2025-05-02,728.7,737.9,698.0,702.95,967942
2025-05-05,709.85,743.95,699.5,726.95,961202
2025-05-06,729.55,736.35,701.5,706.1,577918
2025-05-07,684.0,719.6,682.05,706.8,885004
2025-05-08,711.0,792.45,711.0,747.75,3522801
2025-05-09,725.5,781.05,722.0,774.65,2061519
2025-05-12,812.5,839.95,801.05,826.8,2188976
2025-05-13,824.0,827.1,800.0,802.55,873506
2025-05-14,806.55,817.8,789.0,792.2,610391
2025-05-15,793.0,820.0,784.35,807.6,878018
2025-05-16,811.0,826.2,792.3,799.9,595039
2025-05-19,799.45,807.25,786.3,789.25,381874
2025-05-20,794.0,801.55,770.0,774.0,413478
2025-05-21,773.95,786.65,757.95,771.45,516124
2025-05-22,768.4,789.8,758.85,763.05,397551
2025-05-23,765.4,767.45,757.05,758.9,280078
2025-05-26,760.0,777.95,757.2,760.55,347834
2025-05-27,760.0,767.55,757.0,758.9,219943
2025-05-28,762.0,779.3,758.0,771.95,414568
2025-05-29,776.0,777.0,753.8,756.35,305936
2025-05-30,758.0,781.0,758.0,765.65,512685
2025-06-02,771.0,774.0,753.55,759.55,320668
2025-06-03,759.9,768.25,752.5,757.05,219500
2025-06-04,758.0,761.4,749.3,754.95,195638
2025-06-05,757.0,776.55,757.0,761.25,330511
2025-06-06,763.0,764.5,750.0,753.45,183477
2025-06-09,759.0,772.55,745.0,753.8,378271
2025-06-10,761.7,777.0,755.0,771.35,367035
2025-06-11,777.0,780.95,762.85,768.0,455058
2025-06-12,768.7,773.8,740.1,746.5,302994
2025-06-13,733.65,734.0,718.3,719.85,426149
