date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2022-07-27,34.05,34.05,34.05,32.45,34.05,34.05,34.05,34.05,2,68.1
2022-07-28,35.75,35.75,32.35,34.05,35.75,35.75,35.75,32.35,39811,1417861.05
2022-07-29,37.5,37.5,37.5,35.75,37.5,37.5,37.5,32.35,433,16237.5
2022-08-01,39.35,39.35,39.35,37.5,39.35,39.35,39.35,32.35,8527,335537.45
2022-08-02,41.3,41.3,41.3,39.35,41.3,41.3,41.3,32.35,26297,1086066.1
2022-08-03,43.35,43.35,39.25,41.3,41.0,41.15,43.35,32.35,266523,11338520.45
2022-08-04,39.55,43.2,39.1,41.15,43.2,42.35,43.35,32.35,676018,28989878.3
2022-08-05,44.3,44.45,41.05,42.35,44.45,44.45,44.45,32.35,242760,10761921.1
2022-08-08,46.65,46.65,45.4,44.45,46.65,46.65,46.65,32.35,14001,652295.95
2022-08-10,48.85,48.95,48.3,46.65,48.95,48.95,48.95,32.35,23673,1157914.55
2022-08-11,51.35,51.35,51.35,48.95,51.35,51.35,51.35,32.35,197436,10138338.6
2022-08-12,53.9,53.9,52.4,51.35,53.9,53.9,53.9,32.35,20779,1119656.75
2022-08-16,56.55,56.55,56.55,53.9,56.55,56.55,56.55,32.35,17291,977806.05
2022-08-17,59.35,59.35,57.15,56.55,59.35,59.35,59.35,32.35,62307,3691084.45
2022-08-18,62.3,62.3,62.3,59.35,62.3,62.3,62.3,32.35,26957,1679421.1
2022-08-19,65.4,65.4,59.2,62.3,65.0,64.85,65.4,32.35,229809,14865837.05
2022-08-22,67.0,68.05,62.1,64.85,68.05,68.05,68.05,32.35,543314,36931658.35
2022-08-23,70.0,71.45,70.0,68.05,70.0,70.2,71.45,32.35,476600,33690372.1
2022-08-24,70.0,73.7,66.7,70.2,72.3,70.4,73.7,32.35,195192,13881538.45
2022-12-06,41.9,42.0,41.9,40.0,42.0,42.0,73.7,32.35,2590706,108744703.65
2022-12-07,44.0,44.1,40.0,42.0,41.5,42.5,73.7,32.35,6633519,286839674.5
2022-12-08,41.1,42.0,40.4,42.5,40.4,40.4,73.7,32.35,456651,18722969.85
2022-12-09,38.4,38.4,38.4,40.4,38.4,38.4,73.7,32.35,128530,4935552.0
2022-12-12,36.5,39.7,36.5,38.4,36.5,36.5,73.7,32.35,962238,35818976.15
2022-12-13,34.7,34.7,34.7,36.5,34.7,34.7,73.7,32.35,125666,4360610.2
2022-12-14,33.75,36.3,33.0,34.7,36.2,36.0,73.7,32.35,1779390,60922118.55
2022-12-15,35.0,36.9,34.2,36.0,34.2,34.5,73.7,32.35,706966,25068870.4
2022-12-16,33.3,33.85,32.8,34.5,32.8,32.8,73.7,32.35,229664,7564276.65
2022-12-19,31.25,32.15,31.2,32.8,31.2,31.2,73.7,31.2,128736,4017992.65
2022-12-20,29.65,29.65,29.65,31.2,29.65,29.65,73.7,29.65,69887,2072149.55
2022-12-21,28.2,28.8,28.2,29.65,28.2,28.2,73.7,28.2,180019,5080104.35
2022-12-22,26.85,28.7,26.8,28.2,26.8,26.8,73.7,26.8,309508,8431790.8
2022-12-23,25.5,25.5,25.5,26.8,25.5,25.5,73.7,25.5,30287,772318.5
2022-12-26,24.25,25.4,24.25,25.5,24.25,24.6,73.7,24.25,335867,8200222.85
2022-12-27,23.8,25.8,23.4,24.6,25.8,25.8,73.7,23.4,1713325,43163797.35
2022-12-28,25.25,27.05,25.05,25.8,27.05,27.05,73.7,23.4,1999944,53448581.25
2022-12-29,28.05,28.4,27.15,27.05,28.4,28.4,73.7,23.4,1247442,35063449.05
2022-12-30,28.95,29.8,27.0,28.4,27.0,28.35,73.7,23.4,2440483,71057129.1
2023-01-02,26.95,28.25,26.95,28.35,26.95,26.95,73.7,23.4,586314,15883597.9
2023-01-03,25.65,25.65,25.65,26.95,25.65,25.65,73.7,23.4,175443,4500112.95
2023-01-04,25.1,26.9,24.8,25.65,26.9,26.9,73.7,23.4,1734567,45919869.1
2023-01-05,28.1,28.2,26.25,26.9,27.6,27.55,73.7,23.4,1912981,53613971.75
2023-01-06,27.6,28.9,27.15,27.55,28.9,28.9,73.7,23.4,1332191,37533834.0
2023-01-09,29.25,30.3,28.6,28.9,30.3,30.3,73.7,23.4,867700,26069472.5
2023-01-10,31.5,31.8,30.6,30.3,31.8,31.8,73.7,23.4,687125,21803777.5
2023-01-11,33.2,33.35,32.8,31.8,33.35,33.35,73.7,23.4,306665,10206985.35
2023-01-12,34.05,35.0,34.05,33.35,35.0,35.0,73.7,23.4,302596,10566905.15
2023-01-13,36.75,36.75,33.65,35.0,36.75,36.75,73.7,23.4,1483885,53739746.5
2023-01-16,38.0,38.55,37.0,36.75,38.55,38.55,73.7,23.4,736794,28345712.95
2023-01-17,40.0,40.45,39.35,38.55,40.45,40.45,73.7,23.4,753844,30418877.15
2023-01-18,41.3,42.45,38.6,40.45,41.9,42.0,73.7,23.4,7359250,302788779.75
2023-01-19,42.0,42.65,39.9,42.0,39.9,39.9,73.7,23.4,2207833,88982990.55
2023-01-20,37.9,38.7,37.9,39.9,37.9,37.9,73.7,23.4,151981,5761730.9
2023-01-23,36.0,36.0,36.0,37.9,36.0,36.0,73.7,23.4,65290,2350440.0
2023-01-24,34.2,34.2,34.2,36.0,34.2,34.2,73.7,23.4,18282,625244.4
2023-01-25,32.5,33.55,32.5,34.2,32.5,32.5,73.7,23.4,728340,23768832.3
2023-02-28,22.0,22.0,22.0,23.15,22.0,22.0,73.7,22.0,90364,1988008.0
2023-03-01,20.9,20.9,20.9,22.0,20.9,20.9,73.7,20.9,127176,2657978.4
2023-03-02,19.85,21.9,19.85,20.9,21.9,21.85,73.7,19.85,1126188,23758596.2
2023-03-03,22.75,22.9,22.05,21.85,22.9,22.65,73.7,19.85,620582,14129765.8
2023-03-06,23.05,23.45,21.55,22.65,21.55,21.6,73.7,19.85,709930,15585971.05
2023-03-08,21.8,21.95,20.7,21.6,21.6,21.45,73.7,19.85,222411,4721753.3
2023-03-09,21.05,22.2,20.4,21.45,20.4,20.4,73.7,19.85,497336,10362852.35
2023-03-10,19.6,21.4,19.6,20.4,21.4,21.4,73.7,19.6,1032574,21885508.0
2023-03-13,22.35,22.45,22.3,21.4,22.45,22.45,73.7,19.6,706538,15843533.0
2023-03-14,23.35,23.55,23.35,22.45,23.55,23.55,73.7,19.6,1114939,26218465.75
2023-03-15,24.55,24.7,24.55,23.55,24.65,24.7,73.7,19.6,1123167,27705086.75
2023-03-16,25.8,25.9,25.75,24.7,25.9,25.9,73.7,19.6,1618887,41884135.65
2023-03-17,24.6,24.6,24.6,25.9,24.6,24.6,73.7,19.6,89211,2194590.6
2023-03-20,23.4,23.4,23.4,24.6,23.4,23.4,73.7,19.6,16908,395647.2
