date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2016-12-19,489.9,498.0,475.0,428.0,480.0,480.4,498.0,475.0,17548335,8456851479.65
2016-12-20,482.8,489.45,465.7,480.4,474.55,473.7,498.0,465.7,2555044,1217328243.55
2016-12-21,474.0,480.0,470.0,473.7,474.1,473.4,498.0,465.7,924077,438039117.45
2016-12-22,472.0,477.9,470.0,473.4,474.0,474.55,498.0,465.7,1126022,532834742.6
2016-12-23,474.95,478.0,471.1,474.55,476.0,475.65,498.0,465.7,418933,198639372.95
2016-12-26,475.0,477.0,452.2,475.65,455.0,455.2,498.0,452.2,447513,205409477.2
2016-12-27,457.5,491.4,453.3,455.2,481.1,481.25,498.0,452.2,1592573,764035103.65
2016-12-28,483.0,490.0,474.3,481.25,488.4,486.25,498.0,452.2,863731,418951943.5
2016-12-29,488.8,498.9,476.7,486.25,481.0,480.25,498.9,452.2,374148,182896633.5
2016-12-30,483.75,484.5,479.0,480.25,480.05,480.85,498.9,452.2,162852,78395047.0
2017-01-02,482.0,487.9,475.95,480.85,486.05,486.4,498.9,452.2,180715,87369727.2
2017-01-03,486.0,488.0,475.55,486.4,476.0,476.35,498.9,452.2,112271,53953652.7
2017-01-04,479.9,483.75,473.8,476.35,475.0,475.5,498.9,452.2,98207,46943708.8
2017-01-05,478.85,482.9,475.5,475.5,477.0,476.35,498.9,452.2,91011,43503362.85
2017-01-06,478.9,479.9,471.55,476.35,473.5,472.75,498.9,452.2,68114,32342957.25
2017-01-09,477.95,480.0,462.8,472.75,477.0,475.3,498.9,452.2,189603,89826987.1
2017-01-10,475.35,477.0,468.5,475.3,473.2,473.1,498.9,452.2,74058,35010510.7
2017-01-11,474.0,478.0,473.05,473.1,476.0,475.05,498.9,452.2,75403,35820485.05
2017-01-12,472.0,480.55,469.65,475.05,475.5,475.25,498.9,452.2,87298,41510642.1
2017-01-13,475.0,499.7,473.25,475.25,491.7,494.6,499.7,452.2,530944,259736299.1
2017-01-16,496.0,498.8,484.0,494.6,484.65,485.25,499.7,452.2,563681,275826782.0
2017-01-17,485.9,489.5,475.0,485.25,476.9,476.95,499.7,452.2,460810,221382628.15
2017-01-18,478.95,485.0,477.0,476.95,478.0,478.1,499.7,452.2,63404,30386957.75
2017-01-19,478.65,485.0,478.65,478.1,481.9,480.85,499.7,452.2,69362,33395435.2
2017-01-20,480.0,482.0,475.5,480.85,478.7,478.8,499.7,452.2,116019,55587042.05
2017-01-23,479.0,481.7,475.35,478.8,478.0,477.45,499.7,452.2,147543,70582017.65
2017-01-24,478.0,481.0,474.4,477.45,480.0,477.5,499.7,452.2,294418,140757279.25
2017-01-25,479.65,480.0,476.0,477.5,477.1,477.6,499.7,452.2,159465,76276006.55
