date,open,high,low,close,volume
2024-07-09,1001.01,1001.01,1000.0,1000.11,6340
2024-07-10,1001.31,1001.33,1001.31,1001.31,5933
2024-07-11,1001.49,1001.51,1000.0,1001.5,8493
2024-07-12,1001.66,1001.67,1001.6,1001.66,10309
2024-07-15,1002.18,1002.18,1002.16,1002.17,1600
2024-07-16,1002.36,1002.38,1002.36,1002.36,4964
2024-07-18,1002.7,1002.72,1002.7,1002.72,1009
2024-07-19,1002.87,1002.89,1002.87,1002.87,1031
2024-07-22,1003.38,1003.4,1003.38,1003.39,5846
2024-07-23,1003.57,1003.61,1003.57,1003.58,18083
2024-07-24,1003.75,1003.77,1003.75,1003.76,11445
2024-07-25,1003.92,1003.94,1003.92,1003.93,936
2024-07-26,1004.11,1004.11,1004.09,1004.1,8038
2024-07-29,1004.6,1004.61,1004.6,1004.6,196
2024-07-30,1004.77,1004.78,1004.76,1004.77,1143
2024-07-31,1004.93,1004.95,1004.93,1004.93,11093
2024-08-01,1005.1,1005.12,1005.1,1005.1,2468
2024-08-02,1005.27,1005.29,1005.27,1005.27,217
2024-08-05,1005.75,1005.77,1005.75,1005.75,1192
2024-08-06,1005.92,1005.94,1005.92,1005.93,1155
2024-08-07,1006.09,1006.11,1006.09,1006.09,41
2024-08-08,1006.26,1006.28,1006.26,1006.26,4817
2024-08-09,1006.44,1006.45,1000.0,1006.44,240
2024-08-12,1006.92,1006.92,1006.92,1006.92,19
2024-08-13,1007.0,1007.1,1007.0,1007.08,603
2024-08-14,1007.26,1007.27,1007.25,1007.27,15458
2024-08-16,1007.0,1007.6,1007.0,1007.6,4225
2024-08-19,1008.08,1008.1,1008.08,1008.08,10988
2024-08-20,1008.26,1008.26,1008.24,1008.25,6
2024-08-21,1008.41,1008.43,1008.41,1008.42,463
2024-08-22,1008.58,1008.6,1008.58,1008.6,3653
2024-08-23,1008.74,1008.76,1008.74,1008.75,4678
2024-08-26,1009.24,1009.25,1009.24,1009.25,2362
2024-08-27,1009.39,1009.4,1009.39,1009.39,984
