date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2020-02-14,154.8,159.9,145.1,152.4,147.5,146.95,159.9,145.1,43230,6581567.2
2020-02-17,149.45,152.0,136.5,146.95,139.15,139.55,159.9,136.5,39556,5622708.9
2020-02-18,139.15,139.85,134.4,139.55,136.75,137.1,159.9,134.4,22063,3010298.9
2020-02-19,139.7,147.0,138.15,137.1,143.0,142.55,159.9,134.4,26735,3805839.95
2020-02-19,139.7,147.0,138.15,137.1,143.0,142.55,159.9,134.4,26735,3805839.95
2020-02-19,139.7,147.0,138.15,137.1,143.0,142.55,159.9,134.4,26735,3805839.95
2020-02-20,142.0,149.8,142.0,142.55,142.25,142.7,159.9,134.4,27458,3996467.7
2020-02-24,141.7,141.75,136.55,142.7,137.1,137.45,159.9,134.4,22992,3195502.4
2020-02-25,140.25,143.35,136.55,137.45,137.0,137.1,159.9,134.4,28918,4022599.35
2020-02-26,135.15,137.8,133.25,137.1,134.7,134.35,159.9,133.25,13003,1758275.65
2020-02-27,136.95,136.95,128.0,134.35,133.7,133.3,159.9,128.0,30754,4019816.75
2020-02-28,128.0,130.0,123.5,133.3,124.0,124.55,159.9,123.5,41920,5272978.5
2020-03-02,131.95,131.95,118.45,124.55,122.0,120.55,159.9,118.45,42189,5273798.05
2020-03-03,125.0,125.0,111.55,120.55,118.0,116.6,159.9,111.55,64667,7533123.8
2020-03-03,125.0,125.0,111.55,120.55,118.0,116.6,159.9,111.55,64667,7533123.8
2020-03-03,125.0,125.0,111.55,120.55,118.0,116.6,159.9,111.55,64667,7533123.8
2020-03-03,125.0,125.0,111.55,120.55,118.0,116.6,159.9,111.55,64667,7533123.8
2020-03-03,125.0,125.0,111.55,120.55,118.0,116.6,159.9,111.55,64667,7533123.8
2020-03-04,117.05,117.05,107.1,116.6,109.4,110.35,159.9,107.1,45253,5036679.95
2020-03-04,117.05,117.05,107.1,116.6,109.4,110.35,159.9,107.1,45253,5036679.95
2020-03-04,117.05,117.05,107.1,116.6,109.4,110.35,159.9,107.1,45253,5036679.95
2020-03-04,117.05,117.05,107.1,116.6,109.4,110.35,159.9,107.1,45253,5036679.95
2020-03-05,108.0,117.25,108.0,110.35,114.0,112.75,159.9,107.1,46636,5333600.45
2020-03-06,108.0,110.0,103.15,112.75,106.0,106.7,159.9,103.15,52824,5650180.95
2020-03-09,103.1,105.8,88.8,106.7,90.9,90.95,159.9,88.8,147573,13830098.75
2020-03-11,92.35,99.6,90.25,90.95,99.0,98.8,159.9,88.8,54591,5232234.0
2020-03-12,92.0,93.8,88.05,98.8,92.35,91.35,159.9,88.05,86985,7945313.2
2020-03-13,90.5,100.0,75.15,91.35,96.7,95.95,159.9,75.15,72667,6930737.65
2020-03-16,90.0,96.5,90.0,95.95,92.5,92.8,159.9,75.15,63118,5887774.75
2020-03-17,94.05,102.4,92.5,92.8,92.5,93.75,159.9,75.15,21337,2030032.3
2020-03-18,93.75,98.0,85.95,93.75,91.0,88.95,159.9,75.15,61983,5491901.35
2020-03-19,85.0,92.0,81.1,88.95,88.0,88.2,159.9,75.15,28191,2454489.0
2020-03-20,90.05,93.4,87.8,88.2,92.95,91.9,159.9,75.15,28530,2623992.5
2020-03-23,75.5,87.3,75.5,91.9,83.0,79.5,159.9,75.15,21256,1730468.3
2020-03-24,81.0,88.5,77.55,79.5,79.5,79.7,159.9,75.15,11744,940464.25
2020-03-25,79.5,87.0,75.0,79.7,80.75,82.3,159.9,75.0,38309,3137647.55
2020-03-26,80.55,90.0,70.8,82.3,82.7,82.8,159.9,70.8,65314,5511162.6
2020-03-27,84.0,87.65,76.2,82.8,76.6,76.95,159.9,70.8,47603,3794444.4
2020-03-30,77.0,82.9,73.95,76.95,75.0,74.25,159.9,70.8,31503,2403943.55
2020-03-31,81.6,81.6,73.5,74.25,74.5,74.35,159.9,70.8,66231,4991727.25
2020-04-01,75.25,78.7,75.0,74.35,77.95,76.2,159.9,70.8,28454,2190188.15
2020-04-03,78.9,78.95,76.2,76.2,77.5,77.35,159.9,70.8,44251,3434798.9
2020-04-07,80.1,90.2,79.05,77.35,88.0,88.25,159.9,70.8,82363,7086573.75
2020-04-08,88.0,91.0,84.7,88.25,87.0,86.5,159.9,70.8,51161,4438975.25
2020-04-09,88.25,91.15,87.4,86.5,90.0,89.6,159.9,70.8,24184,2161867.0
2020-04-13,89.6,90.0,87.5,89.6,87.8,88.2,159.9,70.8,23402,2077000.65
2020-04-15,97.0,103.0,91.05,88.2,96.5,96.25,159.9,70.8,99394,9684416.65
2020-04-16,97.0,112.0,93.5,96.25,105.5,103.5,159.9,70.8,400643,42588844.4
2020-04-17,108.3,109.5,103.65,103.5,106.75,105.55,159.9,70.8,41363,4384362.25
2020-04-20,107.95,108.45,97.6,105.55,99.0,100.2,159.9,70.8,35383,3654521.7
2020-04-21,99.7,107.0,94.5,100.2,96.05,95.65,159.9,70.8,56863,5549106.7
2020-04-22,95.0,103.3,95.0,95.65,100.65,102.2,159.9,70.8,48586,4854089.5
2020-04-23,103.95,106.0,99.05,102.2,99.1,99.85,159.9,70.8,55236,5675836.65
2020-04-24,101.0,101.0,96.0,99.85,98.0,96.95,159.9,70.8,37235,3659604.5
2020-04-27,103.0,105.6,98.6,96.95,99.9,99.65,159.9,70.8,68742,6981488.95
2020-04-28,101.35,101.5,97.5,99.65,99.0,99.05,159.9,70.8,15623,1551572.2
2020-04-29,101.0,101.0,95.1,99.05,96.0,96.3,159.9,70.8,30637,2983159.45
2020-04-30,99.8,105.3,97.05,96.3,102.0,101.4,159.9,70.8,114474,11780538.15
2020-05-04,101.0,101.0,96.8,101.4,101.0,99.45,159.9,70.8,70137,6944671.2
2020-05-05,102.9,104.7,98.0,99.45,103.0,101.85,159.9,70.8,359827,36923944.9
2020-05-06,105.0,105.0,98.15,101.85,100.0,100.4,159.9,70.8,27095,2706456.55
2020-05-07,100.55,101.55,97.7,100.4,98.1,98.55,159.9,70.8,34465,3389086.35
2020-05-08,99.65,101.0,96.55,98.55,96.65,97.3,159.9,70.8,20547,2030015.2
2020-05-11,97.05,101.4,97.05,97.3,101.0,100.0,159.9,70.8,19345,1917186.2
