date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2007-10-22,30.1,32.45,30.1,33.5,31.0,31.05,32.45,30.1,374380,11801291.8
2007-10-23,32.0,33.5,31.4,31.05,31.7,31.75,33.5,30.1,781509,25109457.0
2007-10-24,33.0,34.9,32.9,31.75,34.5,34.0,34.9,30.1,497939,16954648.8
2007-10-25,34.0,34.5,33.55,34.0,33.9,33.8,34.9,30.1,236314,8053067.2
2007-10-26,32.55,37.9,32.55,33.8,37.3,37.0,37.9,30.1,638818,23063837.9
2007-10-29,38.7,43.5,38.0,37.0,41.0,41.1,43.5,30.1,1273340,51895038.35
2007-10-30,42.75,44.4,41.2,41.1,42.65,42.65,44.4,30.1,1332157,57122111.3
2007-10-31,42.9,44.2,40.75,42.65,41.5,41.35,44.4,30.1,528918,22646542.25
2007-11-01,42.5,42.9,35.9,41.35,39.45,39.2,44.4,30.1,983469,39300861.2
2007-11-02,36.0,41.4,36.0,39.2,41.0,40.95,44.4,30.1,655047,26281711.1
2007-11-05,41.3,43.25,40.55,40.95,41.55,41.75,44.4,30.1,607069,25373313.35
2007-11-06,41.95,43.5,39.8,41.75,40.4,40.2,44.4,30.1,514198,21573840.35
2007-11-07,40.1,40.85,36.35,40.2,38.25,38.35,44.4,30.1,250072,9687011.7
2007-11-08,37.0,38.75,34.2,38.35,37.5,37.35,44.4,30.1,182580,6841676.35
2007-11-09,38.5,39.45,37.9,37.35,38.0,38.45,44.4,30.1,37568,1453832.65
2007-11-12,37.8,38.0,36.5,38.45,37.0,37.25,44.4,30.1,124655,4668357.2
2007-11-13,38.9,39.5,36.9,37.25,37.8,37.9,44.4,30.1,328530,12699293.4
2007-11-14,39.6,43.4,38.5,37.9,41.3,41.55,44.4,30.1,1560986,64926026.3
2007-11-15,41.95,49.9,41.95,41.55,49.9,49.0,49.9,30.1,4162057,192833591.7
2007-11-16,51.0,56.0,49.5,49.0,52.35,51.85,56.0,30.1,4101280,217152083.85
2007-11-19,53.0,54.5,48.2,51.85,49.0,49.25,56.0,30.1,1430711,72976758.05
2007-11-20,49.0,51.35,47.2,49.25,48.3,48.2,56.0,30.1,1258773,62630745.8
2007-11-21,48.9,49.25,42.35,48.2,43.45,43.35,56.0,30.1,553378,25350817.15
2007-11-22,43.0,44.5,38.1,43.35,41.1,40.55,56.0,30.1,999073,40609452.75
2007-11-23,42.0,43.2,40.0,40.55,40.6,40.9,56.0,30.1,539413,22483324.2
2007-11-26,42.65,43.0,41.45,40.9,41.8,41.8,56.0,30.1,305445,12875298.95
2007-11-27,41.45,43.8,40.1,41.8,42.85,42.45,56.0,30.1,404563,17218753.25
2007-11-28,43.0,46.3,42.0,42.45,42.8,43.1,56.0,30.1,801761,35578405.55
2007-11-29,46.2,47.0,41.55,43.1,42.0,42.05,56.0,30.1,306823,13234658.0
2007-11-30,42.95,43.6,41.05,42.05,41.55,41.75,56.0,30.1,405711,17223911.35
2008-02-29,32.5,32.9,30.3,31.85,30.3,30.3,56.0,26.7,230789,7309298.8
2008-03-03,28.8,28.95,28.8,30.3,28.8,28.8,56.0,26.7,43785,1261233.0
