date,open,high,low,close,volume
2010-03-11,318.0,375.0,318.0,349.85,20461610
2010-03-12,350.0,352.0,325.55,331.3,5864589
2010-03-15,326.0,351.5,322.75,346.5,4899708
2010-03-16,350.0,351.1,339.25,345.8,1847828
2010-03-17,347.3,378.8,343.6,371.35,4056441
2010-03-18,369.8,379.8,358.05,361.65,3397908
2010-03-19,360.5,376.75,360.0,368.85,1841795
2010-03-22,360.25,409.0,359.1,397.1,7521232
2010-03-23,350.0,404.4,350.0,384.3,3990065
2010-03-25,385.0,395.85,382.2,386.75,1750115
2010-03-26,389.0,394.95,377.25,384.15,1158328
2010-03-29,385.0,387.8,364.5,367.9,725484
2010-03-30,368.0,376.9,359.05,362.3,624617
2010-03-31,351.0,367.8,345.0,358.75,474362
2010-04-01,365.05,383.7,359.2,380.45,1351671
2010-04-05,384.0,386.7,370.2,372.05,963086
2010-04-06,374.5,399.4,370.1,388.25,2221274
2010-04-07,388.0,394.0,378.3,384.45,740917
2010-04-08,383.9,388.5,366.0,371.35,638172
2010-04-09,374.95,379.5,365.5,375.95,516318
2010-04-12,378.95,380.9,370.0,375.3,503602
2010-04-13,377.0,384.2,371.1,374.1,434369
2010-04-15,376.05,382.3,364.4,367.75,452426
2010-04-16,366.0,369.9,360.1,362.8,215317
2010-04-19,358.8,360.45,348.15,350.25,212317
2010-04-20,352.6,368.0,350.5,352.7,616392
2010-04-21,355.0,359.7,350.35,353.95,274284
2010-04-22,354.9,362.0,351.5,353.15,266548
2010-04-23,355.75,357.0,345.0,350.9,191446
2010-04-26,353.9,355.4,349.55,352.4,127652
2010-04-27,352.0,353.45,342.65,344.55,120907
2010-04-28,340.0,354.8,336.0,343.75,514437
2010-04-29,347.5,352.5,339.45,344.45,189639
2010-04-30,346.0,351.2,342.05,343.3,120734
2010-05-03,341.7,344.4,334.0,337.35,216301
2010-05-04,339.0,353.4,336.2,341.15,375705
2010-05-05,338.0,340.65,326.4,328.8,221448
2010-05-06,328.95,334.9,326.1,330.85,135912
2010-05-07,325.0,326.3,317.05,319.65,107710
2010-05-10,326.5,332.0,322.15,325.2,108330
2010-05-11,328.75,330.0,318.0,319.6,73231
2010-05-12,320.6,329.8,316.75,317.45,131074
2010-05-13,321.0,328.35,320.0,321.4,218392
2010-05-14,320.1,324.9,311.0,316.0,80209
2010-05-17,311.2,322.0,306.0,317.95,82455
2010-05-18,319.1,327.4,316.05,317.65,82274
2010-05-19,316.0,327.8,314.25,315.5,89600
2010-05-20,317.5,323.0,308.0,310.0,47014
2010-05-21,300.0,306.5,294.05,303.7,56319
2010-05-24,306.0,321.8,304.25,305.7,41821
2010-05-25,297.0,311.9,297.0,302.75,93438
2010-05-26,300.6,310.8,300.0,302.9,64516
2010-05-27,304.0,308.0,300.05,304.75,35046
2010-05-28,306.3,310.0,297.0,299.3,40110
2010-05-31,301.9,304.2,295.25,297.55,27284
2010-06-01,297.7,319.7,297.7,306.25,233655
2010-06-02,308.0,310.8,301.05,305.8,82198
2010-06-03,310.4,313.0,303.0,305.8,36314
2010-06-04,305.0,334.0,304.05,319.65,368109
2010-06-07,306.0,318.4,303.0,310.8,56267
2010-06-08,311.3,317.5,310.0,310.2,48674
2010-06-09,308.0,318.75,308.0,310.75,68723
2010-06-10,311.0,319.35,311.0,315.75,67308
2010-06-11,317.9,325.0,316.05,322.0,104881
2010-06-14,327.0,328.9,321.0,322.6,27898
2010-06-15,325.5,329.9,322.15,325.95,47886
2010-06-16,325.1,329.8,320.0,321.15,22526
2010-06-17,323.7,326.0,317.05,320.0,17730
2010-06-18,321.4,325.0,311.25,314.1,32016
2010-06-21,317.0,324.9,315.25,316.45,24386
2010-06-22,319.5,320.0,310.0,311.1,28695
2010-06-23,314.0,327.0,310.1,315.05,111301
2010-06-24,317.0,320.0,310.0,310.5,29706
2010-06-25,311.0,316.4,305.5,308.35,26135
2010-06-28,311.8,314.8,310.6,311.65,28210
2010-06-29,311.0,314.0,308.15,310.95,23599
2010-06-30,306.5,311.0,299.0,308.8,14969
2010-07-01,308.5,309.0,299.2,300.55,30745
2010-07-02,303.4,307.0,297.9,298.85,26938
2010-07-05,300.5,304.7,297.5,299.45,33886
2010-07-06,299.25,302.7,297.0,299.3,42337
2010-07-07,301.5,315.0,298.5,304.6,112787
2010-07-08,308.9,309.8,302.1,303.4,39505
2010-07-09,306.0,307.8,304.0,306.1,28751
2010-07-12,306.0,309.5,300.6,302.25,20143
2010-07-13,302.25,312.7,299.0,303.05,47659
2010-07-14,307.05,312.0,299.5,302.35,67706
2010-07-15,304.5,308.5,301.0,306.55,23688
2010-07-16,307.05,307.05,299.05,300.05,26186
2010-07-19,299.25,308.0,298.6,299.6,69558
2010-07-20,290.0,306.45,290.0,297.1,75031
