date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2016-09-29,273.9,278.0,216.05,263.65,239.0,232.95,278.0,216.05,15284,3848700.6
2016-09-30,247.55,255.0,230.0,232.95,255.0,249.0,278.0,216.05,2668,649741.35
2016-10-03,238.0,264.4,238.0,249.0,255.0,257.9,278.0,216.05,1512,388035.85
2016-10-04,250.0,261.0,250.0,257.9,260.0,260.0,278.0,216.05,29,7531.0
2016-10-05,254.0,254.0,251.0,260.0,253.0,253.0,278.0,216.05,768,193654.5
2016-10-06,253.0,259.0,248.0,253.0,258.0,248.8,278.0,216.05,1305,328381.5
2016-10-07,268.0,268.0,241.0,248.8,253.0,246.75,278.0,216.05,11347,2806784.6
2016-10-10,246.0,250.0,242.25,246.75,242.25,242.3,278.0,216.05,763,187097.75
2016-10-13,242.3,258.9,234.0,242.3,251.65,240.25,278.0,216.05,571,136245.8
2016-10-14,240.0,259.5,240.0,240.25,248.9,248.9,278.0,216.05,556,139292.25
2016-10-17,248.75,254.0,237.0,248.9,240.5,241.9,278.0,216.05,1641,398746.45
2016-10-18,240.0,249.0,240.0,241.9,245.0,241.3,278.0,216.05,1178,289101.8
2016-10-19,243.6,250.0,243.55,241.3,249.95,245.2,278.0,216.05,1752,430055.1
2016-10-20,245.0,248.5,239.3,245.2,239.3,239.3,278.0,216.05,432,105822.5
2016-10-21,239.25,259.0,239.25,239.3,250.0,249.6,278.0,216.05,1484,369610.0
2016-10-24,249.5,284.5,249.5,249.6,276.9,275.0,284.5,216.05,22148,5985006.7
2016-10-25,299.45,299.5,270.0,275.0,279.95,274.75,299.5,216.05,22483,6237412.8
2016-10-26,274.5,274.5,255.5,274.75,270.0,263.1,299.5,216.05,11762,3114503.8
2016-10-27,253.05,270.0,247.5,263.1,257.7,256.55,299.5,216.05,12098,3084053.95
2016-10-28,256.5,263.9,249.95,256.55,263.7,251.05,299.5,216.05,16183,4059773.65
2016-10-30,275.0,275.0,255.5,251.05,255.5,263.6,299.5,216.05,697,184269.85
2016-11-01,269.5,272.4,254.1,263.6,269.5,259.15,299.5,216.05,1288,338341.5
2016-11-02,252.65,275.0,252.0,259.15,271.4,268.85,299.5,216.05,14532,3920875.8
2016-11-03,266.0,270.0,256.3,268.85,259.6,257.65,299.5,216.05,12004,3140814.15
2016-11-04,259.0,259.0,241.5,257.65,241.5,247.25,299.5,216.05,1691,422083.55
2016-11-07,251.15,263.95,250.8,247.25,259.85,255.3,299.5,216.05,702,178184.8
2016-11-08,255.0,258.0,251.2,255.3,257.6,254.85,299.5,216.05,3713,940349.15
2016-11-09,239.9,247.9,208.0,254.85,242.0,240.45,299.5,208.0,4131,968807.2
2016-11-10,258.95,258.95,244.45,240.45,250.0,249.7,299.5,208.0,90,22512.7
2016-11-11,237.0,237.0,223.2,249.7,224.1,225.85,299.5,208.0,1625,370095.5
2016-11-15,227.0,227.0,185.2,225.85,213.0,209.8,299.5,185.2,2644,551204.75
2016-11-16,210.0,219.0,187.0,209.8,200.0,203.85,299.5,185.2,2464,497109.6
2016-11-17,210.0,210.0,193.5,203.85,193.5,193.5,299.5,185.2,8721,1716350.65
2016-11-18,201.8,219.0,189.95,193.5,216.7,210.0,299.5,185.2,3249,653188.8
2016-11-21,211.0,216.7,209.0,210.0,215.0,215.0,299.5,185.2,2544,543627.1
2016-11-22,208.1,215.0,200.95,215.0,215.0,212.4,299.5,185.2,770,158910.0
2016-11-23,225.4,225.4,220.0,212.4,220.0,220.0,299.5,185.2,91,20296.8
2016-11-24,196.1,219.8,196.1,220.0,217.0,214.3,299.5,185.2,167,35145.3
2016-11-25,213.0,219.0,212.1,214.3,216.0,214.7,299.5,185.2,216,46720.95
2016-11-28,210.0,225.0,210.0,214.7,225.0,225.0,299.5,185.2,485,106617.5
2016-11-29,228.0,228.0,220.25,225.0,225.0,225.0,299.5,185.2,954,212612.8
2016-11-30,222.0,236.75,220.2,225.0,229.95,220.5,299.5,185.2,142,31465.0
2016-12-01,216.1,228.75,214.95,220.5,228.75,215.3,299.5,185.2,1092,237851.7
2016-12-02,219.75,219.85,219.75,215.3,219.85,219.85,299.5,185.2,26,5714.8
2016-12-05,229.5,229.5,216.0,219.85,225.0,225.4,299.5,185.2,389,87435.0
2016-12-06,220.0,220.0,214.0,225.4,214.0,214.6,299.5,185.2,1108,238984.05
2016-12-07,220.0,220.0,211.4,214.6,217.0,212.9,299.5,185.2,334,71339.85
2016-12-08,220.0,220.0,215.8,212.9,215.8,216.75,299.5,185.2,472,102559.5
2016-12-09,223.5,223.5,223.5,216.75,223.5,223.5,299.5,185.2,72,16092.0
2016-12-12,220.0,220.0,214.9,223.5,214.9,214.9,299.5,185.2,404,88349.6
2016-12-13,220.0,224.95,215.0,214.9,224.0,220.8,299.5,185.2,225,49576.95
2016-12-14,206.65,220.0,206.35,220.8,218.95,213.4,299.5,185.2,1914,406551.45
2016-12-15,227.9,227.9,215.2,213.4,220.0,220.0,299.5,185.2,497,110517.35
2016-12-16,215.3,218.8,211.5,220.0,211.5,213.85,299.5,185.2,732,156660.0
2016-12-19,212.05,212.05,206.3,213.85,206.3,206.5,299.5,185.2,856,179010.75
2016-12-20,220.0,220.0,204.5,206.5,205.25,206.1,299.5,185.2,232,47905.7
2016-12-21,209.9,209.95,203.75,206.1,209.95,206.85,299.5,185.2,202,41784.9
2016-12-22,201.0,213.95,201.0,206.85,205.6,209.95,299.5,185.2,372,78958.05
2016-12-23,209.0,209.0,200.0,209.95,200.0,201.25,299.5,185.2,384,77671.55
2016-12-26,200.0,214.95,196.05,201.25,205.95,205.95,299.5,185.2,300,62131.85
2016-12-27,200.0,203.0,187.05,205.95,187.05,193.25,299.5,185.2,2163,418951.65
2016-12-28,198.55,200.0,184.8,193.25,187.0,186.85,299.5,184.8,2777,523012.85
2016-12-29,187.05,197.9,187.0,186.85,197.9,197.9,299.5,184.8,272,52280.55
2016-12-30,203.85,203.85,193.95,197.9,201.0,196.25,299.5,184.8,216,42343.75
2017-01-02,196.5,203.0,193.0,196.25,196.0,195.45,299.5,184.8,1383,270537.0
2017-01-03,200.0,201.0,192.0,195.45,192.0,194.5,299.5,184.8,6693,1318615.4
2017-01-04,199.5,204.0,199.5,194.5,204.0,199.95,299.5,184.8,217,43369.65
2017-01-05,204.5,210.0,193.05,199.95,209.0,207.6,299.5,184.8,5267,1078065.1
2017-01-06,200.1,204.75,196.0,207.6,196.0,196.3,299.5,184.8,1423,283534.35
2017-01-09,205.0,205.0,197.25,196.3,201.95,201.95,299.5,184.8,419,84255.95
2017-01-10,198.1,198.1,198.1,201.95,198.1,198.1,299.5,184.8,40,7924.0
2017-01-11,200.0,201.6,197.05,198.1,197.05,197.1,299.5,184.8,553,110355.7
2017-01-12,204.0,204.0,201.45,197.1,201.5,201.5,299.5,184.8,748,150971.95
2017-01-13,204.0,204.7,196.0,201.5,202.0,202.05,299.5,184.8,315,63273.4
2017-01-16,207.0,207.0,202.55,202.05,202.55,202.7,299.5,184.8,137,27808.8
2017-01-17,202.15,205.0,202.0,202.7,205.0,205.0,299.5,184.8,778,157996.45
2017-01-18,201.0,205.0,200.0,205.0,205.0,204.75,299.5,184.8,461,93689.85
2017-01-19,200.55,202.05,200.2,204.75,201.0,201.9,299.5,184.8,1197,241412.3
2017-01-20,206.95,206.95,203.0,201.9,203.0,203.0,299.5,184.8,64,13038.9
2017-01-23,202.5,202.5,197.1,203.0,197.1,198.65,299.5,184.8,1557,311510.2
2017-01-24,198.1,202.5,198.05,198.65,200.05,201.6,299.5,184.8,159,31847.5
2017-01-25,204.05,204.05,201.1,201.6,201.1,201.35,299.5,184.8,181,36749.6
2017-01-27,209.9,210.0,200.0,201.35,201.6,201.55,299.5,184.8,2716,551350.3
2017-01-30,200.3,204.45,200.25,201.55,200.35,200.55,299.5,184.8,72,14444.3
2017-01-31,200.1,200.1,192.45,200.55,199.9,197.25,299.5,184.8,1583,315748.25
2017-02-01,214.5,214.5,195.0,197.25,204.95,203.85,299.5,184.8,750,152182.75
2017-02-02,209.0,209.0,203.0,203.85,203.05,203.05,299.5,184.8,133,27010.45
2017-02-03,204.1,215.5,204.1,203.05,208.5,208.2,299.5,184.8,3125,656304.05
2017-02-06,208.0,215.9,208.0,208.2,210.0,210.0,299.5,184.8,770,163991.45
2017-02-07,214.35,214.35,206.25,210.0,213.0,212.9,299.5,184.8,412,87444.9
2017-02-08,213.0,213.0,208.0,212.9,208.0,209.4,299.5,184.8,2102,442151.3
2017-02-09,203.05,220.0,203.0,209.4,208.95,208.95,299.5,184.8,519,109466.4
2017-02-10,205.0,215.0,205.0,208.95,210.5,206.7,299.5,184.8,2830,593244.6
