date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2021-05-03,52.6,62.7,52.05,52.25,62.7,62.65,62.7,52.05,986585,59082417.1
2021-05-04,67.25,67.25,57.45,62.65,61.35,60.9,67.25,52.05,800639,50964287.9
2021-05-05,61.1,64.0,58.0,60.9,58.7,58.65,67.25,52.05,87256,5214520.75
2021-05-06,60.5,61.35,57.55,58.65,59.0,58.4,67.25,52.05,68281,4021528.95
2021-05-07,59.2,60.8,58.0,58.4,60.0,59.9,67.25,52.05,77758,4613711.0
2021-05-10,62.25,63.0,58.5,59.9,58.5,58.55,67.25,52.05,132194,7862054.9
2021-05-11,58.55,59.0,57.6,58.55,57.7,58.05,67.25,52.05,58507,3408214.85
2021-05-12,58.0,58.5,55.05,58.05,55.4,55.9,67.25,52.05,53542,3027092.25
2021-05-14,56.25,58.6,52.85,55.9,55.3,55.05,67.25,52.05,51504,2837680.85
2021-05-17,56.9,56.9,53.5,55.05,54.0,54.45,67.25,52.05,37826,2053419.4
2021-05-18,56.95,56.95,54.2,54.45,56.75,56.4,67.25,52.05,21082,1178499.1
2021-05-19,56.9,57.5,55.5,56.4,56.25,55.85,67.25,52.05,31155,1754440.35
2021-05-20,57.0,57.0,53.65,55.85,54.8,54.35,67.25,52.05,141237,7753909.9
2021-05-21,57.9,57.9,53.5,54.35,55.5,55.45,67.25,52.05,58389,3210131.95
2021-05-24,54.65,58.75,54.65,55.45,58.0,57.95,67.25,52.05,59814,3409757.85
2021-05-25,57.9,58.95,56.55,57.95,58.7,58.65,67.25,52.05,38162,2231744.9
2021-05-26,58.1,60.0,57.5,58.65,59.5,59.45,67.25,52.05,61957,3677340.0
2021-05-27,59.9,65.0,59.4,59.45,63.0,63.4,67.25,52.05,276298,17350609.1
2021-05-28,65.0,66.0,60.3,63.4,62.8,62.1,67.25,52.05,127091,7944451.45
2021-05-31,64.0,66.8,62.15,62.1,63.65,63.4,67.25,52.05,335085,21591698.55
2021-06-01,63.4,64.5,58.0,63.4,58.9,58.9,67.25,52.05,164686,9900346.6
2021-06-02,58.9,60.3,58.1,58.9,60.3,59.15,67.25,52.05,123971,7323774.05
2021-06-03,63.4,63.95,62.0,59.15,62.65,62.45,67.25,52.05,217738,13764143.65
2021-06-04,64.8,64.8,61.6,62.45,62.0,61.9,67.25,52.05,50673,3167894.35
2021-06-07,64.45,64.45,61.0,61.9,62.65,62.8,67.25,52.05,213325,13352758.2
2021-06-08,63.0,63.9,62.5,62.8,63.05,63.1,67.25,52.05,65565,4131164.6
2021-06-09,63.65,73.8,62.25,63.1,68.7,69.35,73.8,52.05,1274623,88542790.15
2021-06-10,70.3,74.15,68.25,69.35,70.15,69.7,74.15,52.05,393389,28273547.4
2021-06-11,71.5,72.75,68.6,69.7,70.4,70.0,74.15,52.05,155926,10953423.65
2021-06-14,70.25,70.25,65.7,70.0,68.1,67.85,74.15,52.05,135941,9234025.1
2021-06-15,69.85,69.85,67.15,67.85,67.45,67.7,74.15,52.05,103156,7050791.6
2021-06-16,68.75,68.75,65.0,67.7,65.65,65.95,74.15,52.05,122077,8074773.8
2021-06-17,65.5,69.0,65.45,65.95,68.5,68.0,74.15,52.05,160584,10887375.7
2021-06-18,69.3,71.85,65.4,68.0,70.9,70.65,74.15,52.05,267982,18374613.55
2021-06-21,68.0,74.9,67.95,70.65,72.5,72.95,74.9,52.05,295572,21358805.3
2021-06-22,73.9,81.55,73.9,72.95,76.9,76.25,81.55,52.05,712902,55943222.6
2021-06-23,78.3,84.4,77.8,76.25,81.0,80.8,84.4,52.05,755883,61858750.2
