date,open,high,low,close,volume
2000-01-03,2.8,2.8,2.8,2.8,200
2000-01-04,3.05,3.5,3.05,3.5,300
2000-01-05,3.5,3.5,3.5,3.5,50
2000-01-06,3.5,3.55,3.5,3.55,1200
2000-01-07,3.85,3.9,3.55,3.55,1050
2000-01-10,3.0,3.5,3.0,3.05,300
2000-01-11,2.8,3.5,2.8,3.5,2400
2000-01-12,3.5,3.95,3.0,3.95,1350
2000-01-13,3.8,3.9,3.55,3.55,2350
2000-01-14,3.25,3.85,3.25,3.85,550
2000-01-17,3.1,3.8,3.1,3.15,750
2000-01-18,3.0,3.0,3.0,3.0,2000
2000-01-20,3.0,3.0,3.0,3.0,200
2000-01-21,3.0,3.0,2.75,2.75,300
2000-01-24,2.5,2.5,2.5,2.5,100
2000-01-25,3.75,3.75,3.75,3.75,100
2000-01-27,2.65,3.45,2.65,2.7,1200
2000-01-28,3.35,3.35,3.35,3.35,50
2000-01-31,2.05,3.5,2.0,3.5,900
2000-02-01,2.7,3.55,2.7,3.55,600
2000-02-03,2.6,2.6,2.45,2.45,1000
2000-02-04,2.95,2.95,2.5,2.5,200
2000-02-10,2.5,2.5,2.25,2.25,150
2000-02-11,2.35,2.35,2.35,2.35,100
2000-02-14,2.05,2.05,2.05,2.05,300
2000-02-17,2.25,2.25,2.2,2.2,100
2000-02-18,2.05,2.05,2.05,2.05,100
2000-02-21,2.1,2.1,2.1,2.1,100
2000-02-22,2.3,2.3,2.3,2.3,200
2000-02-25,2.2,2.2,2.2,2.2,300
2000-02-29,2.25,2.25,2.25,2.25,500
2000-03-01,2.55,2.55,2.55,2.55,100
2000-03-23,2.75,2.75,2.75,2.75,500
2000-04-10,1.5,1.5,1.5,1.5,50
2000-05-17,1.0,1.0,1.0,1.0,5000
2000-05-18,1.1,1.1,1.1,1.1,1000
2000-05-22,1.25,1.25,1.25,1.25,400
2000-05-30,1.35,1.35,1.35,1.35,2000
2000-06-12,1.45,1.45,1.45,1.45,500
2000-09-08,1.0,1.0,1.0,1.0,100
2000-11-07,0.7,0.7,0.7,0.7,300
2000-12-21,1.0,1.0,1.0,1.0,100
2025-02-24,40.62,40.62,39.5,40.62,48
2025-02-25,42.55,42.63,38.58,42.62,648
2025-02-27,44.65,44.65,40.5,43.76,82
2025-02-28,43.9,43.9,41.57,41.57,655
2025-03-03,41.57,43.6,39.49,39.49,8562
2025-03-04,41.42,41.45,38.07,38.15,15602
2025-03-05,39.9,39.9,38.15,39.9,35
2025-03-06,41.8,41.8,39.9,40.9,309
2025-03-07,42.94,42.94,38.9,40.99,533
2025-03-10,40.0,43.02,39.05,42.6,1558
2025-03-11,44.6,44.6,40.47,43.45,224
2025-03-12,45.6,45.6,41.27,43.08,1148
2025-03-13,45.22,45.22,41.02,42.88,527
2025-03-17,40.73,45.0,40.73,40.73,50
2025-03-18,40.73,40.73,38.69,38.69,4532
2025-03-19,38.11,40.48,36.76,37.53,8330
2025-03-20,35.81,38.98,35.81,37.06,1024
2025-03-21,38.18,38.18,36.05,36.55,377
2025-03-24,38.0,38.0,35.66,37.59,1475
2025-03-25,37.8,37.8,35.75,35.94,2240
2025-03-26,35.8,36.95,34.14,35.05,4699
2025-03-27,35.05,35.05,33.29,34.7,7094
2025-03-28,32.96,35.95,32.96,35.59,1480
2025-04-01,35.59,37.35,33.81,34.03,2055
2025-04-02,35.5,35.73,34.49,35.73,1193
2025-04-03,35.56,37.37,33.94,36.49,518
2025-04-04,37.0,37.0,34.66,36.83,507
2025-04-07,36.83,36.83,36.48,36.49,46
2025-04-08,32.84,36.45,32.84,35.37,6258
2025-04-09,36.86,36.98,34.6,34.69,1135
2025-04-11,31.35,38.1,31.35,35.81,990
2025-04-15,37.9,39.39,36.53,39.08,4135
2025-04-16,42.9,42.9,39.4,41.71,8695
2025-04-17,38.51,43.95,38.51,42.84,967
2025-04-21,42.16,44.64,42.0,42.0,1724
2025-04-22,45.75,45.75,38.48,41.63,20212
2025-04-23,41.43,42.97,40.01,41.22,1877
2025-04-24,43.5,43.5,40.22,41.79,2332
2025-04-25,41.0,41.7,40.0,41.28,1029
2025-04-28,37.31,43.25,37.31,41.63,1874
2025-04-29,42.97,42.98,39.88,42.39,5854
2025-04-30,42.21,42.21,39.95,41.05,3297
2025-05-02,42.0,43.99,39.67,41.95,891
2025-05-05,41.95,41.95,41.0,41.01,118
2025-05-06,44.38,44.38,37.12,40.68,1685
2025-05-07,36.61,42.0,36.61,39.85,1292
2025-05-08,39.85,41.72,39.85,39.9,774
2025-05-09,39.9,39.9,39.9,39.9,123
2025-05-12,43.0,43.0,38.6,41.51,1543
2025-05-13,43.0,43.0,41.0,41.06,988
2025-05-14,40.21,44.98,40.2,43.53,3062
2025-05-15,44.34,45.0,41.39,41.57,501
2025-05-16,45.67,45.68,41.6,41.61,3443
2025-05-19,45.0,45.7,41.01,43.0,3448
2025-05-20,43.0,44.06,41.3,41.6,526
2025-05-21,41.6,42.52,40.62,41.12,454
2025-05-22,41.12,44.84,41.12,41.77,1544
2025-05-23,44.83,45.65,41.91,43.42,7084
2025-05-26,47.75,47.76,46.26,47.76,7644
2025-05-27,50.97,52.53,47.41,50.16,10507
2025-05-28,51.0,51.0,48.75,49.07,4869
2025-05-29,51.5,51.52,46.99,48.07,2262
2025-05-30,49.0,49.99,45.7,46.3,3644
2025-06-02,46.37,47.44,44.39,45.1,2211
2025-06-03,47.35,47.35,45.0,46.89,4884
2025-06-04,49.15,49.15,45.01,45.17,1660
2025-06-05,45.12,46.48,44.05,44.18,1805
2025-06-06,41.98,45.0,41.98,43.61,87
