date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2025-05-21,59.91,60.1,59.56,60.07,60.1,60.1,60.1,59.56,159,9507.85
2025-05-22,59.89,59.89,59.0,60.1,59.49,59.49,60.1,59.0,311,18476.32
2025-05-23,59.4,59.82,59.4,59.49,59.82,59.82,60.1,59.0,26,1550.46
2025-05-26,60.45,60.45,60.04,59.82,60.07,60.07,60.45,59.0,245,14754.36
2025-05-27,59.77,59.9,59.56,60.07,59.56,59.56,60.45,59.0,626,37472.9
2025-05-28,60.75,60.75,60.04,59.56,60.04,60.19,60.75,59.0,25050,1508895.9
2025-05-29,61.4,61.4,59.99,60.19,60.22,60.19,61.4,59.0,2237,134845.03
2025-05-30,60.11,60.12,59.39,60.19,59.53,59.59,61.4,59.0,2459,146272.1
2025-06-02,60.78,60.78,59.26,59.59,60.18,60.2,61.4,59.0,1907,114149.93
2025-06-03,60.19,60.22,59.55,60.2,59.65,59.64,61.4,59.0,5925,354259.36
2025-06-04,59.64,60.14,59.59,59.64,60.14,60.14,61.4,59.0,530,31732.35
2025-06-05,60.2,60.6,60.2,60.14,60.41,60.41,61.4,59.0,617,37335.74
2025-06-06,60.35,61.0,60.35,60.41,60.98,60.99,61.4,59.0,2691,163590.91
2025-06-09,62.21,62.21,61.56,60.99,62.05,61.8,62.21,59.0,3343,207125.67
2025-06-10,63.04,63.04,61.51,61.8,61.78,61.8,63.04,59.0,1111,68755.2
2025-06-11,63.04,63.04,61.5,61.8,61.82,61.83,63.04,59.0,2859,177564.08
2025-06-12,61.99,61.99,60.27,61.83,60.27,60.41,63.04,59.0,5709,346948.66
2025-06-13,60.41,60.41,59.25,60.41,60.25,60.19,63.04,59.0,3952,237024.57
