date,open,high,low,prev. close,ltp,close,52w h,52w l,volume,value
2005-12-15,140.0,140.0,125.0,135.45,133.6,133.75,140.0,125.0,9695,1321891.45
2005-12-16,133.0,133.4,130.5,133.75,130.5,131.65,140.0,125.0,6242,823732.85
2005-12-19,135.0,139.6,134.1,131.65,137.4,137.5,140.0,125.0,22095,3033190.65
2005-12-20,136.25,138.0,132.6,137.5,133.0,133.3,140.0,125.0,12451,1687533.6
2005-12-21,134.5,146.65,134.5,133.3,146.65,146.65,146.65,125.0,242010,35345126.5
2005-12-22,148.0,155.8,145.05,146.65,148.2,149.95,155.8,125.0,127890,19266211.0
2005-12-23,150.0,152.0,142.5,149.95,143.0,144.2,155.8,125.0,40110,5908922.05
2005-12-26,144.0,146.5,131.0,144.2,133.95,132.85,155.8,125.0,37085,5140901.8
2005-12-27,133.0,139.6,133.0,132.85,138.0,138.8,155.8,125.0,36380,4989806.1
2005-12-28,140.0,145.7,139.05,138.8,141.0,140.7,155.8,125.0,36101,5129052.1
2005-12-29,142.5,143.85,137.65,140.7,139.0,138.6,155.8,125.0,18168,2544411.0
2005-12-30,144.0,145.0,137.2,138.6,137.2,138.05,155.8,125.0,25124,3529625.7
2006-01-02,141.0,141.0,136.5,138.05,136.9,136.9,155.8,125.0,16349,2256071.9
2006-01-03,137.4,143.0,135.0,136.9,135.2,135.4,155.8,125.0,35828,4939789.35
2006-01-04,141.0,148.95,137.5,135.4,143.5,144.6,155.8,125.0,460533,67503200.45
2006-01-05,157.0,157.0,138.5,144.6,141.6,140.65,157.0,125.0,97570,13828668.6
2006-01-06,142.1,143.8,139.6,140.65,141.25,142.1,157.0,125.0,94465,13409367.5
2006-01-09,143.0,143.0,139.0,142.1,141.0,140.95,157.0,125.0,71199,10035062.95
2006-01-10,138.15,142.5,138.1,140.95,140.0,139.85,157.0,125.0,69785,9834803.0
2006-01-12,139.5,143.0,139.05,139.85,142.5,142.1,157.0,125.0,59667,8476652.55
2006-01-13,143.25,147.65,142.25,142.1,143.0,142.75,157.0,125.0,113448,16431352.0
